Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-11,6.0,4.79,4.5,5.5,4579,1427633
2021-05-12,5.33,4.68,4.0,5.1,1947,548550
2021-05-13,4.88,3.76,3.76,4.88,1449,320632
2021-05-14,4.2,4.05,3.64,3.85,641,169038
2021-05-17,4.04,3.58,3.43,4.0,886,303523
2021-05-18,3.56,3.32,3.1,3.5,505,129940
2021-05-19,3.52,2.99,2.85,3.5,1254,298366
2021-05-20,3.36,3.36,2.96,3.0,469,125861
2021-05-21,3.32,3.25,3.07,3.32,206,62186
2021-05-24,3.58,3.5,3.3,3.58,574,121144
2021-05-25,4.05,3.89,3.42,3.45,955,188833
2021-05-26,4.15,4.03,3.81,3.89,299,67335
2021-05-27,4.12,3.82,3.7,4.12,286,47427
2021-05-28,4.42,4.02,3.64,3.82,389,79082
2021-06-01,4.15,3.88,3.8,4.09,179,45666
2021-06-02,4.0,3.87,3.71,3.9,293,65020
2021-06-03,4.02,3.88,3.75,3.89,230,39158
2021-06-04,3.94,3.66,3.51,3.94,704,125000
2021-06-07,3.79,3.7,3.51,3.68,630,112707
2021-06-08,3.7,3.53,3.5,3.7,499,81404
2021-06-09,3.78,3.68,3.35,3.49,419,72030
2021-06-10,3.73,3.72,3.52,3.7,221,42260
2021-06-11,3.72,3.65,3.6,3.68,279,68052
2021-06-14,4.09,3.65,3.65,3.71,605,184720
2021-06-15,3.75,3.41,3.41,3.7,309,66787
2021-06-16,3.67,3.53,3.42,3.46,362,54938
2021-06-17,3.67,3.6,3.5,3.5,194,41340
2021-06-18,3.7,3.7,3.5,3.59,201,34241
2021-06-21,3.63,3.45,3.44,3.63,169,16533
2021-06-22,3.46,3.36,3.25,3.46,257,32306
2021-06-23,3.64,3.53,3.4,3.45,143,45978
2021-06-24,3.95,3.66,3.48,3.57,577,101290
2021-06-25,4.13,3.87,3.76,3.76,471,104577
2021-06-28,3.97,3.75,3.66,3.83,134,61829
2021-06-29,3.8,3.69,3.66,3.8,57,12007
2021-06-30,3.95,3.72,3.7,3.72,171,62393
2021-07-01,3.9,3.77,3.72,3.72,283,24830
2021-07-02,3.78,3.685,3.6,3.74,75,16386
2021-07-06,3.75,3.6,3.59,3.75,63,17444
2021-07-07,3.6,3.51,3.43,3.57,85,9394
2021-07-08,3.79,3.45,3.43,3.45,211,46941
2021-07-09,3.5,3.47,3.4,3.4,129,22370
2021-07-12,3.6,3.5,3.42,3.55,105,16598
2021-07-13,3.67,3.58,3.5,3.6,164,39490
2021-07-14,3.55,3.32,3.32,3.53,289,38224
2021-07-15,3.39,3.22,3.16,3.36,181,21569
2021-07-16,3.28,3.18,3.08,3.28,223,40579
2021-07-19,3.14,2.91,2.86,3.14,135,27415
2021-07-20,3.24,3.24,2.97,2.97,161,32840
2021-07-21,3.34,3.13,3.1,3.34,94,30473
2021-07-22,3.08,3.03,2.92,3.07,75,14704
2021-07-23,3.06,3.02,3.0,3.06,73,16319
2021-07-26,4.52,4.52,3.11,3.15,1796,565803
2021-07-27,5.58,5.07,4.31,5.41,9099,1945991
2021-07-28,10.2,8.27,5.18,5.24,27549,5395733
2021-07-29,9.33,7.0,6.41,9.29,26380,3235433
2021-07-30,7.85,7.84,6.76,6.76,4705,647740
2021-08-02,8.15,7.82,7.1,7.8,2064,305018
2021-08-03,14.74,12.71,7.86,7.86,26737,3445838
