Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-09-13,30.0,30.0,30.0,30.0,2,1000
2018-09-14,37.26,35.5,35.5,37.26,16,14450
2018-09-17,42.6,33.5,33.5,42.6,2,305
2018-09-18,37.31,37.1,35.99,35.99,10,1325
2018-09-19,37.1,37.1,37.0,37.1,5,1350
2018-09-20,38.05,38.0,37.95,37.95,4,1600
2018-09-21,40.9,40.9,38.5,39.95,26,5095
2018-09-24,39.1,39.1,38.51,38.51,6,523
2018-09-25,42.87,42.87,39.51,39.51,12,1788
2018-09-26,40.06,40.01,40.01,40.06,3,50
2018-09-28,42.0,41.0,40.25,42.0,55,19620
2018-10-01,46.23,42.0,40.75,41.5,1551,236506
2018-10-02,44.2,43.54,42.0,42.0,1679,193593
2018-10-03,44.28,42.94,42.52,43.02,1307,152941
2018-10-04,45.66,43.66,42.76,43.5,2502,344003
2018-10-05,45.5,45.16,43.22,43.38,1590,156680
2018-10-08,47.81,46.54,43.84,45.09,1705,184673
2018-10-09,49.12,48.57,45.51,46.35,2900,368151
2018-10-10,48.55,44.21,44.0,48.55,2322,298917
2018-10-11,44.12,39.48,39.28,43.76,2336,288311
2018-10-12,46.005,39.98,39.84,45.95,2503,280709
2018-10-15,40.0,39.75,38.49,39.72,2012,223138
2018-10-16,40.725,40.41,39.14,40.31,771,101458
2018-10-17,40.27,38.97,38.53,40.13,806,78792
2018-10-18,39.54,38.34,38.3,39.01,810,91520
2018-10-19,38.29,37.26,36.55,38.29,1016,141065
2018-10-22,37.79,37.6,36.44,37.0,746,136485
2018-10-23,38.45,37.92,35.86,36.9,780,86350
2018-10-24,37.79,35.99,35.835,37.79,810,110551
2018-10-25,36.5,35.0,33.23,36.04,1467,188057
2018-10-26,35.1,33.23,32.76,34.3,1339,184998
2018-10-29,33.38,31.85,31.72,33.24,1275,155368
2018-10-30,31.66,31.6,30.66,31.47,1123,172414
2018-10-31,34.43,34.05,32.02,32.02,1367,151370
2018-11-01,35.725,35.71,34.22,34.22,1356,128433
2018-11-02,35.9,35.02,34.94,35.9,1094,148019
2018-11-05,35.575,35.13,34.29,34.78,905,113152
2018-11-06,25.18,24.88,22.75,24.0,10263,1507062
2018-11-07,25.21,23.1,22.8,24.88,3463,433641
2018-11-08,23.1,21.17,21.01,23.09,3539,453222
2018-11-09,22.63,22.28,20.69,21.2,2629,341557
2018-11-12,22.71,21.87,21.78,22.32,1675,234472
2018-11-13,22.9,22.2,21.92,21.92,2291,312777
2018-11-14,23.09,21.95,21.87,22.33,3489,222275
2018-11-15,22.26,21.64,21.5,21.9,2544,120856
2018-11-16,21.6,21.08,20.7,21.57,2933,148969
2018-11-19,22.87,22.84,20.9,20.9,2841,310006
2018-11-20,23.15,23.07,22.0,22.51,1741,203594
2018-11-21,24.11,22.9,22.8,23.39,924,115260
2018-11-23,23.08,22.49,22.49,22.84,253,19523
2018-11-26,23.26,22.57,22.04,22.68,780,58369
2018-11-27,23.26,22.78,22.37,22.37,1167,154683
2018-11-28,23.66,22.54,22.14,22.56,901,104938
2018-11-29,22.92,22.35,22.34,22.53,1042,100318
2018-11-30,23.64,23.29,22.68,22.68,2038,235405
2018-12-03,23.82,23.2,22.96,23.4,1378,135776
2018-12-04,23.36,22.41,22.34,23.08,1382,124807
2018-12-06,23.04,22.7,21.86,21.86,1122,138263
2018-12-07,22.94,22.49,22.13,22.57,1393,152680
2018-12-10,22.52,22.4,21.76,22.48,1531,164532
2018-12-11,22.77,22.15,21.95,22.77,2061,191757
2018-12-12,22.76,22.12,21.98,22.28,1594,149425
2018-12-13,22.31,22.11,21.8,22.1,1923,223784
2018-12-14,23.37,22.79,22.0,22.0,1971,257447
2018-12-17,23.06,22.81,22.09,22.73,2329,352301
2018-12-18,23.2,23.14,22.62,22.85,1738,229672
2018-12-19,24.09,23.55,23.1,23.15,2051,242644
2018-12-20,24.21,23.44,22.94,23.36,2012,223393
2018-12-21,23.73,23.35,22.88,23.73,1359,377826
2018-12-24,24.44,24.27,22.97,22.97,636,68620
2018-12-26,25.83,25.35,24.035,24.3,2291,223310
2018-12-27,25.73,25.34,24.02,24.98,909,98817
2018-12-28,26.09,25.7,25.0,25.35,866,68589
2018-12-31,27.0,26.61,25.38,25.66,1556,169352
2019-01-02,26.83,26.48,25.48,26.13,774,110633
2019-01-03,26.27,25.49,24.54,26.21,709,70216
2019-01-04,27.49,27.0,25.75,25.9,764,88043
2019-01-07,27.89,27.74,26.3,27.09,1246,112907
2019-01-08,28.48,27.91,27.02,28.0,1330,136417
2019-01-09,27.89,26.6,26.3,27.89,1761,152528
2019-01-10,27.01,26.43,26.04,26.39,1538,133564
2019-01-11,26.49,26.03,25.9,26.28,1184,111460
2019-01-14,26.99,26.47,25.84,25.84,1138,109940
2019-01-15,27.96,27.68,26.55,26.62,1400,118620
2019-01-16,28.12,27.97,27.64,27.66,1040,99266
2019-01-17,28.87,28.26,27.81,27.85,885,70026
2019-01-18,28.78,28.53,27.96,28.35,1490,147190
2019-01-22,28.59,28.17,27.655,28.38,901,59613
2019-01-23,29.28,29.09,28.28,28.28,1439,124537
2019-01-24,29.24,28.33,28.17,29.04,792,87142
2019-01-25,28.95,28.6,28.15,28.5,1081,84082
2019-01-28,28.88,28.7,28.13,28.35,1094,87045
2019-01-29,29.9,29.67,28.67,28.67,1127,98506
2019-01-30,29.89,29.36,29.32,29.73,779,79050
2019-01-31,30.26,29.72,29.2,29.25,606,70304
2019-02-01,30.24,30.04,29.435,29.71,645,44244
2019-02-04,30.13,29.14,28.78,29.89,525,58511
2019-02-05,29.77,29.41,29.15,29.15,618,55537
2019-02-06,29.6,28.6,28.55,29.35,681,67048
2019-02-07,28.91,28.69,28.44,28.51,417,38481
2019-02-08,28.64,27.6,27.45,28.55,480,50309
2019-02-11,27.96,27.01,26.61,27.61,1266,113886
2019-02-12,28.09,27.91,27.07,27.07,489,41841
2019-02-13,28.36,28.01,27.75,27.98,570,52881
2019-02-14,29.0,28.33,27.92,27.94,853,187822
2019-02-15,28.78,28.47,28.32,28.69,980,98270
2019-02-19,28.86,28.62,28.37,28.62,884,85148
2019-02-20,29.0,28.86,28.3,28.36,849,80443
2019-02-21,29.04,28.79,28.6,28.85,612,53549
2019-02-22,29.12,28.9,27.97,28.95,898,93074
2019-02-25,29.12,28.8,28.37,29.0,1005,74769
2019-02-26,28.74,28.17,27.77,28.74,1429,100728
2019-02-27,33.86,31.6,29.96,29.96,2246,206224
2019-02-28,32.29,32.0,31.29,31.29,1880,278563
2019-03-01,36.69,35.6,32.12,32.41,3102,201944
2019-03-04,35.38,35.27,33.83,34.8,2912,195404
2019-03-05,36.89,35.71,35.2,35.22,1800,177133
2019-03-06,36.44,36.28,35.5,35.66,1182,110112
2019-03-07,36.74,36.56,35.81,36.02,915,57621
2019-03-08,37.16,36.12,36.02,36.35,873,54904
2019-03-11,36.91,36.53,35.64,36.28,1371,99690
2019-03-12,37.6,37.07,36.61,36.65,1060,54198
2019-03-13,37.44,35.72,35.46,37.23,1254,190382
2019-03-14,36.58,35.8,35.52,35.8,1836,94444
2019-03-15,36.0,35.89,35.48,35.6,1269,792124
2019-03-18,36.0,35.84,35.5,35.53,1074,90560
2019-03-19,35.49,34.31,33.74,35.3,1680,189293
2019-03-20,34.3,32.05,31.81,34.3,2540,263695
2019-03-21,33.74,32.42,30.6,30.75,14442,2838886
2019-03-22,33.48,32.7,31.64,31.64,3490,344939
2019-03-25,33.33,31.99,31.53,33.12,1666,188228
2019-03-26,32.71,32.4,31.745,32.28,1808,193766
2019-03-27,33.3,32.76,31.76,31.76,1674,191867
2019-03-28,35.0,34.48,32.46,33.21,2317,224781
2019-03-29,34.84,34.42,33.95,34.53,1606,203200
2019-04-01,34.76,34.31,33.89,34.75,2093,162202
2019-04-02,34.94,34.07,33.9,34.32,1033,103387
2019-04-03,34.18,34.06,33.67,34.07,762,92962
2019-04-04,34.37,33.62,33.045,34.14,1651,155767
2019-04-05,35.67,35.51,33.76,33.76,1823,808524
2019-04-08,35.91,34.65,34.36,35.75,1091,83636
2019-04-09,34.66,34.42,33.91,34.63,845,70240
2019-04-10,34.8,34.48,33.86,34.38,910,70468
2019-04-11,35.75,35.09,34.44,34.61,1743,359051
2019-04-12,35.84,34.61,34.45,35.18,1121,83729
2019-04-15,34.81,34.54,34.14,34.41,1168,86699
2019-04-16,34.97,34.61,34.24,34.56,945,80464
2019-04-17,34.88,34.23,33.76,34.83,1266,92371
2019-04-18,34.26,34.01,33.81,34.05,1155,127237
2019-04-22,34.02,33.54,33.04,33.77,1584,150924
2019-04-23,33.9,33.62,33.315,33.45,1270,314066
2019-04-24,34.51,34.28,33.45,34.02,1381,221207
2019-04-25,35.1,34.99,34.0,34.55,1176,156878
2019-04-26,34.9,34.9,33.87,34.84,1233,167787
2019-04-29,35.96,35.19,34.51,34.95,1777,138678
2019-04-30,35.66,35.24,35.04,35.1,1110,129018
2019-05-01,36.35,35.41,35.1,35.31,1661,152559
2019-05-02,35.89,35.51,35.16,35.53,1095,105732
2019-05-03,36.55,35.17,35.08,35.75,1148,101968
2019-05-06,35.29,35.0,34.62,34.74,1124,102128
2019-05-07,35.02,34.35,34.11,34.78,1573,126648
2019-05-08,39.89,38.85,37.0,37.49,3675,422370
2019-05-09,39.24,38.45,38.01,38.52,1938,167984
2019-05-10,39.45,38.93,38.24,38.47,1879,179304
2019-05-13,39.0,38.48,38.27,38.57,1694,334849
2019-05-14,38.94,38.59,38.46,38.69,2725,399540
2019-05-15,41.0,40.79,38.85,38.94,2471,222497
2019-05-16,41.89,41.35,40.81,40.9,1779,215666
2019-05-17,42.49,42.34,41.01,41.32,2010,216186
2019-05-20,43.14,42.73,41.7,42.1,2260,291094
2019-05-21,43.41,41.74,41.04,42.86,3112,294605
2019-05-22,42.05,41.69,41.42,41.43,1881,160263
2019-05-23,41.81,41.68,40.53,41.58,1868,269076
2019-05-24,42.305,41.36,40.92,41.75,1379,167339
2019-05-28,41.73,40.91,40.395,41.55,1664,189543
2019-05-29,40.99,40.81,40.1,40.88,2172,162057
2019-05-30,41.34,40.95,40.74,40.83,925,82554
2019-05-31,40.98,40.21,39.88,40.65,2291,223433
2019-06-03,40.28,39.02,38.94,40.12,1830,253350
2019-06-04,40.11,39.95,38.59,39.01,2145,180178
2019-06-05,40.58,40.54,39.69,40.11,1586,141218
2019-06-06,41.0,40.06,39.44,40.55,1113,96910
2019-06-07,40.79,40.39,40.07,40.31,1526,309068
2019-06-10,42.03,41.42,40.22,40.6,2905,410736
2019-06-11,42.01,41.93,41.32,41.43,2157,200027
2019-06-12,42.04,41.98,41.51,41.72,1037,80333
2019-06-13,42.5,41.91,41.87,42.01,1272,201122
2019-06-14,42.05,41.42,40.88,42.01,1714,207622
2019-06-17,42.24,41.76,40.96,41.69,1571,165534
2019-06-18,42.285,41.89,41.25,41.82,1549,320398
2019-06-19,42.23,41.75,41.41,41.69,1700,300310
2019-06-20,43.04,41.83,41.82,42.01,1342,285996
2019-06-21,43.45,42.49,41.62,41.72,2104,547886
2019-06-24,42.78,41.63,41.15,42.78,1802,354271
2019-06-25,41.935,40.72,40.46,41.61,1842,325578
2019-06-26,43.34,42.31,40.705,40.94,2421,212152
2019-06-27,43.63,43.34,42.23,42.23,1612,185728
2019-06-28,44.34,43.55,43.4,43.49,2324,815540
2019-07-01,44.55,43.83,43.53,43.66,1500,169975
2019-07-02,44.77,44.65,43.65,43.94,1792,151614
2019-07-03,44.91,44.18,44.05,44.62,894,76968
2019-07-05,44.42,44.33,43.38,43.93,1522,156312
2019-07-08,44.24,43.53,43.24,44.09,1293,118635
2019-07-09,44.2,44.11,43.09,43.31,1731,153962
2019-07-10,44.255,44.19,43.79,44.12,823,68765
2019-07-11,44.22,44.0,43.88,44.21,782,63421
2019-07-12,45.995,45.32,44.1,44.1,1760,151188
2019-07-15,45.76,45.22,45.0,45.53,1208,158675
2019-07-16,46.18,45.85,45.17,45.25,1520,172025
2019-07-17,45.94,45.6,45.14,45.94,1488,135469
2019-07-18,46.05,45.98,45.12,45.47,1492,239715
2019-07-19,46.78,46.05,45.72,46.0,1872,163850
2019-07-22,46.4,46.31,45.82,46.01,1267,143860
2019-07-23,46.36,45.55,45.05,46.32,1105,113582
2019-07-24,45.87,44.37,44.24,45.55,2113,338474
2019-07-25,45.86,45.74,44.12,44.34,1675,153071
2019-07-26,46.93,46.75,45.41,45.75,1414,168982
2019-07-29,47.53,47.31,46.34,46.69,1715,197068
2019-07-30,47.655,47.12,46.98,47.12,1420,110733
2019-07-31,46.99,45.64,45.54,45.83,1819,188251
2019-08-01,46.33,45.22,45.03,45.43,1988,215041
2019-08-02,45.28,44.52,44.17,45.28,2106,256283
2019-08-05,44.0,42.57,41.81,44.0,2139,196326
2019-08-06,43.58,43.32,42.65,42.85,1684,149927
2019-08-07,44.65,43.91,42.76,42.8,1733,158257
2019-08-08,51.96,50.46,48.95,51.96,4401,486409
2019-08-09,51.33,49.93,49.86,50.53,1979,181175
2019-08-12,50.27,49.78,49.4,49.65,2015,139440
2019-08-13,50.5,50.44,49.78,49.8,1573,209771
2019-08-14,50.88,49.92,49.86,49.87,1378,316311
2019-08-15,50.23,49.19,49.05,50.03,1260,123504
2019-08-16,50.5,50.35,49.58,49.6,1234,149727
2019-08-19,51.55,50.77,50.35,51.25,1187,139894
2019-08-20,51.57,50.95,50.81,50.81,780,68976
2019-08-21,52.16,51.57,51.345,51.55,1933,169468
2019-08-22,51.96,51.73,51.2,51.79,1216,80864
2019-08-23,51.64,50.6,50.205,51.47,1195,144660
2019-08-26,50.91,49.8,49.35,50.81,1689,231911
2019-08-27,50.11,49.55,49.37,49.95,1408,205515
2019-08-28,50.23,49.99,48.53,49.45,1745,126325
2019-08-29,51.24,50.91,50.24,50.24,1316,109828
2019-08-30,51.49,51.34,50.67,51.16,1314,112828
2019-09-03,51.1,50.33,50.02,50.91,1694,115251
