Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-10-23,29.91,29.91,29.91,29.91,1,500
2013-10-24,29.72,29.72,29.72,29.72,1,100
2013-10-25,29.94,29.92,29.92,29.94,2,600
2013-10-28,29.76,29.73,29.73,29.76,2,200
2013-10-29,29.68,29.68,29.68,29.68,1,150
2013-10-31,29.52,29.52,29.52,29.52,,
2013-11-01,29.13,29.13,29.13,29.13,1,375
2013-11-04,28.94,28.94,28.91,28.93,14,3300
2013-11-07,29.04,29.04,29.04,29.04,1,100
2013-11-14,28.88,28.88,28.88,28.88,1,100
2013-11-21,29.14,29.14,29.14,29.14,1,172
2013-11-25,29.31,29.31,29.24,29.24,2,590
2013-11-29,29.38,29.38,29.38,29.38,2,1000
2013-12-02,29.51,29.51,29.51,29.51,1,328
2013-12-03,29.33,29.33,29.33,29.33,1,100
2013-12-04,29.39,29.39,29.39,29.39,1,100
2013-12-05,29.4,29.4,29.4,29.4,1,100
2013-12-06,29.56,29.56,29.56,29.56,1,101
2013-12-10,,,,,1,1
2013-12-18,30.19,30.19,30.18,30.18,2,600
2013-12-19,30.19,30.13,30.13,30.19,5,3200
2013-12-27,30.4,30.4,30.4,30.4,1,100
2013-12-30,30.35,30.35,30.35,30.35,1,100
2014-01-02,29.8,29.65,29.65,29.8,5,768
2014-01-03,29.77,29.76,29.66,29.67,18,3206
2014-01-10,29.81,29.63,29.62,29.81,16,23523
2014-01-13,29.84,29.8,29.68,29.68,15,3542
2014-01-14,29.91,29.91,29.91,29.91,3,1200
2014-01-16,30.25,30.14,30.12,30.25,5,433
2014-01-17,29.93,29.93,29.93,29.93,11,2810
2014-01-21,30.06,29.82,29.75,30.06,25,5240
2014-01-23,30.52,30.34,30.34,30.52,7,306
2014-01-27,30.69,30.69,30.69,30.69,3,1510
2014-01-30,31.07,31.07,31.07,31.07,1,50
2014-01-31,31.06,31.06,31.02,31.02,6,4150
2014-02-03,31.44,31.44,31.43,31.43,2,2000
2014-02-04,31.64,31.64,31.5,31.5,2,1100
2014-02-06,32.03,32.03,32.03,32.03,1,500
2014-02-07,32.13,32.04,31.99,32.09,121,378912
2014-02-10,31.95,31.9,31.84,31.95,9,3647
2014-02-12,32.32,32.32,32.26,32.32,8,4172
2014-02-13,32.41,32.41,32.2,32.2,3,732
2014-02-14,32.64,32.61,32.61,32.64,3,200
2014-02-18,33.42,33.42,33.02,33.02,10,2100
2014-02-19,33.73,33.61,33.45,33.45,29,4619
2014-02-20,36.24,33.67,33.35,36.24,14,2340
2014-02-21,33.71,33.71,33.58,33.69,7,460
2014-02-24,50.84,33.95,33.95,50.84,4,798
2014-02-25,33.86,33.85,33.81,33.81,4,786
2014-02-26,33.73,33.73,33.69,33.69,3,1632
2014-02-27,33.84,33.66,33.66,33.78,5,614
2014-02-28,33.83,33.83,33.8,33.82,7,422
2014-03-03,34.18,34.18,34.13,34.13,12,11946
2014-03-04,34.22,34.1,34.1,34.22,5,1500
2014-03-05,34.24,34.24,34.07,34.15,6,715
2014-03-06,34.36,34.36,34.36,34.36,1,2208
2014-03-07,34.41,34.41,34.37,34.37,3,344
2014-03-10,34.48,34.35,34.33,34.48,4,2438
2014-03-11,34.58,34.4,34.4,34.58,5,1495
2014-03-12,34.3,34.3,34.13,34.13,2,400
2014-03-13,34.27,34.2,34.2,34.27,2,384
2014-03-14,34.3,34.27,34.27,34.29,4,925
2014-03-17,34.11,34.11,34.11,34.11,6,600
2014-03-18,34.07,34.07,34.07,34.07,1,100
2014-03-19,34.4,34.35,34.08,34.08,21,2931
2014-03-20,34.12,33.9,33.88,34.11,27,6142
2014-03-21,33.97,33.83,33.83,33.97,11,4177
2014-03-24,33.88,33.88,33.86,33.86,2,600
2014-03-25,34.02,33.99,33.92,34.02,14,4400
2014-03-26,33.92,33.87,33.83,33.9,7,604
2014-03-27,34.35,34.35,34.1,34.1,6,306
2014-03-28,34.46,34.39,34.39,34.46,13,1049
2014-03-31,34.22,34.15,34.0,34.2,13,1463
2014-04-01,34.07,34.0,34.0,34.06,5,1010
2014-04-02,33.95,33.66,33.65,33.95,4,400
2014-04-03,33.79,33.79,33.6,33.6,9,1476
2014-04-04,33.94,33.85,33.85,33.94,5,905
