Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,6.4903604248546785,6.3744611315537005,6.312053819776254,6.347715140791939,282,76014
2013-01-03,6.427953113077229,6.356630471045858,6.320969150030175,6.401207122315464,67,27163
2013-01-04,6.508191085362522,6.445783773585072,6.3833764618076225,6.3922917920615445,86,19638
2013-01-07,6.508191085362522,6.463614434092914,6.427953113077229,6.463614434092914,46,18791
2013-01-08,6.508191085362522,6.356630471045858,6.1961545264752775,6.43686844333115,189,42525
2013-01-09,6.463614434092914,6.445783773585072,6.3833764618076225,6.3922917920615445,111,17724
2013-01-10,6.534937076124285,6.499275755108599,6.445783773585072,6.4814450946007565,99,14740
2013-01-11,6.543852406378206,6.534937076124285,6.4903604248546785,6.517106415616442,57,10385
2013-01-14,6.588429057647811,6.552767736632125,6.526021745870364,6.534937076124285,97,20185
2013-01-15,6.5973443879017335,6.570598397139968,6.463614434092914,6.508191085362522,106,19673
2013-01-16,6.5973443879017335,6.552767736632125,6.4814450946007565,6.570598397139968,82,21189
2013-01-17,6.588429057647811,6.552767736632125,6.4903604248546785,6.552767736632125,71,24010
2013-01-18,6.588429057647811,6.552767736632125,6.534937076124285,6.579513727393891,126,39796
2013-01-22,6.606259718155654,6.579513727393891,6.526021745870364,6.570598397139968,67,18863
2013-01-23,6.624090378663496,6.561683066886049,6.543852406378206,6.552767736632125,87,26675
2013-01-24,6.5973443879017335,6.543852406378206,6.508191085362522,6.552767736632125,80,17199
2013-01-25,6.588429057647811,6.543852406378206,6.472529764346836,6.579513727393891,96,17636
2013-01-28,6.615175048409577,6.615175048409577,6.526021745870364,6.526021745870364,56,16836
2013-01-29,6.6864976904409446,6.6775823601870234,6.5973443879017335,6.5973443879017335,58,13242
2013-01-30,6.650836369425261,6.543852406378206,6.517106415616442,6.650836369425261,61,12260
2013-01-31,6.659751699679183,6.659751699679183,6.552767736632125,6.561683066886049,79,24265
2013-02-01,6.6864976904409446,6.668667029933104,6.615175048409577,6.668667029933104,89,16876
2013-02-04,6.713243681202709,6.5973443879017335,6.534937076124285,6.668667029933104,123,27602
2013-02-05,6.6775823601870234,6.63300570891742,6.534937076124285,6.615175048409577,101,17845
2013-02-06,6.659751699679183,6.659751699679183,6.570598397139968,6.624090378663496,88,15126
2013-02-07,6.659751699679183,6.606259718155654,6.561683066886049,6.659751699679183,47,9306
2013-02-08,6.6864976904409446,6.659751699679183,6.5973443879017335,6.5973443879017335,50,14137
2013-02-11,6.6864976904409446,6.6864976904409446,6.624090378663496,6.6775823601870234,74,12636
2013-02-12,6.713243681202709,6.6775823601870234,6.63300570891742,6.7043283509487885,129,19513
2013-02-13,6.7043283509487885,6.650836369425261,6.606259718155654,6.6864976904409446,196,43517
2013-02-14,6.748905002218395,6.739989671964472,6.579513727393891,6.624090378663496,311,49563
2013-02-15,6.829142974503685,6.7934816534880005,6.699870685821826,6.748905002218395,247,60915
2013-02-19,6.873719625773291,6.757820332472314,6.668667029933104,6.829142974503685,189,32071
2013-02-20,6.811312313995843,6.695413020694866,6.6864976904409446,6.739989671964472,125,38712
