Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-12-07,10.15,10.13,10.11,10.12,398,1360610
2021-12-08,10.18,10.17,10.14,10.14,151,55299
2021-12-09,10.18,10.14,10.13,10.13,18,5535
2021-12-10,10.16,10.16,10.16,10.16,2,19
2021-12-13,10.18,10.1,10.1,10.18,46,47708
2021-12-14,10.2,10.13,10.13,10.15,45,50136
2021-12-15,10.14,10.13,10.13,10.14,24,21220
2021-12-16,10.2,10.2,10.16,10.17,181,49936
2021-12-17,10.23,10.21,10.19,10.2,20,24126
2021-12-21,10.22,10.18,10.18,10.22,3,700
2021-12-22,10.25,10.18,10.18,10.23,34,35648
2021-12-23,10.25,10.22,10.22,10.25,2,914
2021-12-27,10.2,10.18,10.11,10.2,33,22320
2021-12-28,10.12,10.12,10.11,10.11,3,1004
2021-12-29,10.28,10.12,10.11,10.11,14,696
2021-12-31,10.29,10.29,10.2,10.2,6,463
2022-01-03,10.28,10.28,10.21,10.21,9,70
2022-01-04,10.25,10.23,10.23,10.25,16,9590
2022-01-05,10.26,10.26,10.26,10.26,2,177
2022-01-07,10.25,10.23,10.23,10.23,13,5295
2022-01-10,10.22,10.21,10.21,10.22,8,718
2022-01-11,10.27,10.27,10.23,10.23,38,6012
2022-01-12,10.26,10.26,10.26,10.26,1,200
2022-01-13,10.29,10.21,10.21,10.29,3,137
2022-01-18,10.34,10.34,10.34,10.34,1,67
2022-01-19,10.25,10.2,10.2,10.25,2,419
2022-01-20,10.2,10.19,10.19,10.2,18,5526
2022-01-21,10.19,10.18,10.14,10.19,18,3235
2022-01-25,9.95,9.95,9.95,9.95,1,8
2022-01-26,10.15,10.15,9.71,9.71,19,11589
2022-01-27,10.23,10.23,10.23,10.23,1,11
2022-01-31,10.34,10.25,10.25,10.34,2,751
2022-02-01,10.34,10.24,10.24,10.34,8,1060
2022-02-02,10.29,10.19,10.19,10.29,7,121
2022-02-03,10.29,9.8,9.8,10.04,5,452
2022-02-04,10.34,10.15,9.94,9.94,12,675
2022-02-07,10.13,10.13,10.13,10.13,1,1
2022-02-11,10.34,10.34,10.14,10.14,8,1185
2022-02-14,10.34,10.34,10.34,10.34,1,1
2022-02-15,10.13,10.13,10.13,10.13,3,289
2022-02-16,10.35,10.29,10.24,10.24,11,6881
2022-02-18,10.14,10.14,10.1,10.1,6,7383
2022-02-22,10.01,10.01,10.01,10.01,1,25
2022-02-23,10.15,10.12,10.12,10.13,9,6244
2022-03-01,10.09,10.09,10.09,10.09,1,44
2022-03-11,10.01,10.01,10.01,10.01,1,100
2022-03-21,10.01,10.01,10.01,10.01,1,1519
2022-03-22,10.0,10.0,10.0,10.0,1,1
2022-03-28,10.03,10.03,10.03,10.03,1,50
2022-03-29,10.13,10.13,10.035,10.04,8,3200
2022-03-31,10.05,10.05,10.05,10.05,1,100
2022-04-01,10.05,10.05,10.03,10.03,2,251
2022-04-04,10.04,10.04,10.04,10.04,8,5290
2022-04-07,10.15,10.15,10.15,10.15,3,1401
2022-04-08,10.17,10.17,10.17,10.17,2,2000
2022-04-13,10.16,10.16,10.15,10.15,3,3000
2022-04-18,10.16,10.14,10.02,10.02,6,1499
