Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-02-08,19.0,17.94,16.0,19.0,9020,2633952
2019-02-11,19.75,18.36,17.9,18.72,2353,375860
2019-02-12,18.52,18.5,17.57,18.43,484,80492
2019-02-13,18.52,17.58,17.58,18.5,773,77779
2019-02-14,19.61,18.75,16.58,17.54,1758,781749
2019-02-15,19.73,19.3,18.81,18.81,659,103467
2019-02-19,20.0,19.64,19.25,19.5,582,92930
2019-02-20,20.23,20.12,19.6,19.77,713,74033
2019-02-21,21.21,20.8,20.08,20.38,1107,110422
2019-02-22,22.68,22.5,19.5,21.21,1209,160492
2019-02-25,24.0,23.17,22.34,22.6,1000,112843
2019-02-26,24.41,23.97,23.0,23.43,768,73943
2019-02-27,25.0,20.95,20.6,24.62,1235,158739
2019-02-28,22.03,21.83,20.04,20.9,967,117080
2019-03-01,23.28,23.0,21.6,21.91,860,111585
2019-03-04,23.71,22.83,22.41,23.71,888,91532
2019-03-05,23.08,20.51,20.31,22.98,1310,121538
2019-03-06,21.29,20.84,19.63,20.59,343,45810
2019-03-07,22.12,19.25,18.46,20.81,1488,129650
2019-03-08,19.94,19.73,18.78,19.13,876,78279
2019-03-11,20.6,19.86,19.02,19.75,1245,122210
2019-03-12,20.17,19.46,19.44,19.63,575,38480
2019-03-13,19.85,19.55,19.15,19.47,512,98233
2019-03-14,20.03,20.0,19.46,19.49,1079,119221
2019-03-15,21.0,20.48,20.1,20.5,1088,1659619
2019-03-18,22.09,22.09,20.4,20.5,914,128995
2019-03-19,23.63,23.58,22.07,22.07,864,178486
2019-03-20,23.49,23.26,22.78,23.48,484,40068
2019-03-21,23.41,23.24,22.2,23.15,473,56424
2019-03-22,23.04,21.6,21.39,23.04,444,39129
2019-03-25,22.44,22.1,20.51,21.47,413,44590
2019-03-26,22.83,21.38,21.18,22.21,271,26838
2019-03-27,21.92,20.73,20.3,21.39,341,37563
2019-03-28,21.45,21.32,20.84,20.84,264,17929
2019-03-29,22.18,21.67,21.23,21.49,281,37942
2019-04-01,21.9,20.68,20.3,21.9,522,67984
2019-04-02,20.94,20.66,20.3,20.59,445,33707
2019-04-03,21.34,20.58,20.0,20.93,376,32639
2019-04-04,20.62,19.86,19.2,20.62,418,37719
2019-04-05,20.0,19.74,19.4,19.97,392,31710
2019-04-08,19.71,18.59,18.51,19.71,614,85198
2019-04-09,18.6,17.31,17.2,18.59,1141,105592
2019-04-10,17.55,17.23,17.07,17.37,402,37780
2019-04-11,17.78,17.44,16.65,17.26,482,50976
2019-04-12,17.58,17.22,16.87,17.58,304,28586
2019-04-15,17.65,17.11,16.87,17.32,321,33717
2019-04-16,17.56,17.39,17.04,17.18,530,41368
2019-04-17,17.4,16.37,16.28,17.4,308,28252
2019-04-18,16.96,16.24,15.88,16.24,430,46106
2019-04-22,16.9,16.54,16.05,16.12,306,27727
2019-04-23,17.2,17.11,16.48,16.56,203,20088
2019-04-24,17.37,16.63,16.52,17.28,491,47564
2019-04-25,16.63,16.21,16.0,16.63,261,20529
2019-04-26,16.29,16.12,15.75,16.25,281,28315
2019-04-29,17.44,17.25,16.14,16.19,317,24821
2019-04-30,17.99,16.96,16.8,17.23,336,31041
2019-05-01,17.1,16.67,16.36,17.09,249,30888
2019-05-02,16.74,16.47,16.0,16.74,171,14718
2019-05-03,17.56,17.49,16.62,16.71,333,29543
2019-05-06,18.54,18.03,17.03,17.03,242,20172
2019-05-07,18.35,18.17,17.65,17.84,334,26658
2019-05-08,18.55,18.17,18.01,18.17,156,11230
2019-05-09,18.91,18.74,17.72,17.82,209,22858
2019-05-10,19.64,19.42,18.31,18.75,311,30939
2019-05-13,20.72,20.23,18.87,18.87,623,66537
2019-05-14,20.24,19.29,18.61,20.24,514,37572
2019-05-15,20.55,20.49,19.2,19.2,477,41227
2019-05-16,21.58,21.14,20.18,20.59,653,47719
2019-05-17,21.48,20.98,20.75,21.19,388,23297
2019-05-20,20.95,20.64,20.36,20.8,382,25792
2019-05-21,21.31,20.75,20.63,20.82,357,25746
2019-05-22,20.91,20.39,20.31,20.85,296,23587
2019-05-23,20.32,19.87,19.57,20.32,357,29801
2019-05-24,21.15,20.57,19.88,20.0,608,59756
2019-05-28,20.94,20.27,20.04,20.75,448,178468
2019-05-29,20.38,20.13,19.8,20.01,285,25132
2019-05-30,20.21,18.69,18.36,20.15,576,48634
2019-05-31,18.78,18.31,18.17,18.32,350,30993
2019-06-03,19.42,18.96,18.09,18.3,626,39692
2019-06-04,19.48,19.32,18.65,19.48,488,35545
2019-06-05,19.45,17.9,17.81,19.45,612,45084
2019-06-06,18.25,17.69,17.0,17.91,459,44562
2019-06-07,18.68,18.47,17.5,17.85,371,34581
2019-06-10,19.82,19.54,18.65,18.96,729,51551
2019-06-11,19.93,18.69,18.48,19.6,338,29163
2019-06-12,19.33,18.99,18.63,18.68,316,27897
2019-06-13,19.64,19.44,19.07,19.07,386,23759
2019-06-14,20.8,20.26,19.39,19.39,748,63906
2019-06-17,21.32,21.09,20.32,20.32,761,64703
2019-06-18,21.72,21.31,20.975,21.07,623,64407
2019-06-19,22.51,22.32,21.15,21.15,462,84240
2019-06-20,23.17,21.85,21.565,22.23,739,81015
2019-06-21,23.0,22.89,21.46,21.73,645,261295
2019-06-24,23.16,22.16,21.97,22.92,1252,90615
2019-06-25,22.9,22.12,21.94,22.09,411,64494
2019-06-26,22.64,20.98,20.81,22.22,458,36257
2019-06-27,21.19,21.01,20.78,21.03,501,41587
2019-06-28,22.23,22.18,21.01,21.01,1262,923423
2019-07-01,22.89,22.47,21.97,22.32,694,61770
2019-07-02,22.92,22.17,21.91,22.48,989,90850
2019-07-03,22.45,22.01,21.72,22.45,212,18484
2019-07-05,22.11,20.92,20.82,22.06,378,37998
2019-07-08,21.07,20.23,19.97,21.07,802,53918
2019-07-09,20.9,20.51,20.13,20.15,484,34833
2019-07-10,21.3,20.96,20.65,20.68,561,46404
2019-07-11,21.09,21.05,20.67,21.09,448,29408
2019-07-12,21.68,20.65,20.5,21.09,515,50527
2019-07-15,20.79,20.7,20.45,20.49,557,44230
2019-07-16,20.76,20.63,20.48,20.73,382,36617
2019-07-17,20.64,20.06,20.0,20.64,431,27694
2019-07-18,20.06,19.74,19.12,20.06,1230,145229
2019-07-19,19.9,19.0,18.97,19.74,695,62678
2019-07-22,19.05,17.4,17.31,19.01,662,76605
2019-07-23,17.95,17.82,17.1,17.42,438,35399
2019-07-24,18.61,18.56,17.73,18.0,550,77527
2019-07-25,20.25,19.24,18.9,20.04,1335,132676
2019-07-26,21.2,21.15,19.56,19.65,797,72750
2019-07-29,21.79,20.01,19.8,21.51,934,90790
2019-07-30,20.18,19.82,19.67,20.1,591,55159
2019-07-31,20.24,19.85,19.78,20.0,654,70946
2019-08-01,21.13,20.41,20.07,20.08,818,78923
2019-08-02,20.35,18.57,18.38,20.3,654,58415
2019-08-05,19.49,19.26,17.83,18.3,764,79184
2019-08-06,19.18,18.73,17.79,19.16,942,96688
2019-08-07,19.97,19.87,18.53,18.73,882,77733
2019-08-08,20.45,19.51,19.35,19.95,535,51235
2019-08-09,19.67,19.38,18.8,19.13,786,68766
2019-08-12,19.785,19.43,19.14,19.29,788,94427
2019-08-13,20.52,20.51,18.96,19.39,826,74200
2019-08-14,20.31,18.23,18.18,20.31,591,63129
2019-08-15,18.35,18.0,17.9,18.31,793,75029
2019-08-16,18.54,17.78,17.575,18.06,523,62242
2019-08-19,18.75,18.61,17.57,18.0,504,60138
2019-08-20,18.96,18.45,18.34,18.43,280,26891
2019-08-21,19.0,18.88,18.32,18.58,296,31459
2019-08-22,18.91,17.46,17.46,18.91,566,62270
2019-08-23,17.75,17.43,16.91,17.44,1076,107905
2019-08-26,20.15,20.1,17.7,17.7,2694,373915
2019-08-27,21.2,19.92,19.25,20.5,1613,191132
2019-08-28,20.44,19.68,19.45,19.94,1285,114226
2019-08-29,20.38,20.1,19.63,19.94,856,69116
2019-08-30,21.07,20.96,19.54,20.13,967,85028
2019-09-03,21.79,21.7,20.88,20.88,1388,94031
