Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-04-19,10.0,9.88,9.86,9.88,651,95385
2022-04-20,9.92,9.9,9.9,9.92,6,7
2022-04-21,9.9,9.87,9.87,9.9,38,699
2022-04-22,9.9,9.87,9.87,9.885,13,4700
2022-04-26,9.885,9.885,9.885,9.885,1,69
2022-04-28,9.87,9.87,9.87,9.87,1,2376
2022-05-02,9.87,9.87,9.87,9.87,1,9
2022-05-05,9.87,9.87,9.87,9.87,1,1
2022-05-06,9.89,9.88,9.88,9.88,16,31338
2022-05-09,9.9,9.85,9.85,9.9,5,403
2022-05-10,9.85,9.85,9.85,9.85,1,6738
2022-05-11,9.85,9.85,9.85,9.85,12,11526
2022-05-12,9.84,9.84,9.84,9.84,3,389
2022-05-13,9.84,9.83,9.83,9.84,3,345
2022-05-17,9.84,9.84,9.84,9.84,1,100
2022-05-18,9.9,9.9,9.9,9.9,1,100
2022-05-23,9.84,9.84,9.84,9.84,1,5
2022-05-25,9.83,9.83,9.83,9.83,1,21
2022-05-26,9.86,9.86,9.83,9.83,2,7
2022-05-31,9.84,9.84,9.84,9.84,7,35418
2022-06-02,9.92,9.92,9.92,9.92,1,5
2022-06-03,9.9,9.9,9.9,9.9,1,30
2022-06-06,9.9,9.9,9.9,9.9,1,5
2022-06-07,9.85,9.85,9.85,9.85,1,135
2022-06-08,9.86,9.86,9.86,9.86,1,1
2022-06-13,9.91,9.91,9.91,9.91,1,5
2022-06-14,9.9,9.9,9.9,9.9,1,5
2022-06-15,9.93,9.85,9.85,9.93,2,430
2022-06-16,9.9,9.85,9.85,9.9,5,5030
2022-06-17,9.86,9.86,9.86,9.86,1,10
2022-06-21,9.86,9.86,9.85,9.86,4,123
2022-06-22,9.88,9.88,9.88,9.88,2,50
2022-06-23,9.88,9.88,9.88,9.88,1,10
2022-06-24,9.9,9.9,9.85,9.89,5,799
2022-06-27,9.9,9.9,9.9,9.9,2,100
2022-06-28,9.91,9.91,9.89,9.89,3,200
2022-06-29,10.0,10.0,10.0,10.0,1,42
2022-06-30,9.85,9.85,9.85,9.85,1,42
2022-07-01,9.85,9.85,9.85,9.85,1,1
2022-07-05,9.92,9.92,9.9,9.9,7,2029
2022-07-07,10.15,10.15,10.15,10.15,2,90
2022-07-08,9.91,9.91,9.91,9.91,1,58
2022-07-13,9.86,9.86,9.86,9.86,2,180
2022-07-18,9.9,9.9,9.9,9.9,1,405
2022-07-19,9.9,9.9,9.9,9.9,2,400
2022-07-20,9.91,9.91,9.88,9.88,2,201
2022-07-25,9.89,9.89,9.89,9.89,5,8
2022-07-28,9.91,9.91,9.91,9.91,1,25
2022-07-29,9.9,9.9,9.9,9.9,5,805
2022-08-03,9.92,9.92,9.9,9.9,3,382
2022-08-10,9.94,9.92,9.92,9.94,14,1011
2022-08-11,9.92,9.92,9.92,9.92,2,51
2022-08-12,9.92,9.92,9.92,9.92,1,213
2022-08-16,9.94,9.94,9.94,9.94,3,25000
2022-08-18,9.92,9.9,9.9,9.92,5,2003
2022-08-19,9.92,9.92,9.92,9.92,2,10
2022-08-23,9.96,9.96,9.91,9.91,15,2576
2022-08-25,9.95,9.94,9.91,9.95,70,46401
2022-08-26,9.95,9.94,9.93,9.95,43,7574
2022-08-29,9.94,9.94,9.94,9.94,6,426
2022-08-30,9.94,9.94,9.94,9.94,5,181
2022-08-31,9.94,9.94,9.94,9.94,4,654
2022-09-01,9.94,9.94,9.93,9.93,5,97
2022-09-02,9.95,9.95,9.94,9.94,3,109
2022-09-06,9.95,9.95,9.94,9.94,3,1517
2022-09-07,9.95,9.94,9.94,9.95,2,140
2022-09-08,9.95,9.95,9.95,9.95,3,350
2022-09-09,9.95,9.95,9.95,9.95,3,20
2022-09-12,9.95,9.95,9.95,9.95,2,7
2022-09-13,9.95,9.93,9.92,9.95,3,112
2022-09-15,9.95,9.95,9.95,9.95,5,1206
2022-09-16,9.95,9.95,9.95,9.95,1,2483
2022-09-19,9.95,9.95,9.95,9.95,3,121
2022-09-21,9.95,9.93,9.91,9.91,3,645
2022-09-22,9.92,9.92,9.92,9.92,1,25
2022-09-26,9.92,9.92,9.91,9.91,5,859
2022-09-27,9.94,9.94,9.91,9.91,2,2
2022-09-28,9.94,9.94,9.91,9.91,3,102
2022-10-04,9.94,9.93,9.93,9.94,2,109
2022-10-05,9.92,9.92,9.92,9.92,4,4593
2022-10-06,9.94,9.92,9.92,9.94,2,400
2022-10-07,9.94,9.94,9.94,9.94,3,481
2022-10-11,9.94,9.94,9.94,9.94,8,263
2022-10-12,9.95,9.95,9.92,9.92,22,10558
2022-10-13,9.95,9.95,9.91,9.91,5,1404
2022-10-14,9.93,9.93,9.93,9.93,1,7
2022-10-17,9.94,9.94,9.94,9.94,1,6
2022-10-19,9.96,9.96,9.93,9.93,4,1252
2022-10-20,9.97,9.97,9.97,9.97,1,1
2022-10-21,9.96,9.96,9.93,9.93,3,112
2022-10-24,9.94,9.94,9.94,9.94,2,651
2022-10-25,9.94,9.91,9.89,9.91,59,31109
2022-10-26,9.93,9.92,9.92,9.93,4,102
2022-10-27,9.96,9.96,9.92,9.92,9,2707
