Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-01-04,9.95,9.95,9.95,9.95,4,114
2022-01-05,9.9,9.9,9.9,9.9,1,8
2022-01-06,9.95,9.95,9.95,9.95,1,1
2022-01-07,9.92,9.92,9.92,9.92,27,10088
2022-01-10,9.95,9.95,9.95,9.95,1,1
2022-01-12,9.92,9.92,9.92,9.92,76,43776
2022-01-13,9.92,9.91,9.91,9.92,15,60749
2022-01-14,9.91,9.89,9.89,9.91,14,37810
2022-01-18,9.89,9.88,9.88,9.89,5,5072
2022-01-19,9.91,9.9,9.9,9.91,87,1224
2022-01-20,9.9,9.9,9.9,9.9,1,5
2022-01-26,9.89,9.89,9.89,9.89,4,25300
2022-01-27,9.89,9.89,9.89,9.89,43,275533
2022-01-31,9.9,9.9,9.9,9.9,5,26352
2022-02-01,9.95,9.94,9.93,9.95,33,3820
2022-02-02,9.95,9.95,9.94,9.95,14,5100
2022-02-04,9.95,9.95,9.95,9.95,3,600
2022-02-09,9.91,9.91,9.91,9.91,1,200
2022-02-11,9.85,9.85,9.85,9.85,1,100
2022-02-14,9.91,9.91,9.91,9.91,2,200
2022-02-23,9.92,9.92,9.92,9.92,1,100
2022-03-01,9.96,9.96,9.95,9.95,6,2489
2022-03-10,9.96,9.96,9.96,9.96,2,753
2022-03-11,9.97,9.97,9.93,9.95,8,15300
2022-03-18,9.98,9.98,9.98,9.98,1,123
2022-03-21,9.99,9.99,9.99,9.99,1,39
2022-03-23,10.0,10.0,10.0,10.0,1,150
2022-03-30,9.98,9.98,9.98,9.98,2,6
2022-03-31,10.0,10.0,9.98,9.98,6,3094
2022-04-01,9.99,9.99,9.99,9.99,2,200
2022-04-08,10.01,10.01,10.01,10.01,5,56000
2022-04-12,10.02,10.02,10.02,10.02,1,10
2022-04-14,10.02,10.02,10.02,10.02,1,100
2022-04-19,10.025,10.02,10.02,10.02,12,47102
2022-04-20,10.03,10.02,10.02,10.03,6,29900
2022-04-21,10.04,10.04,10.04,10.04,1,100
2022-04-25,10.12,10.03,10.03,10.12,2,10002
2022-05-05,10.04,10.04,10.03,10.03,3,1200
2022-05-09,10.02,10.02,10.02,10.02,2,10100
2022-05-12,10.0,10.0,10.0,10.0,5,10000
2022-05-13,9.99,9.98,9.98,9.99,2,3628
2022-05-24,10.03,10.03,10.03,10.03,1,3
2022-05-26,9.98,9.98,9.98,9.98,1,100
2022-05-31,9.99,9.99,9.99,9.99,1,3
2022-06-01,9.99,9.99,9.99,9.99,1,1000
2022-06-03,10.01,10.01,10.01,10.01,1,100
2022-06-15,10.02,10.02,10.02,10.02,1,2
2022-06-16,10.02,10.02,10.02,10.02,2,2501
2022-06-21,10.12,10.12,10.12,10.12,1,1
2022-06-29,10.01,10.01,10.0,10.01,47,6558
2022-07-18,10.05,10.05,10.03,10.03,3,3
2022-07-19,10.05,10.05,10.03,10.03,2,298
2022-07-20,10.06,10.06,10.05,10.05,2,29901
2022-07-22,10.08,10.08,10.08,10.08,1,25000
2022-07-25,10.08,10.08,10.08,10.08,3,39300
2022-07-26,10.08,10.08,10.08,10.08,7,1124
2022-08-01,10.06,10.06,10.06,10.06,1,50
2022-08-02,10.07,10.07,10.06,10.06,2,2
2022-08-03,10.08,10.07,10.07,10.08,2,2
2022-08-05,10.07,10.07,10.07,10.07,4,12476
2022-08-08,10.09,10.09,10.08,10.08,2,2
2022-08-11,10.08,10.08,10.08,10.08,2,167
2022-08-12,10.07,10.07,10.07,10.07,1,100
2022-08-16,10.08,10.08,10.08,10.08,8,30233
2022-08-17,10.08,10.08,10.08,10.08,4,30200
2022-08-18,10.09,10.09,10.08,10.08,6,77677
2022-08-19,10.1,10.1,10.09,10.09,2,36
2022-08-23,10.1,10.1,10.1,10.1,97,24125
2022-08-24,10.1,10.1,10.1,10.1,2,30875
2022-08-25,10.11,10.11,10.1,10.1,7,28761
2022-08-26,10.11,10.11,10.11,10.11,2,167
2022-08-30,,,,,1,100
2022-09-01,,,,,1,100
2022-09-07,,,,,1,100
2022-09-08,10.14,10.12,10.11,10.11,7,40411
2022-09-09,10.13,10.13,10.12,10.12,7,29993
2022-09-12,10.14,10.14,10.13,10.13,9,40511
2022-09-13,10.12,10.12,10.12,10.12,1,100
2022-09-14,10.12,10.12,10.12,10.12,3,4100
2022-09-20,10.13,10.13,10.12,10.12,3,6500
2022-09-21,10.14,10.14,10.13,10.13,7,22999
2022-09-28,10.13,10.13,10.13,10.13,2,200
2022-09-29,10.14,10.14,10.13,10.13,2,1094
2022-10-03,10.14,10.14,10.14,10.14,1,2542
2022-10-04,10.16,10.16,10.16,10.16,1,200
2022-10-06,10.17,10.17,10.17,10.17,2,1403
2022-10-11,10.16,10.16,10.16,10.16,1,100
2022-10-18,10.19,10.19,10.15,10.15,3,2217
2022-10-19,10.18,10.18,10.165,10.165,8,23
2022-10-20,10.18,10.18,10.16,10.16,4,1503
2022-10-21,10.18,10.18,10.18,10.18,1,100
2022-10-24,10.17,10.17,10.17,10.17,1,1000
2022-10-25,10.17,10.17,10.17,10.17,1,16
2022-10-26,10.19,10.19,10.19,10.19,5,228
2022-10-27,10.19,10.19,10.18,10.19,7,15400
2022-10-31,10.2,10.2,10.2,10.2,134,15700
