Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-12-22,10.09,10.07,10.06,10.06,142,738766
2022-12-23,10.07,10.07,10.07,10.07,19,66010
2022-12-27,10.09,10.09,10.08,10.09,12,17579
2022-12-29,10.09,10.09,10.07,10.07,70,7317
2022-12-30,10.1,10.1,10.08,10.08,66,49901
2023-01-03,10.11,10.11,10.075,10.08,5,312
2023-01-04,10.11,10.08,10.08,10.11,4,8505
2023-01-05,10.11,10.1,10.08,10.08,212,11647
2023-01-06,10.08,10.08,10.08,10.08,1,1872
2023-01-09,10.12,10.11,10.11,10.11,170,11500
2023-01-10,10.13,10.13,10.11,10.11,17,9903
