Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-12-18,25.08,25.0,24.99,25.08,7,2300
2013-12-20,24.99,24.99,24.99,24.99,1,1000
2013-12-23,25.03,25.03,24.98,24.98,5,1230
2013-12-30,25.09,25.09,25.09,25.09,1,100
2013-12-31,25.11,24.94,24.94,25.11,2,200
2014-01-03,25.1,25.1,25.1,25.1,1,100
2014-01-06,25.13,25.13,25.07,25.07,40,15340
2014-01-08,25.07,25.07,25.07,25.07,1,1200
2014-01-09,25.07,25.07,25.07,25.07,1,1000
2014-01-10,25.03,25.03,24.95,24.95,3,5000
2014-01-16,25.085,25.075,25.075,25.085,2,275
2014-01-21,25.01,25.01,25.01,25.01,1,100
2014-01-22,25.15,25.14,25.14,25.15,4,5610
2014-01-23,25.15,25.15,25.15,25.15,1,795
2014-01-28,24.99,24.95,24.95,24.99,8,2199
2014-01-30,24.93,24.93,24.93,24.93,1,1
2014-01-31,24.96,24.96,24.87,24.87,4,5000
2014-02-05,24.8,24.79,24.79,24.8,2,800
2014-02-10,24.91,24.91,24.91,24.91,3,500
2014-02-18,25.02,25.0,25.0,25.02,2,1037
2014-02-19,25.0,25.0,25.0,25.0,4,3600
2014-02-20,25.03,25.03,25.0,25.0,3,3200
2014-02-21,25.01,25.01,25.01,25.01,2,2200
2014-02-25,25.01,25.01,25.01,25.01,9,4806
2014-02-26,25.01,25.01,25.0,25.0,2,200
2014-02-27,25.0,25.0,25.0,25.0,1,1
2014-02-28,25.02,25.02,25.02,25.02,1,22
2014-03-03,25.0,25.0,25.0,25.0,1,900
2014-03-04,25.2,25.1,25.1,25.14,4,2000
2014-03-10,25.0,25.0,25.0,25.0,1,500
2014-03-18,25.24,25.24,24.93,24.93,11,8494
2014-03-19,25.23,25.23,25.23,25.23,3,1370
2014-03-21,25.23,25.23,25.23,25.23,1,140
2014-03-25,25.19,25.19,25.19,25.19,1,200
2014-03-26,25.19,25.01,25.01,25.19,3,1000
2014-03-27,25.14,25.14,25.14,25.14,3,1200
2014-04-01,25.01,25.01,25.01,25.01,1,1
