Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,17.53,17.49,17.27,17.51,123,23880
2013-01-03,17.67,17.56,17.41,17.56,71,12506
2013-01-04,17.8,17.72,17.52,17.67,103,17042
2013-01-07,17.84,17.71,17.62,17.83,57,11344
2013-01-08,17.75,17.33,17.27,17.75,52,7619
2013-01-09,17.475,17.31,17.28,17.43,33,4686
2013-01-10,17.33,17.08,17.06,17.31,38,4577
2013-01-11,17.12,16.96,16.92,17.12,58,9100
2013-01-14,17.185,17.06,16.92,16.94,19,3666
2013-01-15,17.37,17.29,16.97,16.97,20,4003
2013-01-16,17.21,16.95,16.95,17.21,37,5202
2013-01-17,17.04,17.03,16.99,17.04,85,12164
2013-01-18,17.52,17.34,17.0,17.0,73,17071
2013-01-22,17.75,17.71,17.39,17.39,65,13313
2013-01-23,17.96,17.88,17.75,17.75,81,13453
2013-01-24,17.93,17.88,17.81,17.89,79,14209
2013-01-25,18.0,17.98,17.8,18.0,60,9043
2013-01-28,18.79,18.79,18.07,18.07,178,59985
2013-01-29,19.12,18.93,18.66,18.74,78,12305
2013-01-30,19.0,18.96,18.82,18.93,68,12380
2013-01-31,19.36,19.19,18.85,18.95,92,19732
2013-02-01,19.65,19.62,19.18,19.31,106,15014
2013-02-04,19.6,19.2,19.1,19.6,45,9614
2013-02-05,19.35,19.26,18.82,19.3,52,8590
2013-02-06,19.35,19.3,19.16,19.16,61,8206
2013-02-07,19.35,19.25,19.16,19.34,61,7973
2013-02-08,19.45,19.31,19.22,19.22,33,7157
2013-02-11,19.5,19.42,19.19,19.4,41,9103
2013-02-12,19.47,19.33,19.31,19.47,20,3676
2013-02-13,19.33,19.33,19.01,19.25,12,2557
2013-02-14,19.46,19.35,19.19,19.33,27,4755
2013-02-15,19.5,19.36,19.25,19.49,25,14664
2013-02-19,19.56,19.56,19.21,19.36,49,10618
2013-02-20,19.53,19.19,19.16,19.52,32,13299
2013-02-21,19.5,19.49,18.93,19.07,60,11747
2013-02-22,19.61,19.6,19.37,19.6,34,11205
2013-02-25,20.5,20.07,20.03,20.11,168,36728
2013-02-26,20.81,20.33,19.74,20.11,210,79487
2013-02-27,20.66,20.45,20.08,20.36,96,14105
2013-02-28,20.68,20.56,20.42,20.44,70,17816
2013-03-01,20.65,20.57,20.27,20.39,41,8382
2013-03-04,20.73,20.73,20.52,20.59,34,7084
2013-03-05,20.79,20.75,20.63,20.76,29,6466
2013-03-06,21.29,21.0,20.74,20.76,45,6103
2013-03-07,21.06,20.89,20.72,21.06,75,10640
2013-03-08,21.03,20.78,20.64,21.03,52,10556
2013-03-11,20.79,20.72,20.58,20.79,25,6008
2013-03-12,20.75,20.73,20.47,20.66,53,6937
2013-03-13,20.97,20.96,20.7,20.7,38,6699
2013-03-14,21.18,21.1,20.9,21.01,51,8980
2013-03-15,21.24,21.15,20.94,21.18,85,42052
2013-03-18,21.7,21.69,20.85,20.85,32,8129
2013-03-19,21.75,21.61,21.47,21.67,32,5445
2013-03-20,21.65,21.65,21.57,21.65,33,4993
2013-03-21,21.5,21.23,21.19,21.46,52,9161
2013-03-22,21.55,21.54,21.33,21.33,31,5174
2013-03-25,21.58,21.46,21.18,21.54,40,6945
2013-03-26,21.49,21.29,21.12,21.49,24,3514
2013-03-27,21.6,21.46,21.12,21.12,41,6999
2013-03-28,21.55,21.48,21.41,21.55,39,10121
2013-04-01,21.39,20.98,20.89,21.39,63,10062
2013-04-02,21.75,21.48,21.12,21.12,73,11915
2013-04-03,21.75,21.62,21.51,21.51,95,13505
2013-04-04,21.74,21.54,21.44,21.74,31,5092
2013-04-05,21.72,21.63,21.26,21.27,62,10080
2013-04-08,21.76,21.65,21.5,21.61,65,10326
2013-04-09,21.72,21.22,21.18,21.72,33,5624
2013-04-10,21.7,21.69,21.12,21.34,47,7447
2013-04-11,21.78,21.63,21.5,21.6,32,4330
2013-04-12,21.69,21.69,21.51,21.51,17,4258
2013-04-15,21.52,19.68,19.49,21.52,177,26416
2013-04-16,20.53,20.52,19.96,19.96,113,19590
2013-04-17,20.74,20.27,20.02,20.43,101,13594
2013-04-18,20.71,20.59,20.35,20.36,47,8439
2013-04-19,21.32,21.32,20.53,20.53,27,9175
2013-04-22,21.46,21.29,20.84,21.46,44,7448
2013-04-23,21.71,21.67,21.35,21.48,23,5366
2013-04-24,21.8,21.8,21.6,21.6,23,5040
2013-04-25,21.89,21.6,21.5,21.89,19,4146
2013-04-26,21.59,21.08,20.9,21.59,49,13624
2013-04-29,21.8,21.25,21.22,21.26,21,4117
2013-04-30,21.395,21.32,21.21,21.28,25,6560
2013-05-01,21.36,20.17,20.17,21.32,82,19934
2013-05-02,21.13,21.13,20.2,20.2,17,5496
2013-05-03,21.42,21.21,21.07,21.41,23,5827
2013-05-06,21.3,21.0,20.86,21.3,40,5593
2013-05-07,21.46,21.46,20.7,21.07,46,7918
2013-05-08,21.46,21.29,21.25,21.3,36,5590
2013-05-09,21.69,21.43,21.29,21.29,34,6652
2013-05-10,21.58,21.53,21.5,21.56,37,5794
2013-05-13,21.69,21.57,21.51,21.6,17,5946
2013-05-14,21.75,21.68,21.47,21.53,40,9483
2013-05-15,21.79,21.66,21.43,21.58,45,6900
2013-05-16,21.62,21.34,21.26,21.62,42,6278
2013-05-17,21.59,21.56,21.38,21.41,67,13964
2013-05-20,21.8,21.8,21.56,21.56,43,7126
2013-05-21,21.8,21.54,21.5,21.8,42,6840
2013-05-22,21.69,20.77,20.7,21.57,34,7187
2013-05-23,21.85,21.85,20.68,20.68,39,6996
2013-05-24,22.08,22.07,21.84,21.86,22,5455
2013-05-28,23.39,23.31,22.23,22.25,66,15116
2013-05-29,23.35,23.12,22.82,23.12,53,8286
2013-05-30,23.42,23.31,23.22,23.26,20,3177
2013-05-31,23.12,22.02,22.02,23.12,68,23583
2013-06-03,21.86,21.73,21.04,21.48,176,40349
2013-06-04,22.16,22.03,21.61,21.87,83,67863
2013-06-05,22.25,21.92,21.87,22.08,76,11940
2013-06-06,22.25,22.19,21.98,21.99,76,14374
2013-06-07,22.54,22.42,21.86,22.37,32,6173
2013-06-10,23.3,23.28,22.41,22.41,68,11906
2013-06-11,23.32,23.2,23.0,23.1,19,3749
2013-06-12,23.39,22.71,22.68,23.33,72,11089
2013-06-13,23.34,23.29,22.6,22.79,32,6749
2013-06-14,23.47,22.83,22.82,23.3,25,4324
2013-06-17,23.23,22.49,22.24,23.08,36,6100
2013-06-18,23.76,23.58,22.52,22.59,50,9695
2013-06-19,24.43,23.99,23.63,23.65,44,7645
2013-06-20,24.48,23.05,22.88,23.75,48,10585
2013-06-21,24.46,24.45,23.2,23.2,124,50326
2013-06-24,24.81,24.44,23.99,24.32,69,14917
2013-06-25,24.84,24.75,24.42,24.71,74,16923
2013-06-26,25.72,25.29,24.74,24.91,103,17720
2013-06-27,26.95,25.47,25.41,25.68,170,34016
2013-06-28,25.96,25.25,25.07,25.67,224,55313
2013-07-01,25.81,25.19,25.0,25.41,108,20236
2013-07-02,25.78,25.23,24.87,24.91,126,30590
2013-07-03,25.21,25.2,24.8,25.08,49,6672
2013-07-05,25.75,24.96,24.89,25.75,85,19422
2013-07-08,25.36,25.09,24.75,25.32,85,17217
2013-07-09,25.36,25.17,24.87,25.11,235,33331
2013-07-10,25.36,25.18,24.96,25.23,94,14952
2013-07-11,25.74,25.73,25.01,25.6,144,30104
2013-07-12,27.48,27.35,25.75,25.79,104,13706
2013-07-15,28.7,27.08,27.0,27.47,256,35993
2013-07-16,28.22,28.09,27.01,27.33,156,23522
2013-07-17,28.3,27.83,27.44,28.3,100,20779
2013-07-18,28.55,28.3,27.98,27.98,99,14703
2013-07-19,28.52,28.32,28.09,28.19,67,13298
2013-07-22,28.85,28.75,28.02,28.02,161,27756
2013-07-23,29.17,28.36,28.2,29.0,163,27109
2013-07-24,28.39,28.27,27.93,28.27,95,19685
2013-07-25,29.07,28.96,28.0,28.31,175,25138
2013-07-26,29.05,28.19,27.92,28.92,88,14193
2013-07-29,28.59,28.25,27.91,28.13,66,10494
2013-07-30,28.62,28.45,28.09,28.46,106,15471
2013-07-31,29.06,28.46,28.41,28.41,108,16660
2013-08-01,29.22,28.76,28.5,28.76,102,14678
2013-08-02,28.78,25.73,25.55,28.78,273,37089
2013-08-05,27.0,25.69,25.66,25.7,160,22417
2013-08-06,25.99,25.72,25.535,25.65,110,15900
