Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-05-04,9.9,8.46,7.85,7.85,366,98158
2018-05-07,9.6,9.46,8.5,9.0,307,68542
2018-05-08,10.61,9.57,9.08,9.31,158,35121
2018-05-09,10.0,10.0,9.21,9.7,64,17909
2018-05-10,10.275,9.94,9.57,10.0,59,15503
2018-05-11,9.7,9.5,9.46,9.7,18,3442
2018-05-14,9.5,9.03,9.03,9.5,12,3200
2018-05-15,9.21,9.07,9.0,9.0,42,47594
2018-05-16,9.13,9.03,8.9,9.0,40,9190
2018-05-17,9.49,9.27,9.12,9.49,11,2502
2018-05-18,9.0,8.96,8.51,8.98,37,7660
2018-05-21,9.24,8.99,8.7,9.24,13,1250
2018-05-22,9.07,8.91,8.5,8.95,57,11072
2018-05-23,9.0,9.0,8.65,8.65,30,4947
2018-05-24,8.75,8.39,8.39,8.59,37,4856
2018-05-25,8.88,8.79,7.21,8.81,209,45825
2018-05-29,9.0,8.25,8.1,9.0,11,2397
2018-05-30,8.0,7.52,7.45,7.8,49,9323
2018-05-31,8.15,7.62,7.62,7.7,42,7923
2018-06-01,7.85,7.65,7.15,7.65,58,11391
2018-06-04,7.86,7.58,7.55,7.6,18,1819
2018-06-05,7.9,7.71,7.55,7.55,18,1739
2018-06-07,8.16,7.75,7.75,7.91,38,4000
2018-06-08,8.0,7.76,7.76,8.0,3,293
2018-06-11,8.34,8.05,7.6,7.6,39,8273
2018-06-12,8.47,7.92,7.86,8.47,42,3940
2018-06-13,8.43,8.26,8.0,8.0,32,6230
2018-06-14,9.1,7.8,7.8,8.32,355,67230
2018-06-15,9.1,8.69,7.9,8.1,389,73643
2018-06-18,10.2,9.01,8.56,8.64,800,125594
2018-06-19,9.8,9.3,9.0,9.0,168,37849
2018-06-20,9.89,9.3,9.26,9.5,177,80484
2018-06-21,9.25,8.79,8.55,9.24,70,16381
2018-06-22,8.94,8.7,8.5,8.79,35,8034
2018-06-25,8.64,8.34,8.25,8.64,56,14963
2018-06-26,8.59,8.57,8.06,8.25,36,5375
2018-06-27,7.94,6.81,6.81,7.94,204,75647
