Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,12.25,12.21,12.2,12.23,5,861
2013-01-03,12.07,12.07,12.07,12.07,,
2013-01-04,11.82,11.81,11.81,11.82,2,300
2013-01-07,12.17,12.17,12.17,12.17,1,200
2013-01-08,12.1,12.1,12.04,12.04,1,218
2013-01-09,12.23,12.23,12.23,12.23,1,200
2013-01-10,12.2,12.2,12.2,12.2,1,100
2013-01-11,12.25,12.21,12.2,12.25,11,2302
2013-01-14,12.3,12.24,12.14,12.14,8,2072
2013-01-15,12.2,12.2,12.2,12.2,1,250
2013-01-16,12.38,12.38,12.38,12.38,1,100
2013-01-17,12.85,12.65,12.6,12.64,17,3856
2013-01-18,12.96,12.85,12.67,12.67,14,3030
2013-01-22,12.67,12.67,12.67,12.67,1,100
2013-01-23,12.85,12.67,12.67,12.72,10,1519
2013-01-24,12.69,12.69,12.69,12.69,,
2013-01-25,12.55,12.15,12.15,12.55,2,400
2013-01-28,12.2,12.2,12.2,12.2,1,100
2013-01-29,12.35,12.35,12.35,12.35,1,130
2013-01-30,12.58,12.44,12.44,12.5,5,851
2013-01-31,12.52,12.39,12.39,12.52,,
2013-02-01,12.55,12.27,12.27,12.49,9,1478
2013-02-04,12.27,12.27,12.27,12.27,,
2013-02-05,12.53,12.53,12.51,12.51,2,500
2013-02-06,12.36,12.36,12.27,12.27,,
2013-02-08,12.75,12.75,12.58,12.58,6,2700
2013-02-11,12.75,12.75,12.74,12.74,2,615
2013-02-12,12.75,12.75,12.75,12.75,1,200
2013-02-14,12.66,12.65,12.65,12.66,1,160
2013-02-15,12.65,12.65,12.5,12.6,7,1500
2013-02-19,12.7,12.7,12.65,12.65,2,740
2013-02-20,12.69,12.69,12.69,12.69,1,100
2013-02-21,12.63,12.48,12.48,12.63,3,500
2013-02-22,12.75,12.75,12.55,12.63,6,600
2013-02-25,12.72,12.59,12.59,12.72,2,298
2013-02-26,12.8,12.8,12.55,12.55,12,1668
2013-02-27,13.05,13.05,12.58,12.75,27,6559
2013-02-28,13.08,13.08,13.08,13.08,1,200
2013-03-01,12.86,12.85,12.69,12.69,6,1880
2013-03-04,12.88,12.74,12.5,12.73,8,2200
2013-03-05,12.82,12.79,12.53,12.74,15,1607
2013-03-06,12.81,12.61,12.54,12.58,4,620
2013-03-07,12.94,12.91,12.79,12.79,5,749
2013-03-08,12.92,12.91,12.91,12.92,3,634
2013-03-11,12.82,12.82,12.82,12.82,1,200
2013-03-12,12.94,12.94,12.94,12.94,,
2013-03-13,12.95,12.87,12.84,12.84,3,400
2013-03-14,13.0,13.0,12.92,12.92,4,1000
2013-03-15,13.0,12.98,12.98,13.0,4,1583
2013-03-18,12.93,12.81,12.81,12.92,7,2737
2013-03-19,13.0,13.0,12.9,12.9,1,200
2013-03-20,13.05,13.05,13.05,13.05,,
2013-03-22,13.05,12.96,12.9,13.05,2,498
2013-03-25,13.04,13.04,13.04,13.04,1,414
2013-03-27,13.05,13.05,12.78,12.78,6,2032
