Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-06-28,24.39,20.02,17.33,18.5,5295,1224536
2019-07-01,22.39,21.0,20.35,22.39,675,90096
2019-07-02,22.47,21.7,21.22,21.22,183,25654
2019-07-03,25.12,24.45,21.61,21.61,321,38634
2019-07-05,28.725,27.35,23.75,25.0,576,51316
2019-07-08,27.56,24.3,23.75,27.56,393,31237
2019-07-09,25.0,23.51,23.51,24.01,191,16408
2019-07-10,24.19,19.67,19.28,23.72,456,33832
2019-07-11,20.45,19.09,18.41,19.7,403,36135
2019-07-12,20.25,20.14,18.59,18.68,201,13887
2019-07-15,20.79,20.17,19.13,20.13,151,9213
2019-07-16,20.31,19.71,19.65,20.27,102,4073
2019-07-17,19.92,19.48,19.05,19.59,167,10323
2019-07-18,19.98,19.87,19.45,19.62,151,6867
2019-07-19,20.25,19.69,19.47,19.87,280,17523
2019-07-22,20.23,19.74,19.74,19.77,161,10034
2019-07-23,22.0,20.41,20.3,20.35,365,30782
2019-07-24,21.99,20.19,19.6,20.77,438,15293
2019-07-25,20.2,19.5,19.5,20.2,409,16675
2019-07-26,20.2,19.66,18.55,19.73,397,15179
2019-07-29,19.83,19.39,19.195,19.83,229,13075
2019-07-30,19.69,19.25,18.81,19.42,151,5822
2019-07-31,19.77,18.33,18.2,19.58,403,15286
2019-08-01,18.9,18.62,17.94,18.42,69,6579
2019-08-02,19.435,18.8,18.25,18.86,173,9577
2019-08-05,19.37,19.23,18.45,18.81,109,8838
2019-08-06,19.07,17.78,17.21,19.07,141,15693
2019-08-07,17.78,17.4,16.96,17.78,93,4700
2019-08-08,18.76,18.7,16.96,16.96,463,13456
2019-08-09,23.69,22.08,18.54,18.54,783,39069
2019-08-12,23.59,22.4,22.22,22.23,315,18611
2019-08-13,22.61,22.5,21.7,22.19,313,7691
2019-08-14,22.9,22.0,21.64,22.61,433,29746
2019-08-15,22.16,21.81,21.3,22.09,321,16393
2019-08-16,22.53,22.05,21.51,21.96,295,21266
2019-08-19,22.14,21.23,21.03,22.0,233,12433
2019-08-20,21.75,21.52,21.0,21.2,167,11521
2019-08-21,21.73,20.87,20.29,21.73,541,25697
2019-08-22,21.33,20.85,20.73,20.97,263,25909
2019-08-23,20.8,20.1,19.33,20.8,553,24369
2019-08-26,20.55,20.46,19.8,20.12,528,31060
2019-08-27,20.5,19.35,19.31,20.5,193,16913
2019-08-28,19.7,19.21,19.21,19.48,575,13638
2019-08-29,19.645,18.86,18.2,19.42,441,25351
2019-08-30,19.8,19.77,18.35,18.94,389,14691
