Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-07-12,4875.0,4700.0,4690.000000000001,4875.0,30,18.696
2016-07-13,4684.999999999999,4655.0,4599.999999999999,4675.0,15,11.8
2016-07-14,4755.0,4550.0,4155.0,4639.999999999999,38,19.486
2016-07-15,4500.0,4400.000000000001,4400.000000000001,4500.0,4,2.09
2016-07-18,4400.000000000001,4400.000000000001,4200.0,4400.000000000001,17,7.556
2016-07-19,4400.000000000001,4150.000000000001,4125.0,4400.000000000001,9,9.034
2016-07-20,4150.000000000001,4075.0,4014.9999999999995,4150.000000000001,6,1.168
2016-07-21,4070.0,4070.0,4055.0,4055.0,5,0.99
2016-07-22,4050.0,4050.0,4050.0,4050.0,1,0.2
2016-07-25,4075.0,4040.0,4040.0,4075.0,3,2.484
2016-07-26,4005.0,3675.0,3450.0,4005.0,46,16.369999999999997
2016-07-27,3600.0,3525.0,3505.0,3515.0,18,7.973999999999999
2016-07-28,3595.0,3450.0,3450.0,3595.0,3,0.512
2016-07-29,3415.0,3290.0,3290.0,3415.0,4,0.502
2016-08-01,3510.0,3510.0,3275.0,3275.0,10,2.024
2016-08-02,3920.0,3715.0,3565.0,3565.0,16,5.561999999999999
2016-08-03,3900.0,3705.0,3705.0,3885.0,19,5.508
2016-08-04,3825.0,3650.0,3645.0,3825.0,18,6.704000000000001
2016-08-05,3605.0,3475.0,3475.0,3605.0,7,1.706
2016-08-08,3375.0,3300.0,3300.0,3375.0,14,4.536
2016-08-09,3275.0,3165.0,3125.0,3275.0,20,11.144
2016-08-10,3630.0,3275.0,3125.0,3125.0,35,10.498000000000001
2016-08-11,3350.0,3325.0,3175.0,3300.0,37,11.524
2016-08-12,3475.0,3410.0,3350.0,3360.0,23,19.838
2016-08-15,3480.0,3250.0,3250.0,3470.0,29,6.976000000000001
2016-08-16,3295.0,3105.0,3065.0,3185.0,107,24.6
2016-08-17,3175.0,3175.0,3050.0,3145.0,49,18.048
2016-08-18,3185.0,3165.0,3125.0,3185.0,13,6.404000000000001
2016-08-19,3270.0,3265.0,3085.0,3085.0,12,2.338
2016-08-22,3275.0,3265.0,3200.0,3275.0,14,3.62
2016-08-23,3290.0,3240.0,3200.0,3290.0,16,4.756
2016-08-24,3415.0,3150.0,3140.0,3235.0,62,18.892
2016-08-25,3440.0,3440.0,3100.0,3325.0,49,12.858
2016-08-26,3505.0,3500.0,3275.0,3275.0,74,24.041999999999998
2016-08-29,3620.0,3455.0,3425.0,3490.0,23,4.292
2016-08-30,3625.0,3625.0,3500.0,3500.0,22,6.098
2016-08-31,3770.0,3670.0,3530.0,3625.0,39,7.4319999999999995
2016-09-01,3640.0,3575.0,3475.0,3640.0,14,3.402
2016-09-02,3660.0,3580.0,3580.0,3660.0,2,0.7
2016-09-06,3630.0,3580.0,3500.0,3630.0,26,7.18
2016-09-07,3675.0,3550.0,3500.0,3555.0,27,18.246000000000002
2016-09-08,3665.0,3575.0,3575.0,3660.0,11,9.192
2016-09-09,3595.0,3550.0,3540.0,3595.0,13,6.224
2016-09-12,3550.0,3520.0,3510.0,3550.0,4,2.2600000000000002
2016-09-13,3525.0,3310.0,3235.0,3505.0,27,20.636000000000003
2016-09-14,3330.0,3170.0,3125.0,3260.0,19,5.3420000000000005
2016-09-15,3475.0,3475.0,3170.0,3170.0,51,13.937999999999999
2016-09-16,3495.0,3435.0,3220.0,3495.0,22,6.252000000000001
2016-09-19,3465.0,3375.0,3260.0,3465.0,18,9.596
2016-09-20,3445.0,3355.0,3300.0,3350.0,52,15.7
2016-09-21,3330.0,3325.0,3315.0,3325.0,21,3.7939999999999996
2016-09-22,3335.0,3255.0,3255.0,3335.0,16,3.7039999999999997
2016-09-23,3300.0,3175.0,3175.0,3255.0,15,8.658
2016-09-26,3227.5,3000.0,2975.0,3200.0,52,15.347999999999999
2016-09-27,3090.0,3090.0,3020.0,3085.0,21,9.398
2016-09-28,3090.0,2880.0,2880.0,3090.0,21,5.392
2016-09-29,3030.0,2995.0,2880.0,2910.0,25,8.34
2016-09-30,3025.0,3025.0,3000.0,3020.0,9,2.3280000000000003
2016-10-03,3025.0,3015.0,2985.0,2985.0,4,1.266
2016-10-04,3000.0,2775.0,2765.0,3000.0,30,7.42
2016-10-05,2925.0,2925.0,2765.0,2765.0,54,34.507999999999996
2016-10-06,2940.0,2925.0,2805.0,2875.0,42,13.797999999999998
2016-10-07,2950.0,2930.0,2885.0,2950.0,11,1.814
2016-10-10,2950.0,2895.0,2895.0,2910.0,11,3.2039999999999997
2016-10-11,2975.0,2760.0,2755.0,2860.0,77,26.9
2016-10-12,2795.0,2755.0,2755.0,2755.0,7,0.796
2016-10-13,2815.0,2675.0,2675.0,2815.0,20,9.702
2016-10-14,2780.0,2780.0,2580.0,2630.0,108,28.113999999999997
2016-10-17,2775.0,2775.0,2645.0,2755.0,26,5.206
2016-10-18,2785.0,2745.0,2735.0,2765.0,25,5.236
2016-10-19,2835.0,2780.0,2735.0,2750.0,113,32.044
2016-10-20,2855.0,2745.0,2745.0,2800.0,33,8.462
2016-10-21,2800.0,2625.0,2625.0,2800.0,23,6.096
2016-10-24,2715.0,2650.0,2610.0,2625.0,63,12.654
2016-10-25,2790.0,2525.0,2475.0,2790.0,24,3.532
2016-10-26,2525.0,2525.0,2525.0,2525.0,1,0.6
2016-10-27,2455.0,2444.9999999999995,2380.0,2424.9999999999995,12,4.1259999999999994
2016-10-28,2590.0,2410.0,2365.0000000000005,2365.0000000000005,99,54.446000000000005
2016-10-31,2375.0,2330.0,2110.0,2319.9999999999995,59,17.372
2016-11-01,2400.0,2220.0000000000005,2180.0000000000005,2250.0,39,20.688
2016-11-02,2390.0,2095.0000000000005,2095.0000000000005,2225.0,56,31.256
2016-11-03,2150.0,2105.0,2100.0,2100.0,10,2.654
2016-11-04,2125.0,2025.0,2025.0,2115.0000000000005,27,11.594
2016-11-07,2069.9999999999995,2025.0,2025.0,2069.9999999999995,7,0.678
2016-11-08,2100.0,2029.9999999999998,2000.0,2035.0,19,4.83
2016-11-09,2060.0,2049.9999999999995,2005.0,2005.0,11,2.83
2016-11-10,2065.0,2049.9999999999995,2000.0,2065.0,72,20.166
2016-11-11,2120.0,2120.0,2000.0,2009.9999999999998,23,6.606
2016-11-14,2095.0000000000005,2015.0,2009.9999999999998,2095.0000000000005,22,5.398
2016-11-15,2065.0,2060.0,2005.0,2005.0,6,0.9400000000000001
2016-11-16,2095.0000000000005,2069.9999999999995,2020.0,2095.0000000000005,25,16.066
2016-11-17,2250.0,2015.0,2015.0,2069.9999999999995,15,4.208
2016-11-18,2075.0000000000005,2040.0,2040.0,2060.0,7,1.6
2016-11-22,2075.0000000000005,2040.0,2040.0,2075.0000000000005,8,4.6
2016-11-23,2125.0,2040.0,2040.0,2110.0,23,3.8
2016-11-25,2040.0,2040.0,2040.0,2040.0,1,0.074
2016-11-28,2045.0,2000.0,2000.0,2045.0,12,6.851999999999999
2016-11-29,2000.0,2000.0,1985.0,1985.0,7,6.859999999999999
2016-11-30,2020.0,2020.0,2000.0,2000.0,3,0.8
2016-12-01,2040.0,2032.5000000000002,2032.5000000000002,2040.0,3,0.6
2016-12-02,2045.0,1935.0,1930.0,2045.0,55,21.39
2016-12-05,1975.0,1965.0,1950.0,1960.0,16,19.4
2016-12-06,2000.0,1990.0,1940.0,1950.0,18,11.792
2016-12-07,1925.0,1900.0,1900.0,1905.0,5,1.6760000000000002
2016-12-08,1895.0,1790.0,1630.0,1895.0,93,69.02799999999999
2016-12-09,1795.0,1775.0,1770.0,1775.0,18,7.478
2016-12-12,1900.0,1875.0,1740.0,1790.0,48,28.278
2016-12-13,1895.0,1750.0,1725.0,1895.0,30,4.888
2016-12-14,1945.0,1945.0,1775.0,1875.0,65,49.82
2016-12-15,1955.0,1910.0,1830.0,1940.0,79,16.716
2016-12-16,1970.0,1950.0,1920.0,1920.0,6,0.784
2016-12-19,1960.0,1945.0,1910.0,1940.0,36,10.826
2016-12-20,1955.0,1955.0,1930.0,1930.0,2,0.44400000000000006
2016-12-21,1955.0,1955.0,1885.0,1940.0,5,2.076
2016-12-22,1940.0,1885.0,1885.0,1940.0,4,0.458
2016-12-27,1825.0,1820.0,1775.0,1825.0,9,3.006
2016-12-28,1820.0,1800.0,1760.0,1820.0,16,6.064
2016-12-29,1765.0,1665.0,1665.0,1750.0,38,21.8
2016-12-30,1770.0,1565.0,1500.0,1675.0,60,30.718
2017-01-03,1765.0,1610.0,1515.0,1580.0,76,28.868000000000002
2017-01-04,1680.0,1615.0,1450.0,1655.0,75,42.214
2017-01-05,1720.0,1680.0,1610.0,1620.0,94,37.242000000000004
2017-01-06,1695.0,1695.0,1620.0,1675.0,88,70.71000000000001
2017-01-09,1700.0,1650.0,1650.0,1670.0,9,2.238
2017-01-10,1695.0,1680.0,1665.0,1665.0,5,0.882
2017-01-11,1715.0,1645.0,1645.0,1655.0,13,5.418
2017-01-12,1670.0,1645.0,1645.0,1670.0,5,1.1099999999999999
2017-01-13,1680.0,1660.0,1645.0,1645.0,19,5.364
2017-01-17,1670.0,1625.0,1600.0,1670.0,30,8.178
2017-01-18,1650.0,1615.0,1602.5,1607.5,21,7.8340000000000005
2017-01-19,1795.0,1795.0,1645.0,1645.0,26,11.132
2017-01-20,1860.0,1745.0,1675.0,1785.0,70,26.898000000000003
2017-01-23,1850.0,1850.0,1725.0,1725.0,36,12.478
2017-01-24,1865.0,1865.0,1805.0,1865.0,13,4.4
2017-01-25,1950.0,1950.0,1865.0,1865.0,20,12.722
2017-01-26,2075.0000000000005,2075.0000000000005,1985.0,2000.0,29,25.95
2017-01-27,2075.0000000000005,2075.0000000000005,2000.0,2000.0,11,13.658000000000001
2017-01-30,2177.5000000000005,2154.9999999999995,2080.0,2080.0,22,8.28
2017-01-31,2395.0,2395.0,2160.0,2170.0,42,16.19
2017-02-01,2575.0,2455.0,2299.9999999999995,2380.0,97,71.2
2017-02-02,2620.0,2620.0,2505.0,2505.0,19,10.290000000000001
2017-02-03,2625.0,2555.0000000000005,2420.0,2625.0,69,47.692
2017-02-06,2570.0,2515.0,2490.0000000000005,2490.0000000000005,18,7.56
2017-02-07,2515.0,2509.9999999999995,2480.0,2500.0,14,8.5
2017-02-08,2500.0,2430.0000000000005,2404.9999999999995,2500.0,15,9.126000000000001
2017-02-09,2424.9999999999995,2205.0,2205.0,2424.9999999999995,9,2.822
2017-02-10,2340.0,2340.0,2225.0,2225.0,3,0.6
2017-02-13,2549.9999999999995,2549.9999999999995,2455.0,2500.0,13,8.992
2017-02-14,2555.0000000000005,2500.0,2500.0,2549.9999999999995,13,4.49
2017-02-15,2600.0,2529.9999999999995,2529.9999999999995,2549.9999999999995,6,1.688
2017-02-16,2580.0,2570.0,2529.9999999999995,2580.0,6,3.0
2017-02-17,2575.0,2475.0,2460.0,2575.0,17,3.218
2017-02-21,2500.0,2444.9999999999995,2430.0000000000005,2495.0,23,11.476
2017-02-22,2455.0,2355.0,2355.0,2455.0,3,1.0
2017-02-23,2410.0,2395.0,2305.0000000000005,2325.0000000000005,22,6.804
2017-02-24,2435.0,2315.0,2310.0,2415.0,39,10.059999999999999
2017-02-27,2325.0000000000005,2279.9999999999995,2279.9999999999995,2279.9999999999995,15,12.154
2017-02-28,2295.0,2295.0,2285.0,2285.0,5,1.3359999999999999
2017-03-01,2319.9999999999995,2319.9999999999995,2240.0000000000005,2305.0000000000005,21,5.514
2017-03-02,2350.0,2315.0,2250.0,2350.0,44,14.338
2017-03-03,2384.9999999999995,2305.0000000000005,2285.0,2335.0,19,8.578
