Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,5.05,4.94,4.94,5.01,6,1559
2013-01-03,5.06,5.06,4.99,4.99,1,300
2013-01-04,5.135,5.08,5.08,5.135,4,534
2013-01-07,5.08,4.95,4.95,5.08,11,3175
2013-01-08,5.04,4.95,4.95,5.03,6,800
2013-01-09,5.105,5.06,5.06,5.1,2,200
2013-01-10,5.09,5.01,5.0,5.09,13,20300
2013-01-11,5.03,5.03,4.98,4.98,3,700
2013-01-14,5.03,5.0,5.0,5.03,2,298
2013-01-15,4.99,4.93,4.88,4.98,6,1700
2013-01-16,5.0,4.89,4.89,4.99,10,1300
2013-01-17,4.95,4.9,4.9,4.95,1,100
2013-01-18,4.91,4.9,4.9,4.91,,
2013-01-22,4.99,4.91,4.91,4.96,2,413
2013-01-23,5.05,4.95,4.95,4.98,15,2528
2013-01-24,4.99,4.92,4.92,4.99,,
2013-01-25,4.99,4.91,4.91,4.96,2,200
2013-01-28,5.02,4.91,4.91,4.95,6,843
2013-01-29,5.0,4.95,4.95,5.0,2,211
2013-01-30,5.0,4.91,4.91,5.0,1,100
2013-01-31,5.02,4.91,4.91,5.02,,
2013-02-01,5.05,5.04,5.0,5.05,5,900
2013-02-04,5.02,5.02,5.02,5.02,,
2013-02-05,4.99,4.9,4.9,4.97,4,895
2013-02-06,4.89,4.89,4.84,4.84,1,1000
2013-02-07,4.89,4.89,4.89,4.89,1,200
2013-02-08,4.99,4.99,4.88,4.88,6,606
2013-02-11,4.91,4.91,4.79,4.85,9,1200
2013-02-12,4.94,4.94,4.79,4.79,1,100
2013-02-13,5.02,4.99,4.99,5.0,6,1300
2013-02-14,5.0,5.0,4.93,4.93,4,413
2013-02-15,5.01,5.0,4.99,5.0,9,5400
2013-02-19,5.01,4.99,4.99,5.0,10,2000
2013-02-20,5.02,4.96,4.96,4.97,12,5667
2013-02-21,4.92,4.83,4.83,4.92,11,1402
2013-02-22,4.86,4.86,4.8,4.8,7,900
2013-02-25,4.82,4.82,4.75,4.78,22,2678
2013-02-26,5.05,4.81,4.79,4.92,11,1231
2013-02-27,5.0,4.98,4.78,4.8,6,900
2013-02-28,5.0,4.89,4.89,5.0,12,1800
2013-03-01,5.0,4.88,4.79,4.93,5,1200
2013-03-04,4.98,4.97,4.94,4.94,1,100
2013-03-05,4.97,4.87,4.87,4.97,1,100
2013-03-06,4.99,4.98,4.91,4.91,2,632
2013-03-07,4.96,4.96,4.95,4.96,3,300
2013-03-08,4.98,4.98,4.86,4.91,7,1080
2013-03-11,4.97,4.91,4.76,4.95,20,7904
2013-03-12,4.55,4.29,4.14,4.4,30,7750
2013-03-13,4.41,4.41,4.24,4.26,50,11618
2013-03-14,4.35,4.1,4.07,4.35,22,4254
2013-03-15,4.07,3.99,3.93,4.05,15,5430
2013-03-18,3.91,3.85,3.78,3.91,24,3556
2013-03-19,3.84,3.72,3.72,3.8,18,4600
2013-03-20,3.79,3.71,3.71,3.79,21,4202
2013-03-21,3.73,3.66,3.66,3.7,18,6951
2013-03-22,3.76,3.65,3.65,3.66,50,12537
2013-03-25,3.68,3.63,3.63,3.66,6,2737
2013-03-26,3.68,3.63,3.6,3.6,21,7905
2013-03-27,3.63,3.63,3.62,3.62,10,1497
2013-03-28,3.71,3.57,3.57,3.71,8,1628
2013-04-01,3.67,3.67,3.66,3.66,2,441
2013-04-02,3.71,3.63,3.63,3.65,7,1095
2013-04-03,3.69,3.61,3.61,3.68,7,940
2013-04-04,3.71,3.69,3.65,3.65,4,922
2013-04-05,3.7,3.65,3.64,3.7,14,2900
2013-04-08,3.65,3.61,3.58,3.63,17,5245
2013-04-09,3.68,3.62,3.6,3.62,26,11240
