Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-03-17,9.95,9.95,9.95,9.95,1,5
2022-03-18,9.88,9.88,9.88,9.88,1,100
2022-03-21,9.95,9.95,9.93,9.95,5,3117
2022-03-23,9.93,9.93,9.93,9.93,14,8800
2022-03-29,9.97,9.97,9.89,9.89,3,201
2022-04-06,9.93,9.93,9.93,9.93,1,2325
2022-04-22,10.12,10.03,9.99,10.0,13,1474
2022-04-25,9.96,9.96,9.95,9.95,2,200
2022-04-27,10.0,10.0,10.0,10.0,1,2
2022-04-28,9.96,9.96,9.96,9.96,53,338777
2022-05-03,10.08,10.08,10.08,10.08,1,1
2022-05-09,9.95,9.95,9.95,9.95,1,1
2022-05-10,9.95,9.95,9.95,9.95,2,1027
2022-05-11,9.96,9.96,9.96,9.96,1,100
2022-05-23,10.08,9.95,9.95,10.08,2,10001
2022-05-26,9.92,9.92,9.92,9.92,1,1
2022-06-01,9.97,9.97,9.97,9.97,1,1
2022-06-03,9.93,9.93,9.93,9.93,1,100
2022-06-06,9.97,9.97,9.97,9.97,1,60
2022-06-07,9.97,9.97,9.93,9.93,10,4791
2022-06-08,9.96,9.96,9.96,9.96,1,1
2022-06-23,10.08,10.08,10.08,10.08,1,1
2022-07-06,9.99,9.99,9.99,9.99,1,1
2022-07-13,9.99,9.99,9.99,9.99,1,59
2022-07-15,9.99,9.99,9.99,9.99,1,1
2022-07-18,9.98,9.98,9.98,9.98,1,800
2022-07-19,9.98,9.98,9.98,9.98,1,1
2022-07-22,10.0,10.0,9.98,9.98,2,203
2022-07-25,10.02,10.02,10.02,10.02,1,3
2022-08-05,10.04,10.04,10.0,10.0,2,54
2022-08-08,10.03,10.03,10.0,10.0,2,2
2022-08-09,10.04,10.04,10.0,10.0,2,2
2022-08-10,10.04,10.04,10.0,10.0,2,2
2022-08-12,10.03,10.03,10.0,10.0,2,2
2022-08-16,10.03,10.03,10.0,10.0,2,2
2022-08-17,10.03,10.03,10.0,10.0,2,2
2022-08-19,10.03,10.03,10.03,10.03,1,10
2022-08-23,10.05,10.05,10.0,10.0,37,4044
2022-08-31,10.05,10.05,10.05,10.05,7,396
2022-09-01,10.06,10.06,10.05,10.05,8,390
2022-09-07,10.04,10.04,10.03,10.03,32,22273
2022-09-09,10.07,10.07,10.04,10.04,3,184
2022-09-14,10.07,10.07,10.07,10.07,4,126
2022-09-16,10.07,10.07,10.07,10.07,1,1
2022-09-22,10.09,10.09,10.09,10.09,1,10
2022-09-26,10.05,10.05,10.05,10.05,2,800
2022-09-27,10.1,10.1,10.1,10.1,3,205
2022-09-28,10.1,10.08,10.07,10.1,3,1025
2022-09-29,10.1,10.1,10.1,10.1,4,400
2022-10-04,10.08,10.07,10.07,10.08,5,600
2022-10-06,10.15,10.15,10.07,10.07,2,2
2022-10-07,10.1,10.1,10.08,10.08,2,2
2022-10-10,10.1,10.1,10.08,10.08,3,1599
2022-10-12,10.08,10.08,10.08,10.08,2,16
2022-10-14,10.1,10.1,10.08,10.08,3,4
2022-10-17,10.2,10.2,10.13,10.13,2,41
2022-10-18,10.1,10.1,10.09,10.09,5,455
2022-10-19,10.11,10.11,10.09,10.09,8,4318
2022-10-20,10.15,10.15,10.11,10.11,3,3
2022-10-21,10.14,10.14,10.12,10.12,4,9677
2022-10-25,10.12,10.12,10.12,10.12,5,1218
2022-10-26,10.15,10.15,10.12,10.12,6,1402
2022-10-27,10.13,10.13,10.12,10.12,13,1878
2022-10-28,10.14,10.14,10.13,10.13,3,202
2022-10-31,10.18,10.18,10.13,10.13,2,2
2022-11-03,10.16,10.16,10.14,10.14,2,2
2022-11-04,10.15,10.15,10.15,10.15,3,600
2022-11-07,10.16,10.16,10.15,10.15,2,2
2022-11-08,10.17,10.17,10.15,10.15,2,2
2022-11-09,10.16,10.16,10.16,10.16,4,1561
2022-11-10,10.18,10.18,10.16,10.16,15,1930
2022-11-11,10.2,10.2,10.16,10.16,25,7200
2022-11-14,10.19,10.16,10.16,10.19,28,5002
2022-11-15,10.17,10.17,10.17,10.17,15,2611
2022-11-16,10.17,10.17,10.17,10.17,9,4458
2022-11-17,10.18,10.18,10.17,10.17,2,2
2022-11-18,10.2,10.2,10.17,10.17,7,702
2022-11-21,10.2,10.2,10.18,10.18,2,2
2022-11-22,10.3,10.3,10.19,10.19,2,2
2022-11-23,10.2,10.2,10.2,10.2,1,5000
2022-11-25,10.2,10.2,10.2,10.2,1,100
2022-11-28,10.21,10.21,10.2,10.2,4,112
2022-11-29,10.22,10.22,10.22,10.22,1,5
2022-12-01,10.23,10.23,10.23,10.23,3,38
2022-12-02,10.22,10.22,10.22,10.22,4,400
2022-12-06,10.22,10.22,10.22,10.22,5,500
2022-12-07,10.22,10.22,10.22,10.22,2,476
2022-12-09,,,,,1,100
2022-12-13,10.255,10.255,10.22,10.22,4,12
2022-12-14,10.28,10.28,10.23,10.23,4,47
2022-12-15,10.27,10.27,10.23,10.23,3,3
2022-12-16,10.28,10.28,10.23,10.23,2,2
2022-12-19,10.27,10.27,10.23,10.23,2,2
2022-12-20,10.28,10.27,10.24,10.24,23,9326
2022-12-21,10.26,10.26,10.26,10.26,4,1300
2022-12-22,10.3,10.29,10.27,10.3,31,15005
2022-12-23,10.29,10.28,10.28,10.29,11,6476
2022-12-28,10.33,10.33,10.26,10.26,17,7202
2023-01-03,10.31,10.31,10.31,10.31,1,1
2023-01-09,10.28,10.28,10.275,10.28,49,57562
