Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-06,9.85,9.85,9.85,9.85,1,100
2021-05-07,10.34,10.34,10.34,10.34,1,3
2021-05-10,10.54,10.0,10.0,10.54,2,6
2021-05-18,9.75,9.75,9.75,9.75,1,4
2021-05-19,9.78,9.78,9.65,9.75,30,33220
2021-05-20,9.75,9.75,9.75,9.75,2,206
2021-05-24,9.75,9.75,9.75,9.75,1,2
2021-05-25,9.75,9.75,9.75,9.75,1,4
2021-05-26,10.69,9.85,9.85,10.49,149,7158
2021-06-01,9.77,9.77,9.77,9.77,1,2
2021-06-02,9.95,9.95,9.95,9.95,3,151
2021-06-04,9.77,9.77,9.77,9.77,1,5
2021-06-07,9.66,9.66,9.66,9.66,1,10
2021-06-08,9.77,9.77,9.77,9.77,2,34
2021-06-09,9.75,9.75,9.75,9.75,1,70
2021-06-10,9.75,9.75,9.74,9.74,4,700
2021-06-11,9.78,9.78,9.78,9.78,3,27
2021-06-15,9.76,9.76,9.75,9.75,20,3028
2021-06-16,9.78,9.78,9.75,9.75,12,3092
2021-06-17,9.78,9.78,9.78,9.78,2,33
2021-06-18,10.8,10.8,9.67,9.92,21,2225
2021-06-21,9.815,9.78,9.78,9.815,2,100
2021-06-22,9.84,9.78,9.78,9.84,4,407
2021-06-24,9.75,9.75,9.75,9.75,1,601
2021-06-25,9.78,9.75,9.75,9.78,12,3239
2021-06-28,9.7,9.7,9.7,9.7,3,692
2021-06-30,9.7,9.7,9.7,9.7,16,11193
2021-07-01,9.71,9.7,9.7,9.7,52,64035
2021-07-02,9.7,9.7,9.7,9.7,1,46
2021-07-06,9.7,9.7,9.7,9.7,20,18182
2021-07-07,9.75,9.74,9.7,9.7,35,22520
2021-07-12,9.78,9.78,9.74,9.78,8,2289
2021-07-15,9.78,9.74,9.7,9.7,8,8159
2021-07-16,9.77,9.77,9.75,9.75,2,104
2021-07-20,9.76,9.76,9.74,9.74,3,104
2021-07-21,9.7,9.7,9.7,9.7,1,567
2021-07-22,9.86,9.85,9.77,9.86,10,1926
2021-07-23,9.85,9.85,9.85,9.85,9,782
2021-07-26,9.79,9.79,9.79,9.79,1,1
2021-07-27,9.79,9.79,9.79,9.79,1,5
2021-07-28,9.73,9.73,9.73,9.73,1,6
2021-07-30,9.68,9.68,9.68,9.68,3,321
2021-08-03,9.68,9.68,9.68,9.68,1,37
2021-08-04,9.66,9.66,9.66,9.66,2,100
2021-08-05,9.71,9.71,9.71,9.71,2,630
2021-08-09,9.65,9.65,9.65,9.65,2,361
2021-08-11,9.66,9.66,9.66,9.66,1,50
2021-08-13,9.69,9.69,9.65,9.66,12,9758
2021-08-16,9.79,9.79,9.79,9.79,1,7
2021-08-17,9.7,9.7,9.69,9.7,11,1222
2021-08-19,9.7,9.7,9.7,9.7,4,13
2021-08-20,9.65,9.65,9.58,9.65,19,8735
2021-08-23,9.62,9.62,9.62,9.62,1,99
2021-08-24,9.63,9.62,9.58,9.62,84,19241
2021-08-25,9.61,9.61,9.6,9.61,14,4793
2021-08-26,9.65,9.65,9.61,9.62,21,4025
2021-08-30,9.67,9.67,9.62,9.62,31,5573
2021-08-31,9.63,9.62,9.62,9.63,3,6
2021-09-02,9.67,9.67,9.67,9.67,1,4
2021-09-07,9.66,9.66,9.65,9.65,2,32
2021-09-08,9.67,9.66,9.66,9.67,2,5
2021-09-09,9.67,9.67,9.66,9.66,10,1789
2021-09-10,9.69,9.68,9.67,9.67,15,13239
2021-09-13,9.7,9.7,9.69,9.69,14,1309
2021-09-14,9.72,9.7,9.7,9.7,21,13334
2021-09-15,9.75,9.72,9.7,9.7,43,22945
2021-09-16,9.73,9.73,9.72,9.72,4,400
2021-09-22,9.72,9.72,9.72,9.72,3,227
2021-09-24,9.75,9.75,9.75,9.75,1,8
2021-09-27,9.74,9.74,9.7,9.7,10,2770
2021-09-28,9.73,9.73,9.73,9.73,1,1
2021-09-29,9.75,9.75,9.7,9.7,78,31605
2021-09-30,9.75,9.73,9.73,9.75,2,200
2021-10-01,9.75,9.75,9.72,9.72,22,2301
2021-10-04,9.74,9.74,9.69,9.69,3,218
2021-10-06,9.73,9.73,9.71,9.71,16,1924
2021-10-07,9.75,9.75,9.73,9.73,20,2376
2021-10-08,9.75,9.75,9.74,9.75,8,2400
2021-10-12,9.77,9.77,9.7,9.7,101,20565
2021-10-13,9.77,9.77,9.77,9.77,2,155
2021-10-14,9.77,9.77,9.77,9.77,1,2064
2021-10-15,9.75,9.69,9.69,9.75,4,137
2021-10-18,9.75,9.72,9.69,9.69,83,27678
2021-10-25,9.75,9.75,9.75,9.75,1,2
2021-10-26,9.77,9.77,9.75,9.75,14,4405
2021-10-27,9.75,9.75,9.74,9.74,2,435
2021-10-29,9.77,9.77,9.77,9.77,1,1
2021-11-01,9.77,9.77,9.77,9.77,1,16
2021-11-03,9.77,9.77,9.73,9.77,5,213
2021-11-04,9.77,9.73,9.73,9.77,31,12806
2021-11-05,9.78,9.78,9.78,9.78,8,11199
2021-11-08,9.78,9.78,9.73,9.73,33,1805
2021-11-09,9.8,9.8,9.725,9.725,11,57399
2021-11-10,9.78,9.75,9.75,9.78,24,27548
2021-11-11,9.8,9.77,9.77,9.8,11,1001
2021-11-12,9.8,9.75,9.75,9.8,6,2961
2021-11-15,9.77,9.77,9.77,9.77,2,37
2021-11-17,9.77,9.77,9.7,9.75,42,20349
2021-11-18,9.735,9.735,9.73,9.73,7,299
2021-11-19,9.77,9.77,9.7,9.73,11,54460
2021-11-22,9.77,9.77,9.75,9.77,3,552
2021-11-23,9.75,9.74,9.735,9.75,155,19407
2021-11-24,9.72,9.72,9.72,9.72,1,1
2021-11-30,9.76,9.76,9.75,9.75,113,14078
2021-12-01,9.8,9.75,9.75,9.8,2,102
2021-12-06,9.82,9.82,9.82,9.82,1,2
2021-12-08,9.7,9.7,9.7,9.7,1,21000
2021-12-09,9.74,9.74,9.74,9.74,4,1006
2021-12-10,9.74,9.72,9.72,9.74,6,561
2021-12-14,9.7,9.7,9.7,9.7,14,28752
2021-12-15,9.72,9.72,9.72,9.72,1,85
2021-12-16,9.76,9.76,9.76,9.76,1,8
2021-12-17,9.69,9.69,9.69,9.69,1,5
2021-12-20,9.7,9.7,9.7,9.7,1,1
2021-12-21,9.69,9.69,9.69,9.69,1,31
2021-12-22,9.73,9.73,9.69,9.69,9,2192
2021-12-23,9.73,9.73,9.69,9.69,3,203
2021-12-29,9.73,9.73,9.73,9.73,1,1
2021-12-30,9.74,9.74,9.74,9.74,1,4
2022-01-03,9.72,9.72,9.72,9.72,31,9301
2022-01-04,9.71,9.71,9.71,9.71,1,123
2022-01-05,9.7,9.7,9.7,9.7,3,174
2022-01-06,9.72,9.71,9.71,9.71,8,3098
2022-01-07,9.76,9.76,9.75,9.75,48,7869
2022-01-10,9.76,9.76,9.75,9.76,15,1115
2022-01-11,9.76,9.76,9.76,9.76,5,259
2022-01-12,9.76,9.76,9.74,9.75,11,1332
2022-01-13,9.76,9.74,9.74,9.74,17,1419
2022-01-14,9.74,9.74,9.74,9.74,5,151
2022-01-18,9.75,9.74,9.74,9.74,18,11522
2022-01-19,9.76,9.76,9.75,9.75,4,206
2022-01-20,9.74,9.74,9.74,9.74,16,6865
2022-01-21,9.73,9.73,9.72,9.72,2,90
2022-01-24,9.72,9.7,9.7,9.72,7,434
2022-01-25,9.7,9.7,9.69,9.69,11,1849
2022-01-26,9.71,9.71,9.7,9.7,42,5282
2022-01-27,9.71,9.71,9.68,9.71,84,7226
2022-01-28,9.71,9.71,9.68,9.68,64,6021
2022-01-31,9.71,9.71,9.68,9.69,7,2921
2022-02-01,9.71,9.69,9.69,9.71,43,7530
2022-02-02,9.72,9.72,9.72,9.72,1,10000
2022-02-03,,,,,2,200
2022-02-04,9.73,9.73,9.69,9.69,4,129
2022-02-07,9.73,9.73,9.72,9.73,13,732
2022-02-08,9.72,9.72,9.72,9.72,1,1
2022-02-09,9.73,9.73,9.73,9.73,1,59
2022-02-10,9.71,9.7,9.7,9.71,4,97
2022-02-11,9.72,9.705,9.705,9.72,2,54
2022-02-14,9.7,9.7,9.7,9.7,1,219
2022-02-15,9.71,9.71,9.7,9.7,4,328
2022-02-17,9.705,9.7,9.7,9.7,44,4800
2022-02-18,9.715,9.715,9.71,9.71,8,1076
2022-02-22,9.73,9.73,9.71,9.72,4,112
2022-02-23,9.71,9.71,9.71,9.71,1,5
2022-02-24,9.73,9.71,9.69,9.69,17,2101
2022-02-25,9.73,9.73,9.71,9.71,9,4481
2022-02-28,9.74,9.72,9.71,9.74,31,9122
2022-03-01,9.725,9.71,9.71,9.725,14,1555
2022-03-02,9.72,9.72,9.715,9.715,17,10778
2022-03-03,9.75,9.74,9.74,9.74,71,33769
2022-03-04,9.75,9.74,9.73,9.75,34,11389
2022-03-07,9.74,9.74,9.74,9.74,4,5051
2022-03-08,9.74,9.735,9.73,9.74,6,362
2022-03-09,9.73,9.73,9.72,9.72,88,37591
2022-03-10,9.73,9.73,9.72,9.73,5,2013
2022-03-11,9.73,9.73,9.72,9.72,4,706
2022-03-14,9.73,9.73,9.73,9.73,2,101
2022-03-16,9.73,9.73,9.72,9.73,9,2192
2022-03-17,9.74,9.74,9.74,9.74,3,10
2022-03-18,9.73,9.73,9.73,9.73,5,10008
2022-03-21,9.73,9.73,9.73,9.73,3,1045
2022-03-22,9.74,9.73,9.73,9.73,13,18104
2022-03-23,9.75,9.75,9.74,9.74,4,1901
2022-03-24,9.75,9.75,9.74,9.745,10,15019
2022-03-25,9.75,9.75,9.75,9.75,90,1011
2022-03-28,9.75,9.75,9.745,9.745,44,1010
2022-03-29,,,,,2,388
2022-03-30,9.75,9.74,9.74,9.75,16,63
2022-03-31,9.76,9.76,9.75,9.75,26,126056
2022-04-01,9.77,9.76,9.75,9.76,14,14812
2022-04-04,9.79,9.76,9.76,9.79,7,727
2022-04-05,9.78,9.78,9.77,9.77,13,2000
2022-04-06,9.79,9.77,9.76,9.79,44,5977
