Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-12-29,9.98,9.98,9.98,9.98,5,800
2021-12-30,10.0,9.98,9.98,10.0,2,30
2021-12-31,10.0,10.0,9.97,9.97,11,2256
2022-01-03,10.11,10.11,10.11,10.11,1,4
2022-01-04,10.005,9.97,9.97,9.99,15,78000
2022-01-05,10.08,10.01,10.01,10.08,50,4144
2022-01-06,10.03,10.01,10.0,10.0,14,3691
2022-01-07,10.02,10.0,10.0,10.02,143,29192
2022-01-10,10.1,10.0,10.0,10.1,19,31995
2022-01-12,10.0,10.0,10.0,10.0,15,20005
2022-01-13,10.0,10.0,10.0,10.0,1,1
2022-01-14,10.05,10.0,10.0,10.04,7,1161
2022-01-18,9.99,9.99,9.99,9.99,1,17
2022-01-21,9.99,9.99,9.99,9.99,15,125983
2022-01-24,10.03,9.98,9.98,10.03,21,4900
2022-01-25,9.99,9.99,9.99,9.99,89,1600
2022-01-26,9.97,9.97,9.97,9.97,2,200
2022-01-27,9.97,9.96,9.96,9.97,4,501
2022-01-28,9.99,9.99,9.99,9.99,62,646
2022-01-31,10.0,10.0,10.0,10.0,41,432
2022-02-01,10.02,10.02,10.0,10.0,12,1971
2022-02-02,,,,,1,100
2022-02-04,10.01,10.01,10.01,10.01,1,10
2022-02-10,10.04,10.04,10.04,10.04,1,48
2022-02-14,10.04,10.04,10.04,10.04,1,1000
2022-02-16,10.04,10.02,10.0,10.01,7,12906
2022-02-22,10.02,10.02,10.02,10.02,1,4
2022-02-23,10.05,10.05,10.05,10.05,2,18
2022-02-24,10.02,10.02,10.02,10.02,11,74478
2022-02-28,10.03,10.03,10.03,10.03,1,1
2022-03-01,10.06,10.06,10.05,10.05,25,5600
2022-03-02,10.07,10.05,10.05,10.07,22,38951
2022-03-03,10.05,10.05,10.05,10.05,4,400
2022-03-04,10.06,10.06,10.05,10.05,2,101
2022-03-09,10.06,10.06,10.06,10.06,1,1200
2022-03-10,10.07,10.07,10.07,10.07,2,6000
2022-03-11,10.06,10.06,10.06,10.06,2,200
2022-03-16,10.07,10.07,10.07,10.07,8,49849
2022-03-17,10.08,10.08,10.06,10.06,2,309
2022-03-18,10.07,10.07,10.07,10.07,3,14895
2022-03-21,10.07,10.07,10.07,10.07,1,403
2022-03-22,10.08,10.06,10.06,10.08,2,2103
2022-03-28,10.075,10.07,10.07,10.075,2,5500
2022-03-29,10.1,10.08,10.02,10.07,313,92622
2022-03-30,10.1,10.08,10.08,10.1,12,3000
2022-03-31,10.08,10.08,10.08,10.08,4,11600
2022-04-01,10.08,10.08,10.08,10.08,2,2000
2022-04-04,10.07,10.07,10.07,10.07,2,672
2022-04-05,10.085,10.08,10.08,10.085,15,33388
2022-04-06,10.08,10.08,10.06,10.06,2,575
2022-04-07,10.1,10.1,10.08,10.08,2,601
2022-04-08,10.1,10.1,10.1,10.1,1,71
2022-04-11,10.1,10.1,10.1,10.1,1,2
2022-04-14,10.11,10.11,10.11,10.11,4,2000
2022-04-19,10.13,10.13,10.12,10.12,3,1048
2022-04-20,10.13,10.13,10.12,10.13,8,39319
2022-04-21,10.14,10.14,10.13,10.13,5,50046
2022-04-22,10.11,10.11,10.11,10.11,1,17
2022-04-25,10.13,10.13,10.13,10.13,2,50000
2022-04-26,10.14,10.14,10.13,10.13,3,64915
2022-04-27,10.13,10.13,10.12,10.13,10,58395
2022-04-28,10.14,10.14,10.13,10.13,7,64960
2022-04-29,10.14,10.13,10.13,10.13,7,3710
2022-05-02,10.14,10.13,10.13,10.14,14,9638
2022-05-03,10.14,10.13,10.13,10.14,89,2236
2022-05-04,10.14,10.13,10.13,10.14,90,1520
2022-05-05,10.13,10.12,10.12,10.13,13,359851
2022-05-06,10.12,10.12,10.12,10.12,1,3
2022-05-09,10.12,10.12,10.11,10.12,15,30607
2022-05-10,10.11,10.11,10.11,10.11,1,78
2022-05-11,10.11,10.11,10.1,10.11,30,12998
2022-05-12,10.11,10.11,10.09,10.09,5,2989
2022-05-17,10.13,10.13,10.13,10.13,1,34
2022-05-20,10.13,10.13,10.13,10.13,1,34
2022-05-23,10.13,10.13,10.13,10.13,1,17
2022-05-24,10.11,10.11,10.11,10.11,7,83
2022-05-25,10.09,10.09,10.09,10.09,9,7170
2022-05-26,10.13,10.13,10.13,10.13,1,17
2022-05-27,10.13,10.13,10.13,10.13,1,16
2022-05-31,10.09,10.09,10.09,10.09,39,31499
2022-06-01,10.09,10.09,10.09,10.09,33,43851
2022-06-02,10.1,10.1,10.09,10.09,24,6321
2022-06-03,10.11,10.11,10.09,10.09,36,4800
2022-06-07,10.11,10.11,10.1,10.11,26,9731
2022-06-08,10.125,10.105,10.1,10.11,12,6702
2022-06-09,10.11,10.1,10.1,10.11,18,30800
2022-06-10,10.14,10.14,10.11,10.12,19,103137
2022-06-13,10.15,10.15,10.14,10.14,4,626
