Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-06,1.92,1.92,1.1,1.1,4,900
2020-01-07,16.73,10.0,4.04,4.04,290,16931
2020-01-08,13.7,9.87,9.24,10.45,112,5997
2020-01-09,8.5,7.5,7.25,8.5,18,1130
2020-01-10,7.26,5.98,5.98,7.25,34,1332
2020-01-13,6.43,4.9,4.75,6.43,23,2642
2020-01-14,5.12,4.8,4.06,4.06,36,4267
2020-01-15,5.01,4.38,4.38,4.9,17,2321
2020-01-16,4.49,4.49,4.1,4.1,6,243
2020-01-17,4.51,4.51,4.16,4.16,3,162
2020-01-21,4.38,4.38,3.51,4.15,29,4590
2020-01-22,4.4,4.3,4.06,4.06,7,924
2020-01-23,4.9,4.5,4.35,4.35,27,1772
2020-01-24,6.0,5.9,4.2,4.2,98,11008
2020-01-27,6.09,5.26,5.26,5.8,52,3562
2020-01-28,5.5,5.47,5.1,5.1,28,2384
2020-01-29,6.82,6.82,5.15,5.15,34,4257
2020-01-30,7.31,6.67,6.67,7.21,36,2181
2020-01-31,7.25,7.25,6.01,6.9,64,6009
2020-02-03,7.21,7.2,6.84,6.92,26,2260
2020-02-04,6.96,6.31,6.31,6.96,5,120
2020-02-05,7.0,6.59,6.42,6.42,39,3121
2020-02-06,6.86,6.7,6.6,6.6,53,6832
2020-02-07,6.95,6.8,6.8,6.95,15,2296
2020-02-10,7.05,7.05,6.55,6.55,19,1080
2020-02-11,7.09,7.05,7.05,7.09,12,469
2020-02-12,7.48,6.66,6.65,7.05,29,1892
2020-02-13,6.9,6.77,6.63,6.9,11,593
2020-02-14,6.93,6.93,6.63,6.72,5,120
2020-02-18,7.05,6.61,6.61,7.05,10,608
2020-02-19,6.85,6.53,6.53,6.85,11,614
2020-02-20,6.8,6.6,6.55,6.61,30,1637
2020-02-21,6.62,6.31,6.31,6.6,20,1875
2020-02-24,6.65,6.65,6.45,6.62,15,1604
2020-02-25,6.6,6.0,6.0,6.6,15,2003
2020-02-26,6.15,6.02,6.0,6.02,6,305
2020-02-27,6.19,6.0,5.8,6.0,13,685
2020-02-28,6.75,6.75,5.76,5.8,56,6472
2020-03-02,7.0,5.73,5.73,7.0,20,2513
2020-03-03,6.25,5.75,5.75,6.25,24,3078
2020-03-04,5.85,5.75,5.56,5.85,17,1707
2020-03-05,5.63,5.63,5.58,5.58,2,200
2020-03-06,5.75,5.75,5.42,5.42,13,626
2020-03-09,5.75,5.49,4.75,5.75,4,306
2020-03-10,5.64,5.64,5.24,5.24,7,50
2020-03-11,5.77,4.75,4.61,5.77,16,688
2020-03-12,5.38,5.38,4.97,4.97,13,504
2020-03-13,5.5,4.74,4.74,5.5,8,49
2020-03-16,5.0,4.2,4.2,4.77,10,405
2020-03-17,5.0,4.75,4.5,4.89,11,2301
2020-03-18,4.28,3.57,3.4,4.28,55,6182
2020-03-19,3.72,3.15,3.15,3.72,10,424
