Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-02-10,4.2,3.71,3.65,4.15,973,167347
2022-02-11,6.05,4.26,4.03,5.77,16154,1875634
2022-02-14,3.99,3.85,3.5,3.76,1115,203599
2022-02-15,3.86,3.65,3.61,3.84,304,40330
2022-02-16,3.74,3.5,3.46,3.65,226,48745
2022-02-17,3.5,3.34,3.2,3.5,196,85567
2022-02-18,3.48,3.01,2.75,3.48,223,52757
2022-02-22,2.9,2.85,2.59,2.77,142,29922
2022-02-23,3.0,2.96,2.71,2.86,118,11920
2022-02-24,2.97,2.97,2.85,2.85,137,49017
2022-02-25,3.29,3.29,2.87,2.95,70,10836
2022-02-28,3.47,3.47,3.11,3.12,95,23254
2022-03-01,3.63,3.63,3.33,3.45,149,34423
2022-03-02,3.95,3.95,3.44,3.74,347,61764
2022-03-03,4.08,4.03,3.91,4.04,336,25189
2022-03-04,4.07,4.0,3.85,4.07,148,9853
2022-03-07,4.68,4.42,3.96,3.99,222,37500
2022-03-08,4.41,4.15,4.08,4.4,251,31974
2022-03-09,4.42,4.35,4.11,4.25,208,22031
2022-03-10,4.49,4.39,4.2,4.3,124,13367
2022-03-11,4.5,4.44,4.39,4.39,112,11792
2022-03-14,4.4,4.0,3.91,4.38,88,14239
2022-03-15,4.45,4.41,4.0,4.0,136,13582
2022-03-16,4.43,4.4,4.22,4.27,105,10505
2022-03-17,4.4,4.38,4.27,4.4,76,5841
2022-03-18,4.46,3.8,3.8,4.46,142,80954
2022-03-21,4.11,4.0,4.0,4.11,70,6784
2022-03-22,4.14,4.0,4.0,4.05,153,13624
2022-03-23,4.1,3.95,3.95,3.98,60,6158
2022-03-24,4.24,4.0,3.92,4.05,102,15948
2022-03-25,4.46,4.25,4.17,4.46,189,35339
2022-03-28,4.37,4.15,4.15,4.19,112,9624
2022-03-29,4.76,4.52,4.04,4.04,97,6033
2022-03-30,4.6,4.31,4.18,4.45,139,14536
2022-03-31,4.5,4.4,4.25,4.42,49,5072
2022-04-01,4.5,4.25,4.25,4.5,43,4603
2022-04-04,4.53,4.51,4.25,4.25,103,5604
2022-04-05,4.66,4.35,4.35,4.37,474,25149
2022-04-06,4.62,4.32,4.04,4.35,86,10482
2022-04-07,4.48,4.23,4.15,4.35,254,14437
2022-04-08,4.26,4.18,4.18,4.23,40,8266
2022-04-11,4.18,3.89,3.89,4.17,516,31788
2022-04-12,4.06,4.01,3.84,4.01,48,3924
2022-04-13,4.46,4.11,3.91,4.46,34,10688
2022-04-14,4.5,4.24,4.21,4.5,103,14235
2022-04-18,4.41,4.23,4.21,4.41,32,8260
2022-04-19,4.33,4.28,4.21,4.21,32,5172
2022-04-20,4.31,4.15,4.15,4.31,16,1527
2022-04-21,4.28,4.25,4.2,4.27,19,3208
2022-04-22,4.4,4.4,4.35,4.4,18,4232
2022-04-25,4.82,4.8,4.35,4.4,113,11947
2022-04-26,4.75,4.75,4.34,4.67,73,5385
2022-04-27,5.06,4.81,4.62,4.62,59,6882
2022-04-28,5.0,4.53,4.42,5.0,28,2172
2022-04-29,4.53,4.53,4.32,4.42,15,3258
2022-05-02,4.32,4.17,4.14,4.32,22,3895
2022-05-03,4.28,4.23,4.11,4.28,29,1687
2022-05-04,4.3,4.16,4.14,4.3,19,2230
2022-05-05,4.235,4.23,4.17,4.17,18,3837
2022-05-06,4.62,4.39,4.25,4.62,39,6614
2022-05-09,4.57,4.35,4.25,4.57,78,7665
2022-05-10,4.44,4.17,4.17,4.44,61,5692
2022-05-11,4.28,3.95,3.95,4.28,41,3786
2022-05-12,4.14,4.14,4.0,4.11,16,480
2022-05-13,4.33,4.33,4.17,4.24,35,923
2022-05-16,4.81,4.71,4.3,4.39,88,8356
2022-05-17,4.6,4.59,4.56,4.6,31,763
2022-05-18,4.78,4.68,4.66,4.66,71,12821
2022-05-19,4.76,4.76,4.61,4.76,28,3497
2022-05-20,4.76,4.63,4.63,4.76,36,10614
2022-05-23,4.66,4.65,4.52,4.57,28,1924
2022-05-24,4.57,4.5,4.38,4.57,42,2605
2022-05-25,4.7,4.52,4.5,4.5,7,286
2022-05-26,4.65,4.53,4.53,4.56,9,748
2022-05-27,4.76,4.56,4.54,4.54,12,2669
2022-05-31,4.75,4.75,4.75,4.75,12,476
2022-06-01,4.62,4.47,4.47,4.62,32,179
2022-06-02,4.75,4.75,4.47,4.47,15,421
2022-06-03,4.76,4.73,4.71,4.76,21,833
2022-06-06,4.75,4.7,4.62,4.62,51,1690
2022-06-07,4.82,4.67,4.63,4.75,63,4507
2022-06-08,4.82,4.76,4.49,4.49,53,4455
2022-06-09,4.74,4.55,4.51,4.63,37,1378
2022-06-10,4.66,4.52,4.475,4.66,23,587
2022-06-13,4.62,4.54,4.34,4.615,46,1251
2022-06-14,4.66,4.66,4.55,4.55,19,1210
2022-06-15,5.1,4.9,4.7,5.1,42,11041
2022-06-16,4.95,4.77,4.665,4.83,69,34420
2022-06-17,4.99,4.99,4.7,4.7,90,22838
2022-06-21,5.1,5.1,4.9,4.9,52,32892
2022-06-22,5.1,5.08,4.96,4.96,25,25630
2022-06-23,5.08,4.99,4.99,5.08,11,855
2022-06-24,5.32,5.32,5.06,5.09,61,17754
2022-06-27,5.39,5.165,5.165,5.39,9,763
2022-06-28,5.39,5.27,5.16,5.39,16,462
2022-06-29,5.19,5.13,5.13,5.19,7,184
2022-06-30,5.19,5.18,5.18,5.18,52,1241
2022-07-01,5.11,5.11,5.09,5.09,20,450
2022-07-05,5.32,5.32,5.13,5.13,11,774
2022-07-06,5.29,5.21,5.18,5.29,8,514
2022-07-07,5.27,5.24,5.16,5.19,32,2441
2022-07-08,5.35,5.11,5.05,5.35,36,1486
2022-07-11,5.06,4.91,4.85,5.06,10,1199
