Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-03-23,7.45,6.6,5.56,6.0,2472,672298
2021-03-24,6.62,5.36,5.29,6.59,495,112350
2021-03-25,5.53,5.25,5.25,5.42,418,107260
2021-03-26,5.78,5.64,5.32,5.5,196,22743
2021-03-29,5.99,5.8,5.46,5.8,618,57687
2021-03-30,5.9,5.67,5.51,5.9,88,9813
2021-03-31,5.64,5.54,5.45,5.54,159,19484
2021-04-01,5.6,5.51,5.42,5.48,46,4491
2021-04-05,5.82,5.73,5.505,5.76,95,17497
2021-04-06,6.02,5.98,5.73,5.73,90,11167
2021-04-07,6.64,6.64,5.83,6.19,153,27544
2021-04-08,6.6,6.5,6.07,6.6,141,23388
2021-04-09,6.5,6.2,6.16,6.5,32,14884
2021-04-12,6.22,6.08,5.99,6.22,29,7017
2021-04-13,6.1,6.01,5.77,6.1,140,18273
2021-04-14,5.99,5.83,5.51,5.99,88,17077
2021-04-15,5.9,5.65,5.6,5.9,43,4041
2021-04-16,5.56,5.5,5.35,5.56,79,15199
2021-04-19,5.48,5.34,5.31,5.48,93,6293
2021-04-20,5.4,5.24,5.2,5.4,33,1658
2021-04-21,5.41,5.41,5.31,5.31,32,1341
2021-04-22,5.54,5.5,5.35,5.35,55,3139
2021-04-23,5.69,5.3,5.16,5.64,49,5786
2021-04-26,5.49,5.49,5.44,5.44,23,2401
2021-04-27,5.5,5.45,5.45,5.49,89,2887
2021-04-28,5.76,5.66,5.44,5.5,43,4370
2021-04-29,5.6,5.45,5.27,5.6,66,5476
2021-04-30,5.49,5.46,5.3,5.49,87,2885
2021-05-03,5.41,5.37,5.35,5.41,32,3109
2021-05-04,5.5,5.3,5.25,5.4,44,7116
2021-05-05,5.38,5.32,5.29,5.36,33,1999
2021-05-06,5.47,5.26,5.21,5.47,60,5965
2021-05-07,5.31,5.21,5.21,5.3,24,3498
2021-05-10,5.26,5.15,5.15,5.26,36,2264
2021-05-11,5.25,5.25,5.15,5.15,39,5076
2021-05-12,5.19,5.18,5.15,5.15,79,2932
2021-05-13,5.15,5.03,5.0,5.15,138,65591
2021-05-14,5.15,5.15,5.0,5.0,105,14227
2021-05-17,5.11,5.04,5.0,5.11,58,3209
2021-05-18,5.03,5.02,5.0,5.0,60,6989
2021-05-19,5.25,4.95,4.95,5.0,67,6448
2021-05-20,5.25,5.25,4.95,4.95,67,2724
2021-05-21,5.18,5.1,5.1,5.11,34,3234
2021-05-24,5.11,5.09,4.99,5.11,31,1566
2021-05-25,5.08,5.08,5.0,5.0,9,550
2021-05-26,5.1,5.02,5.02,5.1,14,681
2021-05-27,5.1,5.1,5.09,5.09,14,423
2021-05-28,5.1,5.0,5.0,5.1,21,1983
2021-06-01,5.08,4.99,4.94,5.0,41,3772
2021-06-02,5.05,4.94,4.94,5.05,18,1690
2021-06-03,5.08,4.99,4.97,5.02,8,578
2021-06-04,5.07,5.07,4.91,4.99,39,2748
2021-06-07,5.07,4.92,4.91,5.07,32,10085
2021-06-08,4.98,4.98,4.93,4.93,23,734
2021-06-09,4.97,4.97,4.95,4.95,33,1631
2021-06-10,5.07,5.03,4.94,4.97,66,8175
2021-06-11,5.15,5.15,5.03,5.03,56,3967
2021-06-14,5.2,5.14,5.06,5.2,181,19668
2021-06-15,5.18,4.95,4.94,5.18,215,22816
2021-06-16,5.1,5.0,4.77,4.91,297,55422
2021-06-17,5.21,5.17,5.06,5.06,138,24793
2021-06-18,5.18,4.81,4.8,5.18,228,108809
2021-06-21,4.96,4.89,4.83,4.96,57,38775
2021-06-22,4.85,4.68,4.56,4.85,79,40529
2021-06-23,4.79,4.59,4.42,4.61,92,9286
2021-06-24,5.1,5.03,4.74,4.79,103,18630
2021-06-25,5.08,5.02,4.79,5.0,147,42567
2021-06-28,5.02,4.99,4.72,5.02,37,17727
2021-06-29,4.95,4.91,4.86,4.95,10,805
2021-06-30,5.09,5.09,4.93,4.94,356,22661
2021-07-01,5.1,5.08,5.05,5.09,34,2271
2021-07-02,5.65,5.4,5.09,5.09,51,9001
2021-07-06,5.35,5.11,4.96,5.35,59,10221
2021-07-07,5.23,4.83,4.73,5.23,7,524
2021-07-08,4.96,4.9,4.8,4.8,34,6653
2021-07-09,4.99,4.99,4.86,4.86,105,35614
2021-07-12,4.99,4.99,4.89,4.99,16,887
2021-07-13,5.2,5.05,4.91,4.91,56,10323
2021-07-14,5.03,4.94,4.94,5.03,10,747
2021-07-15,4.97,4.8,4.75,4.97,26,1162
2021-07-16,4.8,4.8,4.62,4.78,18,6674
2021-07-19,4.8,4.72,4.72,4.8,23,2794
