Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,34.99,34.99,34.31,34.35,508,70740
2013-01-03,35.28,34.55,34.43,35.04,237,32709
2013-01-04,34.82,34.74,34.41,34.7,324,39873
2013-01-07,34.47,34.36,34.08,34.39,201,26391
2013-01-08,34.71,34.68,34.14,34.14,320,41413
2013-01-09,34.86,34.73,34.45,34.68,213,24288
2013-01-10,35.02,34.86,34.6,34.85,186,34228
2013-01-11,34.92,34.66,34.51,34.85,187,28665
2013-01-14,37.26,36.95,36.76,37.0,1037,172442
2013-01-15,36.75,36.69,36.17,36.75,270,35329
2013-01-16,36.99,36.97,36.7,36.99,300,51832
2013-01-17,37.8,37.76,36.825,36.99,685,125832
2013-01-18,38.27,38.11,37.45,37.6,397,58333
2013-01-22,38.27,38.2,37.52,37.87,699,104403
2013-01-23,37.74,37.42,37.41,37.74,147,23053
2013-01-24,37.0,36.88,36.76,37.0,264,35559
2013-01-25,37.22,37.05,36.78,37.0,354,49941
2013-01-28,37.07,37.01,36.53,36.62,613,95755
2013-01-29,37.18,37.0,36.71,36.94,217,32702
2013-01-30,37.25,37.02,36.76,37.0,326,54869
2013-01-31,36.99,36.89,36.57,36.71,207,28459
2013-02-01,37.46,37.32,36.83,37.0,299,48141
2013-02-04,37.19,36.85,36.78,37.0,258,51220
2013-02-05,37.1,36.9,36.64,36.94,274,43534
2013-02-06,36.99,36.82,36.62,36.72,347,43403
2013-02-07,37.11,37.0,36.66,36.67,262,46912
2013-02-08,37.3,37.0,36.72,37.0,166,24608
2013-02-11,37.13,37.08,36.92,36.99,203,24812
2013-02-12,37.38,37.07,37.05,37.06,342,66414
2013-02-13,37.53,36.77,35.2,35.22,620,86326
2013-02-14,36.74,36.41,36.15,36.44,433,84694
2013-02-15,36.54,36.2,36.19,36.25,588,71910
2013-02-19,36.53,36.23,36.13,36.32,180,21485
2013-02-20,36.73,36.35,36.28,36.4,230,29745
2013-02-21,36.3,35.95,35.68,36.3,223,29008
2013-02-22,36.28,35.98,35.85,36.07,198,28802
2013-02-25,36.4,35.62,35.59,36.37,361,43755
