Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,25.69,24.96,24.31,24.43,108,20140
2013-01-03,24.72,23.65,23.65,24.72,37,8082
2013-01-04,24.45,24.29,23.89,23.89,25,5989
2013-01-07,24.32,23.74,23.41,24.01,28,6350
2013-01-08,24.13,24.02,23.44,23.75,30,4905
2013-01-09,24.1,24.01,23.31,24.03,70,8725
2013-01-10,24.01,23.87,23.37,24.01,46,6655
2013-01-11,24.07,23.94,23.45,24.0,20,5700
2013-01-14,24.01,23.49,23.41,23.85,21,3842
2013-01-15,23.46,23.37,23.33,23.46,28,4797
2013-01-16,23.51,23.47,23.38,23.38,7,1488
2013-01-17,23.95,23.82,23.65,23.66,30,5033
2013-01-18,23.74,23.64,23.23,23.73,36,10393
2013-01-22,23.95,23.87,23.71,23.71,34,5721
2013-01-23,24.08,23.83,23.83,23.92,38,6573
2013-01-24,24.35,24.3,23.94,23.94,14,2395
2013-01-25,24.5,24.49,24.3,24.5,33,5907
2013-01-28,24.82,24.72,24.46,24.46,38,7260
2013-01-29,25.24,25.2,24.46,24.6,52,8895
2013-01-30,25.2,24.39,24.25,25.2,134,22674
2013-01-31,24.85,24.65,24.34,24.39,31,6194
2013-02-01,24.9,24.69,24.67,24.73,40,5807
2013-02-04,24.56,23.99,23.95,24.5,64,10546
2013-02-05,24.19,23.7,23.62,24.19,87,10433
2013-02-06,23.64,23.58,23.38,23.53,35,5534
2013-02-07,23.76,23.53,23.36,23.64,33,5024
2013-02-08,24.36,24.18,23.54,23.54,42,8201
2013-02-11,24.24,23.99,23.92,24.24,36,5272
2013-02-12,24.02,23.88,23.83,24.0,41,6738
2013-02-13,24.01,23.79,23.78,24.01,43,8069
2013-02-14,23.84,23.53,23.5,23.78,54,7708
2013-02-15,23.8,23.8,23.73,23.73,40,17488
2013-02-19,24.3,24.3,23.86,23.86,46,8562
2013-02-20,24.38,23.76,23.75,24.25,58,15971
2013-02-21,23.75,23.46,23.22,23.75,40,7021
2013-02-22,23.68,23.6,23.4,23.68,24,5424
2013-02-25,23.84,22.97,22.94,23.84,33,6497
2013-02-26,23.21,22.96,22.9,23.15,21,3056
2013-02-27,23.54,23.45,23.0,23.0,51,7921
