Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,11.15,11.14,11.01,11.15,16,2373
2013-01-03,11.15,11.05,11.05,11.15,5,4000
2013-01-04,11.13,11.13,11.07,11.07,2,200
2013-01-07,11.15,11.15,11.12,11.12,16,1659
2013-01-08,11.19,11.19,11.08,11.08,15,2500
2013-01-10,11.25,11.25,11.16,11.16,16,1904
2013-01-15,11.28,11.28,11.28,11.28,2,400
2013-01-16,11.35,11.26,11.26,11.3,7,1517
2013-01-18,11.39,11.39,11.32,11.32,13,1312
2013-01-22,11.55,11.49,11.34,11.34,4,2197
2013-01-23,12.0,11.98,11.64,11.64,40,12495
2013-01-24,12.03,12.03,12.03,12.03,1,100
2013-01-25,12.55,12.55,12.55,12.55,,
2013-01-28,12.61,12.61,12.61,12.61,,
2013-01-29,12.57,12.57,12.57,12.57,1,100
2013-01-30,12.65,12.65,12.51,12.51,3,2300
2013-01-31,12.25,12.18,12.18,12.25,,
2013-02-01,12.29,12.29,12.29,12.29,17,9972
2013-02-04,12.02,11.92,11.92,11.96,11,22624
2013-02-05,11.91,11.91,11.91,11.91,1,300
2013-02-06,12.35,12.35,12.35,12.35,1,100
2013-02-11,12.43,12.43,12.13,12.4,4,450
2013-02-12,12.44,12.44,12.44,12.44,1,300
2013-02-13,12.14,12.14,12.14,12.14,,
2013-02-14,12.42,12.42,12.42,12.42,1,100
2013-02-15,12.45,12.25,12.25,12.45,1,205
2013-02-19,12.45,12.45,12.45,12.45,1,300
2013-02-20,12.35,12.15,12.1,12.35,14,2205
2013-02-21,12.13,12.13,12.12,12.12,2,900
2013-02-22,12.42,12.25,12.2,12.2,7,1211
2013-02-25,12.24,11.92,11.92,12.24,3,1473
2013-02-26,12.42,12.42,12.12,12.12,2,200
2013-02-27,12.23,12.17,11.99,12.23,11,3920
2013-02-28,12.2,12.2,12.18,12.18,1,100
2013-03-01,12.43,12.43,12.27,12.27,2,939
2013-03-04,12.49,12.49,12.4,12.4,1,800
2013-03-05,12.59,12.54,12.05,12.59,3,300
2013-03-06,12.59,12.59,12.59,12.59,1,100
2013-03-07,12.6,12.6,12.57,12.57,10,1200
2013-03-08,12.65,12.65,12.57,12.57,21,2300
2013-03-11,12.64,12.64,12.64,12.64,1,3988
2013-03-12,12.67,12.67,12.58,12.58,5,800
2013-03-14,12.64,12.64,12.47,12.47,1,100
2013-03-15,12.69,12.45,12.45,12.69,3,546
2013-03-18,12.93,12.49,12.49,12.93,1,300
2013-03-19,12.73,12.45,12.45,12.73,2,1271
2013-03-20,12.62,12.62,12.62,12.62,2,300
2013-03-21,12.75,12.72,12.72,12.74,1,112
2013-03-22,12.75,12.75,12.08,12.08,5,538
2013-03-25,12.85,12.85,12.8,12.81,2,200
2013-03-26,12.91,12.91,12.9,12.9,2,200
2013-03-27,13.05,12.84,12.84,13.05,3,465
2013-03-28,12.9,12.9,12.86,12.86,1,215
2013-04-01,14.5,13.79,12.89,12.89,1,100
2013-04-02,12.99,12.78,12.77,12.99,4,900
2013-04-03,12.8,12.8,12.8,12.8,1,100
2013-04-04,12.83,12.83,12.83,12.83,,
2013-04-05,12.84,12.84,12.84,12.84,2,200
2013-04-08,12.92,12.09,12.09,12.92,1,100
2013-04-09,12.73,12.67,12.67,12.73,3,682
2013-04-10,12.75,12.66,12.66,12.67,5,500
2013-04-11,12.7,12.68,12.68,12.7,,
2013-04-12,12.58,12.58,12.58,12.58,1,300
2013-04-15,12.98,12.85,12.55,12.98,2,1987
2013-04-17,12.35,12.25,12.25,12.35,2,200
2013-04-18,12.1,12.1,12.1,12.1,,
2013-04-19,12.8,12.79,12.79,12.8,2,240
2013-04-23,12.73,12.59,12.59,12.73,3,1193
2013-04-24,12.82,12.82,12.2,12.53,4,800
2013-04-25,12.5,12.5,12.36,12.36,,
2013-04-26,12.95,12.95,12.24,12.24,1,300
2013-04-29,12.21,12.21,12.2,12.2,,
2013-04-30,12.24,12.24,12.24,12.24,1,100
2013-05-01,12.8,12.8,12.15,12.15,2,1000
2013-05-02,12.48,12.48,12.48,12.48,1,300
2013-05-06,12.85,12.85,12.71,12.71,3,638
2013-05-09,12.85,12.85,12.84,12.85,6,2232
2013-05-10,12.82,12.82,12.82,12.82,,
2013-05-13,12.74,12.74,12.74,12.74,,
2013-05-15,12.8,12.8,12.8,12.8,1,300
2013-05-16,13.47,12.8,12.8,12.93,7,2061
2013-05-17,12.75,12.75,12.75,12.75,1,337
2013-05-20,13.06,12.8,12.79,13.06,7,1615
2013-05-21,12.84,12.82,12.82,12.84,1,100
2013-05-22,12.82,12.8,12.8,12.8,13,2099
2013-05-23,12.97,12.97,12.82,12.9,4,400
2013-05-24,12.99,12.9,12.83,12.83,3,400
2013-05-29,12.98,12.98,12.97,12.97,,
2013-05-30,12.99,12.99,12.98,12.98,3,455
2013-05-31,13.17,13.17,12.99,12.99,7,1421
2013-06-03,13.18,13.18,13.0,13.0,4,400
2013-06-04,13.19,13.19,13.11,13.11,3,300
2013-06-05,13.18,13.18,13.1,13.1,2,400
2013-06-07,13.19,13.15,13.01,13.19,4,918
2013-06-10,13.16,13.16,13.16,13.16,1,100
2013-06-11,13.15,13.15,13.04,13.14,13,2072
2013-06-12,13.18,13.18,13.05,13.11,5,2024
2013-06-13,13.05,12.87,12.87,13.05,5,559
2013-06-14,12.88,12.88,12.88,12.88,1,200
2013-06-17,12.9,12.9,12.88,12.88,1,100
2013-06-18,12.99,12.98,12.95,12.99,4,500
2013-06-19,13.0,13.0,12.91,12.91,,
2013-06-20,12.995,12.995,12.9,12.92,4,900
2013-06-21,13.0,13.0,12.99,12.99,1,500
2013-06-24,12.92,12.92,12.91,12.91,,
2013-06-25,13.08,13.08,13.08,13.08,,
2013-06-26,13.07,12.94,12.94,13.07,2,388
2013-06-27,12.93,12.93,12.93,12.93,,
2013-06-28,13.15,13.0,13.0,13.15,1,606
2013-07-01,13.15,12.97,12.96,13.15,8,1019
2013-07-02,13.0,13.0,12.93,12.93,3,1094
2013-07-03,12.99,12.99,12.9,12.9,1,300
2013-07-05,12.99,12.9,12.9,12.99,2,400
2013-07-08,12.99,12.99,12.99,12.99,1,100
2013-07-09,13.0,12.9,12.9,13.0,8,1461
2013-07-10,12.99,12.99,12.91,12.91,1,100
2013-07-11,13.01,12.85,12.85,13.01,13,5309
2013-07-12,12.98,12.98,12.85,12.86,7,1100
2013-07-15,13.08,12.95,12.9,12.98,27,15345
2013-07-16,13.11,13.11,12.95,12.95,32,7429
