Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-05-05,14.45,12.25,12.12,14.0,1614,968848
2017-05-08,12.85,12.79,12.25,12.26,116,17369
2017-05-09,13.34,13.34,12.67,12.8,80,9639
2017-05-10,13.73,13.73,13.25,13.35,96,8029
2017-05-11,13.93,13.89,13.71,13.93,65,5934
2017-05-12,13.88,13.78,13.5,13.51,70,7429
2017-05-15,13.99,13.91,13.76,13.88,74,7730
2017-05-16,13.91,13.78,13.55,13.71,129,12531
2017-05-17,13.77,13.73,13.49,13.75,66,7208
2017-05-18,15.7,14.95,13.63,13.63,134,14914
2017-05-19,15.06,15.0,14.86,14.95,72,42150
2017-05-22,15.05,14.97,14.92,15.05,23,2300
2017-05-23,14.95,14.95,14.3,14.56,78,7147
2017-05-24,15.0,14.5,14.08,15.0,82,7965
2017-05-25,14.83,14.57,14.25,14.54,112,12912
2017-05-26,14.62,14.48,14.46,14.62,58,6138
2017-05-30,14.5,13.42,13.31,14.5,137,28813
2017-05-31,13.5,12.75,12.6,13.36,90,10793
2017-06-01,12.74,11.68,11.58,12.71,136,12202
2017-06-02,12.35,12.15,11.55,11.56,164,26368
2017-06-05,12.61,12.4,12.1,12.27,203,25652
2017-06-06,12.42,11.6,11.49,12.3,182,23378
2017-06-07,11.89,11.38,10.87,11.69,246,25972
2017-06-08,12.44,12.44,10.8,11.29,229,19357
2017-06-09,13.93,13.84,12.0,12.5,230,26289
2017-06-12,13.93,13.21,12.48,13.84,120,11803
2017-06-13,14.5,14.4,12.21,13.11,227,18513
2017-06-14,14.54,13.91,13.7,14.54,137,11748
2017-06-15,14.27,13.85,13.74,13.78,88,7816
2017-06-16,13.99,13.26,13.06,13.85,158,83471
2017-06-19,13.68,13.2,12.85,13.34,124,12399
2017-06-20,13.63,12.83,12.54,13.14,98,11419
2017-06-21,12.9,12.6,12.26,12.79,125,17283
2017-06-22,13.16,12.66,12.35,12.64,120,14353
2017-06-23,12.97,11.84,11.22,12.74,430,458590
2017-06-26,12.05,11.45,10.95,11.97,350,32432
2017-06-27,11.57,11.01,10.41,11.5,415,57706
2017-06-28,10.94,10.6,10.23,10.94,116,18996
2017-06-29,10.76,10.7,10.42,10.53,422,46921
2017-06-30,11.0,10.49,10.38,10.72,108,9847
2017-07-03,10.76,10.23,10.08,10.59,84,11617
2017-07-05,10.51,10.2,9.97,10.15,242,22584
