Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-10-28,10.1,10.07,10.06,10.09,477,3216435
2021-10-29,10.07,10.07,10.05,10.05,17,51645
2021-11-01,10.06,10.06,10.06,10.06,6,45
2021-11-02,10.1,10.1,10.08,10.08,31,58358
2021-11-03,10.13,10.1,10.06,10.06,38,4147
2021-11-04,10.09,10.09,10.09,10.09,17,108883
2021-11-05,10.12,10.12,10.09,10.1,24,14055
2021-11-08,10.1,10.1,10.1,10.1,3,16
2021-11-09,10.06,10.06,10.06,10.06,2,1469
2021-11-11,10.11,10.11,10.08,10.08,18,2550
2021-11-12,10.15,10.12,10.12,10.15,6,11800
2021-11-16,10.15,10.15,10.06,10.06,5,1040
2021-11-17,10.13,10.13,10.1,10.1,4,129
2021-11-22,10.15,10.1,10.05,10.05,4,3945
2021-11-23,10.15,10.15,10.135,10.15,22,16726
2021-11-26,10.15,10.15,10.15,10.15,1,25
2021-11-29,10.15,10.15,10.15,10.15,2,192
2021-12-02,10.08,10.08,10.08,10.08,2,200
2021-12-03,10.12,10.09,10.09,10.12,9,3900
2021-12-07,10.09,10.09,10.09,10.09,1,5
2021-12-08,10.12,10.12,10.115,10.115,2,102
2021-12-09,10.11,10.11,10.04,10.04,3,209
2021-12-10,10.08,10.08,10.08,10.08,1,200
2021-12-14,10.1,10.06,10.06,10.1,27,95300
2021-12-15,10.06,10.06,10.06,10.06,1,7
2021-12-16,10.1,10.1,10.06,10.06,2,33
2021-12-17,10.1,10.1,10.03,10.03,3,282
2021-12-20,10.1,10.07,10.07,10.1,2,40
2021-12-22,10.1,10.1,10.07,10.07,2,74
2021-12-23,10.1,10.1,10.04,10.04,6,413
2021-12-27,10.14,10.14,10.13,10.13,2,19
2021-12-28,10.13,10.1,10.02,10.02,16,3917
2021-12-29,10.1,10.1,10.1,10.1,6,14645
2021-12-30,10.1,10.1,10.0,10.0,9,1147
2021-12-31,10.15,10.15,10.09,10.09,6,716
2022-01-03,10.12,10.08,10.07,10.12,8,12423
2022-01-05,10.11,10.11,10.02,10.02,57,10362
2022-01-06,10.11,10.11,10.11,10.11,4,2000
2022-01-07,10.13,10.13,10.11,10.11,8,3017
2022-01-10,10.11,10.11,10.11,10.11,12,3665
2022-01-12,10.12,10.12,10.12,10.12,8,5400
2022-01-19,10.14,10.14,10.14,10.14,1,76
2022-01-21,10.1,10.1,10.1,10.1,7,4884
2022-01-24,10.11,10.11,10.1,10.1,2,200
2022-01-25,10.12,10.12,10.12,10.12,1,5
2022-01-27,10.12,10.1,10.1,10.12,3,2200
2022-01-28,10.1,10.1,10.1,10.1,18,28398
2022-02-01,10.08,10.08,10.08,10.08,1,300
2022-02-02,10.08,10.08,10.08,10.08,2,5000
2022-02-07,10.15,10.15,10.07,10.08,4,5930
2022-02-10,10.15,10.15,10.15,10.15,1,1
2022-02-14,10.06,10.06,10.06,10.06,1,6
2022-02-17,10.06,10.06,10.06,10.06,1,6
2022-02-18,10.06,10.06,10.06,10.06,1,6
2022-02-22,10.15,10.15,10.15,10.15,1,5
2022-02-23,10.15,10.15,10.14,10.14,2,22
2022-02-25,10.06,10.06,10.06,10.06,1,5
2022-03-02,10.07,10.06,10.06,10.07,2,100
2022-03-04,10.12,10.12,10.12,10.12,1,15
2022-03-08,10.14,10.09,10.09,10.12,12,4214
2022-03-11,10.14,10.14,10.14,10.14,1,5
2022-03-14,10.36,10.01,10.01,10.36,4,400
2022-03-16,9.99,9.99,9.99,9.99,1,5
2022-03-24,10.04,10.04,10.04,10.04,1,2
2022-03-29,10.07,10.07,10.07,10.07,1,5
2022-04-04,10.12,10.12,10.11,10.11,2,63
2022-04-05,10.12,10.12,10.12,10.12,1,58
2022-04-06,10.12,10.12,10.12,10.12,1,60
2022-04-07,10.12,10.12,10.12,10.12,1,60
2022-04-08,10.12,10.12,10.12,10.12,1,60
2022-04-11,10.15,10.15,10.15,10.15,1,60
2022-04-13,10.16,10.16,10.12,10.12,3,93
2022-04-14,10.06,10.06,10.06,10.06,1,85
2022-04-18,10.14,10.14,10.14,10.14,1,85
2022-04-19,10.13,10.13,10.13,10.13,1,49
2022-04-20,10.18,10.18,10.18,10.18,1,2
2022-04-21,10.18,10.18,10.18,10.18,1,15
2022-04-25,10.15,10.1,10.1,10.15,2,100
2022-04-26,10.11,10.11,10.11,10.11,1,4
2022-04-27,10.14,10.14,10.06,10.06,7,6205
2022-04-29,10.07,10.07,10.07,10.07,1,295
2022-05-02,10.06,10.06,10.06,10.06,1,2
2022-05-04,10.11,10.11,10.11,10.11,1,10
2022-05-11,10.04,10.04,10.04,10.04,4,7000
2022-05-24,10.05,10.05,10.05,10.05,1,6
2022-06-16,10.065,10.03,10.03,10.065,3,5480
2022-07-20,10.1,10.1,10.08,10.1,50,4993
2022-07-25,10.15,10.15,10.15,10.15,1,100
2022-07-29,10.15,10.15,10.15,10.15,1,3000
2022-08-11,10.13,10.12,10.12,10.13,3,12500
2022-08-18,10.13,10.13,10.13,10.13,1,3
2022-08-24,10.13,10.13,10.13,10.13,1,2
2022-09-01,10.12,10.12,10.12,10.12,35,6800
2022-09-07,10.16,10.15,10.15,10.15,30,9405
2022-09-08,10.14,10.14,10.14,10.14,23,19500
2022-09-09,10.17,10.16,10.16,10.16,47,5172
2022-09-12,10.16,10.16,10.16,10.16,1,11
2022-09-14,10.2,10.19,10.19,10.2,12,1100
2022-09-20,10.18,10.18,10.18,10.18,1,1
2022-09-21,10.3,10.3,10.3,10.3,1,80
2022-09-22,10.32,10.32,10.3,10.3,5,400
2022-10-03,10.21,10.16,10.16,10.2,3,300
2022-10-04,10.34,10.21,10.21,10.34,2,180
2022-10-11,10.27,10.27,10.19,10.19,2,101
2022-10-12,10.27,10.27,10.27,10.27,1,1
2022-10-18,10.35,10.35,10.35,10.35,1,100
2022-10-21,10.2,10.2,10.2,10.2,5,68
2022-10-24,10.4,10.4,10.3,10.3,2,99
2022-11-11,10.31,10.31,9.95,9.95,3,3
2022-11-15,11.18,10.95,9.95,9.95,18,1024
2022-11-18,10.26,10.26,10.26,10.26,1,50
2022-11-23,10.34,10.34,10.1,10.1,2,8
2022-11-25,11.35,11.35,11.35,11.35,1,2
