Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-04-17,20.0,18.99,18.06,18.5,7667,1736763
2019-04-18,19.53,18.5,18.5,18.65,1547,238464
2019-04-22,19.0,18.79,18.52,18.54,476,65938
2019-04-23,19.5,19.49,18.75,18.9,583,70269
2019-04-24,19.56,18.98,18.75,19.56,264,30830
2019-04-25,19.39,19.11,18.85,18.99,320,39536
2019-04-26,19.39,19.16,18.93,19.15,132,19910
2019-04-29,20.46,19.98,19.17,19.21,289,33258
2019-04-30,20.1,19.98,19.275,19.92,162,15364
2019-05-01,20.14,20.0,19.86,20.14,77,8474
2019-05-02,19.99,19.88,19.42,19.78,142,16387
2019-05-03,19.99,19.89,19.51,19.99,131,7533
2019-05-06,19.94,19.8,19.43,19.43,91,13330
2019-05-07,19.83,19.39,19.24,19.78,110,15437
2019-05-08,19.89,19.65,19.2,19.29,89,7508
2019-05-09,19.66,19.29,19.11,19.49,62,6409
2019-05-10,19.48,19.11,18.99,19.11,175,13389
2019-05-13,19.74,19.33,18.5,18.5,135,11283
2019-05-14,20.28,20.0,19.26,19.4,123,8571
2019-05-15,20.6,20.19,19.94,20.6,299,29916
2019-05-16,20.5,19.77,19.75,20.09,436,44721
2019-05-17,22.5,22.3,20.42,20.68,624,63941
2019-05-20,23.98,23.38,21.64,21.96,609,55037
2019-05-21,24.73,23.46,23.445,23.57,489,36431
2019-05-22,24.16,23.62,23.31,23.31,239,14011
2019-05-23,23.95,22.73,22.67,23.52,443,17165
2019-05-24,24.6,24.36,22.82,22.82,501,25966
2019-05-28,24.4,23.75,23.68,24.19,276,18250
2019-05-29,24.19,24.13,23.31,23.5,478,17341
2019-05-30,24.0,23.7,22.93,23.87,391,19026
2019-05-31,24.0,23.2,22.5,23.51,335,21284
2019-06-03,23.74,23.39,22.95,23.29,445,26519
2019-06-04,23.84,23.71,22.68,23.47,238,14174
2019-06-05,23.83,23.74,23.23,23.83,263,10418
2019-06-06,23.72,23.41,23.23,23.72,198,10651
2019-06-07,23.74,22.91,22.85,23.48,219,17670
2019-06-10,23.81,23.41,23.01,23.01,616,27922
