Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-11-16,7.85,6.26,6.12,6.99,479,52536
2022-11-17,6.44,6.08,5.41,5.75,263,28774
2022-11-18,5.87,5.75,5.61,5.68,146,16558
2022-11-21,5.96,5.96,5.63,5.74,16,841
2022-11-22,5.95,5.95,5.75,5.9,10,529
2022-11-23,5.81,5.8,5.68,5.81,8,630
2022-11-25,5.75,5.75,5.75,5.75,1,1774
2022-11-28,5.75,5.71,5.71,5.71,39,5925
2022-11-29,5.96,5.71,5.605,5.61,50,5250
2022-11-30,5.89,5.7,5.66,5.68,50,3334
2022-12-01,5.8,5.68,5.66,5.66,15,1281
2022-12-05,5.85,5.85,5.85,5.85,1,4
2022-12-06,5.66,5.63,5.63,5.66,6,273
2022-12-07,5.75,5.75,5.75,5.75,2,101
2022-12-08,5.9,5.9,5.75,5.75,6,567
2022-12-09,5.95,5.95,5.95,5.95,1,43
2022-12-13,5.81,5.8,5.8,5.81,3,258
2022-12-14,6.05,6.015,5.95,6.03,10,1818
2022-12-15,5.98,5.9,5.9,5.98,4,350
2022-12-16,5.99,5.94,5.94,5.99,2,1010
2022-12-19,6.07,5.84,5.84,6.07,12,2988
2022-12-20,5.74,5.72,5.71,5.74,5,1543
2022-12-21,5.71,5.71,5.71,5.71,1,29
2022-12-22,5.71,5.71,5.71,5.71,1,500
2022-12-23,5.71,5.69,5.69,5.71,21,544
2022-12-27,5.71,5.56,5.55,5.55,21,7100
2022-12-28,5.56,5.56,5.56,5.56,1,100
2022-12-29,5.7,5.56,5.55,5.55,6,1033
2023-01-03,5.6,5.6,5.55,5.55,8,910
2023-01-04,5.82,5.65,5.65,5.74,9,6410
2023-01-06,6.15,6.15,5.75,5.75,12,822
2023-01-09,6.18,6.1,6.1,6.18,3,203
