Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,12.1,11.94,11.75,12.0,347,72060
2013-01-03,12.04,11.98,11.93,11.97,107,19252
2013-01-04,12.05,11.92,11.86,12.05,88,20936
2013-01-07,11.9,11.67,11.65,11.83,65,11047
2013-01-08,11.73,11.68,11.47,11.63,229,42380
2013-01-09,11.82,11.8,11.63,11.68,192,36189
2013-01-10,12.01,11.95,11.66,11.8,192,36152
2013-01-11,12.04,12.0,11.93,11.98,120,19785
2013-01-14,12.04,11.79,11.77,11.95,57,11170
2013-01-15,11.74,11.67,11.48,11.74,138,22420
2013-01-16,11.62,11.58,11.5,11.62,129,45263
2013-01-17,11.62,11.49,11.45,11.59,124,19732
2013-01-18,11.46,11.34,11.28,11.45,206,51051
2013-01-22,11.44,11.36,11.28,11.31,185,40018
2013-01-23,11.4,11.3,11.21,11.31,288,36643
2013-01-24,11.61,11.58,11.34,11.34,374,43953
2013-01-25,11.63,11.53,11.45,11.63,297,41195
2013-01-28,11.87,11.84,11.48,11.51,274,38694
2013-01-29,11.97,11.96,11.74,11.84,335,52553
2013-01-30,12.0,11.88,11.83,11.91,218,80952
2013-01-31,12.17,11.96,11.91,11.91,254,46992
2013-02-01,12.3,12.05,11.97,12.04,161,30348
2013-02-04,11.98,11.59,11.57,11.94,152,26956
2013-02-05,11.63,11.51,11.38,11.63,236,32967
2013-02-06,11.58,11.57,11.37,11.43,102,14547
2013-02-07,11.6,11.27,11.16,11.6,130,20154
2013-02-08,11.31,11.24,11.14,11.31,248,37384
2013-02-11,11.83,11.82,11.27,11.27,139,20184
2013-02-12,11.76,11.69,11.64,11.75,102,17242
2013-02-13,11.74,11.71,11.59,11.67,112,28419
2013-02-14,12.07,12.04,11.7,11.7,95,15614
2013-02-15,12.22,11.96,11.91,12.1,119,40252
2013-02-19,12.3,12.28,11.94,11.96,135,23576
2013-02-20,12.3,12.09,12.09,12.28,123,35506
2013-02-21,12.08,11.72,11.66,12.06,178,25798
2013-02-22,12.14,12.14,11.7,11.81,80,16289
2013-02-25,12.24,11.67,11.62,12.24,174,27187
2013-02-26,11.87,11.62,11.53,11.76,189,23755
2013-02-27,11.78,11.64,11.47,11.59,128,20580
2013-02-28,11.745,11.58,11.48,11.62,203,31847
2013-03-01,11.97,11.92,11.46,11.46,180,28844
2013-03-04,11.86,11.69,11.58,11.86,188,29963
2013-03-05,11.96,11.95,11.66,11.72,167,29625
2013-03-06,11.95,11.74,11.67,11.95,68,9794
2013-03-07,12.37,12.32,11.8,11.8,288,52309
2013-03-08,12.38,12.22,12.03,12.38,192,32775
2013-03-11,12.19,11.98,11.35,12.15,224,32277
