Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-08-26,10.48,4.91,4.91,6.5,18635,2569373
2022-08-29,4.38,3.65,3.5,4.38,2472,436366
2022-08-30,5.17,3.77,3.55,3.98,5131,826070
2022-08-31,3.53,2.96,2.83,3.51,1175,207592
2022-09-01,4.15,3.5,2.815,3.51,7727,1181638
2022-09-02,6.5,5.17,4.51,5.7,46931,7630509
2022-09-06,4.64,3.69,3.38,4.59,2759,391522
2022-09-07,4.04,3.58,3.29,3.7,627,105538
2022-09-08,3.5,3.17,3.08,3.3,837,135982
2022-09-09,3.32,3.17,2.9,3.11,2176,405757
2022-09-12,5.46,4.33,3.17,3.4,15044,3175140
2022-09-13,5.46,4.22,3.69,4.12,5986,1018726
2022-09-14,4.33,4.07,3.82,4.06,1452,170554
2022-09-15,4.07,3.88,3.8,4.01,497,52083
2022-09-16,3.83,3.16,3.15,3.83,585,70095
2022-09-19,3.41,3.12,3.1,3.18,257,28790
2022-09-20,3.23,3.11,2.99,3.18,518,49347
2022-09-21,3.2,2.91,2.9,3.09,464,63391
2022-09-22,2.92,2.33,2.33,2.92,1672,143227
2022-09-23,2.42,2.27,2.12,2.26,319,27256
2022-09-26,2.34,2.17,2.04,2.26,285,30034
2022-09-27,3.37,2.57,2.15,2.15,5334,1152760
2022-09-28,2.67,2.52,2.31,2.36,704,112235
2022-09-29,2.5,2.45,2.27,2.47,820,60814
2022-09-30,2.84,2.4,2.36,2.36,464,61853
2022-10-03,2.43,2.3,2.22,2.43,220,24597
2022-10-04,2.53,2.36,2.3,2.36,256,34406
2022-10-05,2.5,2.45,2.25,2.42,356,39769
2022-10-06,2.75,2.54,2.33,2.54,519,80524
2022-10-07,2.54,2.41,2.33,2.5,256,29554
2022-10-10,2.39,2.33,2.29,2.36,107,12557
2022-10-11,2.38,2.38,2.3,2.35,40,2713
2022-10-12,2.39,2.28,2.26,2.31,85,11826
2022-10-13,2.26,2.12,2.03,2.25,82,16365
2022-10-14,2.2,2.19,2.1,2.13,192,14044
2022-10-17,2.36,2.21,2.12,2.36,245,24000
2022-10-18,2.5,2.44,2.16,2.31,173,24273
2022-10-19,3.03,2.715,2.38,2.39,848,150813
2022-10-20,3.65,3.15,2.63,2.63,2179,327477
2022-10-21,3.31,2.95,2.72,3.03,500,78820
2022-10-24,3.09,2.53,2.495,3.09,838,56036
2022-10-25,2.5,2.35,2.27,2.5,281,39775
2022-10-26,2.52,2.39,2.28,2.33,184,20219
2022-10-27,2.34,2.18,2.18,2.34,275,36800
2022-10-28,2.28,2.09,2.07,2.28,172,23658
2022-10-31,2.14,2.1,2.02,2.14,117,8777
2022-11-01,2.15,1.94,1.94,2.1,510,70599
2022-11-02,1.8,1.71,1.7,1.8,205,35173
2022-11-03,1.78,1.78,1.71,1.71,76,10345
2022-11-04,1.78,1.725,1.72,1.78,67,13538
2022-11-07,1.74,1.61,1.53,1.74,105,22652
2022-11-08,1.62,1.54,1.54,1.62,95,19972
2022-11-09,1.88,1.6,1.385,1.53,767,181989
2022-11-10,1.53,1.4,1.36,1.53,239,28848
2022-11-11,1.51,1.45,1.39,1.4,143,19623
2022-11-14,1.59,1.53,1.48,1.48,73,14243
2022-11-15,1.78,1.74,1.51,1.57,418,42389
2022-11-16,1.975,1.72,1.69,1.71,160,16061
2022-11-17,1.71,1.55,1.5,1.71,105,9932
2022-11-18,2.64,2.13,2.065,2.26,11510,1968507
2022-11-21,2.31,2.19,1.87,1.99,607,111269
2022-11-22,2.29,2.01,1.97,2.14,361,36804
2022-11-23,2.18,2.09,1.65,1.97,510,75936
2022-11-25,2.25,2.17,1.85,2.02,288,31091
2022-11-28,2.45,2.45,2.2,2.3,382,79368
2022-11-29,2.57,2.14,2.11,2.57,327,80837
2022-11-30,2.49,2.39,2.14,2.14,414,77068
2022-12-01,2.84,2.7,2.27,2.4,745,123481
2022-12-02,3.01,2.8,2.46,2.56,782,149042
2022-12-05,2.92,2.76,2.6,2.92,279,55261
2022-12-06,2.84,2.24,2.24,2.76,332,42972
2022-12-07,2.21,2.15,2.11,2.17,116,12536
2022-12-08,2.46,2.38,2.11,2.11,259,42463
2022-12-09,2.4,2.07,1.97,2.4,172,27412
2022-12-12,2.93,2.84,2.11,2.11,889,184847
2022-12-13,2.91,2.29,2.225,2.91,1307,190012
2022-12-14,2.23,2.09,2.08,2.17,300,37234
2022-12-15,2.08,1.9,1.9,2.08,289,34486
2022-12-16,1.96,1.85,1.85,1.96,180,53352
2022-12-19,1.79,1.71,1.525,1.79,333,38200
2022-12-20,1.74,1.43,1.43,1.65,207,40229
2022-12-21,1.51,1.43,1.38,1.4,89,14682
2022-12-22,1.47,1.46,1.37,1.45,237,29572
2022-12-23,1.49,1.4,1.38,1.42,67,11895
2022-12-27,1.78,1.66,1.37,1.37,323,41395
2022-12-28,1.88,1.88,1.67,1.7,353,76257
2022-12-29,2.11,2.04,1.81,1.85,426,68101
2022-12-30,2.22,2.03,1.86,2.08,272,28817
2023-01-03,2.01,1.92,1.78,2.01,300,19268
2023-01-04,2.2,2.15,1.975,2.01,183,28225
2023-01-05,2.31,2.27,1.94,2.1,350,70767
2023-01-06,2.4,2.36,2.16,2.21,348,45523
2023-01-09,2.59,2.47,2.06,2.4,343,48142
2023-01-10,2.58,2.38,2.305,2.58,141,15500
