Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-11-05,9.9,9.9,9.9,9.9,1,1
2020-11-06,10.0,10.0,10.0,10.0,2,7
2020-11-09,10.0,10.0,10.0,10.0,1,3
2020-11-10,9.9,9.89,9.89,9.9,3,13
2020-11-11,9.89,9.89,9.89,9.89,1,5
2020-11-13,9.9,9.9,9.9,9.9,2,30
2020-11-17,9.9,9.9,9.9,9.9,3,195
2020-11-18,9.9,9.9,9.9,9.9,1,100
2020-11-20,9.9,9.9,9.9,9.9,3,300
2020-11-23,9.9,9.9,9.9,9.9,1,100
2020-11-30,11.38,10.0,10.0,11.38,17,2303
2020-12-02,10.05,10.05,10.05,10.05,1,1
2020-12-04,10.02,10.0,10.0,10.02,2,600
2020-12-07,10.89,10.29,10.2,10.89,21,2017
2020-12-08,10.3,10.3,10.06,10.22,109,10237
2020-12-09,10.3,10.07,10.05,10.15,27,8176
2020-12-10,10.14,10.14,10.06,10.06,40,5303
2020-12-11,10.23,10.04,10.04,10.23,8,2102
2020-12-14,10.23,10.0,9.93,10.23,13,6827
2020-12-15,10.01,10.01,10.01,10.01,1,1
2020-12-18,,,,,2,200
2020-12-21,10.02,10.02,10.02,10.02,1,200
2020-12-22,10.09,10.0,9.95,10.09,21,2616
2020-12-23,10.25,10.19,10.19,10.25,3,507
2020-12-24,10.24,10.24,10.24,10.24,1,18
2020-12-28,10.4,10.4,10.25,10.25,2,1900
2020-12-29,10.32,10.13,10.13,10.32,168,15509
2020-12-30,10.15,10.12,10.12,10.15,6,580
2021-01-04,10.06,10.06,10.06,10.06,1,313
2021-01-05,10.48,10.24,10.1,10.48,10,5422
2021-01-06,10.72,10.72,10.19,10.49,6,875
2021-01-07,10.68,10.17,10.17,10.68,2,105
2021-01-08,10.3,10.27,10.22,10.3,13,721
2021-01-11,10.5,10.4,10.26,10.26,7,2395
2021-01-12,10.68,10.33,10.23,10.68,10,1315
2021-01-13,10.55,10.55,10.24,10.41,132,13081
2021-01-14,10.63,10.44,10.34,10.63,147,25173
2021-01-15,10.44,10.44,10.33,10.44,82,24687
2021-01-19,10.42,10.38,10.3,10.35,15,5974
2021-01-20,10.345,10.345,10.33,10.33,2,52
2021-01-21,10.8,10.36,10.32,10.6,29,5504
2021-01-22,10.43,10.4,10.26,10.31,18,2423
2021-01-25,10.48,10.265,10.24,10.48,52,9878
2021-01-26,10.34,10.21,10.21,10.34,21,6011
2021-01-27,10.17,10.05,10.05,10.15,785,32064
2021-01-28,10.24,10.24,10.08,10.08,144,934
2021-01-29,10.22,10.22,10.12,10.12,2,550
2021-02-01,10.66,10.66,10.28,10.28,15,1499
2021-02-02,10.6,10.4,10.4,10.6,54,7127
2021-02-03,10.51,10.35,10.34,10.5,30,3081
2021-02-04,10.31,10.27,10.27,10.31,6,710
2021-02-05,10.3,10.3,10.3,10.3,2,200
2021-02-08,10.36,10.18,10.14,10.25,298,26156
2021-02-09,10.35,10.35,10.24,10.24,80,4500
2021-02-10,10.49,10.37,10.3,10.49,41,3877
2021-02-11,10.48,10.36,10.35,10.48,28,8136
2021-02-12,10.4,10.31,10.31,10.4,202,3464
2021-02-16,10.4,10.3,10.3,10.4,16,12081
2021-02-17,10.4,10.38,10.38,10.4,9,1787
2021-02-18,25.0,22.41,17.0,18.2,59759,7607352
2021-02-19,22.39,20.49,19.75,20.26,6522,854454
2021-02-22,21.4,17.71,17.36,20.13,6304,692399
2021-02-23,17.4,15.06,14.54,16.56,5899,1072877
2021-02-24,17.38,16.49,15.5,15.87,2927,520831
2021-02-25,16.3,14.4,13.56,16.1,3400,485483
2021-02-26,15.18,14.32,13.9,15.1,2002,180895
2021-03-01,15.28,14.65,14.09,15.28,1844,207456
2021-03-02,14.53,13.68,13.3,14.53,1374,151362
2021-03-03,13.7,12.9,12.42,13.58,1934,240757
2021-03-04,13.19,11.67,11.17,12.89,2802,368398
2021-03-05,13.28,13.21,10.95,12.0,2183,357341
2021-03-08,13.15,12.08,11.81,12.67,1375,228379
2021-03-09,13.11,13.01,12.115,12.47,1076,144014
2021-03-10,14.05,13.24,12.97,13.23,911,173231
2021-03-11,13.85,13.64,13.2,13.79,530,58200
2021-03-12,14.0,13.96,12.98,13.5,373,84528
2021-03-15,14.53,14.41,13.51,13.7,588,89141
2021-03-16,14.7,13.12,12.95,14.7,760,136203
2021-03-17,13.61,13.08,12.65,12.76,332,58381
2021-03-18,13.24,12.73,11.81,12.93,1299,197744
2021-03-19,13.2,12.8,12.55,12.77,264,29119
2021-03-22,13.31,12.75,12.62,13.05,372,65400
2021-03-23,12.72,12.06,11.9,12.7,693,80818
2021-03-24,12.17,11.27,11.17,12.1,761,101659
2021-03-25,11.31,11.23,10.77,11.0,913,85897
2021-03-26,12.48,12.3,11.17,11.24,953,127816
2021-03-29,12.4,12.05,11.6,12.3,414,44678
2021-03-30,12.2,11.89,11.35,12.08,383,72758
2021-03-31,12.33,11.92,11.78,12.33,520,72251
2021-04-01,12.99,12.65,11.96,12.36,800,114219
2021-04-05,13.18,12.44,12.34,13.18,493,65500
2021-04-06,12.75,12.04,11.93,12.75,614,70822
2021-04-07,12.21,11.79,11.52,12.01,681,53495
2021-04-08,11.95,11.76,11.57,11.85,222,21387
2021-04-09,11.74,11.72,11.34,11.5,194,55307
2021-04-12,11.77,11.53,11.29,11.7,339,42378
2021-04-13,11.5,11.4,11.15,11.44,261,25483
2021-04-14,11.31,11.15,11.1,11.31,313,44832
2021-04-15,11.15,10.78,10.6,11.15,508,96178
2021-04-16,10.81,10.59,10.52,10.76,404,49313
2021-04-19,10.55,10.45,10.27,10.51,457,84032
2021-04-20,10.36,10.22,10.16,10.35,533,82126
2021-04-21,10.7,10.67,10.07,10.15,431,64544
2021-04-22,10.71,10.63,10.41,10.67,164,24269
2021-04-23,10.63,10.44,10.34,10.63,201,28260
2021-04-26,10.64,10.48,10.42,10.58,336,28493
2021-04-27,10.53,10.5,10.39,10.52,154,32123
2021-04-28,10.47,10.38,10.35,10.45,232,32661
2021-04-29,10.4,10.39,10.23,10.4,232,55428
2021-04-30,10.47,10.39,10.25,10.34,130,17131
2021-05-03,10.44,10.27,10.24,10.42,218,52205
2021-05-04,10.28,10.28,10.16,10.2,215,72447
2021-05-05,10.36,10.33,10.25,10.28,172,18317
2021-05-06,10.39,10.3,10.2,10.34,146,24296
2021-05-07,10.46,10.45,10.22,10.26,194,21405
2021-05-10,10.5,10.35,10.21,10.32,186,27359
2021-05-11,10.19,10.14,10.0,10.13,422,77144
2021-05-12,10.16,10.11,10.05,10.15,253,55494
2021-05-13,10.1,10.02,9.85,10.04,329,55163
2021-05-14,10.09,10.08,9.985,10.01,166,33801
2021-05-17,10.06,10.06,9.95,10.06,101,13237
2021-05-18,10.13,10.05,9.98,10.04,292,75785
2021-05-19,10.05,10.0,9.97,10.0,146,24481
2021-05-20,10.1,9.97,9.96,10.05,142,38055
2021-05-21,10.05,9.96,9.95,10.05,165,33542
2021-05-24,9.99,9.96,9.95,9.99,219,42579
2021-05-25,10.06,9.96,9.96,10.06,328,69799
2021-05-26,10.01,9.99,9.96,10.0,311,72962
2021-05-27,10.0,9.97,9.96,10.0,440,68583
2021-05-28,10.29,10.26,9.965,9.99,796,228906
2021-06-01,10.38,10.15,10.08,10.38,351,49447
2021-06-02,10.17,10.14,10.1,10.15,434,88367
2021-06-03,10.16,10.12,10.08,10.08,372,73656
2021-06-04,10.1,9.99,9.95,10.1,523,146827
2021-06-07,10.34,10.3,9.99,10.0,488,90221
2021-06-08,10.61,10.55,10.16,10.34,687,74047
2021-06-09,10.85,10.55,10.42,10.72,598,77878
2021-06-10,10.83,10.68,10.44,10.55,455,62277
2021-06-11,10.75,9.75,9.35,10.75,545,115629
2021-06-14,9.88,8.49,8.36,9.88,1740,267915
2021-06-15,8.79,8.58,8.5,8.59,747,127725
2021-06-16,8.58,8.3,8.14,8.58,976,119416
2021-06-17,8.34,8.1,7.85,8.25,1729,445420
2021-06-18,9.3,9.22,8.45,8.5,2120,407130
