Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-01-11,4.75,4.6,4.1,4.1,20,8561
2018-01-12,4.28,4.28,4.28,4.28,1,4
2018-01-16,4.6,4.5,4.5,4.6,6,2480
2018-01-18,4.27,4.27,4.1,4.1,4,377
2018-01-19,4.54,3.82,3.82,4.28,8,2027
2018-01-22,4.45,3.92,3.61,3.75,5,7102
2018-01-24,4.44,4.44,4.44,4.44,1,94
2018-01-25,4.4,4.4,4.4,4.4,1,148
2018-01-26,4.1,4.06,4.06,4.1,2,163
2018-01-29,4.4,3.93,3.51,4.4,7,1268
2018-01-30,3.99,3.7,3.23,3.99,9,1587
2018-01-31,3.74,3.74,3.74,3.74,1,100
2018-02-02,4.46,3.92,3.5,3.5,6,2644
2018-02-05,3.97,3.7,3.7,3.96,10,1581
2018-02-06,3.87,3.87,3.5,3.5,4,393
2018-02-07,4.0,3.9,3.9,4.0,2,561
2018-02-08,3.71,3.71,3.55,3.55,2,146
2018-02-12,3.97,3.97,3.97,3.97,1,43
2018-02-13,3.95,3.95,3.5,3.5,2,10
2018-02-14,3.5,3.5,3.47,3.5,5,2993
2018-02-15,3.5,3.5,3.5,3.5,1,200
2018-02-20,3.15,3.15,3.13,3.13,2,216
2018-02-21,3.5,3.49,3.49,3.5,3,196
2018-02-22,3.25,3.25,3.25,3.25,1,66
2018-02-23,3.73,3.73,3.5,3.5,2,2033
2018-02-26,4.0,4.0,4.0,4.0,3,2556
2018-02-27,4.0,3.65,3.65,4.0,4,225
2018-02-28,3.65,3.65,3.65,3.65,2,550
2018-03-01,3.63,3.63,3.6,3.6,2,400
2018-03-06,3.5,3.5,3.5,3.5,1,80
2018-03-12,4.1,3.95,3.73,3.75,73,6093
2018-03-13,3.75,3.75,3.75,3.75,1,16
2018-03-14,3.84,3.29,3.18,3.84,20,3379
2018-03-15,3.84,3.84,3.3,3.3,50,5863
2018-03-16,3.79,3.4,3.4,3.46,13,5052
2018-03-19,3.74,3.62,3.42,3.65,21,1574
2018-03-20,3.67,3.47,3.47,3.65,6,1390
2018-03-21,3.55,3.55,3.55,3.55,3,45
2018-03-23,3.67,3.67,3.43,3.56,9,532
2018-03-26,3.57,3.57,3.57,3.57,1,100
2018-03-27,3.69,3.69,3.69,3.69,1,48
2018-03-28,3.45,3.45,3.45,3.45,3,71
2018-03-29,3.52,3.5,3.5,3.52,3,97
2018-04-02,3.45,3.42,3.42,3.45,8,315
2018-04-04,3.61,3.2,3.2,3.52,12,861
2018-04-05,3.1,3.1,3.1,3.1,1,3
2018-04-06,3.65,3.6,3.6,3.65,5,290
2018-04-09,3.75,3.75,3.4,3.4,2,133
2018-04-11,3.3,3.16,3.16,3.3,3,104
2018-04-12,3.01,3.01,3.01,3.01,3,197
2018-04-13,3.39,3.34,2.65,3.01,11,5963
2018-04-16,3.3,2.75,2.75,3.3,9,1194
2018-04-17,2.51,2.41,2.41,2.51,7,1408
2018-04-18,2.5,2.5,2.45,2.45,2,1233
2018-04-19,2.75,2.58,2.46,2.46,9,1976
2018-04-20,2.58,2.55,2.54,2.58,12,1192
2018-04-23,2.55,2.55,2.53,2.53,6,544
2018-04-24,2.99,2.94,2.53,2.53,30,6990
2018-04-25,3.05,3.02,2.99,2.99,7,601
2018-04-26,3.13,3.13,2.97,2.97,9,805
2018-04-27,2.93,2.89,2.86,2.93,8,633
2018-04-30,2.96,2.96,2.77,2.77,5,206
2018-05-01,2.96,2.96,2.76,2.83,4,646
2018-05-02,3.8,2.86,2.86,2.94,54,22606
2018-05-03,3.13,2.81,2.81,2.9,9,1102
2018-05-04,2.9,2.8,2.65,2.9,20,5899
2018-05-07,2.95,2.72,2.64,2.64,15,2728
2018-05-08,2.74,2.65,2.65,2.66,18,1596
2018-05-09,2.65,2.61,2.61,2.65,3,272
2018-05-10,2.72,2.72,2.5,2.63,25,4855
2018-05-11,2.65,2.5,2.5,2.63,26,3799
2018-05-14,2.59,2.59,2.43,2.52,21,3050
2018-05-15,2.58,2.44,2.44,2.58,9,766
2018-05-16,2.7,2.43,2.43,2.7,20,1511
2018-05-17,2.52,2.05,2.05,2.52,38,5311
2018-05-18,2.37,2.03,1.91,2.35,30,6231
2018-05-21,2.06,1.95,1.95,2.06,11,4575
2018-05-22,1.9,1.67,1.67,1.9,2,4525
2018-05-23,1.78,1.72,1.52,1.78,17,2397
2018-05-24,1.84,1.84,1.55,1.73,7,759
2018-05-25,1.84,1.56,1.53,1.84,22,2115
2018-05-29,1.68,1.68,1.55,1.59,4,1176
2018-05-30,1.68,1.62,1.61,1.68,3,202
2018-05-31,1.75,1.64,1.64,1.75,6,861
2018-06-01,1.68,1.68,1.59,1.61,11,1284
2018-06-04,1.67,1.61,1.61,1.67,2,8
2018-06-05,1.85,1.7,1.6,1.85,6,1007
2018-06-06,1.98,1.95,1.84,1.84,10,1966
2018-06-07,1.95,1.95,1.95,1.95,2,28
2018-06-08,2.1,1.9,1.9,1.9,11,1082
2018-06-11,2.08,1.85,1.85,2.08,6,405
2018-06-12,1.86,1.79,1.79,1.86,6,591
2018-06-13,1.9,1.72,1.72,1.9,8,580
2018-06-14,1.89,1.88,1.79,1.79,5,1853
2018-06-15,1.76,1.75,1.75,1.76,3,104
2018-06-18,1.82,1.72,1.7,1.82,8,2243
2018-06-19,1.69,1.59,1.59,1.69,3,1082
2018-06-21,2.0,1.67,1.67,1.74,28,4382
2018-06-22,1.79,1.62,1.62,1.65,16,2938
2018-06-25,1.85,1.85,1.63,1.63,30,2513
2018-06-26,1.7,1.63,1.63,1.7,7,2950
