Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-31,29.46,28.55,27.1,27.5,26928,12734248
2020-02-03,30.0,29.61,28.44,28.52,5947,900606
2020-02-04,30.48,30.06,29.75,30.29,3513,480985
2020-02-05,30.69,29.96,29.79,30.3,2122,315334
2020-02-06,31.43,31.16,29.8,30.18,3216,2754075
2020-02-07,31.27,30.2,30.06,31.26,1604,187422
2020-02-10,31.85,31.49,30.1,30.15,1956,156705
2020-02-11,31.95,31.04,31.04,31.59,1309,113582
2020-02-12,31.73,30.85,30.63,31.11,1640,152679
2020-02-13,31.3,31.29,30.27,30.44,1358,139389
2020-02-14,31.5,31.0,30.85,31.17,859,64215
2020-02-18,31.22,30.79,30.44,30.55,603,75278
2020-02-19,30.72,30.23,29.91,30.72,1309,154585
2020-02-20,31.03,30.32,29.37,30.07,1457,136664
2020-02-21,31.01,30.76,29.87,30.13,1077,107458
2020-02-24,30.65,30.22,29.89,30.36,1816,187048
2020-02-25,30.85,30.09,29.93,30.51,1573,150284
2020-02-26,30.5,29.98,29.78,30.09,1160,99070
2020-02-27,30.25,29.0,28.87,29.9,1165,103801
2020-02-28,29.46,28.85,27.5,28.3,1627,176968
2020-03-02,30.18,28.23,27.85,29.2,1886,202631
2020-03-03,28.61,28.08,27.65,28.31,1445,146960
2020-03-04,29.8,29.73,28.11,28.39,1994,203308
2020-03-05,30.33,29.99,28.95,29.05,2233,167157
2020-03-06,30.19,30.14,29.37,29.62,1300,87722
2020-03-09,29.67,28.96,28.57,28.81,1663,170903
2020-03-10,29.33,28.03,27.8,28.0,2477,181586
2020-03-11,29.08,28.38,27.51,27.76,3796,381053
2020-03-12,27.09,25.07,24.6,27.09,2725,280768
2020-03-13,26.05,25.7,24.63,25.53,2825,245571
2020-03-16,24.43,24.42,21.72,23.95,3304,407495
2020-03-17,28.43,25.28,24.3,24.77,1790,152044
2020-03-18,26.44,26.13,23.1,24.26,2723,326804
2020-03-19,28.0,26.71,25.3,26.55,1240,105331
2020-03-20,29.73,27.98,26.09,27.34,4896,2302937
2020-03-23,28.11,26.85,25.5,28.11,2150,201126
2020-03-24,27.83,26.49,25.0,27.43,2678,377647
2020-03-25,28.46,28.03,25.27,26.49,3495,675485
2020-03-26,28.28,26.97,25.71,27.86,2665,240050
2020-03-27,26.5,26.47,24.37,26.35,2309,236424
2020-03-30,27.87,27.66,25.84,26.44,2021,186899
2020-03-31,29.65,29.17,27.33,27.33,2644,272929
2020-04-01,28.7,28.3,27.37,28.46,1778,167105
2020-04-02,30.2,29.21,28.06,28.3,1559,229864
2020-04-03,30.3,29.99,28.49,29.26,1185,267794
2020-04-06,30.98,30.42,29.91,30.59,1327,233643
2020-04-07,31.0,30.0,29.49,30.69,1201,112041
2020-04-08,30.32,29.98,29.48,29.48,1111,176936
2020-04-09,30.5,29.9,29.47,30.35,1861,178468
2020-04-13,29.91,29.78,28.84,29.83,1257,99105
2020-04-14,30.42,29.54,29.25,30.37,1624,140640
2020-04-15,31.98,31.27,29.08,29.1,2277,239301
2020-04-16,33.22,29.8,29.53,31.85,5427,617530
2020-04-17,30.86,30.5,28.27,29.75,3471,317213
2020-04-20,31.4,30.38,29.9,30.5,1350,120866
2020-04-21,30.47,30.16,28.57,29.01,2130,191533
2020-04-22,31.35,30.67,30.34,30.42,1544,172171
2020-04-23,31.2,31.06,29.77,30.68,1530,140069
2020-04-24,32.51,31.23,30.38,31.28,1691,144203
2020-04-27,32.28,32.05,31.0,31.31,1812,164486
2020-04-28,32.93,32.04,31.87,32.37,1359,123439
2020-04-29,33.26,32.77,32.15,32.4,1753,127697
2020-04-30,34.18,32.43,31.72,32.83,3131,342001
