Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,6.66,6.63,6.39,6.4,369,75218
2013-01-03,6.94,6.88,6.5,6.75,495,93517
2013-01-04,7.04,6.93,6.9,6.91,174,44002
2013-01-07,6.89,6.81,6.72,6.89,214,32834
2013-01-08,7.04,7.02,6.765,6.84,247,35796
2013-01-09,7.29,7.06,7.05,7.07,199,38069
2013-01-10,7.14,7.14,6.95,7.13,132,18026
2013-01-11,7.15,6.91,6.84,7.15,201,36234
2013-01-14,6.92,6.81,6.77,6.92,49,13021
2013-01-15,6.94,6.92,6.77,6.77,39,9344
2013-01-16,6.97,6.87,6.81,6.89,98,14800
2013-01-17,6.94,6.88,6.815,6.9,112,21975
2013-01-18,6.91,6.83,6.81,6.86,90,28425
2013-01-22,7.04,7.04,6.8,6.85,220,43004
2013-01-23,7.05,6.85,6.82,7.05,96,17974
2013-01-24,6.97,6.95,6.83,6.87,102,15326
2013-01-25,7.1,7.1,6.93,6.95,116,22259
2013-01-28,7.13,7.08,6.98,7.11,278,44873
2013-01-29,7.1,7.0,6.97,7.1,163,28518
2013-01-30,7.02,6.89,6.83,6.97,144,24342
2013-01-31,6.99,6.9,6.85,6.86,97,19588
2013-02-01,7.03,6.95,6.86,6.94,276,39053
2013-02-04,6.95,6.73,6.72,6.95,147,28856
2013-02-05,6.78,6.7,6.65,6.72,121,20303
2013-02-06,6.78,6.66,6.57,6.68,140,19772
2013-02-07,6.64,6.51,6.27,6.64,146,22416
2013-02-08,6.79,6.77,6.49,6.49,89,19376
2013-02-11,6.78,6.45,6.39,6.78,220,32773
2013-02-12,6.58,6.57,6.47,6.47,88,13839
2013-02-13,6.57,6.5,6.39,6.55,87,10661
2013-02-14,6.61,6.53,6.4,6.51,79,12176
2013-02-15,6.515,6.5,6.39,6.5,109,46244
2013-02-19,6.49,6.48,6.36,6.47,135,27849
2013-02-20,6.5,6.02,6.0,6.45,211,46159
2013-02-21,6.02,5.98,5.73,5.98,467,65353
2013-02-22,6.3,6.28,6.01,6.01,153,29483
2013-02-25,6.29,6.15,6.13,6.24,193,32787
2013-02-26,6.28,6.2,6.08,6.18,142,23307
2013-02-27,6.28,6.25,6.17,6.19,153,23228
2013-02-28,6.44,6.23,6.17,6.26,168,26480
2013-03-01,6.31,6.28,6.1,6.23,144,25082
2013-03-04,6.33,6.33,6.18,6.27,138,21585
2013-03-05,6.37,6.37,6.185,6.31,148,33885
2013-03-06,6.47,6.4,6.06,6.37,196,34685
2013-03-07,6.8,6.72,6.24,6.48,234,42427
2013-03-08,6.87,6.77,6.67,6.8,260,55346
2013-03-11,6.75,6.68,6.6,6.73,243,37626
2013-03-12,6.66,6.54,6.44,6.66,144,28221
2013-03-13,6.56,6.56,6.4,6.56,66,11595
2013-03-14,6.65,6.62,6.51,6.55,185,35217
2013-03-15,6.77,6.47,6.45,6.6,206,88366
2013-03-18,6.51,6.29,6.23,6.41,238,31048
2013-03-19,6.51,6.44,6.3,6.3,142,22510
2013-03-20,6.45,6.3,6.26,6.45,133,20686
2013-03-21,6.46,6.45,6.26,6.26,64,15122
2013-03-22,6.51,6.46,6.44,6.49,97,20626
