Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-11-09,22.5,20.5,20.5,22.5,23,460
2020-11-10,21.15,19.09,19.09,21.15,24,2093
2020-11-11,19.09,18.04,18.04,19.09,2,5
2020-11-13,20.27,20.27,19.0,19.0,7,388
2020-11-16,21.2,19.73,19.73,21.2,14,745
2020-11-17,20.0,20.0,19.7,19.7,16,574
2020-11-18,20.0,20.0,19.99,19.99,9,1506
2020-11-19,19.95,19.95,19.95,19.95,31,920
2020-11-20,20.0,20.0,19.96,20.0,10,895
2020-11-23,20.82,20.5,19.75,20.0,19,2698
2020-11-24,20.46,20.45,20.0,20.12,33,3214
2020-11-25,20.02,20.0,20.0,20.0,29,2397
2020-11-27,20.23,19.99,19.95,20.23,7,160
2020-11-30,20.03,20.0,17.97,19.0,28,5358
2020-12-01,20.0,18.26,18.26,20.0,30,5609
2020-12-02,20.0,19.37,19.0,19.0,12,2119
2020-12-03,20.95,20.95,18.56,18.56,37,1194
2020-12-04,20.04,20.02,20.0,20.04,68,4678
2020-12-07,20.0,19.5,19.5,19.99,108,2345
2020-12-08,20.66,20.66,19.94,19.94,19,6416
2020-12-09,20.4,19.84,19.54,20.4,19,5459
2020-12-10,20.0,19.96,18.26,18.26,35,4536
2020-12-11,19.94,19.94,19.73,19.9,16,543
2020-12-14,19.79,19.26,19.16,19.18,26,1983
2020-12-15,19.98,19.47,19.24,19.24,31,5801
2020-12-16,19.49,19.49,19.47,19.48,6,1810
2020-12-17,19.5,18.25,18.25,19.14,16,1742
2020-12-18,18.5,16.03,16.03,18.5,14,289
2020-12-21,16.49,14.28,14.25,15.64,27,1946
2020-12-22,14.5,14.2,14.16,14.16,12,598
2020-12-23,15.63,14.95,14.61,14.74,17,1051
2020-12-24,15.63,15.63,14.68,14.68,8,39
2020-12-28,15.3,14.7,14.7,15.3,13,250
2020-12-29,14.0,12.94,12.94,14.0,8,521
2020-12-30,13.91,13.36,13.35,13.91,12,352
2020-12-31,13.09,12.35,12.35,13.09,19,1842
2021-01-04,12.57,12.57,11.99,11.99,8,566
2021-01-05,12.84,12.5,12.5,12.84,20,4646
2021-01-06,12.88,12.67,12.67,12.88,15,2588
2021-01-07,12.89,12.8,12.8,12.89,6,85
2021-01-08,14.37,13.0,13.0,13.0,22,1028
2021-01-11,13.56,12.1,12.1,13.56,106,2075
2021-01-12,13.07,12.94,12.48,12.48,32,2405
2021-01-13,13.44,13.41,13.0,13.14,139,1104
2021-01-14,13.44,13.0,13.0,13.44,123,858
2021-01-15,13.55,13.55,13.0,13.01,147,1971
2021-01-19,14.25,13.96,13.8,13.8,22,386
2021-01-20,14.68,14.0,14.0,14.53,15,487
2021-01-21,14.54,14.4,14.4,14.54,113,337
2021-01-22,15.23,15.23,14.21,14.21,21,706
2021-01-25,15.28,15.0,15.0,15.28,49,1101
2021-01-26,15.44,15.0,14.15,15.0,63,3727
2021-01-27,16.49,16.49,14.86,14.86,22,977
2021-01-28,15.96,15.96,15.62,15.94,9,487
2021-01-29,16.0,15.65,15.65,16.0,15,772
2021-02-01,17.42,17.42,15.63,15.63,27,7450
2021-02-02,17.66,17.3,17.3,17.66,7,210
2021-02-03,17.47,13.92,13.92,17.47,62,4446
2021-02-04,15.03,14.59,14.01,14.7,82,8071
2021-02-05,14.75,13.5,13.5,14.61,57,9379
2021-02-08,13.98,13.9,13.11,13.98,27,1014
2021-02-09,13.99,13.5,13.3,13.54,48,3127
2021-02-10,13.97,12.35,12.35,13.97,57,2099
2021-02-11,13.3,13.3,12.77,12.83,42,2845
2021-02-12,13.45,12.08,11.91,13.45,93,7112
2021-02-16,12.99,12.37,12.2,12.36,72,1742
2021-02-17,12.24,12.0,12.0,12.11,46,1952
2021-02-18,12.18,11.59,11.5,12.18,23,1221
2021-02-19,12.6,12.6,11.7,12.21,28,798
2021-02-22,12.57,12.15,10.96,12.57,55,2085
2021-02-23,12.4,12.4,11.16,12.09,21,1084
2021-02-24,12.4,11.34,10.5,12.4,41,1503
2021-02-25,11.7,11.49,11.28,11.68,12,1219
2021-02-26,11.5,11.5,11.0,11.29,20,1024
2021-03-01,12.0,11.1,11.04,11.41,30,1548
2021-03-02,11.22,11.22,10.3,11.0,39,1631
2021-03-03,10.78,10.78,10.1,10.71,22,1330
2021-03-04,10.45,9.57,9.35,10.45,59,3275
2021-03-05,9.81,9.81,9.44,9.52,23,861
2021-03-08,11.25,11.25,9.42,9.42,48,2941
2021-03-09,11.37,11.27,10.44,11.37,58,3674
2021-03-10,11.38,9.97,9.55,11.38,126,8368
2021-03-11,10.15,9.89,9.3,10.07,70,3686
2021-03-12,9.97,9.4,9.01,9.66,80,3858
2021-03-15,9.72,8.75,8.75,9.72,70,3335
2021-03-16,9.25,8.66,8.2,9.25,88,2889
2021-03-17,8.72,8.23,8.23,8.6,89,5776
2021-03-18,8.6,8.05,8.05,8.6,98,6546
2021-03-19,8.45,7.8,7.8,8.45,126,9261
2021-03-22,8.63,7.8,7.7,8.63,59,6600
2021-03-23,8.09,7.12,7.0,8.09,89,7460
2021-03-24,7.34,7.34,7.01,7.13,32,1925
2021-03-25,7.25,7.035,6.71,7.2,51,3258
2021-03-26,7.6,7.48,6.93,6.93,13,399
2021-03-29,7.65,7.47,7.01,7.16,23,1655
2021-03-30,7.1,7.03,6.82,6.82,11,1080
2021-03-31,8.0,7.06,7.06,7.34,36,2164
2021-04-01,7.49,7.49,7.1,7.1,20,359
2021-04-05,7.94,7.21,7.12,7.94,48,1778
2021-04-06,7.13,7.13,7.13,7.13,12,328
2021-04-07,7.365,7.24,7.13,7.14,37,2333
2021-04-08,7.14,7.12,7.0,7.0,16,458
2021-04-09,7.27,7.22,6.75,6.97,27,1485
2021-04-12,6.97,6.45,6.36,6.97,51,4242
2021-04-13,6.95,6.7,6.1,6.1,44,6010
2021-04-14,6.9,6.56,6.52,6.9,34,2081
2021-04-15,6.51,6.11,6.06,6.51,49,4206
2021-04-16,6.28,6.28,6.16,6.16,16,1993
2021-04-19,6.54,6.48,6.48,6.54,10,135
2021-04-20,6.4,6.4,6.31,6.31,5,51
2021-04-21,6.48,6.48,6.35,6.35,17,373
2021-04-22,6.46,6.39,6.3,6.3,12,616
2021-04-23,6.57,6.57,6.05,6.05,14,2224
2021-04-26,6.77,6.32,6.32,6.77,30,2617
2021-04-27,6.93,6.75,6.36,6.36,28,1976
2021-04-28,7.45,6.79,6.52,6.84,102,12440
2021-04-29,6.98,6.53,6.52,6.98,21,1243
2021-04-30,6.69,6.25,6.25,6.51,32,2940
2021-05-03,9.5,7.22,6.66,6.68,459,69739
2021-05-04,8.03,7.0,6.97,7.02,260,55411
2021-05-05,7.39,7.045,6.82,6.86,100,13084
2021-05-06,7.11,6.92,6.92,6.96,39,5771
2021-05-07,7.23,6.5,6.5,7.03,59,12191
2021-05-10,8.03,6.42,6.42,7.09,142,32966
2021-05-11,6.85,6.41,6.29,6.29,81,21291
2021-05-12,6.82,6.75,6.4,6.45,72,10931
2021-05-13,6.82,6.66,6.5,6.62,31,4136
2021-05-14,7.15,6.98,6.65,6.65,50,8008
2021-05-17,7.16,7.04,6.85,7.16,47,10032
2021-05-18,6.95,6.68,6.6,6.95,84,14242
2021-05-19,6.8,6.5,6.405,6.55,47,10037
2021-05-20,6.65,6.34,6.34,6.55,33,8361
2021-05-21,6.51,6.24,5.86,6.51,119,14731
2021-05-24,6.44,6.395,6.395,6.44,11,2240
2021-05-25,7.55,7.44,6.95,6.96,133,10747
2021-05-26,7.94,7.69,7.27,7.81,143,12371
2021-05-27,16.5,10.79,9.02,9.36,3000,394872
2021-05-28,10.9,10.33,9.63,10.79,345,29066
2021-06-01,14.85,13.2,11.36,11.36,736,98444
2021-06-02,13.74,13.18,12.56,13.74,240,28622
2021-06-03,13.0,12.69,12.3,13.0,82,8233
2021-06-04,13.06,12.88,12.56,12.73,67,5670
2021-06-07,13.47,12.76,12.26,13.47,71,9680
2021-06-08,12.44,11.9,11.66,12.44,114,10421
2021-06-09,12.64,12.64,12.2,12.23,43,4158
2021-06-10,12.46,12.35,11.905,12.32,29,4706
2021-06-11,12.47,12.25,12.06,12.06,30,4718
2021-06-14,12.28,12.18,12.16,12.25,17,574
2021-06-15,12.35,11.86,11.86,12.17,19,2987
2021-06-16,11.7,11.08,10.84,11.64,70,12577
2021-06-17,12.7,12.7,11.34,11.34,94,8360
2021-06-18,13.2,13.1,12.12,12.12,90,18179
2021-06-21,13.09,12.45,12.27,13.09,38,3282
2021-06-22,12.52,12.52,12.14,12.2,16,1146
2021-06-23,13.0,13.0,12.41,12.41,33,4655
2021-06-24,13.0,12.75,12.74,13.0,43,2560
2021-06-25,15.99,15.99,13.94,15.17,255,54741
2021-06-28,17.0,15.47,14.53,16.5,189,26907
2021-06-29,15.26,14.05,13.95,15.26,63,6225
2021-06-30,14.7,14.27,13.97,14.0,52,5293
2021-07-01,14.37,13.45,13.33,14.37,44,4652
2021-07-02,13.46,12.86,12.7,13.4,50,8941
2021-07-06,12.84,12.29,12.29,12.74,54,3786
2021-07-07,12.38,11.43,11.38,12.38,93,17392
2021-07-08,11.22,10.4,10.3,11.1,100,15109
