Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-02-10,9.75,9.75,9.6,9.6,3,2000
2022-02-11,10.73,10.73,10.73,10.73,1,1
2022-02-14,10.0,9.85,9.85,10.0,5,3000
2022-02-15,9.88,9.85,9.85,9.88,6,3101
2022-02-16,9.85,9.85,9.84,9.84,6,35004
2022-02-17,9.86,9.86,9.85,9.85,32,56701
2022-02-18,9.86,9.86,9.86,9.86,2,2
2022-02-22,9.86,9.84,9.84,9.86,3,910
2022-02-23,9.86,9.86,9.86,9.86,1,1
2022-02-24,9.89,9.86,9.86,9.89,3,118
2022-02-25,9.89,9.87,9.87,9.89,2,5
2022-02-28,9.89,9.89,9.85,9.85,3,2204
2022-03-04,9.89,9.89,9.89,9.89,2,65
2022-03-08,9.88,9.84,9.84,9.88,52,52789
2022-03-10,9.9,9.9,9.9,9.9,1,1
2022-03-14,9.9,9.9,9.9,9.9,1,159
2022-03-15,9.9,9.9,9.9,9.9,1,1
2022-03-16,9.88,9.88,9.88,9.88,4,90
2022-03-18,9.88,9.88,9.88,9.88,6,22300
2022-03-21,9.89,9.89,9.89,9.89,1,1
2022-03-24,9.9,9.9,9.9,9.9,1,151
2022-03-25,9.84,9.84,9.84,9.84,1,1
2022-03-28,9.91,9.91,9.91,9.91,1,26
2022-03-31,9.89,9.89,9.89,9.89,17,8900
2022-04-01,9.89,9.89,9.89,9.89,3,5800
2022-04-04,9.89,9.89,9.89,9.89,2,2800
2022-04-05,9.9,9.9,9.9,9.9,3,8550
2022-04-07,9.9,9.9,9.9,9.9,6,5350
2022-04-11,9.88,9.88,9.88,9.88,1,200
2022-04-13,9.91,9.91,9.91,9.91,2,24181
2022-04-19,9.93,9.92,9.9,9.93,17,17696
2022-04-20,9.93,9.92,9.92,9.92,15,26309
2022-04-21,9.92,9.92,9.92,9.92,1,400
2022-04-22,9.95,9.95,9.94,9.95,5,251
2022-04-26,9.93,9.93,9.93,9.93,3,2183
2022-04-27,9.94,9.94,9.94,9.94,1,800
