Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-02-10,14.0,11.85,10.36,14.0,2534,509228
2022-02-11,11.69,10.5,10.5,11.49,1086,146584
2022-02-14,12.14,11.8,10.74,10.95,1209,69830
2022-02-15,12.98,12.5,11.02,11.25,1091,118811
2022-02-16,13.47,13.27,12.75,12.8,870,68037
2022-02-17,13.95,13.89,12.78,13.27,715,95265
2022-02-18,14.0,12.39,11.6,14.0,728,71789
2022-02-22,13.67,13.51,12.58,12.58,658,49392
2022-02-23,14.15,13.9,13.52,14.09,466,28423
2022-02-24,13.72,13.2,12.5,13.37,556,44905
2022-02-25,13.86,13.19,12.63,13.86,428,26546
2022-02-28,13.49,10.5,10.5,13.49,871,132924
2022-03-01,13.55,13.12,10.8,10.8,1129,106830
2022-03-02,13.75,13.74,12.74,13.22,527,42644
2022-03-03,15.79,14.95,13.75,13.75,1090,107425
2022-03-04,15.87,15.78,14.16,15.6,1385,77094
2022-03-07,16.0,11.0,11.0,16.0,1939,151764
2022-03-08,11.4,10.93,10.53,11.05,986,110450
2022-03-09,12.09,11.61,11.31,11.75,528,37466
2022-03-10,12.76,12.61,10.99,11.61,504,37613
2022-03-11,12.79,12.34,12.13,12.79,313,21233
2022-03-14,12.66,12.49,12.05,12.21,290,16094
2022-03-15,13.7,13.58,12.0,12.42,524,41801
2022-03-16,14.3,13.61,13.29,13.46,565,41952
2022-03-17,13.86,13.51,13.1,13.86,246,10289
2022-03-18,13.51,13.51,12.87,13.28,250,51427
2022-03-21,13.48,12.47,12.47,13.48,277,20308
2022-03-22,12.59,12.51,12.2,12.2,223,13632
2022-03-23,13.38,12.92,12.51,12.51,314,14391
2022-03-24,13.25,12.75,12.75,12.75,217,11996
2022-03-25,13.25,12.62,12.54,12.54,338,11454
2022-03-28,13.18,12.61,12.61,13.18,389,13657
2022-03-29,13.3,13.1,12.58,12.58,260,13313
2022-03-30,13.52,13.11,12.81,13.52,400,35680
2022-03-31,13.04,12.85,12.62,12.86,370,14017
2022-04-01,13.23,12.65,12.56,12.65,344,13149
2022-04-04,13.38,13.12,12.55,12.55,514,22470
2022-04-05,13.17,13.17,12.85,13.14,418,16558
2022-04-06,13.16,12.75,12.6,12.9,403,17764
2022-04-07,12.99,11.1,11.1,12.99,488,17262
2022-04-08,11.06,11.02,10.8,11.0,586,30465
2022-04-11,11.44,11.0,10.71,10.8,279,8174
2022-04-12,12.115,11.5,11.2,11.2,569,31931
2022-04-13,12.14,11.79,11.27,11.27,454,17356
2022-04-14,12.4,11.73,11.13,11.55,342,13837
2022-04-18,12.39,11.95,11.8,11.85,192,6297
2022-04-19,13.15,12.87,11.81,11.81,867,48925
2022-04-20,13.35,13.35,12.58,13.13,851,36563
2022-04-21,13.59,13.26,13.05,13.4,730,40966
2022-04-22,13.6,13.35,13.09,13.09,729,34539
2022-04-25,13.6,12.11,12.02,13.1,959,32726
2022-04-26,12.66,12.23,11.86,12.15,988,33825
2022-04-27,12.05,11.72,11.55,12.05,762,25018
2022-04-28,12.81,12.11,11.75,11.75,993,33912
2022-04-29,12.68,12.0,11.82,12.1,1052,26828
2022-05-02,12.92,12.06,11.82,11.82,1015,27669
2022-05-03,12.5,11.88,11.75,11.85,812,25731
2022-05-04,11.88,10.91,10.82,11.88,494,16817
2022-05-05,11.06,10.58,10.36,10.91,422,28731
2022-05-06,10.6,10.11,10.1,10.34,405,22425
2022-05-09,10.02,8.48,8.37,10.01,386,17575
2022-05-10,8.48,5.92,5.81,8.37,719,43691
2022-05-11,6.1,3.73,3.43,6.0,880,87772
2022-05-12,4.97,4.85,3.93,4.11,1033,73434
2022-05-13,5.69,5.41,4.85,5.33,924,49893
2022-05-16,5.65,4.21,4.15,5.65,1088,43800
2022-05-17,4.6,4.3,4.22,4.5,555,44127
2022-05-18,4.54,4.15,4.07,4.1,370,25651
2022-05-19,4.35,3.81,3.71,4.07,470,31325
2022-05-20,3.89,3.89,3.54,3.6,498,42105
2022-05-23,4.2,3.89,3.69,3.96,528,28329
2022-05-24,3.9,3.51,3.5,3.76,264,19005
2022-05-25,4.04,3.45,3.44,3.5,443,23136
2022-05-26,3.58,3.45,3.34,3.45,341,12526
2022-05-27,3.44,3.42,3.31,3.44,162,6509
2022-05-31,3.76,3.76,3.28,3.57,422,18359
2022-06-01,3.91,3.8,3.63,3.76,442,24232
2022-06-02,3.8,3.63,3.41,3.8,347,15759
2022-06-03,3.73,3.59,3.5,3.73,221,16829
2022-06-06,3.51,2.37,2.36,3.48,791,90334
2022-06-07,2.41,2.09,1.99,2.41,635,65748
2022-06-08,2.77,2.39,2.09,2.09,999,104623
2022-06-09,2.35,2.2,2.02,2.22,464,35267
2022-06-10,2.25,2.0,2.0,2.17,223,10606
2022-06-13,2.13,2.06,1.94,2.0,173,31357
2022-06-14,2.07,1.99,1.9,2.0,214,22666
2022-06-15,2.25,2.13,1.99,2.11,165,14060
2022-06-16,2.15,2.0,2.0,2.15,139,19138
2022-06-17,2.09,1.99,1.98,2.09,71,17673
2022-06-21,2.15,2.04,1.98,2.13,115,15081
2022-06-22,2.15,2.11,1.99,2.04,165,10032
2022-06-23,2.17,2.17,1.86,2.14,340,56052
2022-06-24,2.26,2.07,2.07,2.23,252,44257
2022-06-27,2.2,2.07,2.02,2.2,168,10187
2022-06-28,2.12,2.11,1.95,2.07,219,27923
2022-06-29,2.28,2.25,2.02,2.02,148,11714
2022-06-30,2.25,2.0,2.0,2.25,130,24242
2022-07-01,2.44,2.16,1.97,1.97,74,5982
2022-07-05,2.18,2.12,2.07,2.16,108,9525
2022-07-06,2.18,2.16,2.13,2.18,18,2943
2022-07-07,2.24,2.2,2.12,2.12,222,8066
2022-07-08,2.24,2.15,2.12,2.12,51,8500
2022-07-11,3.33,2.85,2.18,2.27,1928,290707
2022-07-12,2.99,2.69,2.23,2.99,1208,104798
2022-07-13,2.95,2.8,2.52,2.52,609,46201
2022-07-14,2.99,2.97,2.57,2.81,437,40543
2022-07-15,3.44,3.43,2.9,2.97,675,97259
2022-07-18,5.46,4.91,3.63,3.63,5114,699408
2022-07-19,4.95,4.52,4.115,4.95,1849,152802
2022-07-20,4.56,4.43,3.94,4.33,903,50845
2022-07-21,4.41,4.17,4.02,4.26,437,33510
2022-07-22,4.29,4.06,3.94,4.11,400,18646
2022-07-25,4.0,3.74,3.57,4.0,313,35603
2022-07-26,3.92,3.87,3.61,3.67,268,10620
2022-07-27,4.22,4.17,3.84,3.96,192,17041
2022-07-28,7.775,7.03,4.25,4.33,13715,1453347
