Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-15,10.0,10.0,10.0,10.0,2,51
2021-04-16,10.1,9.84,9.84,10.1,32,9422
2021-04-19,10.82,9.81,9.69,10.82,145,25579
2021-04-20,10.3,9.8,9.68,10.3,110,23912
2021-04-21,9.84,9.84,9.79,9.8,14,3631
2021-04-22,10.34,9.82,9.8,10.34,103,31250
2021-04-23,9.82,9.8,9.8,9.81,5,1100
2021-04-26,9.8,9.8,9.78,9.78,6,3002
2021-04-27,9.8,9.79,9.7,9.7,39,37115
2021-04-28,9.8,9.8,9.77,9.78,49,10226
2021-04-29,9.82,9.79,9.77,9.79,17,4848
2021-04-30,9.86,9.85,9.79,9.86,6,1181
2021-05-03,9.93,9.77,9.77,9.93,6,625
2021-05-04,9.79,9.79,9.78,9.79,6,3724
2021-05-05,9.78,9.75,9.73,9.76,95,54855
2021-05-06,9.82,9.73,9.72,9.82,31,39901
2021-05-07,9.81,9.79,9.79,9.81,3,5103
2021-05-10,9.79,9.75,9.75,9.79,3,1738
2021-05-11,9.8,9.8,9.75,9.75,4,1002
2021-05-12,9.86,9.8,9.8,9.86,14,22102
2021-05-13,9.8,9.8,9.8,9.8,1,7
2021-05-14,9.8,9.75,9.75,9.8,3,610
2021-05-17,9.85,9.83,9.71,9.74,30,7613
2021-05-18,9.79,9.79,9.79,9.79,1,10
2021-05-19,9.78,9.75,9.75,9.78,15,992
2021-05-20,9.94,9.7,9.7,9.94,26,4653
2021-05-21,9.69,9.65,9.65,9.69,34,2870
2021-05-24,9.69,9.66,9.63,9.65,27,5009
2021-05-25,9.76,9.75,9.73,9.73,5,1124
2021-05-26,9.76,9.76,9.75,9.75,24,1938
2021-05-27,9.76,9.76,9.7,9.7,20,1793
2021-05-28,9.78,9.78,9.78,9.78,1,6
2021-06-01,9.79,9.79,9.76,9.76,6,421
2021-06-02,9.76,9.76,9.76,9.76,1,7
2021-06-03,9.77,9.73,9.66,9.77,5,706
2021-06-04,9.73,9.73,9.73,9.73,1,1
2021-06-07,9.76,9.76,9.76,9.76,1,1
2021-06-08,9.75,9.75,9.75,9.75,1,2
2021-06-09,9.79,9.7,9.7,9.79,80,14023
2021-06-10,9.79,9.75,9.75,9.79,3,301
2021-06-11,9.77,9.77,9.72,9.76,7,1071
2021-06-14,9.77,9.76,9.76,9.77,5,301
2021-06-16,9.79,9.75,9.75,9.79,5,640
2021-06-17,9.76,9.76,9.75,9.76,8,351
2021-06-18,9.73,9.72,9.7,9.73,5,2420
2021-06-21,9.72,9.72,9.72,9.72,1,50
2021-06-22,9.72,9.72,9.71,9.71,2,245
2021-06-23,9.79,9.73,9.72,9.79,4,394
2021-06-24,9.78,9.78,9.78,9.78,1,31
2021-06-25,9.71,9.71,9.67,9.67,7,958
2021-06-28,9.74,9.74,9.74,9.74,1,41
2021-06-29,9.7,9.69,9.69,9.7,4,143
2021-07-01,9.69,9.68,9.68,9.69,4,166
2021-07-02,9.69,9.69,9.68,9.68,11,826
2021-07-06,9.73,9.7,9.7,9.73,2,84
2021-07-07,9.71,9.71,9.69,9.71,6,541
2021-07-08,9.7,9.7,9.68,9.68,3,37
2021-07-12,9.72,9.69,9.69,9.72,2,14
2021-07-13,,,,,111,24411
2021-07-14,9.87,9.78,9.75,9.83,786,345692
2021-07-15,9.82,9.805,9.8,9.82,135,42597
2021-07-16,9.83,9.81,9.79,9.8,121,84662
2021-07-19,9.81,9.81,9.71,9.8,25,6643
2021-07-20,9.81,9.78,9.75,9.8,419,105983
2021-07-21,9.82,9.78,9.78,9.82,42,7537
2021-07-22,9.8,9.8,9.78,9.78,15,5178
2021-07-23,9.8,9.78,9.76,9.8,118,21430
2021-07-26,9.8,9.77,9.67,9.8,102,19893
2021-07-27,9.78,9.77,9.77,9.78,8,973
2021-07-28,9.78,9.76,9.76,9.78,50,2647
2021-07-29,9.76,9.74,9.74,9.75,37,6149
2021-07-30,9.74,9.71,9.71,9.73,42,5299
2021-08-02,9.74,9.74,9.72,9.73,34,2376
2021-08-03,9.75,9.75,9.74,9.74,47,6362
2021-08-04,9.75,9.75,9.73,9.75,19,1426
2021-08-05,9.75,9.73,9.72,9.73,7,460
2021-08-06,9.72,9.72,9.72,9.72,1,19
2021-08-09,9.74,9.73,9.71,9.74,16,4945
2021-08-10,9.72,9.71,9.7,9.7,134,27196
2021-08-11,9.715,9.71,9.69,9.7,84,6144
2021-08-12,9.715,9.68,9.68,9.69,43,7166
2021-08-13,9.7,9.67,9.66,9.7,16,3352
2021-08-16,9.7,9.68,9.68,9.7,27,7570
2021-08-17,9.73,9.66,9.66,9.68,112,10290
2021-08-18,9.71,9.69,9.68,9.71,35,2505
2021-08-19,9.68,9.65,9.65,9.68,40,3259
2021-08-20,9.67,9.66,9.64,9.65,116,17440
2021-08-23,9.67,9.66,9.63,9.63,44,4202
2021-08-24,9.65,9.65,9.63,9.65,21,2884
2021-08-25,9.65,9.64,9.64,9.65,218,113447
2021-08-26,9.65,9.65,9.63,9.63,6,306
2021-08-27,9.68,9.66,9.64,9.65,48,12072
2021-08-30,9.66,9.66,9.65,9.66,27,1867
2021-08-31,9.67,9.67,9.65,9.67,46,3643
2021-09-01,9.66,9.65,9.64,9.65,74,15312
2021-09-02,9.66,9.65,9.65,9.66,97,64280
2021-09-03,9.68,9.67,9.65,9.65,22,3314
2021-09-07,9.69,9.67,9.65,9.65,76,20205
2021-09-08,9.69,9.69,9.67,9.67,59,22975
2021-09-09,9.68,9.68,9.67,9.68,72,8109
2021-09-10,9.69,9.69,9.67,9.67,3,147
2021-09-13,9.7,9.7,9.68,9.68,29,762
2021-09-14,9.7,9.7,9.67,9.69,46,1538
2021-09-15,9.7,9.7,9.69,9.69,25,765
2021-09-16,9.7,9.69,9.66,9.7,15,4888
2021-09-17,9.69,9.68,9.68,9.69,12,4775
2021-09-20,9.7,9.67,9.65,9.65,27,6950
2021-09-21,9.7,9.7,9.69,9.7,11,1310
2021-09-22,9.7,9.7,9.69,9.7,25,2501
2021-09-23,9.69,9.69,9.69,9.69,7,303
2021-09-24,9.7,9.69,9.69,9.69,35,14477
2021-09-27,9.72,9.7,9.69,9.69,130,58105
2021-09-28,9.74,9.7,9.7,9.73,30,5288
2021-09-29,9.74,9.74,9.71,9.71,64,4703
2021-09-30,9.75,9.75,9.7,9.73,22,3206
2021-10-01,9.75,9.75,9.73,9.74,20,8331
2021-10-04,9.76,9.76,9.73,9.75,18,2198
2021-10-05,9.76,9.72,9.72,9.76,8,538
2021-10-06,9.75,9.71,9.7,9.7,6,199
2021-10-07,9.74,9.73,9.73,9.74,36,9210
2021-10-08,9.75,9.75,9.75,9.75,4,800
2021-10-11,9.76,9.74,9.72,9.76,60,11611
2021-10-12,9.76,9.76,9.72,9.72,9,2615
2021-10-13,9.75,9.72,9.72,9.72,239,12681
2021-10-14,9.76,9.72,9.71,9.76,20,1346
2021-10-15,9.73,9.72,9.7,9.73,14,9988
2021-10-18,9.73,9.73,9.7,9.7,37,2078
2021-10-19,9.73,9.72,9.71,9.71,65,16162
2021-10-20,9.73,9.72,9.7,9.7,8,334
2021-10-21,9.73,9.73,9.71,9.71,46,18764
2021-10-22,9.74,9.73,9.7,9.7,24,1601
2021-10-25,9.76,9.76,9.72,9.72,39,11971
2021-10-26,9.75,9.75,9.75,9.75,25,2673
2021-10-27,9.78,9.78,9.74,9.74,54,21307
2021-10-28,9.78,9.75,9.74,9.78,31,1806
2021-10-29,9.78,9.78,9.75,9.75,83,15507
2021-11-01,9.79,9.79,9.76,9.77,58,30077
2021-11-02,9.79,9.79,9.76,9.76,33,2005
2021-11-03,9.79,9.79,9.76,9.76,30,3750
2021-11-04,9.79,9.78,9.76,9.79,17,1040
2021-11-05,9.79,9.74,9.74,9.79,86,8498
2021-11-08,9.79,9.79,9.74,9.74,95,35883
2021-11-09,9.79,9.77,9.76,9.79,22,3361
2021-11-10,9.79,9.74,9.74,9.79,16,4088
