Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-11-09,54.55,48.3,15.0,15.5,12370,1353016
2021-11-10,77.34,45.0,34.0,39.78,27364,1909547
2021-11-11,53.5,51.91,44.67,49.02,3158,158301
2021-11-12,50.0,43.55,40.1,47.62,1466,80733
2021-11-15,51.83,51.83,41.22,43.6,1393,72140
2021-11-16,48.78,45.63,35.0,48.0,2066,155133
2021-11-17,45.36,45.36,40.6,40.6,695,39465
2021-11-18,43.5,40.6,39.0,41.8,503,40655
2021-11-19,38.8,32.11,30.73,38.6,579,40095
2021-11-22,40.0,38.98,29.67,30.0,565,37820
2021-11-23,39.0,11.18,9.5,39.0,7835,1136373
2021-11-24,16.33,13.17,10.8,11.89,18226,1807152
2021-11-26,12.19,10.96,10.31,11.86,2322,208597
2021-11-29,11.37,9.92,9.73,10.99,1669,140181
2021-11-30,10.0,9.0,8.05,9.67,1685,194104
2021-12-01,8.97,7.4,7.33,8.97,1179,167311
2021-12-02,8.7,7.29,6.7,7.11,1997,293076
2021-12-03,7.21,6.81,6.38,7.21,845,85295
2021-12-06,7.1,6.7,6.25,6.5,1143,117531
2021-12-07,7.2,6.74,6.62,6.74,1906,149622
2021-12-08,6.82,6.49,6.27,6.74,1203,113157
2021-12-09,6.63,5.87,5.8,6.45,1187,144467
2021-12-10,5.96,5.66,5.51,5.92,588,84673
2021-12-13,5.57,4.78,4.63,5.57,1143,208366
2021-12-14,4.78,3.86,3.8,4.64,1689,254984
2021-12-15,4.1,4.03,3.66,3.86,845,116070
2021-12-16,4.33,3.52,3.47,4.03,1149,175611
2021-12-17,3.65,3.31,3.27,3.46,834,278132
2021-12-20,13.43,11.26,4.44,4.44,158423,24548851
2021-12-21,13.0,10.63,9.74,11.4,60231,6539635
2021-12-22,18.6,16.31,9.57,9.95,112575,14994663
2021-12-23,22.34,15.97,15.45,16.98,114464,13950398
2021-12-27,15.44,14.04,12.52,14.5,17054,1725543
2021-12-28,16.6,14.43,13.1,13.27,17125,1887278
2021-12-29,16.39,13.74,13.42,14.26,11095,1161896
2021-12-30,14.7,13.04,12.63,13.91,6432,948258
2021-12-31,12.9,10.41,10.3,12.85,3382,407880
2022-01-03,12.2,11.15,10.3,10.32,3973,438934
2022-01-04,10.94,9.66,9.41,10.9,2516,317910
2022-01-05,9.95,8.91,8.11,9.54,2773,404210
2022-01-06,9.48,9.25,8.04,8.87,1646,273351
2022-01-07,9.65,8.72,8.56,8.84,1243,174795
2022-01-10,8.8,8.09,7.9,8.42,1170,136817
2022-01-11,8.7,8.05,7.92,8.17,1751,307830
2022-01-12,8.55,7.73,7.57,8.31,1723,208102
2022-01-13,7.69,6.95,6.85,7.58,3488,734299
2022-01-14,6.76,6.3,6.17,6.76,716,90610
2022-01-18,6.11,5.59,5.53,6.11,1420,174834
2022-01-19,5.82,5.46,5.38,5.75,659,77301
2022-01-20,6.68,6.14,5.37,5.37,3050,592441
2022-01-21,6.05,5.38,5.21,5.85,2707,768538
2022-01-24,5.38,5.28,4.32,5.01,858,119005
2022-01-25,6.09,5.4,5.02,5.1,1076,134781
2022-01-26,5.64,5.11,4.81,5.43,1018,142066
2022-01-27,5.12,4.46,4.43,5.12,497,84939
2022-01-28,4.71,4.34,4.28,4.44,417,56649
2022-01-31,5.0,4.93,4.28,4.3,655,134652
2022-02-01,5.38,4.93,4.86,4.96,614,98728
2022-02-02,4.84,4.08,4.005,4.71,1200,143524
2022-02-03,4.08,3.98,3.5,3.82,1787,224877
2022-02-04,4.15,3.91,3.81,3.99,1093,215647
2022-02-07,4.1,3.28,3.21,4.1,1995,448570
2022-02-08,5.79,4.68,4.02,4.2,38881,7294406
2022-02-09,3.84,3.57,3.33,3.4,11021,2536218
2022-02-10,4.31,3.85,3.7,3.74,7629,1503853
2022-02-11,3.88,3.53,3.44,3.71,3098,411162
2022-02-14,3.89,3.62,3.4,3.51,2549,412376
2022-02-15,3.76,3.69,3.5,3.74,1413,288848
2022-02-16,3.7,3.59,3.5,3.6,1093,353159
2022-02-17,3.56,3.28,3.235,3.5,1171,288565
2022-02-18,3.28,3.05,3.04,3.28,1019,189836
2022-02-22,2.98,2.76,2.73,2.82,993,242937
2022-02-23,2.86,2.51,2.49,2.86,707,135277
2022-02-24,2.68,2.67,2.18,2.18,1480,313901
2022-02-25,2.68,2.51,2.47,2.68,697,155378
2022-02-28,2.74,2.61,2.51,2.57,860,172404
2022-03-01,2.62,2.38,2.37,2.56,813,161834
2022-03-02,2.595,2.46,2.31,2.38,556,110105
2022-03-03,2.54,2.29,2.255,2.54,416,79001
2022-03-04,2.34,2.22,2.15,2.29,424,76313
2022-03-07,2.25,2.18,2.13,2.2,574,124800
2022-03-08,2.34,2.19,2.05,2.1,781,213182
2022-03-09,3.27,2.8,2.2,2.35,3469,758922
2022-03-10,2.58,2.43,2.29,2.58,1717,260109
2022-03-11,2.4,2.21,2.2,2.36,649,129868
2022-03-14,2.19,2.05,2.03,2.17,626,126995
2022-03-15,2.2,2.17,2.06,2.07,543,97210
2022-03-16,2.35,2.26,2.08,2.3,958,142260
2022-03-17,2.63,2.62,2.22,2.22,983,160592
2022-03-18,3.08,2.84,2.49,2.52,2171,532447
2022-03-21,2.97,2.67,2.6,2.79,824,206741
2022-03-22,4.52,3.51,2.67,2.67,13962,3118100
2022-03-23,3.62,3.56,3.18,3.21,3998,508205
2022-03-24,3.6,3.59,3.37,3.4,2013,305255
2022-03-25,3.84,3.45,3.36,3.6,1415,301772
2022-03-28,3.48,3.29,2.92,3.45,1375,232817
2022-03-29,3.35,3.13,3.06,3.29,989,178831
2022-03-30,3.27,2.96,2.96,3.11,587,114031
2022-03-31,3.04,2.97,2.91,2.96,518,82411
2022-04-01,3.55,3.27,2.99,2.99,2073,387725
2022-04-04,3.69,3.64,3.26,3.26,1921,390600
2022-04-05,3.78,3.39,3.32,3.64,1661,279316
2022-04-06,3.27,3.07,3.04,3.27,762,150798
2022-04-07,3.12,2.89,2.84,3.09,638,159612
2022-04-08,3.0,2.86,2.76,2.93,872,152523
2022-04-11,2.87,2.71,2.685,2.87,559,89609
2022-04-12,2.85,2.51,2.49,2.84,756,124402
2022-04-13,2.54,2.41,2.41,2.49,656,114223
2022-04-14,2.38,2.28,2.24,2.38,631,106792
2022-04-18,2.31,2.25,2.19,2.28,609,100962
2022-04-19,2.4,2.32,2.18,2.25,681,147249
2022-04-20,2.37,2.16,2.15,2.23,809,151087
2022-04-21,2.26,2.03,2.0,2.19,852,139941
2022-04-22,2.26,2.2,1.96,1.98,1105,280136
2022-04-25,2.2,2.15,2.11,2.17,360,85793
2022-04-26,2.21,2.01,1.98,2.21,469,82087
2022-04-27,2.05,1.99,1.96,1.98,396,64283
2022-04-28,2.16,2.05,1.98,2.06,854,111689
2022-04-29,2.16,2.01,1.99,2.0,422,77002
2022-05-02,2.09,2.09,1.98,2.03,459,66030
2022-05-03,2.13,2.02,1.98,2.09,465,79349
