Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-08-27,3.62,3.4,3.4,3.55,18,2810
2021-08-30,3.55,3.5,3.5,3.55,7,674
2021-08-31,3.43,3.3,3.25,3.43,21,2874
2021-09-01,3.41,3.16,3.15,3.41,30,29996
2021-09-02,3.33,3.18,3.18,3.18,14,858
2021-09-03,3.5,3.43,3.41,3.5,39,5154
2021-09-07,3.45,3.33,3.32,3.45,11,783
2021-09-08,3.65,3.48,3.26,3.45,23,2338
2021-09-09,3.93,3.65,3.55,3.65,85,10128
2021-09-10,4.14,3.38,3.38,4.14,29,4355
2021-09-13,3.74,3.45,3.45,3.74,16,2259
2021-09-14,3.56,3.56,3.53,3.53,6,240
2021-09-15,3.74,3.63,3.6,3.65,32,3855
2021-09-16,3.51,3.51,3.46,3.46,9,1275
2021-09-17,3.69,3.43,3.43,3.69,19,1378
2021-09-20,3.88,3.46,3.46,3.88,9,3992
2021-09-21,3.47,3.47,3.43,3.43,5,132
2021-09-22,3.66,3.5,3.5,3.64,31,3828
2021-09-23,3.51,3.51,3.46,3.46,3,44
2021-09-24,3.74,3.67,3.67,3.74,7,50
2021-09-27,3.77,3.76,3.64,3.7,24,3277
2021-09-28,4.1,3.9,3.77,3.77,21,2077
2021-09-29,4.55,4.23,4.02,4.1,24,3531
2021-09-30,4.49,4.1,4.1,4.49,17,2485
2021-10-01,4.64,4.54,4.14,4.15,55,7805
2021-10-04,4.64,4.22,4.085,4.64,24,1283
2021-10-05,4.3,4.28,4.06,4.22,20,2980
2021-10-06,4.6,4.46,4.46,4.6,9,2713
2021-10-07,4.46,4.37,4.37,4.46,13,1031
2021-10-08,4.66,4.62,4.41,4.58,49,13027
2021-10-11,4.75,4.6,4.6,4.75,23,4319
2021-10-12,4.77,4.5,4.5,4.6,34,3204
2021-10-13,6.74,6.49,4.79,4.79,1911,430439
2021-10-14,6.33,5.99,5.62,6.08,527,115299
2021-10-15,5.91,5.88,5.74,5.9,136,23351
2021-10-18,6.0,5.78,5.67,6.0,108,19933
2021-10-19,5.72,5.45,5.4,5.72,90,10589
2021-10-20,5.47,5.39,5.275,5.45,53,7960
2021-10-21,5.51,5.4,5.29,5.29,85,25420
2021-10-22,5.93,5.87,5.28,5.49,111,28546
2021-10-25,6.2,5.99,5.95,6.0,163,55634
2021-10-26,6.14,5.975,5.95,5.95,63,14895
2021-10-27,5.95,5.65,5.61,5.95,65,32349
2021-10-28,6.0,5.95,5.63,5.72,165,7305
2021-10-29,5.87,5.87,5.69,5.8,38,2211
2021-11-01,5.9,5.7,5.7,5.9,31,4608
2021-11-02,6.13,5.81,5.73,5.73,148,10423
2021-11-03,5.84,5.84,5.68,5.68,39,3117
2021-11-04,6.0,5.93,5.81,5.81,127,14514
2021-11-05,5.97,5.95,5.89,5.97,39,5034
2021-11-08,6.78,6.62,6.01,6.01,192,29007
2021-11-09,6.62,6.25,6.11,6.62,106,19402
2021-11-10,6.16,5.85,5.73,6.15,180,15115
2021-11-11,5.9,5.7,5.53,5.9,46,4647
2021-11-12,5.9,5.85,5.73,5.73,98,3652
2021-11-15,6.1,6.04,5.9,5.9,53,11247
2021-11-16,6.15,6.09,6.0,6.1,96,9114
2021-11-17,6.16,6.07,5.9,6.0,56,10040
2021-11-18,6.17,6.05,6.0,6.17,94,4769
2021-11-19,6.2,6.1,5.95,6.13,159,5958
2021-11-22,6.0,5.94,5.72,6.0,86,12632
2021-11-23,5.94,5.94,5.71,5.94,83,7820
2021-11-24,5.96,5.96,5.83,5.83,31,2829
2021-11-26,6.0,6.0,5.89,6.0,29,2974
2021-11-29,6.22,6.22,5.91,6.0,170,84257
2021-11-30,6.2,6.16,5.785,6.2,74,14877
2021-12-01,6.13,6.1,5.95,6.12,68,11765
2021-12-02,6.52,6.42,5.9,6.04,168,23252
2021-12-03,7.18,6.9,6.39,6.4,290,44100
2021-12-06,7.635,7.36,6.74,7.14,388,46674
2021-12-07,8.15,7.96,7.56,7.61,487,68002
2021-12-08,8.15,8.13,7.78,8.0,223,26529
2021-12-09,9.27,8.07,7.81,8.13,563,53486
2021-12-10,8.455,8.4,8.0,8.0,178,23199
2021-12-13,8.62,7.49,6.51,8.5,469,50699
2021-12-14,7.28,6.92,6.64,7.21,176,18239
2021-12-15,7.73,7.73,6.8,6.81,219,42843
2021-12-16,8.09,8.03,7.74,7.76,182,46874
2021-12-17,8.01,6.82,6.77,7.92,506,94425
2021-12-20,7.08,6.29,6.11,7.05,457,67059
2021-12-21,6.64,6.64,6.31,6.31,144,38501
2021-12-22,6.75,6.75,6.46,6.61,39,2601
2021-12-23,6.85,6.77,6.63,6.83,58,7251
2021-12-27,7.73,7.65,6.72,6.85,98,11149
2021-12-28,7.7,7.7,7.1,7.67,84,9460
2021-12-29,7.7,7.7,7.49,7.7,43,3593
2021-12-30,7.7,7.38,7.38,7.7,97,4230
2021-12-31,7.46,7.34,7.34,7.46,20,498
2022-01-03,7.79,7.7,7.38,7.4,250,14520
2022-01-04,7.85,7.77,7.71,7.79,105,6629
2022-01-05,7.77,7.42,7.41,7.77,25,2360
2022-01-06,7.6,7.6,7.2,7.31,96,5523
2022-01-07,7.71,7.71,7.4,7.5,21,2553
2022-01-10,8.2,8.12,7.56,7.6,166,16456
2022-01-11,8.43,8.27,8.1,8.16,118,11577
2022-01-12,8.43,8.35,8.1,8.43,110,12784
2022-01-13,8.43,8.3,8.25,8.43,139,5331
2022-01-14,8.69,8.62,8.1,8.36,136,12706
2022-01-18,9.08,9.0,8.22,8.22,312,17224
2022-01-19,9.1,8.7,8.49,9.0,80,10177
2022-01-20,8.88,8.26,8.26,8.6,46,2426
2022-01-21,8.11,7.09,7.0,8.09,179,18520
2022-01-24,6.95,6.85,6.53,6.66,228,16336
2022-01-25,6.71,6.71,6.56,6.68,85,4146
2022-01-26,6.775,6.54,6.51,6.69,73,3804
2022-01-27,6.5,6.16,6.05,6.5,97,11873
2022-01-28,6.27,6.15,5.72,6.16,124,6376
2022-01-31,6.33,6.21,5.74,6.09,151,14367
2022-02-01,6.48,6.16,6.095,6.31,46,3640
2022-02-02,6.17,6.11,6.11,6.17,8,609
2022-02-03,6.09,5.92,5.5,6.04,175,19171
2022-02-04,5.87,5.775,5.7,5.87,39,4749
2022-02-07,5.75,5.15,5.06,5.75,140,14431
2022-02-08,5.26,5.09,5.04,5.04,77,15355
2022-02-09,5.25,5.07,5.06,5.25,28,2213
2022-02-10,5.12,5.01,4.93,5.0,99,13015
2022-02-11,5.36,5.3,5.015,5.04,48,8234
2022-02-14,5.3,5.15,5.15,5.3,19,2362
2022-02-15,5.41,5.3,5.3,5.3,25,2598
2022-02-16,6.31,6.2,5.3,5.3,78,8883
2022-02-17,6.48,6.26,6.04,6.07,45,3624
2022-02-18,6.61,6.35,6.335,6.4,30,3935
2022-02-22,6.5,5.78,5.78,6.5,20,1286
2022-02-23,5.89,5.64,5.64,5.89,20,1924
2022-02-24,5.41,5.17,5.075,5.41,77,8364
2022-02-25,5.39,5.33,5.2,5.2,19,1606
2022-02-28,5.59,5.15,5.03,5.3,99,9710
2022-03-01,5.2,4.71,4.62,5.19,112,13235
2022-03-02,4.73,4.42,4.39,4.73,62,8764
2022-03-03,4.47,4.42,4.07,4.34,204,28868
2022-03-04,4.59,4.55,4.4,4.4,30,4458
2022-03-07,4.44,4.2,4.12,4.44,64,8077
2022-03-08,4.44,4.33,4.07,4.18,52,2933
2022-03-09,4.44,4.36,4.32,4.44,155,14461
2022-03-10,4.48,4.43,4.28,4.28,15,625
2022-03-11,4.78,4.78,4.49,4.49,42,4707
2022-03-14,4.81,4.31,4.13,4.81,65,3548
2022-03-15,4.44,4.27,4.27,4.31,18,1468
2022-03-16,4.95,4.95,4.56,4.68,67,6359
2022-03-17,5.24,5.24,4.7,4.9,50,6485
2022-03-18,6.06,6.06,5.08,5.2,162,23609
2022-03-21,6.9,6.9,5.98,6.3,125,11832
2022-03-22,6.97,6.95,6.745,6.97,117,4482
2022-03-23,6.99,6.76,6.76,6.99,59,3117
2022-03-24,6.82,6.73,6.51,6.82,44,2948
2022-03-25,6.63,6.52,6.52,6.6,8,1175
2022-03-28,6.57,6.35,6.34,6.57,30,2250
2022-03-29,6.65,6.35,6.35,6.65,16,1308
2022-03-30,6.95,6.65,6.49,6.57,99,5443
2022-03-31,6.775,6.75,6.54,6.54,13,1438
2022-04-01,6.75,6.42,6.42,6.75,37,1236
2022-04-04,6.63,6.43,6.43,6.63,11,907
2022-04-05,6.6,6.28,6.28,6.54,16,448
2022-04-06,6.6,6.45,6.15,6.6,35,1777
2022-04-07,6.4,6.29,6.29,6.4,21,639
2022-04-08,6.47,6.31,6.31,6.4,18,1271
2022-04-11,6.41,6.3,6.3,6.34,52,1273
2022-04-12,6.69,6.55,6.25,6.25,27,1065
2022-04-13,6.48,6.45,6.36,6.48,27,1085
2022-04-14,6.4,6.33,6.33,6.4,8,74
2022-04-18,6.32,6.23,6.23,6.32,25,3041
2022-04-19,6.36,6.09,6.04,6.25,40,1372
2022-04-20,6.1,5.99,5.94,6.1,19,1190
2022-04-21,5.98,5.76,5.5,5.98,11,1927
2022-04-22,5.68,5.66,5.66,5.68,21,561
2022-04-25,5.74,5.73,5.46,5.6,56,4967
2022-04-26,5.7,5.51,5.51,5.7,63,780
2022-04-27,5.99,5.87,5.87,5.92,11,344
2022-04-28,5.97,5.77,5.77,5.97,18,577
2022-04-29,5.97,5.97,5.61,5.61,39,1722
2022-05-02,5.97,5.59,5.59,5.97,13,652
2022-05-03,5.59,5.35,5.27,5.59,40,1462
2022-05-04,5.44,5.355,5.355,5.43,6,271
2022-05-05,5.3,5.26,5.26,5.3,15,3304
2022-05-06,5.19,5.19,5.19,5.19,1,73
2022-05-09,5.44,5.32,5.1,5.1,57,2344
2022-05-10,5.51,5.5,5.29,5.51,36,2265
2022-05-11,5.5,5.36,5.36,5.5,18,161
2022-05-12,5.6,5.57,5.34,5.34,21,1763
2022-05-13,5.6,5.45,5.45,5.6,11,1317
2022-05-16,5.54,5.54,5.5,5.5,9,907
2022-05-17,5.68,5.62,5.6,5.6,43,1512
2022-05-18,5.49,5.41,5.41,5.49,8,245
2022-05-19,5.79,5.79,5.45,5.6,105,1508
2022-05-20,6.46,5.8,5.59,5.99,117,3085
2022-05-23,6.02,6.02,5.8,5.8,58,2948
2022-05-24,7.4,6.69,6.12,6.12,223,24750
2022-05-25,6.75,6.6,6.6,6.75,52,2423
2022-05-26,6.65,6.37,6.3,6.65,21,949
2022-05-27,6.44,6.2,6.2,6.44,4,75
2022-05-31,6.27,6.01,6.01,6.27,19,1266
2022-06-01,6.1,5.65,5.61,6.0,40,5178
2022-06-02,5.61,5.4,5.4,5.6,34,942
2022-06-03,5.71,5.71,5.45,5.45,5,181
2022-06-06,5.87,5.51,5.5,5.85,35,1596
2022-06-07,5.5,5.43,5.33,5.37,36,1740
2022-06-08,5.78,5.78,5.36,5.7,72,2757
2022-06-09,6.24,6.24,5.87,5.87,21,1800
2022-06-10,6.69,6.63,6.1,6.1,31,1063
2022-06-13,7.32,7.0,6.66,6.66,69,5851
2022-06-14,7.06,6.89,6.72,7.06,36,1933
2022-06-15,6.98,6.74,6.74,6.98,13,1321
2022-06-16,6.67,6.54,6.24,6.67,70,1924
2022-06-17,7.24,7.24,6.6,6.66,67,5874
2022-06-21,7.25,6.9,6.9,7.1,30,5027
2022-06-22,7.02,7.01,6.87,7.02,24,4908
2022-06-23,7.13,7.1,6.93,7.01,52,2796
2022-06-24,7.8,7.8,7.13,7.13,84,16831
2022-06-27,7.7,7.5,7.5,7.64,18,2618
2022-06-28,7.6,7.4,7.4,7.6,10,153
2022-06-29,7.53,7.42,7.42,7.53,25,304
2022-06-30,7.52,7.3,7.29,7.52,24,1980
2022-07-01,7.45,7.05,6.79,7.32,44,2642
2022-07-05,7.16,7.16,7.05,7.05,6,182
2022-07-06,7.4,7.23,7.23,7.39,8,765
2022-07-07,7.23,7.23,7.23,7.23,3,237
2022-07-08,7.22,7.12,7.01,7.22,9,283
2022-07-11,8.05,7.65,7.12,7.12,96,21185
2022-07-12,7.65,7.4,7.22,7.65,39,3835
2022-07-13,7.4,7.35,7.19,7.19,25,3138
2022-07-14,7.22,7.08,6.5,7.22,34,5073
2022-07-15,7.14,7.14,6.9,7.14,30,1259
2022-07-18,6.92,6.25,6.25,6.92,57,4257
2022-07-19,6.45,6.01,5.9,6.02,95,3791
2022-07-20,6.115,6.02,5.95,6.0,31,1545
2022-07-21,6.02,5.81,5.76,6.02,44,2606
2022-07-22,5.84,5.81,5.8,5.84,7,241
2022-07-25,5.99,5.65,5.63,5.99,141,2863
2022-07-26,5.89,5.56,5.51,5.89,37,1300
2022-07-27,5.65,5.48,5.45,5.63,39,3950
2022-07-28,5.48,5.3,5.1,5.48,42,7210
2022-07-29,5.45,5.2,5.2,5.3,15,921
2022-08-01,5.27,5.15,5.03,5.27,13,643
2022-08-02,5.43,5.29,5.29,5.43,17,405
2022-08-03,5.34,4.95,4.75,5.34,54,12039
2022-08-04,5.16,5.16,4.96,4.96,10,205
2022-08-05,5.2,5.11,5.11,5.2,17,2021
2022-08-08,5.5,5.41,5.16,5.23,61,17158
2022-08-09,5.45,5.09,5.0,5.4,80,7083
2022-08-10,5.16,5.09,4.78,5.16,30,2313
2022-08-11,5.3,5.3,5.09,5.17,7,357
2022-08-12,5.33,5.18,4.94,5.33,25,2392
2022-08-15,5.43,5.19,5.12,5.43,9,1494
2022-08-16,5.49,5.35,5.19,5.19,18,1657
2022-08-17,5.54,5.37,5.37,5.42,11,354
2022-08-18,5.45,5.41,5.41,5.42,4,811
2022-08-19,5.68,5.68,5.48,5.48,11,623
2022-08-22,5.7,5.63,5.63,5.7,6,295
2022-08-23,5.61,5.52,5.52,5.61,6,409
2022-08-24,5.85,5.85,5.57,5.57,7,278
2022-08-25,5.93,5.93,5.85,5.85,7,269
2022-08-26,5.89,5.73,5.73,5.89,5,74
2022-08-29,5.79,5.75,5.47,5.79,16,868
2022-08-30,5.83,5.52,5.4,5.83,11,1975
2022-08-31,5.56,5.4,5.4,5.46,19,2370
2022-09-01,5.43,5.42,5.42,5.43,5,150
2022-09-02,5.52,5.43,5.43,5.5,31,1526
2022-09-06,5.9,5.78,5.54,5.54,109,3673
2022-09-07,6.69,6.69,5.89,5.89,127,6856
2022-09-08,6.83,6.83,6.52,6.68,76,3329
2022-09-09,7.2,7.02,6.83,6.83,62,3805
2022-09-12,7.4,7.22,7.22,7.31,60,8620
2022-09-13,7.39,7.17,6.34,7.02,94,4061
2022-09-14,7.52,7.22,7.04,7.29,115,10960
2022-09-15,7.49,7.33,7.2,7.26,70,5539
2022-09-16,7.71,7.65,7.34,7.34,136,133997
2022-09-19,7.59,7.59,7.11,7.36,52,5914
2022-09-20,7.57,7.54,7.29,7.57,30,2974
2022-09-21,7.54,7.47,7.45,7.48,19,1374
2022-09-22,7.53,7.49,7.27,7.53,46,2333
2022-09-23,7.4,7.06,6.88,7.4,55,7531
2022-09-26,7.15,7.15,7.06,7.06,28,1974
2022-09-27,7.33,7.17,7.08,7.08,5,213
2022-09-28,7.3,7.27,7.2,7.29,8,809
2022-09-29,7.365,7.25,7.25,7.365,54,1200
2022-09-30,7.37,7.02,6.99,7.18,80,7312
2022-10-03,7.15,7.15,7.12,7.12,37,1439
2022-10-04,7.18,7.1,7.06,7.17,17,1581
2022-10-05,7.07,7.07,7.02,7.02,20,901
2022-10-06,7.19,7.06,7.06,7.19,16,587
2022-10-07,7.25,7.23,7.02,7.11,14,1356
2022-10-10,7.49,7.49,7.21,7.21,19,1225
2022-10-11,7.49,7.31,7.19,7.33,38,3882
2022-10-12,7.49,7.44,7.43,7.43,7,343
2022-10-13,7.445,7.44,7.39,7.39,13,600
2022-10-14,7.66,7.65,7.51,7.66,21,3037
2022-10-17,7.71,7.65,7.57,7.58,57,4864
2022-10-18,7.51,7.51,7.4,7.4,63,1506
2022-10-19,7.73,7.25,7.22,7.73,20,7040
2022-10-20,7.47,7.47,7.42,7.46,17,662
2022-10-21,7.46,7.33,7.14,7.46,39,1924
2022-10-24,7.3,7.3,7.05,7.25,31,446
2022-10-25,7.33,7.18,7.1,7.33,21,479
2022-10-26,7.18,6.92,6.92,7.06,30,1603
2022-10-27,7.26,7.26,7.06,7.06,5,317
2022-10-28,7.36,7.35,7.29,7.29,7,221
2022-10-31,7.18,7.13,7.065,7.18,19,2915
2022-11-01,7.36,7.12,7.12,7.36,14,442
2022-11-02,7.12,7.12,7.12,7.12,3,438
2022-11-03,7.15,7.15,7.07,7.07,28,1232
2022-11-04,7.22,7.09,6.97,7.22,5,124
2022-11-07,7.18,6.91,6.91,7.18,77,7363
2022-11-08,6.86,6.35,6.14,6.86,82,8773
2022-11-09,6.64,6.38,6.31,6.32,19,1089
2022-11-10,6.37,6.0,5.92,6.37,44,1716
2022-11-11,6.02,5.95,5.9,6.02,22,1799
2022-11-14,6.0,5.85,5.76,5.95,33,4852
2022-11-15,5.96,5.92,5.85,5.94,39,812
2022-11-16,6.03,6.03,5.85,5.85,3,339
2022-11-17,6.03,5.98,5.78,6.03,31,2033
2022-11-18,5.98,5.84,5.84,5.98,7,171
2022-11-21,5.84,5.66,5.61,5.84,19,901
2022-11-22,5.66,5.43,5.43,5.66,65,4397
2022-11-23,5.51,5.51,5.5,5.5,5,380
2022-11-25,5.5,5.455,5.455,5.5,31,644
2022-11-28,5.68,5.68,5.47,5.47,17,836
2022-11-29,5.65,5.59,5.46,5.65,25,927
2022-11-30,5.6,5.6,5.46,5.56,14,482
2022-12-01,5.79,5.79,5.45,5.5,27,3024
2022-12-02,5.84,5.79,5.79,5.84,8,270
2022-12-05,6.19,6.19,5.85,5.85,32,819
2022-12-06,6.55,6.37,6.3,6.3,11,718
2022-12-07,6.44,6.39,6.32,6.32,6,393
2022-12-08,6.47,6.47,6.44,6.44,5,330
2022-12-09,6.5,6.45,6.45,6.5,9,404
2022-12-12,6.46,6.42,6.42,6.43,23,1589
2022-12-13,6.42,6.37,6.37,6.42,5,145
2022-12-14,6.35,6.29,6.18,6.35,22,1154
2022-12-15,6.36,6.36,6.15,6.16,9,815
2022-12-16,6.5,6.5,6.41,6.41,8,1666
2022-12-19,6.5,6.42,6.41,6.5,15,1445
2022-12-20,6.38,6.12,6.12,6.38,18,378
2022-12-21,6.4,6.32,6.32,6.4,4,1093
2022-12-22,6.4,6.4,6.3,6.3,6,117
2022-12-23,6.44,6.33,6.33,6.44,7,415
2022-12-27,6.22,6.22,6.22,6.22,1,101
2022-12-28,6.51,6.33,6.33,6.39,6,860
2022-12-29,6.45,6.25,6.25,6.45,2,133
