Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-03-15,250.0,247.25,245.00000000000003,250.0,30,181.64
2021-03-16,259.5,245.00000000000003,245.00000000000003,259.5,98,2748.36
2021-03-17,246.25,246.0,245.00000000000003,246.25,94,1533.84
2021-03-18,247.75,247.5,244.49999999999997,247.5,75,494.8
2021-03-19,247.75,247.75,247.00000000000003,247.00000000000003,9,65.08
2021-03-22,248.74999999999997,246.0,244.74999999999997,248.74999999999997,65,472.4
2021-03-23,246.0,242.75000000000003,242.49999999999997,246.0,70,814.48
2021-03-24,243.00000000000003,242.0,240.75000000000003,243.00000000000003,92,865.68
2021-03-25,242.75000000000003,242.49999999999997,240.75000000000003,242.49999999999997,37,272.84
2021-03-26,246.5,246.5,243.25,245.25,20,79.8
2021-03-29,247.25,245.75,245.25,245.25,19,96.68
2021-03-30,244.74999999999997,242.75000000000003,242.75000000000003,244.74999999999997,49,200.6
2021-03-31,243.25,242.49999999999997,241.5,243.00000000000003,134,1326.76
2021-04-01,246.5,244.0,242.49999999999997,242.49999999999997,49,593.76
2021-04-05,245.00000000000003,243.75,243.25,245.00000000000003,88,543.48
2021-04-06,244.74999999999997,244.49999999999997,243.25,244.74999999999997,29,252.24
2021-04-07,244.49999999999997,243.25,242.75000000000003,244.49999999999997,70,1992.16
2021-04-08,248.25,246.25,244.0,244.49999999999997,132,4291.16
2021-04-09,246.74999999999997,246.25,245.5,246.25,35,205.88
2021-04-12,246.74999999999997,246.25,245.00000000000003,245.25,297,4137.2
2021-04-13,246.74999999999997,246.25,245.5,245.5,52,200.48
2021-04-14,247.25,246.25,246.25,246.25,162,897.76
2021-04-15,247.00000000000003,246.74999999999997,245.75,246.0,97,587.64
2021-04-16,247.00000000000003,247.00000000000003,245.5,246.74999999999997,45,217.6
2021-04-19,246.74999999999997,246.0,245.25,246.5,27,103.84
2021-04-20,246.74999999999997,245.75,244.0,244.0,38,270.4
2021-04-21,246.0,244.74999999999997,243.75,246.0,74,317.8
2021-04-22,247.00000000000003,245.5,245.00000000000003,245.00000000000003,61,453.24
2021-04-23,245.75,244.25,244.25,245.75,8,29.0
2021-04-26,244.875,243.75,243.5,244.49999999999997,122,1223.36
2021-04-27,244.74999999999997,244.74999999999997,244.0,244.0,5,26.24
2021-04-28,245.00000000000003,245.00000000000003,244.49999999999997,244.49999999999997,12,37.8
2021-04-29,247.25,246.5,245.00000000000003,245.00000000000003,85,594.8
2021-04-30,247.25,246.5,246.25,247.25,22,230.04
2021-05-03,247.5,247.25,246.5,247.5,4,4.56
2021-05-04,246.25,246.25,246.25,246.25,1,4.0
2021-05-05,245.75,245.5,245.00000000000003,245.75,18,110.2
2021-05-06,246.25,244.25,244.25,246.25,15,252.48
2021-05-07,245.5,243.75,243.75,245.5,24,221.08
2021-05-10,244.49999999999997,243.75,243.75,244.49999999999997,4,11.08
2021-05-11,243.5,243.00000000000003,243.00000000000003,243.5,13,65.04
2021-05-12,243.75,242.49999999999997,242.49999999999997,243.25,27,485.56
2021-05-13,242.75000000000003,242.75000000000003,242.49999999999997,242.49999999999997,4,82.64
2021-05-14,243.5,242.49999999999997,242.49999999999997,243.00000000000003,6,14.48
2021-05-17,242.75000000000003,242.25,241.37499999999997,242.75000000000003,14,65.28
2021-05-18,242.25,242.25,241.5,241.5,7,66.72
2021-05-19,242.75000000000003,242.49999999999997,242.49999999999997,242.75000000000003,7,59.92
2021-05-20,242.49999999999997,241.75,241.75,242.49999999999997,4,38.0
2021-05-21,244.49999999999997,244.49999999999997,244.49999999999997,244.49999999999997,1,4.0
2021-05-24,242.875,242.875,242.75000000000003,242.75000000000003,3,2.16
2021-05-25,242.49999999999997,242.25,242.25,242.49999999999997,4,16.44
2021-05-26,242.49999999999997,242.49999999999997,241.5,242.49999999999997,43,229.48
2021-05-27,242.25,241.5,241.5,242.25,13,53.04
2021-05-28,241.75,241.75,241.5,241.5,2,0.88
