Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-15,17.24,17.24,17.24,17.24,1,5
2021-07-16,20.0,15.25,14.42,18.04,1487,228950
2021-07-19,15.28,15.16,14.75,15.08,154,11139
2021-07-20,15.5,15.1,15.1,15.5,65,14985
2021-07-21,15.3,15.21,15.05,15.05,30,7906
2021-07-22,15.2,15.2,14.82,15.09,19,7170
2021-07-23,15.5,15.35,15.0,15.25,62,17166
2021-07-26,15.5,15.28,15.04,15.4,29,3717
2021-07-27,15.48,15.2,14.98,15.0,47,7998
2021-07-28,15.05,14.9,14.9,15.05,29,4911
2021-07-29,15.1,15.1,14.9,14.9,32,7735
2021-07-30,15.1,15.0,14.96,15.1,25,3176
2021-08-02,15.0,14.99,14.99,15.0,36,2890
2021-08-03,15.25,15.25,15.0,15.0,14,8517
2021-08-04,15.35,15.25,15.24,15.25,17,851
2021-08-05,15.45,15.12,15.12,15.45,17,1500
2021-08-06,15.1,15.1,15.1,15.1,4,37
2021-08-09,15.44,15.1,15.1,15.3,17,3462
2021-08-10,15.3,15.22,15.22,15.23,10,633
2021-08-11,15.44,15.27,15.25,15.39,54,2145
2021-08-12,15.44,15.39,15.39,15.44,7,428
2021-08-13,15.41,15.41,15.29,15.38,13,1797
2021-08-16,15.44,15.4,15.29,15.29,10,869
2021-08-17,15.43,15.43,15.31,15.39,23,4309
2021-08-18,15.45,15.45,15.32,15.32,23,1266
2021-08-19,15.45,15.45,15.37,15.4,19,959
2021-08-20,15.44,15.44,15.32,15.32,36,1114
2021-08-23,15.45,15.45,15.4,15.4,43,1947
2021-08-24,15.45,15.4,15.3,15.3,13,1142
2021-08-25,15.45,15.35,15.28,15.45,29,4285
2021-08-26,15.42,15.3,15.25,15.29,19,1354
2021-08-27,15.45,15.415,15.31,15.31,27,2143
2021-08-30,15.43,15.4,15.4,15.41,31,3503
2021-08-31,15.5,15.5,15.36,15.36,44,1420
2021-09-01,15.72,15.72,15.57,15.57,11,535
2021-09-02,15.835,15.81,15.77,15.77,56,1845
2021-09-03,15.85,15.85,15.75,15.85,105,6244
2021-09-07,16.0,15.95,15.85,15.85,204,9553
2021-09-08,16.25,16.25,15.98,15.98,43,2175
2021-09-09,17.16,16.72,16.23,16.25,29,1994
2021-09-10,17.5,17.01,17.01,17.5,34,1611
2021-09-13,18.19,17.5,16.78,16.78,42,2609
2021-09-14,18.0,17.75,17.45,17.69,42,2814
2021-09-15,18.44,16.8,16.8,18.44,28,4568
2021-09-16,16.99,16.35,16.35,16.74,25,2029
2021-09-17,17.48,14.92,14.92,17.48,69,34783
2021-09-20,15.5,15.28,15.25,15.25,73,8831
2021-09-21,15.45,15.0,15.0,15.35,57,17792
2021-09-22,15.5,15.46,15.16,15.16,31,1962
2021-09-23,15.98,15.62,15.32,15.32,15,1144
2021-09-24,15.62,15.62,15.62,15.62,21,697
2021-09-27,15.62,15.43,15.43,15.62,6,208
2021-09-28,15.61,15.535,15.53,15.56,21,1131
2021-09-29,15.54,15.51,15.51,15.54,9,183
2021-09-30,15.75,15.45,15.45,15.75,12,682
2021-10-01,15.795,15.4,15.4,15.79,14,564
2021-10-04,15.7,15.43,15.43,15.7,3,1586
2021-10-05,15.49,15.37,15.37,15.49,4,173
2021-10-06,15.49,15.42,15.37,15.37,9,459
2021-10-07,15.6,15.34,15.34,15.42,21,1318
2021-10-08,15.54,15.4,15.34,15.34,27,1736
2021-10-11,15.5,15.4,15.36,15.36,10,1093
2021-10-12,15.415,15.415,15.33,15.33,2,205
2021-10-13,15.5,15.39,15.39,15.5,29,738
2021-10-14,15.4,15.4,15.39,15.39,9,495
2021-10-15,15.45,15.26,15.26,15.39,33,1855
2021-10-18,15.45,15.45,15.02,15.4,6,615
2021-10-19,15.44,15.27,15.27,15.44,4,754
2021-10-20,15.25,15.25,15.25,15.25,3,18
2021-10-21,15.51,15.51,15.5,15.5,8,2286
2021-10-22,15.36,15.36,15.36,15.36,2,16
2021-10-25,15.42,15.27,15.27,15.42,3,67
2021-10-26,15.52,15.38,15.38,15.52,3,263
2021-10-27,15.41,15.35,15.35,15.41,7,351
2021-10-28,15.43,15.43,15.3,15.3,14,3443
2021-10-29,15.34,15.28,15.28,15.34,3,215
2021-11-01,15.49,15.28,15.28,15.4,18,1694
2021-11-02,15.5,15.5,15.31,15.31,4,372
2021-11-03,15.72,15.72,15.45,15.48,28,2009
2021-11-04,15.52,15.5,15.48,15.52,14,479
2021-11-05,15.55,15.425,15.32,15.55,9,267
2021-11-08,15.41,15.35,15.25,15.4,33,2371
2021-11-09,15.75,15.4,15.4,15.75,33,5039
2021-11-10,15.31,15.31,15.31,15.31,1,10
2021-11-11,15.5,15.49,15.49,15.49,10,413
2021-11-12,15.5,15.5,15.5,15.5,3,1016
2021-11-15,15.63,15.47,15.47,15.63,16,596
2021-11-16,15.49,15.3,15.25,15.49,39,6217
2021-11-17,15.45,15.45,15.35,15.35,18,1249
2021-11-18,15.44,15.375,15.375,15.4,40,5211
2021-11-19,15.5,15.4,15.4,15.45,37,6125
2021-11-22,15.49,15.35,15.35,15.49,3,67
2021-11-23,15.49,15.35,15.35,15.49,4,134
2021-11-24,15.49,15.49,15.35,15.35,27,397
2021-11-26,15.35,15.35,15.3,15.3,7,1131
2021-11-29,15.35,15.35,15.35,15.35,36,798
2021-11-30,15.38,15.17,15.17,15.38,11,509
2021-12-01,15.39,15.25,15.11,15.11,11,381
2021-12-02,15.48,15.14,15.14,15.48,8,655
2021-12-03,15.21,15.18,15.15,15.21,6,1114
2021-12-06,15.45,15.45,15.15,15.15,13,173
2021-12-07,15.49,15.27,15.27,15.49,7,99
2021-12-08,15.4,15.34,15.24,15.24,15,543
2021-12-09,15.36,15.2,15.2,15.36,49,5063
2021-12-10,15.48,15.43,15.43,15.48,8,492
2021-12-13,15.49,15.27,15.27,15.49,6,721
2021-12-14,15.49,15.49,15.49,15.49,6,67
2021-12-15,15.48,15.3,15.3,15.48,6,340
2021-12-16,15.5,15.46,15.46,15.5,12,2144
2021-12-17,15.49,15.49,15.49,15.49,8,1021
2021-12-20,15.5,15.5,15.15,15.15,13,1091
2021-12-21,15.5,15.5,15.25,15.5,63,12390
2021-12-22,15.5,15.4,15.37,15.5,97,17037
2021-12-23,15.5,15.5,15.29,15.48,40,8487
2021-12-27,15.5,15.44,15.44,15.5,28,1590
2021-12-28,15.5,15.5,15.5,15.5,1,8
2021-12-29,15.5,15.44,15.44,15.5,6,257
2021-12-30,15.5,15.45,15.38,15.38,13,392
2021-12-31,15.5,15.46,15.46,15.49,16,443
2022-01-03,15.97,15.85,15.46,15.46,32,1417
2022-01-04,15.8,15.69,15.69,15.8,22,2046
2022-01-05,15.65,15.65,15.51,15.51,13,123
2022-01-06,15.66,15.66,15.51,15.51,18,136
2022-01-07,15.6,15.6,15.59,15.59,18,1197
2022-01-10,15.8,15.8,15.46,15.46,31,6704
2022-01-11,15.8,15.8,15.8,15.8,7,51
2022-01-12,15.8,15.8,15.8,15.8,6,59
2022-01-13,15.78,15.78,15.61,15.62,9,546
2022-01-14,15.8,15.77,15.66,15.66,6,343
2022-01-18,15.695,15.695,15.67,15.67,4,37
2022-01-19,16.29,16.29,15.77,15.77,21,11480
2022-01-20,16.11,16.06,16.06,16.11,10,303
2022-01-21,16.11,15.66,15.66,16.11,5,215
2022-01-24,15.9,15.68,15.68,15.9,16,156
2022-01-25,15.95,15.85,15.85,15.95,2,29
2022-01-26,16.15,16.15,15.66,15.66,10,111
2022-01-27,16.06,16.06,15.88,15.88,4,43
2022-01-28,16.02,16.02,16.02,16.02,4,23
2022-01-31,16.09,16.09,16.09,16.09,1,2
2022-02-01,16.73,16.6,15.94,15.97,24,2209
2022-02-02,16.87,16.8,16.41,16.41,17,966
2022-02-03,16.9,16.9,16.78,16.78,12,348
2022-02-04,17.99,16.55,16.55,17.99,20,621
2022-02-07,17.505,17.46,16.9,16.9,70,8169
2022-02-08,17.3,17.2,17.2,17.3,4,1203
2022-02-09,17.46,17.46,17.46,17.46,1,2
2022-02-10,17.65,17.4,17.4,17.65,2,101
2022-02-11,17.5,17.5,17.42,17.42,5,118
2022-02-14,17.62,17.39,17.39,17.62,9,194
2022-02-15,18.0,17.55,17.55,17.74,15,792
2022-02-16,18.0,17.53,17.53,18.0,9,251
2022-02-17,18.0,17.54,17.52,18.0,5,206
2022-02-18,17.95,17.95,17.95,17.95,1,26
2022-02-22,17.84,17.52,17.5,17.84,16,642
2022-02-23,17.79,17.55,17.55,17.79,7,120
2022-02-24,18.0,17.34,17.34,17.96,7,1062
2022-02-25,17.69,17.55,17.55,17.69,3,85
2022-02-28,18.0,17.5,17.5,18.0,7,537
2022-03-01,17.6,17.14,17.14,17.6,11,909
2022-03-02,17.73,17.15,17.15,17.73,5,233
2022-03-03,17.59,17.5,17.5,17.59,7,128
2022-03-04,17.45,17.1,17.1,17.45,27,484
2022-03-07,17.48,17.2,17.2,17.2,32,666
2022-03-08,17.59,17.235,17.1,17.59,11,959
2022-03-09,17.66,17.66,17.35,17.35,8,117
2022-03-10,17.96,17.96,17.22,17.22,12,24
2022-03-11,17.65,17.6,17.52,17.52,16,417
2022-03-14,17.9,17.31,17.31,17.9,13,317
2022-03-15,17.86,17.1,17.1,17.86,51,1468
2022-03-16,17.25,17.25,17.175,17.175,8,682
2022-03-17,17.31,17.31,17.1,17.31,8,499
2022-03-18,17.5,17.5,17.205,17.26,48,9686
2022-03-21,17.45,17.45,17.28,17.28,6,381
2022-03-22,17.97,17.5,17.5,17.5,26,1570
2022-03-23,18.0,17.15,17.15,17.46,20,1297
2022-03-24,18.88,17.65,17.16,17.16,11,260
2022-03-25,18.25,17.6,17.55,17.78,21,2512
2022-03-28,18.39,18.05,18.05,18.39,9,175
2022-03-29,18.86,18.25,18.25,18.86,5,21
2022-03-30,18.94,17.91,17.29,17.76,57,804
2022-03-31,18.04,18.04,17.98,17.98,18,169
2022-04-01,18.98,18.22,18.22,18.98,11,77
2022-04-04,18.98,18.79,18.79,18.98,7,47
2022-04-05,18.8,18.35,18.35,18.8,17,1272
2022-04-06,18.51,17.67,17.67,18.51,46,488
2022-04-07,17.97,17.77,17.77,17.97,37,149
2022-04-08,18.14,17.55,17.36,18.14,11,335
2022-04-11,17.75,17.32,17.32,17.75,2,2
2022-04-12,17.73,17.73,17.1,17.55,14,1056
2022-04-13,17.75,17.75,17.75,17.75,7,1000
2022-04-14,17.75,17.21,17.21,17.67,5,1203
2022-04-18,17.75,17.75,17.75,17.75,3,101
2022-04-19,17.75,17.36,17.36,17.75,3,9
2022-04-20,17.6,17.6,17.6,17.6,1,200
2022-04-21,17.58,17.1,17.1,17.58,8,605
2022-04-22,17.15,17.1,17.1,17.15,5,402
2022-04-25,17.75,17.75,17.1,17.1,12,1505
2022-04-26,17.18,17.18,17.14,17.17,5,274
2022-04-27,17.27,16.55,16.55,17.27,4,432
2022-04-28,17.75,17.14,17.1,17.1,5,562
2022-04-29,17.7,17.7,17.62,17.62,2,102
2022-05-02,17.15,17.15,17.15,17.15,4,116
2022-05-03,17.45,17.45,17.25,17.25,2,122
2022-05-04,17.28,17.03,17.03,17.28,3,342
2022-05-06,17.72,17.72,17.05,17.05,5,700
2022-05-09,17.66,17.01,17.01,17.66,3,17
2022-05-10,17.11,17.11,17.02,17.02,8,564
2022-05-11,17.2,16.6,16.6,17.2,4,29
2022-05-12,16.81,16.51,16.5,16.81,6,344
2022-05-13,17.04,17.04,16.82,16.82,4,127
2022-05-16,17.04,16.5,16.5,17.04,13,245
2022-05-17,16.73,16.41,16.41,16.73,12,637
2022-05-18,16.2,15.66,15.66,16.2,5,104
2022-05-19,16.33,15.85,15.85,16.33,5,23
2022-05-20,16.42,15.85,15.85,16.42,3,9
2022-05-24,15.76,15.76,15.76,15.76,1,3
2022-05-25,16.4,16.2,16.2,16.4,2,4
2022-05-26,16.66,16.5,15.7,16.66,21,361
2022-05-27,16.85,16.6,16.6,16.85,5,17
2022-05-31,16.48,16.25,16.25,16.48,4,187
2022-06-01,16.55,16.55,16.26,16.26,4,8
2022-06-02,16.97,16.06,16.06,16.65,11,228
2022-06-03,16.53,16.11,16.11,16.53,9,225
2022-06-06,16.75,16.36,16.36,16.55,19,465
2022-06-07,16.8,16.46,16.46,16.46,15,1001
2022-06-08,16.46,16.46,16.06,16.11,9,2414
2022-06-09,16.33,16.33,16.33,16.33,1,19
2022-06-10,16.46,16.09,16.09,16.46,3,20
2022-06-13,16.39,16.08,16.08,16.39,4,154
2022-06-14,16.18,15.85,15.85,16.18,15,2190
2022-06-15,16.11,15.85,15.85,16.11,27,4461
2022-06-16,15.875,15.85,15.76,15.76,10,1108
2022-06-17,16.48,16.48,15.77,15.77,16,2220
2022-06-21,16.66,16.66,16.65,16.65,3,100
2022-06-22,16.7,16.7,16.44,16.44,6,55
2022-06-23,16.66,15.85,15.85,16.66,4,26
2022-06-24,16.51,15.9,15.9,16.51,10,2079
2022-06-27,16.17,16.17,15.98,15.98,21,5073
2022-06-28,16.42,16.17,16.17,16.42,2,24
2022-06-29,16.46,16.46,16.46,16.46,1,1
2022-06-30,16.47,16.47,16.17,16.17,2,164
2022-07-01,16.47,16.47,16.17,16.17,2,162
2022-07-05,16.2,16.17,16.17,16.2,2,123
2022-07-06,16.43,16.17,16.17,16.19,5,354
2022-07-07,16.39,16.2,16.2,16.39,4,7
2022-07-08,16.47,16.47,16.45,16.45,5,105
2022-07-12,16.47,16.47,16.2,16.2,3,155
2022-07-13,16.4,16.2,16.2,16.4,2,4
2022-07-14,16.2,16.01,16.01,16.2,3,500
2022-07-15,16.44,15.96,15.96,16.15,5,109
2022-07-18,16.42,15.98,15.98,16.42,2,4
2022-07-19,16.05,16.05,16.05,16.05,7,90
2022-07-20,16.02,16.02,16.02,16.02,1,67
2022-07-21,16.06,16.05,16.05,16.06,2,22
2022-07-22,16.2,16.2,15.97,15.97,2,4
2022-07-25,16.24,15.98,15.98,16.24,3,44
2022-07-26,16.19,16.0,16.0,16.19,4,89
2022-07-27,16.02,16.02,15.91,15.98,13,1135
2022-07-28,16.02,15.91,15.91,16.02,5,189
2022-07-29,15.98,15.98,15.91,15.91,6,273
2022-08-01,15.91,15.75,15.75,15.91,2,9
2022-08-02,16.2,15.81,15.81,16.2,16,507
2022-08-03,15.81,15.81,15.81,15.81,1,47
2022-08-04,15.95,15.95,15.81,15.81,24,1883
2022-08-05,16.0,16.0,15.83,15.83,2,4
2022-08-08,15.98,15.98,15.97,15.97,3,13
2022-08-09,15.84,15.81,15.81,15.84,10,174
2022-08-10,15.81,15.81,15.75,15.75,4,472
2022-08-11,15.88,15.88,15.87,15.87,5,104
2022-08-15,16.0,16.0,15.75,15.75,16,20
2022-08-16,15.98,15.77,15.77,15.97,3,489
2022-08-17,15.9,15.81,15.81,15.9,6,113
2022-08-18,16.14,15.93,15.9,15.9,3,237
2022-08-19,16.25,16.24,16.05,16.05,5,372
2022-08-22,16.2,15.86,15.86,16.2,2,104
2022-08-24,16.18,16.01,16.01,16.18,3,102
2022-08-25,16.41,16.4,16.4,16.41,2,1563
2022-08-29,16.17,16.01,16.01,16.17,3,78
2022-08-31,16.2,16.0,16.0,16.2,4,478
2022-09-01,16.0,16.0,16.0,16.0,2,238
2022-09-02,16.38,16.38,16.26,16.26,2,30
2022-09-06,16.29,16.29,16.08,16.08,14,91
2022-09-07,15.95,15.85,15.85,15.95,31,228
2022-09-08,15.86,15.85,15.85,15.86,37,629
2022-09-09,15.885,15.85,15.85,15.85,84,1458
2022-09-12,15.92,15.85,15.85,15.92,44,3204
2022-09-13,15.92,15.86,15.8,15.8,26,527
2022-09-14,16.18,15.66,15.66,16.18,23,1307
2022-09-15,15.94,15.94,15.81,15.81,3,175
2022-09-16,16.05,16.05,15.74,15.74,50,9928
2022-09-19,16.01,16.01,15.73,15.73,13,203
2022-09-20,15.9,15.9,15.81,15.81,7,121
2022-09-21,15.88,15.88,15.88,15.88,6,44
2022-09-22,15.74,15.74,15.71,15.71,17,2702
2022-09-23,15.87,15.71,15.71,15.87,4,37
2022-09-26,15.82,15.82,15.69,15.69,7,82
2022-09-27,15.73,15.64,15.64,15.73,22,1252
2022-09-28,15.61,15.56,15.56,15.61,8,44
2022-09-29,15.96,15.94,15.94,15.96,11,67
2022-09-30,15.56,15.52,15.52,15.56,9,892
2022-10-03,15.63,15.63,15.52,15.53,8,1384
2022-10-04,15.88,15.52,15.52,15.88,8,218
2022-10-05,15.52,15.52,15.52,15.52,6,189
2022-10-06,15.52,15.52,15.52,15.52,7,144
2022-10-07,15.54,15.54,15.52,15.52,3,88
2022-10-10,15.52,15.52,15.52,15.52,1,10
2022-10-11,15.52,15.34,15.31,15.52,19,7797
2022-10-13,15.4,15.4,15.37,15.37,6,148
2022-10-14,15.5,15.5,15.385,15.385,5,909
2022-10-17,15.49,15.37,15.37,15.49,7,52
2022-10-18,15.5,15.38,15.38,15.5,2,36
2022-10-19,15.45,15.42,15.42,15.45,8,329
2022-10-20,15.54,15.49,15.42,15.54,15,1306
2022-10-21,15.41,15.4,15.4,15.41,4,45
2022-10-24,15.5,15.5,15.45,15.45,3,9
2022-10-25,15.45,15.45,15.43,15.43,4,4
2022-10-26,15.4,15.38,15.38,15.4,6,61
2022-10-27,15.38,15.38,15.36,15.36,7,1095
2022-10-28,15.45,15.45,15.36,15.36,29,162
2022-10-31,15.36,15.36,15.36,15.36,8,273
2022-11-01,15.43,15.43,15.37,15.37,2,2
2022-11-02,15.355,15.355,15.31,15.31,6,71
2022-11-03,15.45,15.45,15.43,15.43,2,2
2022-11-04,15.44,15.33,15.31,15.44,7,173
2022-11-07,15.31,15.31,15.31,15.31,12,1021
2022-11-08,15.32,15.32,15.3,15.3,4,82
2022-11-09,15.325,15.325,15.31,15.31,76,1751
2022-11-10,15.34,15.32,15.32,15.34,23,410
2022-11-11,15.33,15.31,15.31,15.33,13,446
2022-11-14,15.34,15.31,15.31,15.31,26,810
2022-11-15,15.38,15.38,15.31,15.32,7,1085
2022-11-16,15.35,15.35,15.35,15.35,4,115
2022-11-17,15.38,15.38,15.32,15.32,3,3
2022-11-18,15.38,15.38,15.36,15.38,4,236
2022-11-21,15.36,15.36,15.36,15.36,4,166
2022-11-22,15.46,15.36,15.36,15.46,7,1639
2022-11-23,15.38,15.38,15.38,15.38,2,101
2022-11-25,15.37,15.37,15.36,15.36,2,4
2022-11-28,15.4,15.4,15.36,15.36,2,2
2022-11-30,15.41,15.41,15.37,15.41,4,113
2022-12-01,15.39,15.37,15.37,15.39,2,11
2022-12-02,15.385,15.385,15.37,15.37,5,12
2022-12-05,15.37,15.37,15.35,15.35,6,49
2022-12-06,15.375,15.375,15.31,15.31,3,7
2022-12-08,15.385,15.385,15.37,15.37,7,174
2022-12-09,15.4,15.4,15.37,15.37,6,208
2022-12-12,15.46,15.44,15.37,15.46,5,295
2022-12-13,15.37,15.37,15.37,15.37,3,7
2022-12-14,15.46,15.46,15.37,15.37,23,3329
