Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-12-09,9.97,9.95,9.95,9.96,683,2082316
2021-12-10,9.97,9.965,9.95,9.95,78,75316
2021-12-13,9.98,9.97,9.95,9.95,25,37244
2021-12-14,9.99,9.99,9.97,9.97,54,75940
2021-12-15,9.97,9.97,9.95,9.95,19,17269
2021-12-16,9.965,9.965,9.94,9.95,11,5557
2021-12-17,9.94,9.94,9.93,9.94,9,3724
2021-12-20,9.94,9.94,9.9,9.9,3,65
2021-12-21,9.95,9.93,9.93,9.95,88,2772
2021-12-22,9.95,9.93,9.93,9.94,33,17098
2021-12-23,9.99,9.99,9.94,9.95,84,120506
2021-12-27,10.0,10.0,9.97,9.97,85,7938
2021-12-28,10.0,10.0,10.0,10.0,1,301
2021-12-29,10.01,9.96,9.96,9.96,9,4380
2021-12-31,9.98,9.96,9.91,9.98,19,119685
2022-01-03,9.99,9.95,9.95,9.99,3,988
2022-01-05,10.0,10.0,9.98,9.98,3,510
2022-01-06,10.0,9.98,9.98,9.99,9,5940
2022-01-07,10.0,9.99,9.99,10.0,10,345
2022-01-10,10.0,9.99,9.96,9.98,15,14276
2022-01-11,10.0,9.99,9.99,10.0,5,1475
2022-01-12,10.0,9.97,9.96,9.98,73,73984
2022-01-13,9.99,9.99,9.98,9.99,14,441
2022-01-14,9.98,9.97,9.97,9.98,5,2019
2022-01-18,9.97,9.96,9.96,9.97,7,6620
2022-01-19,9.91,9.91,9.91,9.91,1,563
2022-01-20,9.96,9.96,9.91,9.95,17,7325
2022-01-21,9.99,9.99,9.99,9.99,1,3
2022-01-24,9.96,9.96,9.95,9.96,59,20188
2022-01-25,9.96,9.96,9.96,9.96,1,1
2022-01-26,9.99,9.99,9.99,9.99,1,100
2022-01-27,9.95,9.95,9.91,9.91,2,124
2022-01-28,9.9,9.9,9.9,9.9,1,699
2022-01-31,9.99,9.99,9.93,9.93,4,487
2022-02-02,10.0,9.98,9.98,10.0,15,21285
2022-02-03,9.99,9.99,9.97,9.97,2,2
2022-02-07,9.99,9.99,9.9,9.9,3,244
2022-02-08,9.99,9.95,9.95,9.99,3,12
2022-02-09,9.99,9.99,9.99,9.99,10,4825
2022-02-11,9.99,9.99,9.99,9.99,1,25
2022-02-14,10.0,9.99,9.98,10.0,9,516
2022-02-15,9.94,9.94,9.9,9.92,4,161
2022-02-17,9.99,9.95,9.95,9.99,2,21
2022-02-18,9.95,9.95,9.95,9.95,2,39
2022-02-22,9.96,9.96,9.92,9.92,7,1384
2022-02-24,9.96,9.95,9.9,9.9,18,30709
2022-03-01,9.97,9.96,9.95,9.95,5,883
2022-03-02,9.96,9.96,9.9,9.9,3,2122
2022-03-03,,,,,2,278
2022-03-04,9.97,9.97,9.96,9.96,15,254
2022-03-07,9.99,9.99,9.99,9.99,3,11
2022-03-08,9.97,9.97,9.95,9.95,3,107
2022-03-09,9.97,9.97,9.97,9.97,2,8
2022-03-11,9.95,9.95,9.95,9.95,1,2
2022-03-14,9.97,9.97,9.97,9.97,1,6
2022-03-21,9.95,9.95,9.92,9.92,3,6
2022-03-22,9.97,9.97,9.94,9.94,3,5
2022-03-24,9.97,9.97,9.94,9.94,5,12
2022-03-29,9.97,9.97,9.94,9.94,3,209
2022-03-31,10.0,9.97,9.97,10.0,7,647
2022-04-05,9.97,9.97,9.97,9.97,3,37
2022-04-06,9.97,9.95,9.94,9.97,12,746
2022-04-07,10.0,10.0,9.95,9.95,14,72010
2022-04-08,10.0,10.0,9.98,9.98,5,972
2022-04-11,10.03,10.01,10.01,10.03,4,39
2022-04-12,10.0,10.0,9.97,9.98,19,4237
2022-04-13,10.1,10.05,9.99,10.0,21,9833
2022-04-14,10.1,10.02,10.0,10.1,32,1551
2022-04-18,10.14,10.0,10.0,10.14,23,2093
2022-04-19,10.03,10.03,10.03,10.03,4,702
2022-04-20,10.04,10.04,10.02,10.02,5,55
2022-04-21,9.97,9.97,9.97,9.97,1,3
2022-04-22,10.06,10.0,10.0,10.06,3,14
2022-04-27,10.09,10.09,10.09,10.09,1,248
2022-04-29,10.09,9.98,9.97,10.09,33,11316
2022-05-02,10.03,10.01,10.01,10.02,4,225
2022-05-03,10.01,10.01,10.01,10.01,1,175
2022-05-04,10.05,10.02,10.02,10.05,2,5
2022-05-05,10.0,10.0,10.0,10.0,1,2
2022-05-06,10.02,10.02,10.0,10.0,4,108
2022-05-09,10.0,10.0,10.0,10.0,3,124
2022-05-10,10.02,10.01,10.01,10.02,5,55
2022-05-11,9.97,9.97,9.97,9.97,1,10
2022-05-12,9.94,9.94,9.94,9.94,1,8
2022-05-13,9.95,9.95,9.9,9.91,12,5600
2022-05-16,9.91,9.91,9.9,9.9,3,210
2022-05-17,9.94,9.94,9.88,9.9,32,7098
2022-05-19,9.93,9.93,9.93,9.93,3,428
2022-05-20,9.93,9.93,9.93,9.93,1,1
2022-05-25,9.94,9.94,9.94,9.94,1,600
2022-05-26,9.97,9.97,9.97,9.97,4,602
2022-05-31,9.94,9.94,9.94,9.94,3,3770
2022-06-01,9.95,9.95,9.94,9.94,3,12759
2022-06-02,9.97,9.97,9.94,9.95,43,26489
2022-06-06,9.99,9.92,9.92,9.99,6,370
2022-06-07,9.95,9.94,9.94,9.94,8,5210
2022-06-08,10.05,9.95,9.95,10.05,5,601
2022-06-13,9.96,9.95,9.95,9.95,8,5646
2022-06-14,9.95,9.94,9.94,9.95,27,25016
2022-06-15,9.93,9.93,9.93,9.93,3,548
2022-06-16,9.96,9.96,9.94,9.94,3,7502
2022-06-17,9.99,9.99,9.94,9.94,7,6891
2022-06-21,9.96,9.96,9.96,9.96,2,2
2022-06-27,9.93,9.93,9.93,9.93,1,3
2022-07-05,9.94,9.94,9.94,9.94,2,4
2022-07-15,10.0,10.0,9.99,9.99,3,1100
2022-07-26,10.0,10.0,9.99,10.0,11,1100
