Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-11-11,6.1,5.19,4.5,6.0,3131,956052
2021-11-12,5.69,5.5,5.02,5.02,1960,580547
2021-11-15,5.75,5.47,5.35,5.43,1120,334588
2021-11-16,5.9,5.58,5.5,5.5,847,163760
2021-11-17,5.5,5.17,5.05,5.44,1198,306435
2021-11-18,5.53,4.56,4.44,5.18,2244,591133
2021-11-19,5.08,4.61,4.27,4.55,1713,376265
2021-11-22,4.48,3.7,3.33,4.42,1122,219252
2021-11-23,4.24,3.82,3.37,3.73,871,167660
2021-11-24,3.79,3.67,3.52,3.61,246,43948
2021-11-26,3.64,3.49,3.4,3.48,161,38507
2021-11-29,3.78,3.77,3.45,3.45,321,55127
2021-11-30,3.91,3.56,3.33,3.72,421,67141
2021-12-01,4.12,3.55,3.48,3.63,769,166211
2021-12-02,4.13,4.045,3.51,3.54,780,144096
2021-12-03,4.52,4.18,4.02,4.25,958,211204
2021-12-06,4.45,4.36,3.92,4.06,1103,218710
2021-12-07,4.91,4.68,4.41,4.44,1229,283747
2021-12-08,4.87,4.7,4.57,4.81,1025,180988
2021-12-09,5.08,4.58,4.36,4.6,1126,212082
2021-12-10,4.78,4.4,4.32,4.53,583,99844
2021-12-13,4.62,4.48,4.26,4.36,539,108082
2021-12-14,4.66,4.59,4.33,4.44,468,97978
2021-12-15,4.51,4.47,4.34,4.51,167,31092
2021-12-16,4.48,4.44,4.355,4.44,101,11886
2021-12-17,4.54,4.28,4.28,4.37,294,92408
2021-12-20,4.43,4.37,4.23,4.3,319,56748
2021-12-21,4.43,4.26,4.22,4.4,370,81022
2021-12-22,4.42,4.22,4.135,4.28,372,65538
2021-12-23,4.28,4.01,3.97,4.16,491,77849
2021-12-27,4.14,3.82,3.75,4.14,302,53764
2021-12-28,3.99,3.94,3.77,3.81,303,53064
2021-12-29,3.9,3.85,3.8,3.9,91,11393
2021-12-30,3.92,3.81,3.79,3.81,94,32653
2021-12-31,3.95,3.88,3.65,3.78,211,25303
2022-01-03,4.05,4.05,3.84,3.87,155,51631
