Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-03-28,14.34,13.98,11.77,13.0,9326,3795472
2014-03-31,14.82,13.65,13.61,14.49,996,148900
2014-04-01,14.1,14.06,13.65,13.65,374,55012
2014-04-02,15.61,15.61,13.965,14.1,673,91146
2014-04-03,15.85,14.15,13.29,15.85,807,112522
2014-04-04,14.12,13.06,13.0,13.89,523,72451
2014-04-07,13.38,12.99,12.83,13.05,280,63921
2014-04-08,13.24,13.01,12.86,13.24,162,21229
2014-04-09,13.31,12.97,12.67,13.31,113,22839
2014-04-10,13.18,13.08,12.71,12.89,84,10942
2014-04-11,13.27,12.94,12.57,13.27,299,36036
2014-04-14,13.3,12.85,12.82,13.3,201,24719
2014-04-15,13.4,12.6,12.0,13.4,451,89312
2014-04-16,12.7,12.52,12.02,12.02,137,17877
2014-04-17,13.19,13.06,12.35,12.4,178,19378
2014-04-21,13.3,13.1,13.02,13.3,45,7415
2014-04-22,14.64,14.17,13.34,13.34,494,70539
2014-04-23,14.85,14.395,14.24,14.33,232,33302
2014-04-24,14.77,14.7,14.22,14.52,226,33972
2014-04-25,14.95,14.86,14.32,14.71,156,17702
2014-04-28,15.47,15.02,14.51,14.67,410,46515
2014-04-29,15.29,14.98,14.73,14.97,274,38639
2014-04-30,15.2,14.92,14.54,15.2,201,25596
2014-05-01,15.37,15.34,14.8,14.8,83,17054
2014-05-02,15.75,15.18,15.07,15.39,186,25392
2014-05-05,15.26,15.15,14.97,14.97,205,26005
2014-05-06,15.35,14.85,14.5,15.0,171,23167
2014-05-07,15.49,12.5,12.33,15.09,560,68362
2014-05-08,13.12,12.09,12.02,12.95,187,38862
2014-05-09,12.12,10.93,10.76,12.09,378,49876
2014-05-12,11.2,10.77,10.6,10.76,364,65561
2014-05-13,13.65,13.35,10.75,10.75,864,131360
2014-05-14,14.16,13.67,13.0,13.23,637,60725
2014-05-15,13.68,13.46,13.2,13.68,327,31642
2014-05-16,13.7,13.5,13.16,13.43,122,14104
2014-05-19,13.73,13.55,13.49,13.5,196,16932
2014-05-20,13.62,13.4,13.27,13.45,164,36323
2014-05-21,13.73,13.58,13.39,13.44,305,17263
2014-05-22,13.63,13.34,13.31,13.54,325,23802
2014-05-23,13.51,13.28,13.17,13.37,451,31423
2014-05-27,13.79,13.63,13.29,13.29,184,17006
2014-05-28,14.24,13.59,13.55,13.59,196,19830
2014-05-29,14.44,14.24,13.54,13.71,236,17102
2014-05-30,14.53,14.44,13.98,14.33,305,28795
2014-06-02,14.67,14.63,14.37,14.39,268,18953
2014-06-03,14.65,13.85,13.7,14.65,456,26151
2014-06-04,13.89,13.2,13.14,13.89,555,52815
2014-06-05,13.99,13.72,13.15,13.3,277,21967
2014-06-06,14.04,14.04,13.65,13.67,260,16654
2014-06-09,14.24,13.71,13.64,14.1,284,18791
2014-06-10,13.665,13.22,13.04,13.665,268,33245
2014-06-11,14.14,14.09,13.17,13.17,345,28400
2014-06-12,14.24,13.96,13.735,14.24,466,33681
2014-06-13,14.12,14.01,13.84,13.93,259,14821
2014-06-16,14.39,13.95,13.87,14.0,427,29631
2014-06-17,14.69,14.61,13.92,13.97,488,40763
2014-06-18,14.6,14.56,14.14,14.57,251,18414
2014-06-19,14.79,14.79,14.31,14.6,224,26045
2014-06-20,15.79,15.35,14.7,14.82,829,294352
2014-06-23,16.75,16.62,15.31,15.31,556,58796
2014-06-24,17.58,16.61,16.41,16.65,1129,101697
2014-06-25,16.78,16.64,16.31,16.64,522,54935
2014-06-26,16.81,16.46,16.32,16.62,999,45831
2014-06-27,16.685,15.47,15.45,16.46,939,589672
2014-06-30,16.9,16.81,15.27,15.7,813,75665
2014-07-01,16.95,16.08,15.88,16.95,563,43608
2014-07-02,17.32,16.65,16.02,16.02,582,65667
2014-07-03,16.9,16.6,16.33,16.65,195,14803
2014-07-07,16.66,15.64,15.6,16.61,256,24535
2014-07-08,15.86,14.77,14.42,15.7,784,65016
2014-07-09,14.76,14.13,13.83,14.76,450,48440
2014-07-10,14.35,14.31,13.4,13.74,627,45607
2014-07-11,14.55,14.45,14.11,14.33,358,35351
2014-07-14,14.73,14.5,14.35,14.58,306,32951
2014-07-15,14.46,14.13,14.085,14.46,520,34646
2014-07-16,14.25,13.96,13.91,14.25,465,41356
2014-07-17,13.89,13.5,13.33,13.89,653,61609
2014-07-18,13.55,13.5,13.38,13.4,502,51935
2014-07-21,13.52,13.32,13.08,13.46,531,48590
2014-07-22,13.72,13.65,13.32,13.4,347,31758
2014-07-23,13.87,13.72,13.64,13.72,286,20321
2014-07-24,13.71,13.56,13.54,13.66,490,47735
2014-07-25,14.41,14.37,13.69,13.76,554,48955
2014-07-28,14.55,14.28,14.05,14.43,377,33462
2014-07-29,14.53,14.37,14.17,14.27,459,33750
2014-07-30,14.55,14.41,14.28,14.55,220,20754
2014-07-31,14.22,14.06,13.98,14.22,401,39817
2014-08-01,14.1,13.71,13.53,14.1,361,36357
2014-08-04,14.05,13.82,13.71,13.72,352,30531
2014-08-05,13.85,13.64,13.26,13.7,522,131126
2014-08-06,14.3,14.21,13.5,13.52,328,28396
2014-08-07,16.7,16.54,14.09,14.53,950,113031
2014-08-08,17.175,17.08,16.06,16.6,658,63670
2014-08-11,16.86,16.82,15.92,15.94,625,58608
2014-08-12,16.8,16.34,16.13,16.8,498,39799
2014-08-13,16.98,16.81,16.04,16.34,310,30936
2014-08-14,18.42,18.04,16.48,16.84,643,68309
2014-08-15,18.29,17.87,17.6,18.29,226,21487
2014-08-18,18.3,18.28,17.99,18.0,250,34535
2014-08-19,18.81,18.57,17.91,18.28,427,26098
2014-08-20,19.34,19.21,17.95,18.41,616,56502
2014-08-21,19.47,19.4,18.89,19.33,368,31745
2014-08-22,19.7,19.48,19.4,19.41,191,15915
2014-08-25,20.2,19.94,19.36,19.69,492,25778
2014-08-26,20.09,19.5,19.21,20.05,550,45893
2014-08-27,19.47,18.75,18.74,19.45,265,23607
