Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-23,11.1,10.82,10.7,10.7,1001,507695
2021-07-26,10.9,10.66,10.59,10.7,154,15531
2021-07-27,10.7,10.6,10.6,10.66,59,6436
2021-07-28,10.75,10.57,10.57,10.75,121,55185
2021-07-29,10.85,10.85,10.7,10.73,66,8392
2021-07-30,10.9,10.6,10.6,10.8,41,12552
2021-08-02,10.83,10.83,10.56,10.7,40,6358
2021-08-03,10.88,10.73,10.73,10.88,22,65207
2021-08-04,10.87,10.87,10.74,10.74,50,9102
2021-08-05,10.99,10.99,10.73,10.97,20,14175
2021-08-06,11.1,10.95,10.8,11.1,17,1416
2021-08-09,11.0,10.95,10.95,10.96,51,2225
2021-08-10,10.95,10.895,10.73,10.95,48,3918
2021-08-11,11.0,10.98,10.9,10.98,63,4839
2021-08-12,12.0,11.6,10.99,11.06,72,13968
2021-08-13,11.855,11.36,11.36,11.64,26,4167
2021-08-16,11.6,11.18,11.18,11.6,3,187
2021-08-17,11.64,11.5,11.21,11.21,108,9530
2021-08-18,12.45,12.4,11.5,11.5,26,4015
2021-08-19,12.4,12.0,12.0,12.4,83,12443
2021-08-20,12.4,12.39,12.0,12.11,208,13257
2021-08-23,12.57,12.5,12.35,12.4,246,15946
2021-08-24,13.35,12.85,12.39,12.43,127,10312
2021-08-25,13.78,13.78,12.65,12.98,58,3870
2021-08-26,13.97,13.91,12.57,13.85,58,6163
2021-08-27,13.8,13.1,13.08,13.8,49,3413
2021-08-30,13.04,12.71,12.56,13.04,44,2269
2021-08-31,13.2,13.1,12.75,12.75,270,17394
2021-09-01,13.1,12.93,12.86,13.1,139,14925
2021-09-02,13.2,12.97,12.9,12.9,185,7889
2021-09-03,13.2,12.94,12.94,13.2,91,4651
2021-09-07,12.97,12.12,12.01,12.86,233,12494
2021-09-08,13.75,12.79,12.4,13.75,90,6489
2021-09-09,12.68,12.47,12.47,12.68,69,2099
2021-09-10,12.95,12.63,12.57,12.57,33,1086
2021-09-13,12.43,12.2,12.15,12.36,106,7576
2021-09-14,12.47,12.47,12.21,12.21,29,1661
2021-09-15,12.3,12.2,12.2,12.3,155,21831
2021-09-16,12.21,12.1,12.06,12.21,462,69479
2021-09-17,12.97,12.0,11.5,12.97,150,152339
2021-09-20,12.36,11.51,11.51,12.17,142,20818
2021-09-21,12.86,11.7,11.7,11.86,69,11999
2021-09-22,13.18,12.0,11.8,11.98,194,10537
2021-09-23,12.14,12.11,11.65,11.75,81,8762
2021-09-24,12.14,12.0,11.75,12.0,116,5003
2021-09-27,12.19,12.05,11.77,12.19,55,4039
2021-09-28,12.23,12.05,12.05,12.23,46,4008
2021-09-29,12.05,12.05,12.05,12.05,12,841
2021-09-30,12.2,12.18,12.18,12.19,34,1254
2021-10-01,12.3,12.3,12.1,12.23,16,909
2021-10-04,12.75,12.75,12.31,12.31,23,1215
2021-10-05,12.78,12.73,12.26,12.26,8,1733
2021-10-06,12.6,12.6,12.39,12.39,4,667
2021-10-07,12.69,12.36,12.31,12.69,9,482
2021-10-08,12.41,12.35,12.14,12.35,11,966
2021-10-11,12.44,12.34,12.27,12.44,6,344
2021-10-12,12.52,12.52,12.52,12.52,1,26
2021-10-13,12.56,12.54,12.54,12.56,3,170
2021-10-14,12.75,12.75,12.5,12.5,14,741
2021-10-15,12.75,12.62,12.37,12.75,19,1375
2021-10-18,12.74,12.62,12.62,12.74,8,295
2021-10-19,13.0,12.87,12.75,12.75,3,219
2021-10-20,12.79,12.53,12.53,12.76,11,984
2021-10-22,12.77,12.57,12.57,12.7,15,517
2021-10-25,12.8,12.6,12.6,12.7,64,576
2021-10-26,12.97,12.97,12.3,12.8,18,1182
2021-10-27,13.0,12.93,12.81,13.0,15,1201
2021-10-28,13.0,13.0,12.91,12.95,16,1484
2021-10-29,13.0,12.48,12.48,13.0,6,367
2021-11-01,13.01,13.01,12.77,12.77,28,956
2021-11-02,13.25,13.15,13.11,13.18,23,1826
2021-11-03,13.25,13.25,13.2,13.2,25,699
2021-11-04,13.75,13.75,13.71,13.71,3,177
2021-11-05,14.0,13.75,13.6,14.0,23,2233
2021-11-08,13.85,13.8,13.8,13.85,44,227
2021-11-09,13.8,13.35,13.35,13.8,17,1134
2021-11-10,15.0,13.99,13.55,13.55,41,1930
2021-11-11,18.75,15.29,13.4,13.95,84,7141
2021-11-12,14.93,14.46,13.75,14.31,47,3180
2021-11-15,14.61,14.23,14.02,14.02,56,2147
2021-11-16,14.49,14.49,13.65,13.65,23,1004
2021-11-17,14.875,14.87,14.61,14.61,37,1044
2021-11-18,15.45,14.98,14.8,14.96,17,1130
2021-11-19,15.26,14.83,14.83,15.26,17,572
2021-11-22,15.5,14.88,14.88,14.94,31,2500
2021-11-23,15.05,14.8,14.8,15.0,36,1869
2021-11-24,15.05,15.0,14.58,15.05,64,2814
2021-11-26,15.05,15.05,15.05,15.05,24,591
2021-11-29,15.4,14.91,14.91,15.4,141,5705
2021-11-30,15.15,15.0,14.95,15.1,61,2274
2021-12-01,15.4,15.25,14.86,15.06,66,3953
2021-12-02,15.47,15.47,15.0,15.25,101,4448
2021-12-03,15.45,15.35,15.01,15.45,69,3692
2021-12-06,15.98,15.79,15.42,15.42,226,15009
2021-12-07,15.89,15.37,15.37,15.58,92,5114
2021-12-08,15.73,15.56,15.5,15.67,139,4053
2021-12-09,16.0,15.64,15.5,15.5,116,3295
2021-12-10,15.82,15.39,15.29,15.82,118,6069
2021-12-13,15.22,13.52,13.09,15.22,384,24690
2021-12-14,13.9,13.79,13.4,13.5,287,13327
2021-12-15,13.87,13.87,13.5,13.5,145,22070
2021-12-16,13.95,13.5,13.5,13.95,223,7142
2021-12-17,13.53,13.28,13.03,13.5,493,54727
2021-12-20,13.39,13.39,13.0,13.2,31,4282
2021-12-21,13.91,13.88,13.36,13.36,17,1376
2021-12-22,13.51,13.23,13.2,13.51,81,7225
2021-12-23,14.63,14.63,13.42,13.42,10,655
2021-12-27,14.5,14.04,13.91,14.05,8,756
2021-12-28,14.4,14.37,13.88,14.05,87,6884
2021-12-29,14.17,13.4,13.4,14.17,2,54
2021-12-30,14.52,14.52,13.22,13.97,20,913
2021-12-31,14.42,14.42,14.14,14.14,2,9
2022-01-03,14.38,14.38,14.36,14.36,29,425
2022-01-04,14.03,13.83,13.83,14.03,18,156
2022-01-05,14.08,13.88,13.88,14.08,2,11
2022-01-06,14.47,14.47,14.15,14.24,33,857
2022-01-07,14.47,14.47,14.01,14.01,32,1930
2022-01-10,15.49,15.49,14.45,14.45,76,2856
2022-01-11,15.46,15.45,15.0,15.0,70,2325
2022-01-12,15.46,15.46,15.45,15.45,11,386
2022-01-13,15.45,15.03,15.03,15.45,59,6803
2022-01-14,15.03,14.74,14.57,15.03,30,1197
2022-01-18,14.75,14.2,14.2,14.75,16,210
2022-01-19,14.5,14.5,13.9,13.9,40,1431
2022-01-20,14.65,14.12,14.12,14.65,20,268
2022-01-21,14.33,14.33,14.11,14.11,14,366
2022-01-24,14.25,13.52,13.5,14.01,46,4966
2022-01-25,13.75,13.53,13.48,13.48,24,1054
2022-01-26,13.67,13.42,13.42,13.67,15,358
2022-01-27,13.74,13.74,13.68,13.68,53,824
2022-01-28,13.75,13.75,13.7,13.75,47,1459
2022-01-31,14.0,14.0,13.61,13.61,21,369
2022-02-01,14.62,14.62,13.75,13.75,15,178
2022-02-02,14.65,14.5,14.5,14.65,86,1088
2022-02-03,14.45,14.45,14.3,14.3,5,89
2022-02-04,14.55,14.47,14.47,14.55,7,35
2022-02-07,14.51,13.85,13.85,14.51,17,162
2022-02-08,14.37,13.94,13.94,14.17,39,679
2022-02-09,14.21,14.21,14.17,14.17,14,276
2022-02-10,14.18,13.95,13.95,14.18,45,384
2022-02-11,14.27,14.0,14.0,14.27,9,128
2022-02-14,14.29,13.72,13.72,14.29,63,3067
2022-02-15,13.99,13.9,13.9,13.99,28,285
2022-02-16,13.75,13.61,13.61,13.75,42,1256
2022-02-17,13.75,13.66,13.66,13.66,16,585
2022-02-18,13.75,13.75,13.65,13.65,10,135
2022-02-22,13.65,13.4,13.4,13.65,89,1591
2022-02-23,13.9,13.6,13.5,13.5,26,1496
2022-02-24,13.85,13.85,13.53,13.53,16,113
2022-02-25,14.01,13.61,13.61,13.63,31,883
2022-02-28,13.91,13.3,13.3,13.91,78,1238
2022-03-01,13.95,13.41,13.41,13.95,36,618
2022-03-02,13.65,13.42,13.42,13.65,90,1637
2022-03-03,13.57,13.4,13.4,13.57,50,270
2022-03-04,14.01,13.9,13.68,13.68,99,2446
2022-03-07,13.905,13.55,13.55,13.9,307,8076
2022-03-08,13.85,13.5,13.5,13.76,54,606
2022-03-09,13.89,13.89,13.75,13.75,25,825
2022-03-10,13.84,13.78,13.595,13.69,73,2052
2022-03-11,14.0,14.0,12.95,13.84,189,31147
2022-03-14,14.23,14.1,13.9,13.94,82,3363
2022-03-15,14.0,13.77,13.77,14.0,152,6684
2022-03-16,14.01,13.92,13.92,14.01,89,5478
2022-03-17,14.0,13.9,13.76,13.76,155,6883
2022-03-18,14.25,14.0,13.64,14.0,160,140450
2022-03-21,14.0,14.0,13.75,13.75,116,9601
2022-03-22,14.0,13.92,13.68,14.0,130,10711
2022-03-23,14.0,13.96,13.8,13.8,214,963
2022-03-24,14.0,13.87,13.87,14.0,190,5312
2022-03-25,14.0,13.93,13.88,13.88,177,3714
2022-03-28,14.33,14.33,14.02,14.09,92,3911
2022-03-29,14.47,14.4,14.16,14.16,94,4005
2022-03-30,14.4,14.4,14.23,14.4,51,2215
2022-03-31,14.4,14.33,14.22,14.22,13,1025
2022-04-01,14.84,14.84,14.3,14.3,133,9567
2022-04-04,14.99,14.02,14.01,14.99,329,13314
2022-04-05,14.18,13.77,13.56,13.95,191,7041
2022-04-06,14.14,13.93,13.66,13.68,242,4866
2022-04-07,13.92,13.86,13.83,13.9,211,4273
2022-04-08,14.03,13.88,13.76,13.81,135,5251
2022-04-11,13.9,13.9,13.73,13.81,172,4603
2022-04-12,13.99,13.99,13.78,13.88,207,6098
2022-04-13,14.18,14.07,13.89,13.91,241,6168
2022-04-14,14.28,14.28,13.96,14.07,93,1635
2022-04-18,14.1,14.0,13.9,14.1,234,5174
2022-04-19,14.0,14.0,13.91,13.96,195,4134
2022-04-20,14.0,13.98,13.87,13.98,248,12082
2022-04-21,14.0,14.0,13.83,13.97,379,11145
2022-04-22,14.0,14.0,13.87,13.92,173,4789
2022-04-25,14.0,14.0,13.81,13.95,114,4435
2022-04-26,13.94,13.73,13.58,13.92,163,5553
2022-04-27,13.81,13.72,13.53,13.64,220,3597
2022-04-28,13.8,13.8,13.57,13.71,293,10226
2022-04-29,13.8,13.8,13.3,13.3,137,4951
2022-05-02,13.89,13.89,13.6,13.79,287,11040
2022-05-03,13.84,13.6,13.49,13.84,194,10813
2022-05-04,13.59,13.58,13.44,13.55,172,5066
2022-05-05,13.6,13.6,13.36,13.53,127,3384
2022-05-06,13.59,13.59,13.44,13.55,141,2218
2022-05-09,13.59,13.25,13.2,13.59,345,18331
2022-05-10,13.44,13.41,13.15,13.33,388,14671
2022-05-11,13.51,13.16,13.15,13.44,380,12910
2022-05-12,13.515,13.36,13.2,13.2,330,9604
2022-05-13,13.42,13.36,13.21,13.42,371,7156
2022-05-16,13.41,13.32,13.24,13.29,347,6211
2022-05-17,13.415,13.1,13.1,13.4,319,17029
2022-05-18,13.09,13.08,12.81,13.09,321,11729
2022-05-19,13.07,13.05,12.89,13.07,165,5026
2022-05-20,13.21,12.57,12.57,13.02,213,34645
2022-05-23,13.12,13.12,12.74,12.74,197,11694
2022-05-24,13.27,13.07,12.84,13.09,145,6878
2022-05-25,13.12,13.04,12.96,13.03,470,9430
2022-05-26,13.06,13.0,12.87,13.06,458,10218
2022-05-27,13.06,13.06,12.96,12.99,313,10506
2022-05-31,13.06,12.95,12.9,13.03,525,19809
