Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-19,55.0,55.0,55.0,55.0,1,200
2021-05-20,57.0,57.0,55.0,55.0,2,125
2021-05-21,55.2,55.2,55.0,55.0,23,4846
2021-05-24,60.72,52.08,52.08,60.72,95,22765
2021-05-25,47.15,45.39,40.41,47.15,10411,2468712
2021-05-26,46.55,43.86,42.85,45.0,8209,1120899
2021-05-27,43.48,40.0,40.0,42.85,9288,2068157
2021-05-28,42.96,42.0,38.01,40.0,7156,810510
2021-06-01,43.39,42.84,40.73,41.12,8178,986254
2021-06-02,44.08,40.81,40.22,44.08,4473,589886
2021-06-03,44.07,42.94,40.05,41.21,4569,510167
2021-06-04,46.24,44.55,42.88,42.88,5600,592918
2021-06-07,46.0,44.96,43.64,44.41,4958,437928
2021-06-08,46.44,46.12,43.64,45.2,4461,349732
2021-06-09,47.12,45.29,45.29,46.4,5212,355211
2021-06-10,45.6,44.87,44.13,45.13,3559,340380
2021-06-11,45.48,44.06,43.25,44.9,3139,355220
2021-06-14,45.52,45.47,43.76,44.01,3584,300428
2021-06-15,45.45,43.37,43.26,44.76,2841,261348
2021-06-16,43.98,42.7,42.38,42.9,3869,682129
2021-06-17,44.94,44.71,42.61,42.7,3809,587855
2021-06-18,44.42,43.27,42.7,44.1,4229,1849362
2021-06-21,43.88,43.55,42.7,43.5,2989,470008
2021-06-22,43.88,42.88,42.7,43.88,2776,476474
2021-06-23,43.43,43.09,41.63,43.0,3171,298359
2021-06-24,45.69,45.36,43.0,43.1,4673,417416
2021-06-25,49.51,49.0,44.42,45.3,6919,1401276
2021-06-28,49.5,47.69,46.37,49.1,5263,585614
2021-06-29,49.93,49.49,47.81,48.0,4428,300002
2021-06-30,49.2,49.0,48.3,49.19,2124,221784
2021-07-01,51.31,50.81,49.0,49.08,3372,353883
2021-07-02,50.77,49.69,48.87,50.77,2620,252608
2021-07-06,51.26,51.07,49.1,49.32,2631,208038
2021-07-07,52.03,51.67,50.68,51.57,4037,424631
2021-07-08,50.715,49.87,48.61,50.35,3506,361801
2021-07-09,50.65,50.52,49.58,49.58,2112,180962
2021-07-12,51.46,49.87,49.18,50.79,2820,270526
2021-07-13,49.19,47.04,46.7,49.1,4432,374060
2021-07-14,48.88,48.65,46.85,47.16,3213,214670
2021-07-15,48.63,46.92,46.5,48.63,2362,258497
2021-07-16,47.64,45.06,44.94,46.92,3831,372513
