Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-01-03,9.82,9.82,9.82,9.82,2,1000
2022-01-04,9.85,9.85,9.85,9.85,8,800
2022-01-06,10.3,10.3,10.3,10.3,1,4
2022-01-07,10.3,9.85,9.85,10.3,5,2002
2022-01-10,9.86,9.86,9.86,9.86,1,2
2022-01-13,9.87,9.87,9.87,9.87,32,3004
2022-01-14,9.86,9.86,9.86,9.86,1,25
2022-01-18,10.01,10.01,10.01,10.01,1,1
2022-01-19,9.9,9.82,9.82,9.9,2,356
2022-01-20,9.9,9.87,9.87,9.9,6,825
2022-01-21,9.87,9.85,9.85,9.87,24,5505
2022-01-24,9.86,9.85,9.85,9.86,8,30085
2022-01-27,9.85,9.85,9.85,9.85,3,23900
2022-01-28,9.95,9.95,9.95,9.95,3,559
2022-02-01,9.9,9.89,9.89,9.89,4,2200
2022-02-02,9.89,9.88,9.88,9.89,10,2735
2022-02-07,9.91,9.91,9.91,9.91,1,55
2022-02-10,9.88,9.88,9.88,9.88,2,200
2022-02-11,9.87,9.87,9.87,9.87,1,100
2022-02-22,9.9,9.9,9.9,9.9,1,5
2022-02-23,9.88,9.88,9.88,9.88,4,1495
2022-02-24,9.85,9.85,9.85,9.85,2,4189
2022-02-28,9.85,9.85,9.84,9.84,4,8323
2022-03-01,9.9,9.9,9.86,9.86,7,32100
2022-03-02,9.9,9.9,9.9,9.9,1,5
2022-03-03,9.89,9.89,9.89,9.89,14,5271
2022-03-04,9.9,9.9,9.87,9.9,9,12989
2022-03-08,9.89,9.89,9.87,9.87,3,360
2022-03-09,9.91,9.91,9.9,9.9,23,4597
2022-03-10,9.9,9.9,9.9,9.9,1,20
2022-03-11,9.93,9.91,9.91,9.93,2,6
2022-03-21,9.97,9.93,9.93,9.97,7,2205
2022-03-22,9.93,9.93,9.93,9.93,3,5104
2022-03-24,9.92,9.92,9.92,9.92,17,1317
2022-03-25,9.91,9.91,9.91,9.91,1,3
2022-03-29,9.91,9.9,9.9,9.91,11,2210
2022-03-30,9.92,9.87,9.87,9.89,26,6406
2022-03-31,9.91,9.91,9.88,9.88,5,1215
2022-04-04,9.89,9.89,9.89,9.89,1,59
