Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,125.98,125.68,121.98,121.98,105,19959
2013-01-03,126.23,125.09,124.38,125.86,115,17194
2013-01-04,127.165,126.95,124.6,125.76,50,7468
2013-01-07,127.15,126.79,126.0,126.56,41,5320
2013-01-08,129.2,128.79,126.55,127.0,95,15119
2013-01-09,131.72,131.72,129.45,129.5,79,12919
2013-01-10,134.38,134.38,130.88,132.08,82,9807
2013-01-11,134.79,134.79,132.62,134.54,79,9733
2013-01-14,138.13,137.86,134.9,135.0,85,19455
2013-01-15,136.8,136.0,135.71,136.75,77,9957
2013-01-16,136.1,135.8,135.5,135.5,19,7188
2013-01-17,136.73,136.26,135.5,136.73,32,9006
2013-01-18,137.72,137.72,136.45,136.45,31,7318
2013-01-22,140.89,140.82,138.0,138.02,52,9651
2013-01-23,143.6,143.22,140.93,141.13,103,14774
2013-01-24,146.48,142.59,142.59,143.7,154,18407
2013-01-25,143.77,140.8,140.59,143.0,142,16875
2013-01-28,142.25,142.14,139.88,141.0,97,12821
2013-01-29,145.25,144.89,142.06,142.31,100,17380
2013-01-30,145.83,145.25,141.66,144.5,203,29948
2013-01-31,149.43,149.01,145.07,145.43,138,20391
2013-02-01,152.72,152.49,149.01,149.93,58,7534
2013-02-04,156.63,156.25,151.07,151.07,151,18121
2013-02-05,157.32,156.36,156.36,157.32,81,12419
2013-02-06,157.43,156.48,155.0,155.39,59,8581
2013-02-07,157.18,156.34,155.46,157.18,95,11815
2013-02-08,162.12,162.06,156.7,156.7,63,9125
2013-02-11,163.75,162.92,161.67,162.06,48,6023
2013-02-12,163.75,163.05,162.52,163.75,23,3623
2013-02-13,165.31,164.5,163.05,163.05,31,6564
2013-02-14,166.51,166.26,163.76,163.76,38,5219
2013-02-15,167.56,167.11,166.09,167.18,36,9395
2013-02-19,170.42,169.96,166.64,166.64,32,5446
2013-02-20,170.84,160.99,160.99,170.84,183,29756
2013-02-21,160.76,159.85,158.18,159.89,127,18721
2013-02-22,164.06,163.87,159.95,159.95,53,8294
2013-02-25,166.13,162.11,161.59,165.1,84,10393
2013-02-26,167.13,165.49,162.39,162.39,95,11562
2013-02-27,171.63,170.83,166.02,166.02,77,10243
2013-02-28,170.2,168.01,168.0,170.2,49,9526
2013-03-01,168.7,168.37,165.71,167.0,37,5715
2013-03-04,173.01,171.09,167.21,167.21,125,18096
2013-03-05,175.89,175.49,174.29,174.37,137,19881
2013-03-06,176.46,176.0,174.61,175.49,104,13030
2013-03-07,181.44,181.43,176.0,176.0,184,22173
2013-03-08,184.62,184.62,181.0,182.69,75,9841
2013-03-11,186.31,185.8,183.65,183.65,75,10136
2013-03-12,185.43,185.39,184.09,184.11,64,9474
2013-03-13,186.35,185.98,184.85,185.73,63,8416
2013-03-14,189.84,189.19,186.12,186.89,109,12495
2013-03-15,191.0,186.16,185.94,189.09,126,45798
2013-03-18,187.31,187.02,183.61,183.61,65,9292
2013-03-19,186.13,180.5,177.49,186.13,190,25912
2013-03-20,184.61,184.49,180.0,180.0,110,14589
2013-03-21,184.5,182.15,180.91,183.83,90,17580
2013-03-22,185.6,184.3,180.99,182.35,97,12724
2013-03-25,185.98,185.2,183.0,185.62,134,16070
2013-03-26,187.64,187.64,184.9,186.73,82,9181
2013-03-27,187.65,187.5,185.25,186.91,37,5684
2013-03-28,187.97,186.28,185.83,187.88,74,15318
2013-04-01,187.32,185.8,183.95,186.93,147,18946
