Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-09-18,16.95,16.0,13.56,16.25,3862,626786
2020-09-21,15.5,14.96,14.32,15.5,904,84278
2020-09-22,15.41,14.48,14.0,15.41,1249,127612
2020-09-23,14.37,14.03,13.88,14.33,705,59379
2020-09-24,14.18,14.07,13.85,14.0,413,35177
2020-09-25,14.46,13.93,13.35,13.86,611,50077
2020-09-28,14.2,13.73,13.29,14.0,745,56435
2020-09-29,13.66,13.04,12.85,13.66,425,34790
2020-09-30,13.77,12.98,12.86,13.29,741,55102
2020-10-01,13.65,13.36,11.9,13.01,790,125367
2020-10-02,13.5,13.24,12.6,13.07,180,17377
2020-10-05,13.86,13.57,12.75,13.07,265,16609
2020-10-06,13.56,13.31,13.22,13.48,130,9109
2020-10-07,13.5,13.24,13.19,13.32,91,7310
2020-10-08,13.56,13.26,13.14,13.29,105,11730
2020-10-09,14.0,13.72,12.81,13.21,494,39861
2020-10-12,13.77,13.61,13.49,13.77,88,6596
2020-10-13,14.15,13.66,13.56,14.0,414,38733
2020-10-14,14.125,14.0,13.57,13.57,225,13232
2020-10-15,14.67,14.38,14.14,14.28,178,15793
2020-10-16,14.75,14.21,13.66,14.74,230,18086
2020-10-19,14.0,13.5,13.49,14.0,106,8965
2020-10-20,13.92,13.82,12.85,13.64,265,19884
2020-10-21,13.84,13.5,13.22,13.6,219,11739
2020-10-22,13.42,12.63,12.05,13.42,353,28960
2020-10-23,12.46,12.36,12.1,12.46,122,16250
2020-10-26,12.38,12.29,12.19,12.32,37,7870
2020-10-27,12.43,12.25,12.25,12.43,67,4415
2020-10-28,12.2,11.81,11.81,12.01,97,7603
2020-10-29,11.9,11.77,11.62,11.86,99,10768
2020-10-30,11.7,11.45,11.32,11.67,77,4422
2020-11-02,11.75,11.75,11.65,11.65,15,1333
2020-11-03,12.41,12.41,11.71,11.71,11,1141
2020-11-04,14.12,14.08,12.11,12.11,125,13780
2020-11-05,14.26,14.24,13.23,14.25,65,7653
2020-11-06,14.19,14.19,13.17,14.03,12,3851
2020-11-09,14.5,14.5,13.3,14.37,94,10657
2020-11-10,14.7,13.88,13.88,14.7,20,1422
2020-11-11,14.8,14.2,13.39,13.91,186,20835
2020-11-12,14.6,14.6,13.9,13.95,50,7378
2020-11-13,14.71,14.45,14.2,14.71,77,7786
2020-11-16,14.85,14.4,14.25,14.25,520,38252
2020-11-17,14.5,14.0,13.94,14.5,106,9541
2020-11-18,14.5,14.02,14.02,14.09,64,6971
2020-11-19,14.4,13.9,13.9,14.06,63,5749
2020-11-20,14.31,13.9,13.9,14.1,169,14248
2020-11-23,14.89,14.23,14.01,14.01,93,6222
2020-11-24,14.45,14.15,14.06,14.23,139,10035
2020-11-25,14.17,14.17,13.5,14.01,155,17961
2020-11-27,14.18,14.18,13.7,13.99,56,5371
2020-11-30,13.98,13.96,13.86,13.98,59,2314
2020-12-01,14.55,14.3,13.87,13.87,123,5540
2020-12-02,14.75,14.54,14.28,14.42,51,5888
2020-12-03,14.63,14.41,14.25,14.63,18,688
2020-12-04,14.64,14.64,14.22,14.3,60,3848
2020-12-07,14.75,14.39,14.39,14.7,71,7058
2020-12-08,14.55,14.55,14.45,14.55,20,804
2020-12-09,14.62,14.35,14.35,14.62,13,519
2020-12-10,14.44,14.3,14.25,14.27,45,7942
2020-12-11,14.3,14.16,14.16,14.3,15,103
2020-12-14,14.24,14.17,14.0,14.24,28,2368
2020-12-15,14.4,14.4,13.81,13.81,108,9016
2020-12-16,15.45,15.4,13.9,14.39,157,27275
2020-12-17,15.36,14.71,14.15,15.23,98,15759
2020-12-18,15.0,14.73,14.3,14.5,78,5604
2020-12-21,14.59,14.21,14.21,14.59,95,2410
2020-12-22,14.41,14.4,14.18,14.21,142,13647
2020-12-23,14.9,14.4,14.36,14.36,79,16841
2020-12-24,14.6,13.65,13.595,14.31,127,13968
2020-12-28,14.1,13.69,13.32,14.03,111,15864
2020-12-29,13.87,13.7,13.54,13.86,49,3903
2020-12-30,14.21,14.03,13.55,13.76,212,30394
2020-12-31,14.75,14.61,14.0,14.19,119,9272
2021-01-04,14.64,14.34,13.81,14.64,95,8035
2021-01-05,14.96,14.9,14.06,14.38,24,2675
2021-01-06,15.5,14.75,14.35,14.73,141,18508
2021-01-07,15.42,15.18,14.46,14.46,97,9531
2021-01-08,15.64,15.64,15.29,15.46,36,3996
2021-01-11,15.51,15.2,14.48,15.51,102,3788
2021-01-12,15.17,14.68,14.59,15.17,65,1550
2021-01-13,15.46,15.46,14.51,14.51,284,9409
2021-01-14,15.99,15.61,15.15,15.99,188,16246
2021-01-15,15.57,15.57,15.11,15.18,67,2019
2021-01-19,15.29,15.01,15.01,15.16,15,9427
2021-01-20,15.0,15.0,14.22,14.94,125,2598
2021-01-21,15.6,15.6,14.85,14.85,146,9566
2021-01-22,15.26,15.24,15.03,15.26,37,1556
2021-01-25,15.54,15.54,14.35,15.03,91,3581
2021-01-26,15.49,15.2,14.73,15.2,182,9181
2021-01-27,15.16,15.05,14.56,15.16,116,6596
2021-01-28,15.4,15.2,14.7,14.86,90,4221
2021-01-29,15.45,15.1,14.88,15.45,80,10513
2021-02-01,15.49,15.49,14.71,15.1,146,4551
2021-02-02,16.18,15.55,15.16,15.16,149,6844
2021-02-03,16.03,16.03,15.44,15.84,26,1851
2021-02-04,16.0,16.0,15.42,15.88,184,4701
2021-02-05,15.85,15.7,15.43,15.85,180,5904
2021-02-08,16.25,16.1,15.1,16.19,191,13214
2021-02-09,15.85,15.76,15.36,15.81,223,17151
2021-02-10,15.79,15.55,15.05,15.75,126,19157
2021-02-11,15.45,15.35,15.23,15.45,21,1614
2021-02-12,16.05,16.05,14.88,15.17,248,14980
2021-02-16,15.82,15.61,15.61,15.82,48,1631
2021-02-17,15.65,14.48,14.48,15.26,141,4302
2021-02-18,15.09,14.6,14.35,14.35,86,9390
2021-02-19,15.17,15.17,14.85,15.1,12,6981
2021-02-22,15.2,14.62,14.62,14.96,31,10190
2021-02-23,14.8,13.0,13.0,14.67,87,6077
2021-02-24,14.13,14.0,13.71,13.71,214,16325
2021-02-25,14.52,14.38,14.02,14.52,36,6231
2021-02-26,15.98,15.19,13.23,14.21,215,18606
2021-03-01,15.66,13.81,13.81,15.65,74,15488
2021-03-02,14.2,14.2,13.86,13.92,62,11330
2021-03-03,14.35,14.35,13.83,14.0,58,7632
2021-03-04,14.4,14.4,14.14,14.14,17,1015
2021-03-05,14.27,14.2,13.76,14.27,48,5464
2021-03-08,14.61,13.49,13.44,14.61,72,16848
2021-03-09,13.9,13.9,13.49,13.49,18,1420
2021-03-10,14.0,14.0,13.71,13.81,55,6128
2021-03-11,14.97,14.75,13.95,13.95,63,5957
2021-03-12,14.5,14.5,14.48,14.48,58,5592
2021-03-15,14.54,14.5,13.76,14.15,56,16667
2021-03-16,14.53,14.4,13.95,14.53,40,18889
2021-03-17,14.7,14.7,14.06,14.06,23,1561
2021-03-18,14.66,14.5,14.46,14.66,11,638
2021-03-19,14.87,14.5,14.3,14.67,33,21986
2021-03-22,14.9,14.9,14.5,14.5,10,1886
2021-03-23,14.9,14.66,14.66,14.9,4,3406
2021-03-24,14.78,14.57,14.57,14.67,17,6131
2021-03-25,14.67,14.48,14.1,14.37,43,7547
2021-03-26,14.5,14.19,14.19,14.37,16,5465
2021-03-29,14.49,14.49,14.31,14.31,9,170
2021-03-30,14.65,14.65,14.18,14.49,36,1755
2021-03-31,14.85,14.85,14.5,14.56,12,581
2021-04-01,15.28,14.38,14.13,15.28,53,5082
2021-04-05,14.64,14.64,14.28,14.3,13,5313
2021-04-06,14.6,14.6,14.26,14.4,19,2284
2021-04-07,14.37,14.05,14.05,14.37,32,2354
2021-04-08,14.1,13.97,13.14,14.1,69,14106
2021-04-09,13.77,13.41,13.3,13.59,66,3833
2021-04-12,13.37,13.37,12.98,13.2,60,7637
2021-04-13,13.2,12.94,12.9,13.17,59,11465
2021-04-14,13.36,13.33,12.88,13.06,22,6316
2021-04-15,13.89,13.54,13.24,13.24,34,2140
2021-04-16,13.58,12.7,12.37,13.54,210,46442
2021-04-19,13.34,13.32,12.7,12.7,79,12291
2021-04-20,13.32,12.95,12.84,13.32,90,5874
