Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,44.22,43.44,42.87,43.42,7758,1288453
2013-01-03,43.89,43.02,42.89,43.21,4169,617256
2013-01-04,43.25,42.89,42.51,43.14,4167,778772
2013-01-07,43.45,42.9,42.5,42.65,3990,1373918
2013-01-08,43.0,41.98,41.62,42.6,5378,927482
2013-01-09,43.945,43.8,42.49,42.6,8488,1349312
2013-01-10,44.25,44.16,43.67,43.76,5962,947003
2013-01-11,44.5,43.98,43.9,44.19,4209,684403
2013-01-14,44.925,44.7,43.54,43.98,5650,964985
2013-01-15,44.93,44.84,43.85,44.16,5813,1003926
2013-01-16,45.64,45.31,44.54,44.54,3873,655476
2013-01-17,45.65,45.22,45.06,45.31,4227,619576
2013-01-18,45.22,44.81,44.26,45.22,6459,1165605
2013-01-22,47.58,47.36,44.97,45.12,11342,1760394
2013-01-23,47.76,47.07,46.55,47.47,8940,1432748
2013-01-24,49.42,47.79,46.42,47.25,11446,1715117
2013-01-25,48.57,48.08,47.75,47.84,6977,1009786
2013-01-28,49.49,48.64,47.61,47.61,8375,1381501
2013-01-29,47.46,46.11,44.93,47.39,15910,2452083
2013-01-30,47.04,46.85,46.13,46.18,7248,1132834
2013-01-31,47.37,47.0,46.1,46.3,6840,1239741
2013-02-01,47.89,46.77,46.18,47.4,6825,1120735
2013-02-04,47.2,46.38,46.33,46.66,5784,859068
2013-02-05,46.99,46.63,46.13,46.37,6613,919897
2013-02-06,47.99,47.99,46.52,46.53,7348,1086347
2013-02-07,47.83,47.6,46.47,47.7,8116,1113082
2013-02-08,49.18,48.49,47.63,47.76,6187,941049
2013-02-11,48.79,48.6,48.19,48.58,4437,727519
2013-02-12,48.7,48.18,47.91,48.47,4180,601504
2013-02-13,48.86,48.63,48.25,48.36,3390,489608
2013-02-14,49.22,48.81,48.41,48.56,3736,525817
2013-02-15,49.23,48.6,48.05,48.89,4027,877440
2013-02-19,49.24,48.58,48.42,48.81,3595,533520
2013-02-20,48.7,46.54,46.53,48.68,4114,571560
2013-02-21,46.7,45.74,45.17,46.51,6885,1030417
2013-02-22,46.58,45.9,45.57,46.09,4124,633817
2013-02-25,46.35,44.81,44.81,46.19,5119,789693
2013-02-26,46.04,45.87,44.45,44.99,6430,994630
2013-02-27,47.31,47.01,45.36,45.82,4770,656784
2013-02-28,47.73,47.16,46.77,46.91,3072,574815
2013-03-01,48.27,48.18,46.46,47.0,5059,716808
2013-03-04,48.18,47.81,47.24,48.18,4465,906478
2013-03-05,48.59,48.37,47.64,48.15,4270,570831
2013-03-06,49.58,48.83,48.6,48.63,6230,869006
2013-03-07,48.75,47.27,46.75,48.75,6060,898956
2013-03-08,47.82,47.66,47.03,47.57,4484,643728
2013-03-11,48.07,48.01,47.21,47.41,3290,522889
2013-03-12,50.0,49.99,47.59,48.15,6481,1000080
2013-03-13,50.84,50.39,49.55,50.0,5381,857440
2013-03-14,50.84,50.74,50.2,50.43,3312,566718
2013-03-15,50.89,50.16,49.81,50.5,3533,1261921
2013-03-18,50.22,49.6,49.09,49.62,2590,446464
2013-03-19,49.65,48.86,48.37,49.63,4083,577601
2013-03-20,49.55,49.32,48.89,49.48,3747,590962
2013-03-21,49.05,48.1,47.44,49.0,4129,635901
2013-03-22,48.42,47.93,47.32,48.39,3252,549161
2013-03-25,48.25,47.53,46.96,48.25,3327,491177
2013-03-26,49.95,48.66,47.6,47.84,7506,1120354
2013-03-27,50.25,50.14,48.6,48.72,6521,929890
2013-03-28,50.36,50.28,49.46,49.99,3693,898690
2013-04-01,50.9,50.4,50.105,50.41,4594,691027
2013-04-02,50.55,50.08,49.05,50.55,4676,667712
2013-04-03,51.43,50.6,50.19,50.25,5880,912021
2013-04-04,50.93,50.78,49.91,50.56,3661,535663
2013-04-05,50.07,49.8,48.97,50.07,4278,625017
2013-04-08,50.32,50.23,49.61,49.75,3215,532501
2013-04-09,51.89,51.57,50.32,50.32,4834,776287
2013-04-10,53.74,53.24,51.7,51.75,7181,1213288
2013-04-11,52.6,52.38,51.46,52.37,7326,1162952
2013-04-12,52.91,52.32,51.93,52.41,4461,684333
2013-04-15,53.67,51.16,51.09,52.22,6791,934278
2013-04-16,52.63,52.02,51.435,51.68,4911,796839
2013-04-17,52.21,50.58,50.21,51.69,5451,777275
2013-04-18,51.07,49.25,48.89,50.98,7751,1116044
2013-04-19,50.13,49.93,48.78,49.03,6945,1149706
2013-04-22,50.79,50.51,49.34,50.0,4547,612761
2013-04-23,53.33,53.24,50.76,50.9,7198,1006686
2013-04-24,54.53,52.9,52.39,53.59,7094,977883
2013-04-25,57.95,52.6,52.02,55.05,14564,2289329
2013-04-26,54.09,53.29,51.79,52.18,8309,1387836
2013-04-29,54.94,54.12,52.88,53.18,5930,1244964
2013-04-30,55.29,55.28,54.09,54.15,5522,1031067
2013-05-01,55.5,54.8,54.51,55.2,5438,1187570
2013-05-02,56.79,56.66,55.03,55.67,6372,899748
2013-05-03,57.98,57.15,56.79,57.3,5912,880211
2013-05-06,58.65,58.13,57.235,57.36,5368,790853
2013-05-07,59.27,58.83,57.78,57.78,5522,916773
2013-05-08,59.52,59.01,58.63,58.69,6612,1028862
