Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-12-16,23.79,20.05,19.49,22.75,90093,23665845
2020-12-17,23.89,22.27,21.1,21.52,32451,6250657
2020-12-18,24.74,23.55,23.07,23.09,17125,3332893
2020-12-21,24.15,23.15,22.81,23.89,9750,1815965
2020-12-22,23.78,22.19,21.71,23.77,7531,1452755
2020-12-23,22.48,20.94,20.92,22.22,7842,1352518
2020-12-24,21.15,20.09,19.93,21.0,4975,853776
2020-12-28,21.705,19.61,19.57,20.49,7300,1428084
2020-12-29,19.81,18.64,18.16,19.7,8668,1579122
2020-12-30,19.02,17.58,17.5,18.65,9299,1696389
2020-12-31,18.38,18.24,17.41,17.58,6459,1335726
2021-01-04,19.3,19.24,17.83,18.53,6521,1299899
2021-01-05,20.19,19.8,18.75,18.84,5233,994465
2021-01-06,20.98,20.82,19.8,20.0,6399,1137136
2021-01-07,21.58,20.93,20.16,21.05,4509,982496
2021-01-08,21.07,20.36,19.72,20.73,7081,1445573
2021-01-11,20.19,19.61,19.21,19.7,5568,972812
2021-01-12,20.99,20.94,19.8,19.8,5216,1009516
2021-01-13,24.58,23.92,20.94,20.94,11127,2194922
2021-01-14,28.25,28.13,23.8,24.28,16976,3142138
2021-01-15,27.09,24.835,24.41,26.35,12892,2069221
2021-01-19,26.98,26.09,25.0,25.75,7405,1147064
2021-01-20,26.5,25.85,25.6,26.1,4749,843949
2021-01-21,26.0,24.84,24.46,25.73,5005,791988
2021-01-22,25.15,24.75,23.9,24.27,4426,703861
2021-01-25,29.33,25.65,25.42,25.45,14589,2362204
2021-01-26,27.97,27.1,26.64,26.95,3992,673893
2021-01-27,31.46,29.99,26.49,26.49,17958,2376035
2021-01-28,32.84,28.45,28.2,30.1,10381,1383418
2021-01-29,30.4,30.07,28.75,28.87,5713,831652
2021-02-01,32.2,31.19,30.18,31.85,7310,887361
2021-02-02,32.15,29.15,28.29,32.0,7097,934201
2021-02-03,30.2,28.99,28.87,29.23,4210,482191
2021-02-04,29.65,29.3,28.56,29.18,3243,358691
2021-02-05,30.0,28.6,28.41,29.77,4391,673385
2021-02-08,29.15,28.21,27.3,29.03,6130,870945
2021-02-09,30.25,29.53,27.61,27.63,5588,688635
2021-02-10,30.88,28.68,28.36,29.7,4921,727308
2021-02-11,29.75,28.08,27.94,28.6,4159,468586
2021-02-12,28.59,27.45,27.35,28.01,2980,360634
2021-02-16,28.75,26.56,26.37,28.03,6750,1078350
2021-02-17,26.65,24.15,24.14,26.65,15760,2823248
2021-02-18,23.72,22.24,22.15,23.67,13501,2810425
2021-02-19,22.89,22.26,21.26,22.31,12288,2673770
2021-02-22,22.73,22.01,21.48,21.81,7915,1569579
2021-02-23,21.35,21.17,19.77,21.01,8248,1301188
2021-02-24,21.39,20.42,20.3,21.14,7962,1670589
2021-02-25,20.89,18.97,18.68,20.02,13046,3076848
2021-02-26,19.79,19.61,18.09,19.0,10573,1534584
2021-03-01,20.49,19.58,19.42,20.14,9123,1316150
2021-03-02,19.76,18.82,18.51,19.67,5797,961643
2021-03-03,18.93,17.99,17.64,18.76,7261,997124
2021-03-04,18.2,17.14,16.38,17.7,11901,1610530
2021-03-05,17.9,17.77,15.08,17.29,10972,1681110
2021-03-08,18.17,15.94,15.5,17.57,18034,2369078
2021-03-09,17.43,16.99,15.72,17.39,11401,2214012
2021-03-10,17.08,16.63,15.7,16.87,14280,2548295
2021-03-11,19.35,19.11,16.95,17.0,14898,2514571
2021-03-12,18.89,18.64,17.54,18.33,8306,1233031
2021-03-15,20.1,19.11,18.79,18.88,13271,2275106
2021-03-16,20.09,18.34,17.82,19.32,11519,1502592
2021-03-17,19.09,18.84,17.7,17.93,7192,1050703
2021-03-18,18.36,17.26,17.12,18.17,10552,1480345
2021-03-19,18.03,17.86,16.85,17.42,9472,3486709
2021-03-22,18.22,17.98,17.47,17.9,6499,850023
2021-03-23,17.87,16.56,16.455,17.82,8340,1141961
2021-03-24,17.03,16.3,16.03,16.65,8847,1442034
2021-03-25,16.28,15.76,15.565,15.88,8987,1101729
2021-03-26,16.46,16.21,15.57,15.88,10095,1233687
2021-03-29,16.12,15.26,15.24,16.02,9316,1065909
2021-03-30,15.24,15.1,14.45,15.19,8079,1184309
2021-03-31,16.22,15.8,15.3,15.44,8012,1580274
2021-04-01,16.62,15.65,15.65,16.11,6555,982601
2021-04-05,15.96,15.32,15.15,15.9,6182,829755
2021-04-06,15.92,15.52,15.39,15.52,5296,775002
2021-04-07,15.51,14.33,14.26,15.51,9899,1549855
2021-04-08,14.92,14.08,13.96,14.5,13867,2180368
2021-04-09,14.05,13.65,13.3,14.0,12631,1684757
2021-04-12,13.88,13.6,13.34,13.6,8207,1291532
2021-04-13,14.38,14.27,13.59,13.62,7635,1004853
2021-04-14,14.36,13.53,13.51,14.3,6210,1043172
2021-04-15,13.8,12.72,12.69,13.75,8413,1617342
2021-04-16,12.71,12.44,12.33,12.61,6293,875580
2021-04-19,12.53,12.31,11.83,12.41,6925,996996
2021-04-20,12.35,12.07,11.71,12.34,6440,1026397
2021-04-21,12.53,12.49,11.81,12.03,4299,523744
2021-04-22,13.94,13.1,12.4,12.89,9463,1556783
2021-04-23,13.66,13.54,13.1,13.33,5663,671872
2021-04-26,14.44,14.16,13.57,13.61,7609,1197914
2021-04-27,15.215,15.12,14.42,14.94,10050,1907700
2021-04-28,15.3,15.19,14.32,14.95,7019,1035719
2021-04-29,15.45,14.16,14.14,15.44,5328,786420
2021-04-30,14.38,13.87,13.75,13.94,3599,574319
2021-05-03,13.91,13.08,12.93,13.9,6599,1099437
2021-05-04,13.47,13.43,12.13,12.84,11032,1210855
2021-05-05,13.66,12.58,12.4,13.66,6750,1068321
2021-05-06,13.21,12.65,11.96,12.31,13239,1990973
2021-05-07,13.29,12.61,12.285,12.9,6755,973338
2021-05-10,12.66,11.88,11.85,12.65,8117,1015411
2021-05-11,12.12,11.78,11.1,11.16,16133,2110978
2021-05-12,12.27,11.47,11.28,11.8,18207,3732245
2021-05-13,10.15,8.11,7.95,10.01,30583,6309757
2021-05-14,9.94,9.79,8.5,8.69,24363,6145012
2021-05-17,9.6,8.78,8.52,9.58,12436,2121687
2021-05-18,9.38,8.99,8.35,8.35,11832,3127069
2021-05-19,9.16,9.12,8.46,8.57,7594,1251610
2021-05-20,9.58,9.29,9.1,9.15,5230,1064260
2021-05-21,9.42,9.32,9.13,9.24,4443,827585
2021-05-24,9.08,8.18,8.025,9.05,23058,4252784
2021-05-25,8.26,7.84,7.7,8.205,17833,3845157
2021-05-26,8.31,8.15,7.645,7.9,14302,3051823
2021-05-27,8.805,8.35,8.01,8.13,19191,3995506
2021-05-28,8.515,7.94,7.8,8.43,19322,4447675
2021-06-01,8.01,7.74,7.66,8.0,12133,3115602
2021-06-02,8.58,8.5,7.67,7.77,16331,4644588
2021-06-03,8.75,8.28,8.26,8.4,13420,3495267
2021-06-04,8.42,8.29,8.065,8.33,8055,2162151
2021-06-07,7.95,7.76,7.525,7.7,22885,7030536
2021-06-08,12.19,11.63,7.835,7.9,123427,33492265
2021-06-09,15.0,10.6,10.255,14.65,275453,61736958
2021-06-10,11.61,10.69,10.2,11.08,66526,15896897
2021-06-11,10.89,10.0,9.71,10.8,53363,12945846
2021-06-14,11.92,11.27,9.95,10.34,102640,23750615
2021-06-15,12.53,11.27,10.79,11.72,98657,22075657
2021-06-16,11.34,11.09,10.36,11.0,59106,15849702
2021-06-17,11.5,11.23,10.76,11.15,47094,13018349
2021-06-18,12.1,11.4,10.85,11.01,66250,20920837
2021-06-21,13.96,13.5,11.51,12.0,178443,44098128
2021-06-22,14.43,13.5,12.92,13.42,118970,29252698
2021-06-23,14.27,13.61,13.13,13.8,82620,22559270
2021-06-24,14.41,14.39,12.61,13.52,84065,22742204
2021-06-25,14.69,14.04,13.705,14.17,71976,18325864
2021-06-28,15.18,14.4,13.805,14.05,104435,25975947
2021-06-29,14.27,13.4,13.275,14.2,61328,13718867
2021-06-30,13.68,13.17,12.82,13.23,43339,10626460
2021-07-01,13.08,12.24,11.95,13.0,55676,13395906
2021-07-02,12.38,11.65,11.44,11.95,45560,10339339
2021-07-06,12.59,11.89,11.75,12.3,48030,10955938
2021-07-07,11.91,10.95,10.755,11.85,55035,12550077
2021-07-08,11.225,11.0,10.3,10.47,38093,8959683
2021-07-09,11.215,11.14,10.775,11.0,23995,5689178
2021-07-12,11.365,10.91,10.79,11.16,23511,5723235
2021-07-13,11.155,10.4,10.355,10.69,20969,5055338
2021-07-14,10.565,9.78,9.745,10.3,25861,5947587
2021-07-15,10.36,10.09,9.5,9.64,23037,6130437
2021-07-16,10.15,9.27,9.165,10.11,25597,6131441
2021-07-19,9.66,9.44,8.84,9.0,23571,5804211
2021-07-20,10.21,10.14,9.285,9.51,24140,5743328
2021-07-21,10.335,10.0,9.67,9.76,20956,5672833
2021-07-22,10.06,9.5,9.45,9.9,18445,4070495
2021-07-23,9.615,9.18,9.17,9.37,16320,4495465
2021-07-26,9.445,9.16,9.09,9.14,12815,2877098
2021-07-27,9.56,9.32,8.82,9.09,18527,4489193
2021-07-28,10.13,9.94,9.38,9.42,19993,4705851
2021-07-29,10.675,9.98,9.625,9.91,23044,5426257
2021-07-30,10.265,9.94,9.74,9.77,12399,3413307
2021-08-02,10.595,10.41,9.95,9.96,16325,4610289
2021-08-03,10.5,10.31,10.15,10.36,11666,2972356
2021-08-04,10.31,9.61,9.59,10.31,16868,3663664
2021-08-05,10.02,9.98,9.48,9.64,9475,2253272
2021-08-06,10.145,9.83,9.755,9.9,7564,1844864
2021-08-09,10.605,10.47,9.89,9.9,16674,4214451
2021-08-10,10.68,10.3,10.075,10.46,10276,2554660
2021-08-11,10.415,9.83,9.675,10.33,18470,4714788
2021-08-12,10.0,9.41,9.345,9.95,41226,11163472
2021-08-13,7.85,7.55,6.69,6.96,87980,31527934
2021-08-16,7.3,6.87,6.72,7.23,30137,9974517
2021-08-17,7.31,6.95,6.57,6.7,21937,7663889
2021-08-18,7.07,6.82,6.75,6.94,14475,5045101
2021-08-19,6.82,6.23,6.15,6.77,21170,7366194
2021-08-20,6.915,6.63,6.24,6.28,18042,6547014
2021-08-23,6.81,6.69,6.43,6.59,10813,4568655
2021-08-24,7.42,7.12,6.635,6.74,23581,7898549
2021-08-25,7.195,6.98,6.86,7.01,20201,5385110
2021-08-26,7.035,6.66,6.66,6.94,9284,2994419
2021-08-27,7.17,6.94,6.685,6.71,11609,3971398
2021-08-30,7.47,7.18,6.86,7.1,15559,5006324
2021-08-31,7.365,7.21,7.08,7.17,10839,3958455
2021-09-01,7.75,7.38,7.125,7.17,17447,5054556
2021-09-02,7.56,7.31,7.29,7.4,10288,2898856
2021-09-03,7.47,7.24,7.14,7.3,8596,2295360
2021-09-07,7.665,7.38,7.285,7.3,12804,3950035
2021-09-08,7.33,6.84,6.825,7.33,16027,5506434
2021-09-09,7.285,6.99,6.76,6.87,15321,4508126
2021-09-10,7.26,6.8,6.78,7.03,10415,3293593
2021-09-13,6.85,6.61,6.485,6.82,12695,3814152
