Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-12-10,82.5,77.69999999999999,72.0,77.25,656,10582.0
2018-12-11,83.39999999999999,73.5,72.0,82.5,401,6891.266666666666
2018-12-12,77.1,72.9,70.35000000000001,76.8,249,2695.2
2018-12-13,77.25,64.2,63.3,77.1,364,4981.6
2018-12-14,68.25,67.95,58.8,61.2,196,2192.866666666667
2018-12-17,69.15,67.05,66.0,68.85,108,1155.4
2018-12-18,69.45,61.49999999999999,60.3,67.5,138,2071.5333333333333
2018-12-19,64.64999999999999,59.550000000000004,58.95,63.45,177,1758.4666666666667
2018-12-20,59.550000000000004,54.6,49.5,59.550000000000004,180,2396.3333333333335
2018-12-21,55.65,47.1,43.199999999999996,55.65,297,4761.666666666667
2018-12-24,46.5,43.35,41.85,45.0,67,1392.9333333333334
2018-12-26,52.35,47.7,44.1,46.349999999999994,91,1735.3333333333333
2018-12-27,55.800000000000004,48.45,46.05,48.0,150,1791.0666666666666
2018-12-28,52.050000000000004,48.6,48.0,48.9,150,2423.6666666666665
2018-12-31,50.699999999999996,46.349999999999994,45.0,50.699999999999996,110,1364.2666666666667
2019-01-02,45.449999999999996,44.25,42.0,45.449999999999996,157,2667.9333333333334
2019-01-03,44.7,40.2,39.75,44.7,151,2716.266666666667
2019-01-04,45.15,43.5,36.75,40.5,255,4334.6
2019-01-07,43.650000000000006,41.25,40.05,43.5,136,1864.0666666666666
2019-01-08,42.75,40.800000000000004,38.25,42.75,189,2506.6666666666665
2019-01-09,42.0,39.6,37.35,42.0,245,5555.133333333333
2019-01-10,40.35,39.75,37.949999999999996,40.35,156,3203.6666666666665
2019-01-11,47.1,46.949999999999996,39.15,39.75,586,8702.8
2019-01-14,56.85,56.25,51.150000000000006,55.2,1584,26414.8
2019-01-15,64.35,54.75,50.099999999999994,62.25000000000001,1725,26681.466666666667
2019-01-16,53.4,50.25,48.0,53.4,447,9404.466666666667
2019-01-17,57.3,55.65,51.3,52.8,650,13831.666666666666
2019-01-18,56.85,54.900000000000006,52.8,56.699999999999996,420,8267.533333333333
2019-01-22,56.1,56.1,51.9,54.900000000000006,705,12076.933333333332
2019-01-23,57.599999999999994,53.7,51.9,57.15,549,9780.8
2019-01-24,54.6,54.6,50.550000000000004,54.15,294,5312.666666666667
2019-01-25,55.5,54.0,52.2,55.5,187,3260.5333333333333
2019-01-28,54.75,54.75,52.5,54.0,226,4614.733333333334
2019-01-29,55.2,54.0,52.35,55.2,196,4011.0666666666666
2019-01-30,53.7,51.75,51.3,53.7,188,3948.3333333333335
2019-01-31,51.75,51.0,50.85,51.3,118,2021.6
2019-02-01,51.45,50.25,48.75,51.45,140,2315.733333333333
2019-02-04,59.85,57.45,50.25,51.150000000000006,1691,30844.2
2019-02-05,62.699999999999996,57.3,54.449999999999996,61.49999999999999,1379,31668.0
2019-02-06,57.75,57.0,54.300000000000004,57.75,410,7469.533333333334
2019-02-07,57.599999999999994,57.599999999999994,54.300000000000004,56.1,237,4507.4
2019-02-08,59.1,58.199999999999996,55.65,58.050000000000004,268,5126.6
2019-02-11,58.5,56.85,54.75,58.5,274,5797.6
2019-02-12,56.4,55.5,54.449999999999996,56.4,354,6516.8
