Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-12-03,8.46,8.34,5.75,5.95,2130,680811
2013-12-04,9.1,7.85,7.7,8.27,361,90246
2013-12-05,8.16,7.55,7.28,7.9,81,28081
2013-12-06,8.42,7.76,7.35,7.35,25,16524
2013-12-09,8.36,8.35,7.89,7.89,46,7513
2013-12-10,9.08,8.99,8.3,8.33,265,41445
2013-12-11,10.45,8.76,8.5,9.01,291,65481
2013-12-12,8.95,8.48,8.3,8.95,69,8615
2013-12-13,8.65,8.54,8.37,8.65,165,18999
2013-12-16,8.94,8.74,8.32,8.32,96,14752
2013-12-17,8.88,8.52,8.35,8.88,87,10081
2013-12-18,8.79,8.6,8.49,8.49,30,3231
2013-12-19,8.76,8.59,8.49,8.76,28,3320
2013-12-20,8.8,8.68,8.33,8.8,69,8132
2013-12-23,9.26,8.76,8.64,8.8,46,6494
2013-12-24,9.0,8.95,8.85,9.0,17,3094
2013-12-26,9.4,9.275,9.04,9.11,64,7935
2013-12-27,9.88,9.2,9.01,9.88,70,13343
2013-12-30,9.04,8.62,8.41,9.02,110,18596
2013-12-31,9.15,9.14,8.55,8.61,71,25758
2014-01-02,9.39,8.88,8.85,9.39,79,14600
2014-01-03,9.5,9.15,8.97,9.5,107,22504
2014-01-06,9.92,9.06,9.05,9.92,121,29503
2014-01-07,9.36,9.23,8.96,9.29,64,14481
2014-01-08,9.67,9.62,9.31,9.49,86,20247
2014-01-09,9.89,9.75,9.45,9.89,101,20305
2014-01-10,9.8,9.61,9.5,9.75,141,24246
2014-01-13,9.6,9.25,9.25,9.33,73,12332
2014-01-14,9.27,8.96,8.75,9.27,98,11891
2014-01-15,9.96,9.79,9.14,9.3,73,11910
2014-01-16,9.87,9.63,9.44,9.87,47,8697
2014-01-17,9.9,9.71,9.51,9.9,44,6481
2014-01-21,10.16,8.85,8.28,10.0,241,45438
2014-01-22,9.37,8.71,7.89,9.37,210,66112
2014-01-23,8.91,8.51,8.51,8.91,28,3860
2014-01-24,8.75,8.49,8.2,8.43,77,13778
2014-01-27,8.85,8.59,8.3,8.85,63,7844
2014-01-28,9.72,9.04,8.87,9.72,144,46955
2014-01-29,9.27,9.02,8.41,8.9,76,10115
2014-01-30,9.0,8.97,8.8,9.0,38,4611
2014-01-31,9.0,8.76,8.7,8.86,79,9191
2014-02-03,9.22,9.0,8.59,8.77,64,9951
2014-02-04,9.16,8.96,8.76,9.16,11,2520
2014-02-05,9.54,9.49,8.7,8.94,90,17368
2014-02-06,9.45,9.17,9.17,9.45,45,18106
2014-02-07,9.32,9.15,9.02,9.32,82,24000
2014-02-10,9.3,9.29,8.9,9.16,41,8056
2014-02-11,9.2,9.09,9.0,9.0,44,8877
2014-02-12,9.22,9.14,9.09,9.14,17,4125
2014-02-13,9.35,9.14,9.0,9.0,34,5375
2014-02-14,9.19,8.89,8.87,9.19,29,3911
2014-02-18,9.9,9.545,9.2,9.25,203,55062
2014-02-19,10.45,10.05,9.55,9.55,153,35116
2014-02-20,10.39,10.19,10.0,10.0,141,18827
2014-02-21,11.87,11.05,10.165,10.2,337,71846
2014-02-24,11.85,11.14,11.11,11.85,159,36141
2014-02-25,11.58,11.15,10.39,11.34,256,32894
2014-02-26,11.8,11.43,11.2,11.8,205,26579
2014-02-27,11.7,11.33,10.93,11.7,214,30369
2014-02-28,11.3,11.24,10.92,11.25,117,12567
2014-03-03,11.5,11.3,11.07,11.22,201,23016
2014-03-04,12.08,11.44,11.3,11.37,464,68731
2014-03-05,12.05,11.91,11.43,11.43,96,20469
2014-03-06,12.815,12.0,11.99,12.07,322,46450
2014-03-07,12.59,12.5,12.02,12.27,504,72235
2014-03-10,13.22,13.05,12.73,12.8,586,74427
2014-03-11,14.27,13.66,13.21,13.21,434,73127
2014-03-12,14.25,13.9,13.47,13.65,332,41588
2014-03-13,14.0,13.68,13.5,14.0,286,35870
2014-03-14,14.4,13.9,13.0,13.5,232,29107
2014-03-17,14.08,13.61,13.02,13.89,410,53362
2014-03-18,13.68,13.4,13.0,13.68,467,49724
2014-03-19,13.7,13.13,13.03,13.03,511,46257
2014-03-20,13.5,13.06,12.98,13.0,230,27142
2014-03-21,13.16,12.47,12.47,12.99,380,170535
2014-03-24,12.4,11.15,10.7,12.4,593,78106
2014-03-25,12.47,12.01,10.73,10.73,459,49289
2014-03-26,12.01,11.12,10.9,12.01,223,22771
2014-03-27,11.41,11.23,10.35,11.08,446,48411
2014-03-28,11.81,10.55,10.45,11.2,371,47230
2014-03-31,11.97,11.73,10.53,10.53,813,607520
2014-04-01,11.97,11.95,11.15,11.6,467,47736
2014-04-02,12.01,11.48,11.39,11.93,464,47699
2014-04-03,11.72,11.59,10.95,11.44,728,75408
2014-04-04,11.56,10.9,10.83,11.56,677,72933
2014-04-07,11.01,10.26,10.21,10.81,509,48580
2014-04-08,10.34,10.25,9.85,10.24,522,52281
2014-04-09,10.5,10.29,10.15,10.25,419,35394
2014-04-10,10.33,9.81,9.6,10.33,431,39938
2014-04-11,9.97,9.59,9.59,9.75,522,50617
2014-04-14,10.3,9.74,9.6,9.66,287,26033
2014-04-15,10.02,9.52,9.44,9.82,440,44785
2014-04-16,10.62,10.2,9.4,9.58,440,42057
2014-04-17,10.64,10.34,10.16,10.16,469,98006
2014-04-21,10.25,10.14,9.91,10.25,264,22788
2014-04-22,10.3,10.28,9.93,10.2,311,37049
2014-04-23,10.76,10.22,10.19,10.3,204,18634
2014-04-24,10.61,10.26,10.21,10.25,128,10579
2014-04-25,10.68,10.3,10.21,10.21,337,34165
2014-04-28,10.3,9.89,9.88,10.29,143,12662
2014-04-29,10.14,9.88,9.84,9.94,122,8815
2014-04-30,10.1,9.9,9.82,9.83,326,38662
2014-05-01,9.87,9.87,9.79,9.86,147,24863
2014-05-02,10.05,9.3,9.17,9.93,216,26322
2014-05-05,9.39,9.26,9.13,9.24,152,17628
2014-05-06,9.32,8.71,8.59,9.21,198,21962
2014-05-07,9.0,8.76,8.7,8.8,340,31920
2014-05-08,8.85,8.32,8.26,8.72,180,21614
2014-05-09,8.78,8.35,8.17,8.27,236,30633
2014-05-12,8.9,8.83,8.44,8.47,215,27046
2014-05-13,8.79,8.27,8.27,8.79,104,11135
2014-05-14,8.65,8.2,8.18,8.25,157,17376
2014-05-15,8.3,8.08,8.02,8.14,177,30014
2014-05-16,8.09,8.07,7.9,8.05,160,20482
2014-05-19,8.14,8.01,8.0,8.03,106,13960
2014-05-20,8.05,7.99,7.95,7.99,215,36514
2014-05-21,8.15,8.05,7.95,8.05,252,28091
2014-05-22,8.2,8.0,7.98,8.05,122,21669
2014-05-23,8.2,8.04,7.96,7.96,138,19574
2014-05-27,8.24,8.21,8.06,8.06,61,9238
2014-05-28,8.47,8.44,8.2,8.2,123,13092
2014-05-29,8.73,8.56,8.42,8.42,73,11688
2014-05-30,8.93,8.8,8.6,8.6,116,37599
2014-06-02,8.8,8.65,8.52,8.8,130,15948
2014-06-03,8.91,8.9,8.45,8.59,130,19632
2014-06-04,9.33,8.92,8.84,8.84,122,10610
2014-06-05,9.32,9.32,8.97,8.97,158,23078
2014-06-06,10.22,10.18,9.42,9.42,158,24939
2014-06-09,10.24,10.17,9.89,10.14,194,26138
2014-06-10,10.49,10.42,9.75,10.12,173,21683
2014-06-11,11.13,11.01,10.34,10.34,129,14381
2014-06-12,11.53,11.46,10.94,10.94,224,25132
2014-06-13,11.52,11.39,11.27,11.52,110,10915
2014-06-16,11.38,11.1,10.75,11.34,175,19181
2014-06-17,11.19,11.17,11.04,11.04,105,14130
2014-06-18,11.34,11.3,11.08,11.13,83,11518
2014-06-19,11.46,11.21,11.16,11.31,173,19521
2014-06-20,11.28,11.21,11.17,11.28,113,80864
2014-06-23,11.37,11.23,11.23,11.25,107,14396
2014-06-24,11.3,11.06,11.04,11.2,115,11091
2014-06-25,11.13,11.05,10.98,10.98,107,9698
2014-06-26,11.02,10.94,10.76,11.02,87,8860
2014-06-27,11.28,11.26,10.81,10.81,220,72953
2014-06-30,11.69,11.62,11.14,11.14,123,13412
2014-07-01,11.61,11.13,11.09,11.61,224,35329
2014-07-02,11.12,10.95,10.68,11.08,124,13991
2014-07-03,10.95,10.9,10.75,10.95,55,7413
2014-07-07,10.9,10.56,10.44,10.9,133,14277
2014-07-08,10.49,10.29,10.09,10.49,108,14757
2014-07-09,10.41,10.33,10.16,10.3,109,7486
2014-07-10,10.27,10.08,9.97,10.14,271,18023
2014-07-11,10.76,10.66,10.26,10.43,79,13650
2014-07-14,10.89,10.73,10.47,10.47,101,13959
2014-07-15,10.93,10.81,10.46,10.46,225,30181
2014-07-16,10.6,10.45,10.41,10.59,104,19671
2014-07-17,10.67,9.85,9.75,10.39,186,19890
2014-07-18,9.9,9.54,9.12,9.8,372,48038
2014-07-21,9.88,9.84,9.46,9.46,68,10350
2014-07-22,10.06,9.96,9.8,9.92,101,16217
2014-07-23,10.02,9.97,9.88,9.94,50,6075
2014-07-24,9.97,9.69,9.64,9.97,80,7617
2014-07-25,9.6,9.5,9.3,9.49,100,11643
2014-07-28,9.56,9.42,9.13,9.56,154,18809
2014-07-29,9.74,9.58,9.25,9.43,145,15561
2014-07-30,9.71,9.58,9.44,9.71,97,11016
2014-07-31,9.78,9.66,9.41,9.41,152,16501
2014-08-01,9.9,9.83,9.47,9.71,127,20185
2014-08-04,9.87,9.82,9.52,9.71,122,13002
2014-08-05,10.16,10.08,9.44,9.72,115,14977
2014-08-06,10.14,10.04,9.88,9.96,68,11989
2014-08-07,10.03,9.78,9.65,10.03,83,10953
2014-08-08,9.9,9.9,9.63,9.87,70,10195
2014-08-11,10.07,9.86,9.81,9.91,164,15096
2014-08-12,9.78,9.38,9.28,9.78,62,8893
2014-08-13,9.9,9.9,9.32,9.32,81,10886
2014-08-14,9.88,9.87,9.77,9.86,588,53386
2014-08-15,9.99,9.8,9.7,9.99,204,28384
2014-08-18,9.94,9.84,9.73,9.94,269,30630
2014-08-19,10.39,10.21,9.8,9.8,167,21456
2014-08-20,10.17,9.84,9.75,10.17,70,8645
2014-08-21,9.91,9.84,9.84,9.87,27,5871
2014-08-22,10.25,10.25,9.83,9.83,159,27796
2014-08-25,10.36,10.29,10.23,10.33,53,11221
2014-08-26,10.4,10.4,10.2,10.27,45,10847
2014-08-27,10.44,10.44,10.36,10.37,45,4272
2014-08-28,10.48,10.29,10.21,10.47,61,5564
2014-08-29,10.8,10.69,10.27,10.27,85,10398
2014-09-02,10.85,10.59,10.51,10.74,74,9365
2014-09-03,10.63,10.52,10.41,10.63,50,5834
2014-09-04,10.63,10.56,10.55,10.56,31,2682
2014-09-05,10.68,10.49,10.37,10.44,67,13505
2014-09-08,10.69,10.66,10.38,10.38,42,8579
2014-09-09,10.75,10.71,10.65,10.65,96,11628
2014-09-10,10.78,10.73,10.68,10.74,64,9784
2014-09-11,10.82,10.81,10.59,10.64,82,8842
2014-09-12,10.8,10.58,10.56,10.78,69,8324
2014-09-15,10.69,10.59,10.55,10.63,99,10960
2014-09-16,10.68,10.67,10.04,10.04,42,7310
2014-09-17,10.74,10.7,10.58,10.66,58,6971
2014-09-18,10.78,10.46,10.0,10.77,114,26236
2014-09-19,10.42,9.69,9.32,10.41,209,59841
2014-09-22,9.66,9.33,9.24,9.66,129,15761
2014-09-23,9.32,9.26,9.21,9.29,79,11297
2014-09-24,9.65,9.6,9.27,9.3,71,10783
2014-09-25,9.67,9.445,9.39,9.58,56,8551
2014-09-26,9.62,9.57,9.43,9.43,43,4686
2014-09-29,9.5,9.36,9.19,9.4,86,13577
2014-09-30,9.38,9.31,9.24,9.33,144,21101
2014-10-01,9.33,9.0,9.0,9.33,131,21987
2014-10-02,9.89,9.84,9.04,9.04,96,12271
2014-10-03,10.21,9.77,9.71,10.02,52,14438
2014-10-06,10.23,9.76,9.76,9.76,154,17641
2014-10-07,10.5,10.12,9.72,9.72,123,18915
2014-10-08,10.44,10.43,10.1,10.12,114,17887
2014-10-09,10.63,10.56,10.2,10.3,149,27173
2014-10-10,10.555,9.9,9.74,10.45,93,15680
2014-10-13,10.0,9.86,9.33,9.96,90,11561
2014-10-14,9.96,9.79,9.65,9.96,86,14893
2014-10-15,10.56,10.505,9.51,9.66,71,13014
