Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-04-18,66.0,62.0,60.33,65.0,47464,10782165
2019-04-22,68.9,65.7,59.94,61.0,19665,2785139
2019-04-23,74.14,69.0,65.55,66.87,14315,1571776
2019-04-24,71.5,63.2,63.16,71.4,10468,1153901
2019-04-25,66.85,65.0,62.61,64.74,7804,1594049
2019-04-26,66.95,66.22,63.64,66.12,3793,365568
2019-04-29,68.49,68.17,64.85,66.53,4315,445713
2019-04-30,72.48,72.47,66.76,68.4,8665,986338
2019-05-01,76.95,72.76,70.86,72.72,7851,836827
2019-05-02,75.835,75.5,69.7,72.75,5838,666117
2019-05-03,80.25,79.18,75.0,75.0,6469,582740
2019-05-06,80.6,78.24,74.5,75.01,8193,577779
2019-05-07,78.05,73.33,73.25,77.85,7599,572921
2019-05-08,78.5,77.68,74.03,74.61,6974,515667
2019-05-09,76.98,75.21,74.01,76.85,4737,378130
2019-05-10,79.74,79.63,74.8,75.79,5525,435160
2019-05-13,77.39,72.54,70.61,77.39,7315,633851
2019-05-14,76.88,73.14,73.11,74.12,6105,552223
2019-05-15,80.0,79.76,72.26,73.4,9785,690555
2019-05-16,87.5,83.4,79.25,80.12,11437,856233
2019-05-17,90.22,89.98,81.91,82.25,8427,658562
2019-05-20,91.43,84.67,83.27,90.1,11005,844510
2019-05-21,89.7,85.44,84.5,86.67,8760,714405
2019-05-22,85.7,82.43,82.0,84.63,5175,393876
2019-05-23,81.49,78.76,77.33,81.25,7825,572644
2019-05-24,81.12,76.25,74.21,80.2,6490,653909
2019-05-28,79.37,77.77,76.8,76.8,3616,393566
2019-05-29,77.93,75.77,73.7,77.0,4529,424698
2019-05-30,80.97,80.42,76.68,76.68,5528,631673
2019-05-31,83.17,79.73,77.78,78.77,4176,406980
2019-06-03,81.845,75.9,75.65,80.0,4760,454570
2019-06-04,78.83,78.74,76.78,78.2,2519,275753
2019-06-05,80.5,78.04,76.24,80.14,3839,366874
2019-06-06,79.75,79.43,77.04,77.4,7787,662094
2019-06-07,98.88,94.05,92.51,93.66,26443,2731332
2019-06-10,105.96,102.0,96.14,98.51,15039,1302973
2019-06-11,101.19,94.87,91.57,101.0,12612,1209661
2019-06-12,104.14,102.77,94.02,94.6,9232,827385
2019-06-13,105.15,100.95,98.56,105.15,7630,809207
2019-06-14,104.55,100.29,99.32,100.47,5446,514793
2019-06-17,102.34,98.11,97.0,101.0,5623,563543
2019-06-18,101.96,99.64,97.53,100.39,6332,616226
2019-06-19,104.44,102.39,98.63,100.49,6286,604894
2019-06-20,107.33,102.3,101.68,105.01,8272,730188
2019-06-21,101.42,100.47,97.83,101.42,7325,1370396
2019-06-24,101.35,89.41,88.89,100.85,18726,1793944
2019-06-25,91.5,85.03,84.65,89.43,11596,1068505
2019-06-26,89.02,86.33,84.61,87.5,8544,833303
2019-06-27,92.33,90.27,87.8,89.7,8215,996643
2019-06-28,92.2,88.79,87.25,91.76,8985,1145229
2019-07-01,87.77,86.86,83.1,85.13,14614,1568094
2019-07-02,86.79,85.13,84.01,86.27,5107,527942
2019-07-03,90.6,90.45,84.56,85.45,7695,759955
2019-07-05,91.97,91.88,88.0,90.14,8664,824656
2019-07-08,92.67,90.76,89.9,91.44,6020,624912
2019-07-09,91.25,90.93,89.1,90.27,4779,465803
2019-07-10,93.45,92.72,91.55,91.76,5764,610582
2019-07-11,93.11,91.4,90.48,92.87,5127,550250
2019-07-12,94.9,93.3,91.38,93.01,7255,736042
2019-07-15,100.65,99.8,93.81,94.0,9701,1023937
2019-07-16,100.5,97.1,96.5,100.14,5772,581412
