Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-03-19,25.08,25.04,25.0,25.0,102,38124
2019-03-20,25.05,24.99,24.93,25.04,180,67355
2019-03-21,25.17,25.1,25.03,25.03,142,82481
2019-03-22,25.14,25.03,25.03,25.1,34,14722
2019-03-25,25.11,25.05,25.05,25.1,66,20145
2019-03-26,25.1,25.09,25.07,25.1,27,5966
2019-03-27,25.15,25.1,25.08,25.12,211,48550
2019-03-28,25.18,25.1,25.07,25.14,161,47923
2019-03-29,25.16,24.96,24.96,25.14,171,159874
2019-04-01,25.08,25.08,24.96,25.01,108,62204
2019-04-02,25.24,25.22,25.07,25.1,141,45447
2019-04-03,25.42,25.36,25.25,25.27,146,39546
2019-04-04,25.44,25.39,25.36,25.36,71,25407
2019-04-05,25.61,25.61,25.38,25.4,178,42818
2019-04-08,25.89,25.82,25.61,25.61,127,34508
2019-04-09,25.99,25.86,25.66,25.71,96,100394
2019-04-10,26.09,26.09,25.9,25.9,125,44071
2019-04-11,26.23,26.13,26.01,26.09,88,29045
2019-04-12,26.23,26.16,26.14,26.15,70,32958
2019-04-15,26.21,26.06,26.06,26.16,100,17078
2019-04-16,26.15,25.96,25.96,26.15,39,11024
2019-04-17,25.97,25.95,25.91,25.96,39,6193
2019-04-18,25.93,25.93,25.93,25.93,15,4658
2019-04-22,25.88,25.79,25.79,25.86,46,6947
2019-04-23,25.86,25.86,25.69,25.75,50,10460
2019-04-24,25.93,25.92,25.86,25.87,35,5578
2019-04-25,25.95,25.92,25.92,25.93,20,6291
2019-04-26,26.0,25.97,25.94,25.94,62,11818
2019-04-29,26.04,25.93,25.93,25.99,63,9625
2019-04-30,26.35,26.29,26.01,26.01,386,188352
2019-05-01,26.35,26.31,26.26,26.27,86,15036
2019-05-02,26.35,26.3,26.25,26.31,49,9219
2019-05-03,26.3,26.22,26.22,26.3,24,3507
2019-05-06,26.22,26.1,25.96,26.22,9,1813
2019-05-07,26.16,26.05,26.04,26.16,12,10052
2019-05-08,26.14,26.14,26.14,26.14,4,229
2019-05-09,26.15,26.12,26.05,26.11,23,5130
2019-05-10,26.21,26.21,26.14,26.14,31,4971
2019-05-13,26.14,26.14,26.01,26.01,10,1812
2019-05-14,26.17,26.1,26.08,26.14,18,4814
2019-05-15,26.35,26.35,26.21,26.21,23,8079
2019-05-16,26.4,26.39,26.26,26.35,27,2261
2019-05-17,26.37,26.34,26.22,26.23,20,3463
2019-05-20,26.34,26.31,26.25,26.34,46,8956
2019-05-21,26.26,26.26,26.25,26.25,40,5483
2019-05-22,26.38,26.38,26.26,26.26,124,6982
2019-05-23,26.39,26.39,26.37,26.37,87,1554
2019-05-24,26.4,26.35,26.3,26.39,38,4115
2019-05-28,26.46,26.46,26.32,26.32,26,1120
2019-05-29,26.45,26.45,26.31,26.31,27,5200
2019-05-30,26.45,26.45,26.45,26.45,26,2301
2019-05-31,26.61,26.61,26.35,26.35,85,43606
2019-06-03,26.51,26.51,26.42,26.42,23,4501
2019-06-04,26.44,26.44,26.39,26.41,17,3021
2019-06-05,26.43,26.42,26.41,26.42,29,2638
2019-06-06,26.42,26.4,26.4,26.42,13,2949
2019-06-07,26.5,26.46,26.46,26.5,9,345
2019-06-10,26.6,26.6,26.5,26.5,25,2808
2019-06-11,26.6,26.56,26.49,26.49,18,5976
2019-06-12,26.7,26.65,26.55,26.55,35,6298
2019-06-13,26.27,26.15,26.15,26.27,17,2940
2019-06-14,26.24,26.21,26.13,26.21,46,18272
2019-06-17,26.25,26.25,26.15,26.15,14,1829
2019-06-18,26.28,26.16,26.06,26.28,56,11126
2019-06-19,26.24,26.12,26.12,26.17,12,1359
2019-06-20,26.33,26.24,26.17,26.33,27,4679
2019-06-21,26.28,26.16,26.09,26.28,43,14051
2019-06-24,26.26,26.21,26.17,26.17,24,4426
2019-06-25,26.26,26.24,26.2,26.26,15,1399
2019-06-26,26.26,26.25,26.18,26.25,24,5537
2019-06-27,26.34,26.34,26.21,26.26,98,17821
2019-06-28,26.45,26.45,26.34,26.35,175,65850
2019-07-01,26.37,26.25,26.19,26.37,30,9631
2019-07-02,26.36,26.3,26.19,26.31,28,7880
2019-07-03,26.37,26.35,26.35,26.37,34,3376
2019-07-05,,,,,7,174
2019-07-08,26.37,26.35,26.35,26.36,25,2777
2019-07-09,26.39,26.37,26.37,26.38,7,1918
2019-07-10,26.64,26.64,26.39,26.39,86,9637
2019-07-11,26.64,26.6,26.6,26.64,2,330
2019-07-12,26.64,26.56,26.41,26.64,14,5308
2019-07-15,26.62,26.62,26.6,26.6,7,1685
2019-07-16,26.62,26.6,26.55,26.55,26,1990
2019-07-17,26.8,26.8,26.62,26.62,31,3496
2019-07-18,26.81,26.81,26.7,26.8,57,8499
2019-07-19,26.87,26.87,26.65,26.67,27,4616
2019-07-22,26.95,26.95,26.88,26.88,26,2961
2019-07-23,27.15,27.1,26.95,26.95,154,5042
2019-07-24,27.15,27.13,27.1,27.14,23,2604
2019-07-25,27.14,26.96,26.92,27.12,41,9927
2019-07-26,27.12,27.08,26.95,27.02,68,7884
2019-07-29,27.18,27.18,27.1,27.1,26,2193
2019-07-30,27.17,27.06,27.06,27.1,50,7714
2019-07-31,27.15,26.91,26.91,27.05,55,31252
2019-08-01,27.07,27.05,26.92,26.92,20,4322
2019-08-02,27.02,27.02,27.0,27.02,25,1930
2019-08-05,27.0,26.95,26.72,26.97,45,15141
2019-08-06,26.92,26.56,26.42,26.92,241,62661
2019-08-07,26.51,26.49,26.4,26.44,42,5881
2019-08-08,26.64,26.64,26.51,26.51,23,5010
2019-08-09,26.72,26.72,26.59,26.64,98,9853
2019-08-12,26.74,26.74,26.69,26.69,26,6818
2019-08-13,26.89,26.89,26.75,26.75,16,2545
2019-08-14,26.87,26.87,26.74,26.84,7,2453
2019-08-15,26.94,26.8935,26.89,26.915,26,2695
2019-08-16,27.03,27.0,26.965,27.03,8,700
2019-08-19,27.0,26.98,26.84,27.0,12,4259
2019-08-20,27.02,26.9,26.9,26.98,24,2262
2019-08-21,27.04,27.04,26.96,27.01,6,529
2019-08-22,27.18,27.18,26.96,27.05,14,3979
2019-08-23,27.24,27.24,27.12,27.12,43,19039
2019-08-26,27.33,27.32,27.3,27.33,26,5412
2019-08-27,27.38,27.36,27.22,27.32,53,7536
2019-08-28,27.49,27.47,27.32,27.36,63,4640
2019-08-29,27.54,27.49,27.39,27.49,87,7426
2019-08-30,27.5,27.25,27.25,27.5,31,25839
2019-09-03,27.41,27.3497,27.25,27.41,14,1675
2019-09-04,27.59,27.59,27.38,27.38,31,5879
2019-09-05,27.59,27.501,27.5,27.59,14,951
2019-09-06,27.57,27.56,27.55,27.57,6,601
2019-09-09,27.65,27.55,27.53,27.56,20,2215
2019-09-10,27.64,27.5,27.5,27.64,21,1904
2019-09-11,27.5,27.2944,27.2944,27.5,43,3055
2019-09-12,27.09,26.88,26.86,26.95,41,10197
2019-09-13,26.88,26.52,26.51,26.88,77,13533
2019-09-16,26.7,26.36,26.24,26.7,75,21424
2019-09-17,26.43,26.39,26.31,26.42,74,19486
2019-09-18,26.57,26.54,26.39,26.39,72,16486
2019-09-19,26.64,26.59,26.52,26.59,47,9635
2019-09-20,26.67,26.65,26.61,26.65,54,4154
2019-09-23,26.76,26.75,26.68,26.68,45,4439
2019-09-24,26.82,26.74,26.67,26.75,42,5676
2019-09-25,26.74,26.66,26.66,26.74,68,5350
2019-09-26,26.71,26.68,26.64,26.71,50,6445
2019-09-27,26.82,26.79,26.68,26.72,115,12229
2019-09-30,26.82,26.71,26.71,26.8,24,27609
