Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-15,31.6,31.0,26.5,28.25,9035,4154947
2021-04-16,33.94,30.0,28.85,30.95,1940,362716
2021-04-19,32.59,32.54,29.75,30.71,2359,472938
2021-04-20,34.04,32.58,32.0,32.31,2671,334676
2021-04-21,33.47,32.5,30.3,32.58,1369,2721505
2021-04-22,33.1,30.75,30.41,31.79,1448,192041
2021-04-23,31.69,31.4,30.57,30.57,896,76944
2021-04-26,32.65,32.13,31.81,31.84,281,37979
2021-04-27,32.56,32.15,31.89,31.99,632,52458
2021-04-28,32.4,32.06,30.6,32.25,729,67475
2021-04-29,32.06,31.24,30.0,32.06,771,69583
2021-04-30,32.3,31.53,30.51,30.72,479,45008
2021-05-03,32.8,32.48,30.83,32.29,582,70645
2021-05-04,33.43,32.27,31.52,32.27,472,80395
2021-05-05,33.37,32.82,31.99,32.5,729,82256
2021-05-06,32.76,32.07,31.25,32.55,811,103988
2021-05-07,33.84,33.49,31.83,31.83,435,62715
2021-05-10,34.41,33.48,33.02,33.85,1092,124786
2021-05-11,33.98,31.83,31.51,33.07,565,56777
2021-05-12,31.7,31.11,30.51,31.09,572,83802
2021-05-13,31.55,29.14,28.81,31.14,906,146910
2021-05-14,30.61,29.96,29.4,29.59,363,48626
2021-05-17,30.45,30.11,29.52,29.6,431,35773
2021-05-18,32.16,31.19,30.05,30.13,468,57206
2021-05-19,31.34,30.66,30.26,31.07,379,30951
2021-05-20,33.62,31.78,30.67,30.67,743,85411
2021-05-21,34.51,34.03,31.97,32.06,1102,94064
2021-05-24,34.2,33.93,33.41,34.08,358,38677
2021-05-25,35.079,34.56,33.8,33.83,491,65282
2021-05-26,34.73,33.85,33.5,34.73,526,77252
2021-05-27,36.81,36.75,34.01,34.01,755,88560
2021-05-28,38.74,35.94,35.62,37.07,777,70261
2021-06-01,39.04,38.4,36.17,36.39,682,80270
2021-06-02,38.78,37.67,37.4,38.65,774,59595
2021-06-03,37.56,36.65,36.54,37.56,487,47900
2021-06-04,36.62,35.2,35.16,36.62,686,63841
2021-06-07,36.03,34.73,34.46,35.58,2095,243263
2021-06-08,36.69,36.5,34.38,34.9,2301,230377
2021-06-09,37.93,36.99,36.6,37.01,1203,182009
2021-06-10,38.0,37.0,36.95,38.0,1068,150818
2021-06-11,37.25,36.8,35.5,37.0,1196,133839
2021-06-14,38.64,38.25,36.95,37.36,1868,209517
2021-06-15,39.93,39.52,37.61,38.53,1232,175065
2021-06-16,42.05,41.42,39.52,39.52,1437,411015
2021-06-17,43.61,42.68,40.15,40.57,2744,544170
2021-06-18,44.83,43.25,42.43,42.47,1669,2551112
2021-06-21,44.04,42.1,40.79,43.23,1821,407548
2021-06-22,43.19,41.98,41.55,41.55,1225,392088
2021-06-23,42.47,41.78,41.64,41.98,1069,83159
2021-06-24,42.95,40.83,40.67,41.84,1968,191234
