Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,36.54,36.48,35.96,36.32,6538,4740858
2013-01-03,36.6,36.18,36.07,36.55,4184,2568538
2013-01-04,36.38,36.3,35.9,36.37,3950,2104241
2013-01-07,36.19,35.93,35.5,36.05,4606,2638765
2013-01-08,35.91,35.65,35.28,35.78,4495,3235409
2013-01-09,36.1,35.76,35.52,35.83,4151,2093354
2013-01-10,35.93,35.8,35.47,35.86,4957,3050925
2013-01-11,35.99,35.23,35.08,35.99,3737,2343279
2013-01-14,35.31,35.05,34.56,35.22,4756,2344663
2013-01-15,35.1,34.84,34.61,34.8,3224,1925948
2013-01-16,35.657,35.54,34.57,34.62,5737,2753176
2013-01-17,35.81,35.21,35.15,35.6,4672,2389181
2013-01-18,35.32,35.09,34.7,35.31,4085,4590277
2013-01-22,36.01,35.91,35.22,35.25,4659,2657695
2013-01-23,36.52,36.46,35.65,35.8,4729,2949002
2013-01-24,37.12,36.6,36.5,36.59,6427,3143120
2013-01-25,36.86,36.7,36.34,36.77,3641,2227264
2013-01-28,37.51,37.3,36.81,37.05,5281,4037081
2013-01-29,38.05,37.82,37.41,37.5,5397,2910183
2013-01-30,38.0,37.67,37.52,37.8,4827,3293477
2013-01-31,38.04,37.83,37.39,37.53,4242,2594563
2013-02-01,39.12,38.86,38.15,38.15,5453,2904314
2013-02-04,38.64,38.19,38.15,38.55,4220,2439812
2013-02-05,39.02,38.75,38.18,38.48,5023,2323856
2013-02-06,39.0,38.75,38.32,38.5,4590,2094280
2013-02-07,38.94,38.64,38.07,38.92,4251,1790246
2013-02-08,39.03,38.79,38.51,38.76,4832,2060451
2013-02-11,39.56,39.45,38.651,38.85,3891,1657324
2013-02-12,39.9,38.63,38.5,39.53,6863,3421535
2013-02-13,39.18,38.87,38.56,38.89,4718,2164594
2013-02-14,39.26,39.21,38.5,38.64,3624,1822050
2013-02-15,39.27,38.35,38.32,39.27,5033,3951684
2013-02-19,38.93,38.6,38.1,38.35,5399,2664735
2013-02-20,38.66,37.57,37.5,38.58,5073,2475348
2013-02-21,37.61,37.28,36.82,37.32,7186,4508025
2013-02-22,39.53,38.45,37.86,39.25,12615,6223806
2013-02-25,38.9,37.06,36.86,38.9,9335,3962061
2013-02-26,37.79,37.69,36.69,37.3,10163,3527496
2013-02-27,37.89,37.77,37.39,37.64,6609,2658949
2013-02-28,38.46,38.01,37.74,37.88,4635,3056771
2013-03-01,38.01,37.85,37.15,37.45,5705,2214676
2013-03-04,38.16,38.07,37.51,37.75,3559,1516426
2013-03-05,38.89,38.25,38.21,38.29,3978,2271507
2013-03-06,38.71,38.45,38.25,38.5,4436,2064523
2013-03-07,39.36,39.01,38.6,38.62,4721,2240352
2013-03-08,39.78,39.58,39.16,39.23,5072,2303830
2013-03-11,39.7,39.47,39.28,39.68,4932,1999317
2013-03-12,39.6,39.11,38.85,39.23,4675,2101503
2013-03-13,39.43,38.89,38.77,39.28,4301,2102679
2013-03-14,39.23,39.02,38.81,39.0,3240,1954367
2013-03-15,39.05,38.97,38.57,38.75,4126,5431432
2013-03-18,38.86,38.6,38.18,38.39,4380,2584165
2013-03-19,38.81,38.38,37.781,38.61,5877,2652446
2013-03-20,38.71,38.3,38.24,38.65,3877,1896855
2013-03-21,38.08,37.8,37.67,38.05,5382,4084122
2013-03-22,38.1,37.79,37.63,37.9,4656,2980574
2013-03-25,38.34,37.7,37.47,38.0,4052,2301960
2013-03-26,38.53,38.44,37.95,38.03,4053,1977396
2013-03-27,38.39,38.25,37.87,38.13,4578,1891599
2013-03-28,38.92,38.82,38.2,38.27,4432,3799512
2013-04-01,39.07,38.23,38.07,38.8,3480,1739252
2013-04-02,39.17,39.0,38.31,38.31,5048,2375733
2013-04-03,39.18,37.84,37.74,39.05,6764,3748497
2013-04-04,38.34,37.69,37.49,37.93,6063,2875103
2013-04-05,38.7,38.62,36.9,37.11,6488,3216324
2013-04-08,40.11,40.09,38.42,38.75,7803,3747458
2013-04-09,40.0,39.63,39.43,39.99,5719,3013583
2013-04-10,40.39,40.1,39.45,39.71,6204,2875173
2013-04-11,40.68,40.44,39.79,40.09,3620,1717046
2013-04-12,40.32,40.13,39.699,40.24,3305,1612402
2013-04-15,40.06,38.58,38.421,39.76,6575,2831815
2013-04-16,39.62,39.56,39.08,39.08,5501,2347878
2013-04-17,39.26,38.56,38.41,39.08,6602,2998980
2013-04-18,39.03,38.34,38.05,38.74,5222,2591861
2013-04-19,38.97,38.88,38.34,38.74,4237,2615410
2013-04-22,38.91,38.61,38.2,38.86,3725,2054016
2013-04-23,40.74,40.62,39.25,39.25,8052,3758557
2013-04-24,41.87,41.6,40.7,40.74,6010,2734825
2013-04-25,42.65,42.28,41.54,41.81,6687,3774608
2013-04-26,41.94,40.87,40.64,41.7,6389,3465107
2013-04-29,41.49,41.31,40.38,41.25,4664,2028343
2013-04-30,42.38,41.42,41.08,41.39,6686,3279434
2013-05-01,42.21,41.19,41.13,42.0,6043,2559544
2013-05-02,42.46,42.13,41.44,41.64,7607,3076011
2013-05-03,44.9,44.52,43.53,43.85,9197,5470828
2013-05-06,45.84,45.48,44.04,44.72,6930,3839046
2013-05-07,44.95,44.6,44.04,44.8,5147,2574924
2013-05-08,44.64,44.35,44.06,44.25,5278,2842240
2013-05-09,44.5,44.07,43.92,44.44,4060,1916992
2013-05-10,44.36,44.18,43.661,44.12,4734,1911633
2013-05-13,44.95,44.64,44.15,44.87,4640,2077550
2013-05-14,46.18,46.08,44.94,44.94,5180,2279600
2013-05-15,46.45,45.58,45.251,46.27,5563,2646404
2013-05-16,45.89,44.91,44.68,45.33,5166,1980479
2013-05-17,45.47,45.23,44.86,44.93,3807,1974487
2013-05-20,45.39,44.89,44.75,45.2,3386,1336449
2013-05-21,45.4,44.96,44.53,45.03,4455,2151442
2013-05-22,45.73,44.31,43.98,44.89,6983,2608461
2013-05-23,44.77,44.53,43.25,43.47,6955,3012104
2013-05-24,44.71,44.69,43.92,44.07,4551,1825947
2013-05-28,45.84,45.17,44.98,45.57,7044,4358390
2013-05-29,45.66,45.52,44.5,44.5,5673,2360986
2013-05-30,46.46,46.21,45.33,45.48,5132,1890545
2013-05-31,46.0,44.46,44.45,44.69,9546,4580077
2013-06-03,45.07,44.75,43.23,44.68,8797,3141531
2013-06-04,45.47,44.1,43.7,44.98,7332,2788212
2013-06-05,45.4,43.9,43.31,45.4,9978,3204021
2013-06-06,44.87,44.86,43.32,43.83,8594,4539860
2013-06-07,45.43,45.28,44.43,45.11,4561,1945280
2013-06-10,46.01,45.95,44.91,45.4,5444,1795843
2013-06-11,45.43,44.92,44.72,45.3,5820,2421441
2013-06-12,45.72,44.66,44.31,45.28,7522,2623560
2013-06-13,45.96,45.94,44.24,44.43,4798,2299444
2013-06-14,46.45,45.38,45.27,46.0,5758,2029054
2013-06-17,45.6,45.15,44.59,45.54,7342,2622729
2013-06-18,45.23,45.14,44.38,44.6,6206,2392968
2013-06-19,45.85,44.81,44.78,45.14,7280,2884684
2013-06-20,45.0,44.27,44.03,44.5,9891,4073056
2013-06-21,44.39,43.69,43.34,44.39,9068,9675674
2013-06-24,43.0,42.32,41.53,43.0,11422,4083499
2013-06-25,43.79,43.35,42.78,42.83,6097,3469317
2013-06-26,44.11,43.62,43.21,43.88,5195,2108490
2013-06-27,44.73,44.48,43.83,43.94,5040,4501970
2013-06-28,45.11,44.7,44.12,44.39,6766,21422904
2013-07-01,45.42,45.09,44.73,44.74,5040,2723455
2013-07-02,45.56,44.89,44.88,45.0,5324,1865209
2013-07-03,44.71,44.22,44.18,44.53,2549,1137892
2013-07-05,45.34,45.19,44.6,44.75,3995,1569303
2013-07-08,45.72,45.52,45.31,45.45,4019,1651054
2013-07-09,46.04,45.78,45.61,45.9,4193,1837087
2013-07-10,46.03,45.72,45.51,45.75,5282,1805373
2013-07-11,46.34,45.92,45.761,46.3,4099,2315628
2013-07-12,46.83,46.74,45.81,46.04,5336,2254497
2013-07-15,47.07,46.7,46.7,47.0,2666,1265623
2013-07-16,46.95,46.24,46.02,46.89,3137,1754022
2013-07-17,47.05,46.83,46.41,46.72,3611,1614950
2013-07-18,47.05,46.99,46.69,46.97,3196,1431256
2013-07-19,47.03,46.88,46.58,47.03,2689,1946346
2013-07-22,47.5,47.45,46.78,46.95,3158,1293781
2013-07-23,47.68,46.6,46.28,47.6,4341,1494031
2013-07-24,46.75,45.96,45.65,46.72,4304,1747905
2013-07-25,46.61,46.5,45.74,45.92,3125,1225773
2013-07-26,46.65,46.54,46.0,46.11,2677,1217302
2013-07-29,46.71,46.27,46.16,46.39,2601,1023923
2013-07-30,46.56,45.89,45.61,46.56,2733,1391203
2013-07-31,46.26,45.51,45.5,45.95,5414,2530863
2013-08-01,47.13,47.07,46.03,46.03,7121,3139407
2013-08-02,49.5,48.33,47.78,49.46,11959,5415372
2013-08-05,48.99,48.57,47.86,48.29,5932,3002049
2013-08-06,48.65,48.06,48.04,48.5,3945,1950878
2013-08-07,48.41,47.97,47.56,48.0,6588,3647278
2013-08-08,48.72,48.6,47.8,48.33,3324,1375163
2013-08-09,48.68,48.03,47.92,48.37,3156,1220888
2013-08-12,48.08,47.75,47.4,47.75,2326,1011550
2013-08-13,48.44,48.3,47.61,47.95,2503,1021162
2013-08-14,48.48,48.06,47.98,48.2,2167,882967
2013-08-15,47.75,47.04,46.82,47.53,4357,1768056
2013-08-16,47.92,47.1,46.85,46.93,4282,1998609
2013-08-19,47.1,46.32,46.1,46.99,4128,1497941
