Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,16.28,16.17,15.94,16.25,534,121341
2013-01-03,16.2,16.15,16.03,16.19,364,73055
2013-01-04,16.6,16.49,16.15,16.15,258,58066
2013-01-07,16.48,16.15,16.09,16.37,182,32554
2013-01-08,16.31,16.28,16.0,16.18,388,63236
2013-01-09,16.54,16.34,16.14,16.27,266,42188
2013-01-10,16.75,16.67,16.3,16.47,255,60783
2013-01-11,16.71,16.54,16.3,16.71,299,43185
2013-01-14,16.76,16.72,16.42,16.49,213,40513
2013-01-15,17.17,17.11,16.56,16.62,279,70168
2013-01-16,17.0,16.88,16.76,16.91,285,60601
2013-01-17,17.36,17.36,16.86,16.91,263,51322
2013-01-18,17.46,17.44,16.84,17.31,269,67685
2013-01-22,17.6,17.59,17.25,17.38,238,44736
2013-01-23,18.25,17.47,17.4,18.0,416,105088
2013-01-24,17.83,17.59,17.36,17.55,202,39725
2013-01-25,17.75,17.7,17.45,17.7,382,71758
2013-01-28,17.9,17.72,17.69,17.78,267,68721
2013-01-29,17.83,17.75,17.7,17.7,287,52247
2013-01-30,17.83,17.71,17.64,17.7,200,40942
2013-01-31,17.83,17.58,17.42,17.65,318,99636
2013-02-01,18.51,18.04,16.66,16.73,551,119749
2013-02-04,18.24,18.02,17.76,18.04,378,65363
2013-02-05,18.43,18.35,18.04,18.04,162,28032
2013-02-06,18.5,18.24,18.17,18.24,119,19639
2013-02-07,18.31,18.26,18.1,18.28,201,48561
2013-02-08,18.52,18.38,18.23,18.23,177,38435
2013-02-11,18.34,18.34,18.04,18.33,63,12670
2013-02-12,18.79,18.6,18.3,18.3,248,34090
2013-02-13,18.69,18.61,18.52,18.65,79,12470
2013-02-14,18.92,18.69,18.53,18.53,125,22535
2013-02-15,19.01,18.81,18.67,18.81,291,81814
2013-02-19,19.48,19.47,18.8,18.8,228,33347
2013-02-20,20.21,19.44,19.39,19.5,381,76095
2013-02-21,19.25,18.94,18.69,19.25,156,30857
2013-02-22,19.15,18.71,18.53,19.06,449,78663
2013-02-25,19.18,18.92,18.81,18.81,201,35571
2013-02-26,19.52,19.39,18.92,18.92,290,45164
2013-02-27,19.65,19.39,19.29,19.35,144,31423
2013-02-28,19.49,19.22,18.85,19.34,218,40759
2013-03-01,19.27,19.18,18.99,19.09,215,53307
2013-03-04,19.18,19.04,18.96,19.12,188,40935
2013-03-05,19.32,19.17,19.04,19.13,89,21047
2013-03-06,19.54,19.26,19.14,19.27,182,28123
2013-03-07,19.61,19.51,19.12,19.25,118,28269
2013-03-08,19.79,19.75,19.58,19.63,235,35348
2013-03-11,19.87,19.77,19.7,19.75,142,23963
2013-03-12,19.84,19.41,19.3,19.77,140,20142
2013-03-13,19.49,19.43,19.11,19.38,203,33480
2013-03-14,19.72,19.31,19.2,19.5,168,32804
2013-03-15,19.57,19.34,19.27,19.35,197,116084
2013-03-18,19.45,19.25,19.14,19.17,61,12491
2013-03-19,19.47,19.1,19.0,19.33,201,38100
2013-03-20,19.46,19.27,19.02,19.12,178,43238
2013-03-21,19.38,19.01,18.92,19.12,120,33713
2013-03-22,19.37,19.16,19.02,19.11,94,17300
2013-03-25,19.72,19.42,19.0,19.15,113,22170
2013-03-26,19.63,19.38,19.3,19.46,40,8252
2013-03-27,19.34,19.15,18.93,19.34,71,14319
2013-03-28,19.23,19.05,18.95,19.23,84,45690
2013-04-01,19.15,19.04,18.82,19.07,110,23672
2013-04-02,19.2,19.08,18.93,19.05,182,36679
2013-04-03,19.22,18.47,18.42,19.14,172,38097
2013-04-04,18.85,18.73,18.11,18.5,150,33177
2013-04-05,18.46,17.73,17.64,18.46,173,37463
2013-04-08,18.27,18.0,17.87,17.9,192,34329
2013-04-09,18.2,17.91,17.84,18.04,304,42818
2013-04-10,18.79,18.65,17.9,17.9,223,43233
2013-04-11,19.11,18.58,18.32,18.45,151,46477
2013-04-12,18.59,18.53,18.16,18.59,72,16468
2013-04-15,18.4,17.95,17.84,18.4,168,35143
2013-04-16,18.53,18.31,18.12,18.42,169,37337
2013-04-17,17.67,17.29,16.37,16.55,526,185126
2013-04-18,17.5,17.02,16.95,17.25,420,105694
2013-04-19,17.94,17.5,16.87,17.0,3279,2528431
2013-04-22,18.64,18.44,17.1,17.45,884,228777
2013-04-23,18.84,18.57,17.9,18.4,709,154069
2013-04-24,18.59,18.27,18.01,18.51,323,53168
2013-04-25,18.68,18.29,18.11,18.2,376,87745
2013-04-26,18.39,18.27,17.77,18.25,474,114494
2013-04-29,18.74,18.6,18.18,18.29,497,132756
2013-04-30,19.06,19.0,18.42,18.63,925,266692
2013-05-01,19.27,19.16,18.84,19.0,944,221253
2013-05-02,19.25,19.2,18.76,19.17,715,154957
2013-05-03,19.78,19.64,18.97,19.0,1113,640686
2013-05-06,20.15,20.11,19.49,19.7,1314,247125
2013-05-07,20.2,20.14,19.85,20.0,396,112743
2013-05-08,20.0,19.97,19.86,20.0,350,90186
2013-05-09,20.04,19.98,19.7,19.89,563,107209
2013-05-10,20.95,20.74,19.89,19.89,1289,245627
2013-05-13,20.87,20.82,20.26,20.74,323,69706
2013-05-14,21.43,21.14,20.77,20.78,747,168448
2013-05-15,21.47,21.05,20.96,21.05,459,88678
2013-05-16,21.47,21.24,20.92,20.95,241,50593
2013-05-17,21.44,21.25,20.76,21.22,746,150802
2013-05-20,21.51,21.25,21.14,21.25,684,120964
2013-05-21,21.47,21.27,21.12,21.18,417,80408
2013-05-22,21.32,20.72,20.54,21.2,540,130935
2013-05-23,20.99,20.71,19.92,20.49,347,69273
2013-05-24,20.92,20.78,20.59,20.65,351,72102
2013-05-28,21.28,21.15,20.56,21.0,549,117431
2013-05-29,21.0,20.96,20.76,20.93,268,58250
2013-05-30,21.18,21.15,20.87,20.95,420,84871
2013-05-31,21.19,21.01,20.97,21.01,623,526222
2013-06-03,21.4,21.18,20.83,20.99,926,198148
2013-06-04,21.31,21.3,20.87,21.06,513,239689
2013-06-05,21.65,21.52,21.19,21.45,240,57162
2013-06-06,22.94,22.91,21.46,21.46,458,104614
2013-06-07,23.45,23.4,22.79,22.97,808,174184
2013-06-10,23.92,23.67,23.28,23.5,331,61274
2013-06-11,23.58,22.91,22.87,23.58,368,64393
2013-06-12,23.06,22.25,22.23,22.97,297,66471
2013-06-13,23.19,23.19,21.94,22.2,433,99287
2013-06-14,23.65,23.44,23.12,23.12,341,65016
2013-06-17,24.19,24.15,23.49,23.75,571,114340
2013-06-18,24.27,23.84,23.71,24.25,827,141389
2013-06-19,24.05,23.65,23.36,23.76,446,87380
2013-06-20,23.39,23.04,22.78,23.39,368,75523
2013-06-21,23.18,22.96,22.63,23.13,519,229510
2013-06-24,23.01,22.27,22.1,22.86,548,114152
2013-06-25,22.65,22.3,22.2,22.55,657,138788
2013-06-26,22.42,22.03,21.95,22.42,549,148485
2013-06-27,22.34,22.12,21.86,22.16,961,195803
2013-06-28,22.35,22.07,21.89,22.1,752,1396962
2013-07-01,23.03,22.69,22.3,22.45,657,162441
2013-07-02,22.93,22.39,21.95,22.76,379,90386
2013-07-03,22.32,22.07,21.99,22.32,168,34328
2013-07-05,22.9,22.8,22.31,22.43,483,87517
2013-07-08,22.99,22.87,22.68,22.98,219,49205
2013-07-09,23.13,22.85,22.46,23.03,249,45597
2013-07-10,22.38,22.17,21.93,21.93,381,90896
2013-07-11,23.03,22.51,22.21,22.42,268,57690
2013-07-12,22.51,22.21,22.19,22.46,228,37939
2013-07-15,22.56,22.26,22.17,22.29,343,67430
2013-07-16,21.42,21.01,20.57,20.78,1214,292688
2013-07-17,22.08,21.63,20.75,20.99,1777,442504
2013-07-18,24.03,23.99,22.25,22.34,2781,1428713
2013-07-19,23.82,23.07,22.99,23.55,1099,282178
2013-07-22,23.5,23.34,23.06,23.13,436,71845
2013-07-23,23.34,23.18,22.9,23.34,377,79195
2013-07-24,23.47,23.33,22.6,23.18,596,106759
2013-07-25,23.33,23.19,22.89,23.23,575,112603
2013-07-26,23.45,23.21,22.95,22.97,607,422625
2013-07-29,23.25,23.07,22.96,23.1,272,64069
2013-07-30,23.22,23.03,22.82,23.22,418,70513
2013-07-31,23.19,23.06,22.94,23.0,362,79111
2013-08-01,23.39,23.35,23.0,23.18,445,123890
2013-08-02,23.58,23.3,22.71,23.21,543,121525
2013-08-05,23.94,23.62,23.0,23.25,519,125280
2013-08-06,23.38,23.2,22.96,23.28,378,73989
2013-08-07,23.27,23.1,23.01,23.09,239,44859
2013-08-08,23.18,23.13,22.87,23.18,408,82937
2013-08-09,23.2,23.08,22.88,23.03,311,87888
2013-08-12,23.28,23.25,22.75,22.83,444,102633
2013-08-13,23.24,22.95,22.86,23.24,555,116684
2013-08-14,23.09,22.95,22.75,22.98,281,56029
2013-08-15,22.85,22.83,22.12,22.65,541,135471
2013-08-16,23.03,23.02,22.75,22.85,405,139470
2013-08-19,23.06,22.9,22.83,22.86,376,86272
2013-08-20,23.44,23.08,22.72,22.72,452,111945
2013-08-21,23.21,22.95,22.79,22.96,178,36402
2013-08-22,23.12,22.96,22.64,23.03,287,50766
2013-08-23,23.39,23.35,23.0,23.0,186,75535
2013-08-26,23.71,23.41,23.17,23.33,306,88282
2013-08-27,23.15,22.97,22.84,23.15,241,52824
2013-08-28,23.02,22.78,22.55,22.99,241,58416
2013-08-29,22.84,22.83,22.57,22.57,217,61778
2013-08-30,23.02,23.01,22.4,22.41,446,145901
2013-09-03,23.31,22.92,22.81,23.18,276,75093
2013-09-04,23.35,23.13,22.8,22.8,230,102290
2013-09-05,23.4,23.1,23.07,23.2,189,30807
2013-09-06,23.39,23.21,22.81,23.28,194,32947
2013-09-09,23.77,23.5,23.22,23.22,218,67001
2013-09-10,24.0,23.91,23.68,23.68,244,72857
2013-09-11,24.1,24.04,23.83,23.83,267,49431
2013-09-12,24.17,24.04,23.91,24.1,184,58247
