Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-01-25,24.78,24.65,24.63,24.78,38,47330
2018-01-26,24.73,24.69,24.65,24.73,26,37886
2018-01-29,24.72,24.55,24.55,24.6,27,23999
2018-01-30,24.59,24.58,24.45,24.52,50,14175
2018-01-31,24.67,24.67,24.53,24.53,4,600
2018-02-01,24.75,24.68,24.65,24.65,13,4764
2018-02-02,24.6,24.359,24.33,24.6,17,28872
2018-02-05,24.5,24.4,24.35,24.5,24,17754
2018-02-06,24.7,24.7,24.7,24.7,1,1300
2018-02-07,24.83,24.79,24.7,24.7,13,2000
2018-02-08,24.65,24.55,24.54,24.54,10,1466
2018-02-09,24.59,24.5,24.4,24.59,19,21618
2018-02-12,24.4,24.28,24.26,24.4,8,15300
2018-02-13,24.48,24.45,24.3,24.3,6,4439
2018-02-14,24.6,24.4,24.4,24.59,12,2800
2018-02-15,24.26,24.25,24.24,24.25,6,1004
2018-02-16,24.25,24.0,24.0,24.25,13,2965
2018-02-20,24.3,24.3,23.7,24.23,13,2592
2018-02-21,24.45,24.2,24.03,24.24,12,3710
2018-02-22,24.211,24.2,24.199,24.211,7,2595
2018-02-23,24.29,24.25,24.15,24.18,7,3117
2018-02-26,24.48,24.48,24.36,24.4,22,6850
2018-02-27,24.73,24.56,24.56,24.73,6,1670
2018-02-28,24.84,24.57,24.44,24.84,13,4259
2018-03-01,24.81,24.76,24.76,24.81,3,275
2018-03-02,24.75,24.65,24.65,24.73,4,400
2018-03-05,24.84,24.84,24.56,24.65,14,1805
2018-03-06,24.94,24.905,24.905,24.94,5,1300
2018-03-07,24.8,24.56,24.56,24.8,8,1000
2018-03-08,24.94,24.8,24.8,24.94,2,200
2018-03-09,24.62,24.62,24.62,24.62,5,1476
2018-03-12,24.74,24.6,24.59,24.74,4,600
2018-03-14,24.59,24.5,24.5,24.59,6,800
2018-03-15,24.6,24.58,24.44,24.45,10,1200
2018-03-16,24.61,24.6,24.6,24.61,3,700
2018-03-19,24.75,24.7,24.69,24.69,8,2500
2018-03-20,24.5,24.12,24.12,24.5,32,6005
2018-03-21,24.14,24.14,23.8,24.05,42,12512
2018-03-22,,,,,6,127
2018-03-23,24.09,23.86,23.86,24.09,16,1750
2018-03-26,24.0,23.9,23.88,24.0,11,2190
2018-03-27,24.15,23.93,23.78,24.13,16,2950
2018-03-28,23.93,23.9,23.66,23.93,15,5885
2018-03-29,23.64,23.47,23.17,23.64,48,17800
2018-04-02,23.35,23.24,23.24,23.35,6,915
2018-04-03,23.44,23.39,23.39,23.44,6,1300
2018-04-04,23.3,23.3,23.3,23.3,2,110
2018-04-05,23.42,23.27,23.2,23.42,16,2185
2018-04-06,23.4,23.27,23.27,23.4,7,560
2018-04-09,23.37,23.27,23.27,23.37,7,1443
2018-04-10,23.42,23.42,23.31,23.31,6,1210
2018-04-11,,,,,1,10
2018-04-12,,,,,2,47
2018-04-13,,,,,1,70
2018-04-16,23.3,23.3,23.3,23.3,1,100
2018-04-17,23.25,23.235,23.1,23.13,9,1350
2018-04-18,23.22,23.22,23.22,23.22,4,380
2018-04-19,23.25,23.19,23.19,23.25,11,1425
2018-04-20,23.27,22.76,22.76,23.27,64,6306
2018-04-23,22.77,22.11,22.11,22.76,99,12722
2018-04-24,22.05,21.67,21.67,22.01,59,8090
2018-04-25,21.58,21.2,20.96,21.53,80,9590
2018-04-26,21.5,21.5,21.5,21.5,1,100
2018-04-27,21.85,21.85,21.8,21.8,2,690
2018-04-30,21.54,21.53,21.53,21.54,2,900
2018-05-01,21.77,21.77,21.5,21.5,2,220
2018-05-03,21.9,21.9,21.54,21.73,10,2100
2018-05-04,21.88,21.88,21.52,21.64,17,6460
2018-05-07,22.23,22.23,21.73,21.73,22,3595
2018-05-08,22.51,22.5,22.24,22.24,14,2182
2018-05-09,22.66,22.6,22.42,22.55,15,2313
2018-05-10,22.73,22.73,22.69,22.69,4,365
2018-05-11,22.53,22.35,22.08,22.53,20,2422
2018-05-14,22.68,22.68,22.26,22.31,11,1900
2018-05-15,22.75,22.74,22.65,22.65,20,4400
2018-05-16,22.98,22.98,22.79,22.79,10,1679
2018-05-17,23.17,23.17,22.75,22.76,5,1300
2018-05-18,23.02,23.01,22.93,22.93,3,484
2018-05-21,23.0,22.85,22.85,22.99,6,879
2018-05-22,22.75,22.75,22.75,22.75,6,1500
2018-05-24,23.02,23.02,23.0,23.0,3,1500
2018-05-25,22.57,22.57,22.57,22.57,1,886
2018-05-29,22.515,22.5,22.5,22.515,2,200
2018-05-30,22.68,22.43,22.43,22.68,2,470
2018-05-31,22.6,22.6,22.36,22.36,3,471
2018-06-01,22.48,22.31,22.12,22.19,43,10023
2018-06-04,22.48,22.37,22.32,22.36,34,9676
2018-06-05,,,,,1,47
2018-06-06,22.64,22.63,22.37,22.37,7,1100
2018-06-07,22.595,22.595,22.595,22.595,1,100
2018-06-08,22.71,22.61,22.61,22.62,10,1029
2018-06-11,22.75,22.75,22.69,22.69,5,1510
2018-06-12,22.7,22.7,22.7,22.7,1,100
2018-06-13,22.6,22.6,22.6,22.6,15,3100
2018-06-14,22.51,22.5,22.5,22.51,3,900
2018-06-15,22.78,22.78,22.78,22.78,1,100
2018-06-18,22.84,22.84,22.65,22.65,9,1615
2018-06-19,22.73,22.73,22.65,22.65,5,1300
2018-06-20,22.8,22.8,22.8,22.8,3,600
2018-06-22,22.94,22.79,22.79,22.94,5,797
2018-06-25,22.97,22.97,22.97,22.97,1,100
2018-06-26,22.9,22.9,22.9,22.9,1,100
