Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-06-17,22.75,22.75,22.75,22.75,1,100
2015-06-22,,,,,3,198
2015-06-24,25.9,25.9,25.9,25.9,5,299
2015-06-25,,,,,2,15
2015-06-26,,,,,1,5
2015-06-29,26.01,26.0,25.9,25.94,4,2768
2015-06-30,30.4,29.0,26.6,26.95,833,4322553
2015-07-01,29.2,27.0,26.72,27.95,1648,701568
2015-07-02,28.41,27.81,27.5,27.9,1010,301935
2015-07-06,28.99,28.99,27.5,27.75,782,180091
2015-07-07,29.01,28.14,27.77,28.41,882,187621
2015-07-08,27.87,27.1,26.96,27.12,758,259263
2015-07-09,27.38,26.95,26.87,27.0,1504,361451
2015-07-10,29.1,28.79,27.0,27.02,1602,279555
2015-07-13,29.96,29.57,28.11,28.5,1200,257316
2015-07-14,30.28,30.1,29.0,29.04,1104,234174
2015-07-15,29.92,29.19,28.64,29.92,851,126965
2015-07-16,29.58,29.34,28.98,29.01,1173,180595
2015-07-17,31.41,31.11,29.0,29.0,1785,271748
2015-07-20,32.94,31.44,30.93,31.67,1638,244882
2015-07-21,31.52,31.13,29.92,30.74,1101,340761
2015-07-22,31.32,30.88,30.12,31.12,766,105899
2015-07-23,31.0,30.61,30.26,31.0,688,88988
2015-07-24,30.57,30.33,29.81,30.53,722,134277
2015-07-27,30.85,30.23,30.18,30.36,724,104482
2015-07-28,30.85,30.0,28.81,29.91,809,110860
2015-07-29,30.22,29.3,29.13,30.14,468,59839
2015-07-30,29.3,29.09,28.79,29.3,761,130685
2015-07-31,29.07,28.76,28.56,28.94,906,170872
2015-08-03,29.35,29.25,28.21,28.21,627,80378
2015-08-04,29.4,28.83,28.3,28.97,721,93246
2015-08-05,29.5,28.7,28.5,28.5,510,71209
2015-08-06,28.9,28.78,28.46,28.46,531,66276
2015-08-07,28.88,28.5,28.12,28.88,485,88794
2015-08-10,30.0,28.97,28.48,28.48,671,182495
2015-08-11,30.03,29.77,28.53,29.0,778,162930
2015-08-12,29.65,29.62,28.91,29.47,442,60221
2015-08-13,30.26,30.06,29.43,29.56,574,102971
2015-08-14,30.39,30.35,29.67,30.06,423,59263
2015-08-17,32.22,31.88,30.08,30.08,530,70545
2015-08-18,33.84,32.32,32.11,32.15,1118,134179
2015-08-19,32.7,32.57,32.01,32.01,1188,139911
2015-08-20,33.72,32.71,32.25,32.39,584,78761
2015-08-21,32.65,31.98,31.74,32.59,848,125314
2015-08-24,32.16,30.63,29.8,29.9,368,61590
2015-08-25,31.55,30.35,30.21,31.55,680,77193
2015-08-26,30.96,30.64,29.87,30.84,343,45155
2015-08-27,31.0,30.27,29.74,31.0,840,163495
2015-08-28,31.59,31.51,30.36,30.36,385,67477
2015-08-31,31.86,31.72,30.99,31.47,724,118929
2015-09-01,32.01,31.98,31.3,31.66,466,59735
2015-09-02,33.52,33.05,31.97,31.97,849,112729
2015-09-03,33.82,33.32,32.92,33.12,592,82033
2015-09-04,33.55,33.43,32.39,32.92,849,113138
2015-09-08,34.71,34.02,33.47,33.5,602,70426
2015-09-09,35.06,34.17,34.08,34.3,531,57808
2015-09-10,34.55,34.34,33.73,34.0,472,65295
2015-09-11,35.03,34.83,34.17,34.27,619,81665
2015-09-14,35.91,35.41,34.79,34.83,689,194952
2015-09-15,36.34,34.25,34.18,35.61,905,105378
2015-09-16,35.34,34.92,33.861,34.54,619,100479
2015-09-17,36.1,35.65,34.44,34.82,675,85774
2015-09-18,35.32,34.75,33.69,35.23,1334,2249230
2015-09-21,35.35,32.82,32.75,35.16,1120,134985
2015-09-22,32.69,31.51,30.83,32.69,1021,125832
2015-09-23,31.99,31.62,31.4,31.6,432,47827
2015-09-24,31.7,31.65,30.35,31.36,745,88038
2015-09-25,32.54,32.19,31.5,31.89,829,122748
2015-09-28,32.04,30.83,30.02,32.04,945,123492
2015-09-29,31.2,30.0,29.55,30.91,947,123872
2015-09-30,31.14,30.97,30.0,30.21,440,70193
2015-10-01,31.39,30.5,29.8,31.1,411,148880
2015-10-02,31.02,30.96,30.11,30.3,498,67167
2015-10-05,33.17,32.9,31.12,31.12,801,81316
2015-10-06,33.03,32.08,31.7,32.86,497,57536
2015-10-07,32.92,32.89,32.23,32.29,786,131257
2015-10-08,33.3,32.76,32.33,32.89,534,67875
2015-10-09,32.93,32.44,32.11,32.89,580,75665
2015-10-12,32.57,31.59,31.56,32.57,643,63909
2015-10-13,32.21,31.32,31.2,31.5,585,71326
2015-10-14,31.38,29.8,29.62,31.38,898,113446
2015-10-15,30.0,29.57,28.28,29.96,1008,116704
2015-10-16,29.75,29.27,28.53,29.65,658,74264
2015-10-19,30.06,29.95,28.74,29.12,814,90734
2015-10-20,31.03,30.91,29.82,30.05,364,56718
2015-10-21,31.23,30.42,30.36,31.05,317,34378
2015-10-22,31.04,30.98,29.0,30.46,910,115467
2015-10-23,31.13,30.25,29.96,31.01,511,56369
2015-10-26,30.7,29.5,29.3,30.28,433,46766
2015-10-27,29.52,28.79,28.52,29.5,395,55837
2015-10-28,28.97,28.53,27.97,28.97,1048,121052
2015-10-29,28.57,27.79,27.58,28.48,495,58792
2015-10-30,28.64,28.13,27.7,27.82,886,116814
2015-11-02,28.33,27.84,27.81,28.1,488,62266
2015-11-03,31.8,30.8,27.6,28.15,781,103372
2015-11-04,32.08,31.04,30.78,30.78,444,59803
2015-11-05,30.94,29.55,29.33,30.89,412,52777
2015-11-06,29.62,29.37,28.92,29.5,373,52384
2015-11-09,30.13,29.29,29.07,29.42,531,56777
2015-11-10,29.46,29.21,28.29,29.27,661,97356
2015-11-11,29.28,28.98,28.69,29.19,510,48796
2015-11-12,28.9,28.65,28.1,28.59,585,67657
