Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,45.68,45.66,44.91,45.15,854,158259
2013-01-03,46.28,46.19,45.55,45.55,789,130739
2013-01-04,46.91,46.91,46.19,46.31,950,134623
2013-01-07,46.76,46.51,46.25,46.73,363,70942
2013-01-08,46.59,46.32,46.17,46.43,440,72023
2013-01-09,46.64,46.29,46.17,46.5,436,78072
2013-01-10,46.62,46.49,46.29,46.55,497,90970
2013-01-11,46.47,45.84,45.77,46.47,807,137031
2013-01-14,46.19,46.14,45.59,45.84,439,79451
2013-01-15,46.35,46.27,45.64,45.64,540,91391
2013-01-16,46.76,46.51,46.27,46.27,519,87920
2013-01-17,47.13,46.89,46.57,46.61,672,106844
2013-01-18,46.99,46.91,46.59,46.82,384,70722
2013-01-22,47.5,47.5,46.85,46.85,369,66023
2013-01-23,47.63,47.49,47.38,47.48,330,73033
2013-01-24,47.68,47.56,47.32,47.41,545,93165
2013-01-25,47.83,47.7,47.08,47.6,695,107415
2013-01-28,47.72,47.65,47.31,47.63,571,95009
2013-01-29,48.09,47.88,47.61,47.61,481,87893
2013-01-30,47.99,47.78,46.98,47.68,678,102549
2013-01-31,48.39,48.09,47.76,47.83,520,89475
2013-02-01,48.49,48.37,48.17,48.27,536,109729
2013-02-04,48.22,47.87,47.77,48.08,891,129303
2013-02-05,48.6,48.32,48.03,48.1,571,98307
2013-02-06,48.34,48.23,47.75,47.86,689,143857
2013-02-07,48.48,48.34,47.97,48.25,376,59824
2013-02-08,48.71,48.59,48.41,48.42,385,59476
2013-02-11,48.65,48.47,48.25,48.45,696,115003
2013-02-12,48.84,48.75,48.31,48.34,390,73950
2013-02-13,49.16,49.14,48.57,48.7,526,107869
2013-02-14,49.29,48.97,48.84,48.94,406,61574
2013-02-15,49.12,48.96,48.82,48.92,557,88223
2013-02-19,49.42,49.3,49.03,49.03,566,94288
2013-02-20,49.32,48.84,48.78,49.27,541,88049
2013-02-21,49.03,48.66,48.54,48.62,520,86088
2013-02-22,49.2,49.2,48.74,48.8,472,66983
2013-02-25,49.35,48.2,48.2,49.33,649,96606
2013-02-26,48.14,47.97,47.25,48.06,715,94955
2013-02-27,48.35,48.26,47.83,47.83,896,129952
2013-02-28,48.78,48.39,48.25,48.27,844,149541
2013-03-01,48.51,48.32,47.62,48.14,980,170212
2013-03-04,49.08,49.04,48.18,48.18,909,166361
2013-03-05,49.15,48.93,48.88,49.13,668,102582
2013-03-06,49.18,49.1,48.84,49.03,755,112443
2013-03-07,49.59,49.32,48.88,48.9,554,96237
2013-03-08,49.75,49.38,49.16,49.6,616,89959
2013-03-11,49.67,49.65,49.29,49.31,577,90706
2013-03-12,49.62,49.37,49.26,49.6,523,86125
2013-03-13,49.64,49.62,49.29,49.4,369,58152
2013-03-14,49.8,49.78,49.55,49.55,521,88481
2013-03-15,49.98,49.88,49.6,49.78,535,171977
2013-03-18,49.86,49.62,49.25,49.25,643,107874
2013-03-19,49.86,49.85,49.37,49.69,435,62099
2013-03-20,50.07,50.01,49.69,49.97,330,60009
2013-03-21,50.03,49.9,49.71,49.71,561,91644
2013-03-22,50.27,50.1,49.83,50.0,723,113770
2013-03-25,50.49,50.24,50.11,50.12,419,73429
2013-03-26,50.74,50.68,50.32,50.5,452,74530
2013-03-27,50.74,50.69,50.161,50.41,427,62957
2013-03-28,50.91,50.81,50.56,50.56,424,72791
2013-04-01,50.84,50.48,50.18,50.77,346,78424
2013-04-02,50.86,50.31,50.19,50.81,796,107242
2013-04-03,50.37,49.56,49.44,50.37,854,126508
2013-04-04,49.81,49.63,49.35,49.51,314,55314
2013-04-05,49.41,49.39,48.71,49.15,760,111249
2013-04-08,49.55,49.52,48.87,49.35,634,96158
2013-04-09,49.17,49.09,48.65,48.65,961,161569
2013-04-10,49.9,49.88,49.12,49.12,1078,166581
2013-04-11,49.85,49.46,49.37,49.85,441,79495
2013-04-12,49.39,48.81,48.71,49.33,671,108437
2013-04-15,48.68,47.65,47.57,48.67,797,162799
2013-04-16,48.39,48.34,47.76,47.95,867,126544
2013-04-17,48.33,47.95,47.52,48.06,631,116208
2013-04-18,48.12,47.61,47.51,48.12,478,73643
2013-04-19,48.13,48.08,47.51,47.85,480,66894
2013-04-22,47.73,46.55,46.31,47.73,806,128725
2013-04-23,46.69,46.42,46.05,46.5,867,149074
2013-04-24,47.16,47.16,46.31,46.31,694,132957
2013-04-25,47.28,47.15,46.8,47.15,801,150986
2013-04-26,47.27,47.17,47.02,47.1,461,72746
2013-04-29,47.79,47.62,47.33,47.33,508,88958
2013-04-30,47.69,47.69,47.27,47.64,364,97982
2013-05-01,47.68,46.75,46.71,47.44,432,63798
2013-05-02,47.3,46.96,46.74,46.75,519,82095
2013-05-03,47.74,47.38,47.28,47.41,318,57748
2013-05-06,47.9,47.88,47.41,47.41,641,101646
2013-05-07,48.62,48.61,48.05,48.05,577,101544
2013-05-08,48.86,48.86,48.4,48.53,531,93170
2013-05-09,48.92,48.81,48.55,48.85,563,103756
2013-05-10,49.03,48.99,48.79,48.91,202,33991
2013-05-13,49.26,49.08,48.8,48.99,314,71356
2013-05-14,49.87,49.85,49.1,49.1,551,90587
2013-05-15,50.19,50.14,49.51,49.88,631,102975
2013-05-16,50.47,50.27,50.05,50.06,376,54199
2013-05-17,50.9,50.87,50.32,50.32,405,59822
2013-05-20,51.08,50.58,50.13,50.13,609,108814
2013-05-21,50.78,50.75,50.48,50.65,632,98283
2013-05-22,51.42,50.12,49.92,50.68,744,109106
2013-05-23,51.02,50.94,49.77,49.77,869,137880
2013-05-24,51.33,51.29,50.5,50.72,508,77464
2013-05-28,52.16,51.64,51.5,51.56,501,91176
2013-05-29,51.06,50.77,50.36,50.82,434,71289
2013-05-30,51.23,50.95,50.79,50.8,482,85826
2013-05-31,51.12,50.38,50.37,50.79,664,100928
2013-06-03,50.86,50.07,49.86,50.6,935,145810
2013-06-04,50.24,49.36,49.12,50.08,1019,170977
2013-06-05,49.49,48.86,48.78,49.35,696,101202
2013-06-06,49.28,48.92,48.63,48.81,847,133587
2013-06-07,49.49,49.17,48.97,49.26,896,167718
2013-06-10,49.77,49.73,49.17,49.42,452,69092
2013-06-11,49.76,49.44,49.16,49.32,475,72327
2013-06-12,49.7,48.91,48.86,49.62,367,53758
2013-06-13,49.65,49.58,48.91,48.91,715,111865
2013-06-14,49.7,49.01,48.89,49.44,445,67226
2013-06-17,49.42,49.11,48.81,49.07,715,112796
2013-06-18,49.56,49.41,48.96,49.18,490,71829
2013-06-19,49.66,49.14,49.09,49.47,470,70402
2013-06-20,49.69,49.25,48.63,48.75,1050,158385
2013-06-21,49.71,49.5,49.19,49.5,977,304658
2013-06-24,49.74,49.36,49.12,49.24,640,105390
2013-06-25,50.12,50.0,49.3,49.72,1181,186062
2013-06-26,50.38,49.87,49.85,50.19,857,138258
2013-06-27,50.61,50.48,49.96,50.17,531,84901
2013-06-28,50.7,50.32,50.3,50.46,595,122338
2013-07-01,51.48,51.23,50.54,50.54,495,90799
2013-07-02,51.98,51.92,50.97,51.16,1059,150525
2013-07-03,52.2,52.1,51.76,51.96,577,89606
2013-07-05,53.23,53.17,52.4,52.47,521,84497
2013-07-08,54.06,54.04,53.34,53.34,568,168176
2013-07-09,54.49,54.46,53.36,54.3,758,132703
2013-07-10,54.71,54.7,54.11,54.5,1218,205993
2013-07-11,55.0,53.23,53.1,55.0,770,136561
2013-07-12,54.09,54.01,53.21,53.25,499,79266
2013-07-15,54.72,54.72,54.11,54.25,571,120638
2013-07-16,54.85,53.66,53.287,54.71,455,76554
2013-07-17,54.15,53.87,53.64,53.64,439,76674
2013-07-18,54.94,54.66,53.83,53.98,418,67144
2013-07-19,55.09,54.91,54.47,54.73,398,67083
2013-07-22,55.65,55.42,53.81,55.04,504,147244
2013-07-23,56.24,56.22,55.16,55.69,500,91889
2013-07-24,57.13,56.63,56.12,56.19,613,99376
2013-07-25,56.84,55.92,55.72,56.4,421,70311
2013-07-26,55.85,55.56,55.16,55.67,317,51175
2013-07-29,55.58,55.11,54.86,55.43,224,41110
2013-07-30,55.94,55.34,55.11,55.11,370,55773
2013-07-31,56.39,55.64,55.27,55.27,373,73444
2013-08-01,56.99,56.81,56.06,56.06,586,121615
2013-08-02,56.59,56.24,56.01,56.58,305,53321
2013-08-05,56.38,56.25,55.47,56.2,312,50477
2013-08-06,56.23,55.68,55.6,56.12,235,43664
2013-08-07,55.6,55.16,54.85,55.6,375,61505
2013-08-08,55.46,55.32,55.0,55.45,248,43818
2013-08-09,55.59,55.34,55.2,55.31,323,60151
2013-08-12,55.55,55.36,55.04,55.11,407,67070
2013-08-13,55.72,55.65,55.14,55.42,368,59964
2013-08-14,55.99,55.48,55.45,55.75,382,68138
2013-08-15,55.21,55.02,54.8,55.14,495,75247
2013-08-16,55.4,54.89,54.8,54.88,312,52159
2013-08-19,54.89,54.53,54.49,54.81,431,117868
2013-08-20,55.26,55.06,54.56,54.57,414,74967
2013-08-21,55.02,54.44,54.41,54.88,734,117997
2013-08-22,55.24,55.13,54.63,54.63,200,36118
2013-08-23,55.26,54.8,54.642,55.26,352,56822
2013-08-26,55.04,54.48,54.35,54.69,323,50535
2013-08-27,54.25,52.93,52.87,54.08,645,101827
2013-08-28,52.86,52.52,52.28,52.61,351,53938
2013-08-29,53.0,52.57,52.49,52.54,426,64342
2013-08-30,52.67,51.5,51.45,52.67,651,104567
2013-09-03,52.54,51.01,50.51,51.99,942,198590
2013-09-04,51.77,51.31,50.96,51.05,591,147913
2013-09-05,52.18,51.95,51.28,51.28,486,103665
2013-09-06,52.23,51.65,50.93,52.04,490,138398
2013-09-09,52.05,51.83,51.42,51.74,382,64033
2013-09-10,52.4,52.37,51.94,52.0,499,82899
2013-09-11,52.52,52.31,52.02,52.23,368,60350
2013-09-12,52.41,52.12,52.05,52.3,248,46856
2013-09-13,52.62,52.61,51.85,52.05,544,84760
2013-09-16,53.26,52.8,52.64,52.97,932,165506
2013-09-17,53.42,53.35,52.55,52.86,590,112886
2013-09-18,53.64,52.76,52.72,53.31,505,83664
2013-09-19,53.02,52.29,51.6,53.0,801,123097
2013-09-20,54.06,53.41,53.19,53.44,874,373161
2013-09-23,53.41,53.17,52.5,53.41,540,100902
2013-09-24,53.83,53.53,53.03,53.2,541,83283
2013-09-25,53.88,53.67,53.04,53.66,462,79876
2013-09-26,54.18,53.77,53.44,53.77,529,84853
2013-09-27,54.34,54.02,53.56,53.68,823,125291
2013-09-30,54.48,54.45,53.59,53.64,521,105127
2013-10-01,55.45,55.35,54.47,54.47,851,191795
2013-10-02,54.86,54.51,54.31,54.86,542,100286
2013-10-03,54.38,54.16,53.93,54.37,457,80433
2013-10-04,54.4,54.24,54.04,54.15,655,104858
2013-10-07,54.05,53.76,53.49,53.78,509,82744
2013-10-08,53.78,53.4,53.36,53.78,424,68007
2013-10-09,53.77,53.29,53.16,53.45,562,94424
2013-10-10,54.68,54.66,53.91,53.91,468,77898
2013-10-11,55.55,55.54,54.28,54.57,375,53095
2013-10-14,55.71,55.64,55.17,55.31,322,58518
2013-10-15,55.86,55.07,55.01,55.59,395,62808
2013-10-16,55.99,55.61,55.11,55.17,602,86674
2013-10-17,55.81,55.75,55.08,55.39,507,91778
2013-10-18,56.33,56.12,55.43,55.96,417,73382
2013-10-21,56.66,56.54,56.07,56.07,393,67223
2013-10-22,56.94,56.81,56.29,56.51,486,80324
2013-10-23,57.09,57.08,56.53,56.74,607,108524
2013-10-24,57.38,57.28,56.71,57.08,433,64505
2013-10-25,57.67,57.41,57.16,57.28,595,107032
2013-10-28,58.28,58.22,56.62,57.17,560,116237
2013-10-29,58.85,58.83,57.78,58.53,517,89230
2013-10-30,59.26,58.49,58.45,58.85,380,61332
2013-10-31,58.48,57.98,57.96,58.37,587,109890
2013-11-01,58.37,57.48,57.25,57.98,469,82540
2013-11-04,57.77,57.23,56.86,57.42,797,133880
2013-11-05,57.72,57.27,56.7,57.19,720,109280
2013-11-06,58.16,58.12,57.27,57.57,421,74036
2013-11-07,58.39,57.36,57.35,58.15,513,93423
2013-11-08,59.38,59.17,57.4,57.4,578,83671
2013-11-11,59.26,59.14,58.45,58.89,459,79630
2013-11-12,59.0,58.29,58.11,59.0,344,95968
2013-11-13,58.88,58.88,57.89,58.1,277,39265
2013-11-14,59.77,59.67,58.73,58.95,530,122704
2013-11-15,59.6,58.88,58.73,59.57,407,95688
2013-11-18,59.59,59.09,58.68,59.09,531,101361
2013-11-19,59.45,58.72,58.62,59.04,486,89985
2013-11-20,59.04,58.59,58.42,58.9,265,45794
2013-11-21,59.47,59.22,58.67,58.76,717,117752
2013-11-22,59.6,59.58,59.04,59.35,454,76610
2013-11-25,59.87,59.59,59.36,59.77,330,58907
2013-11-26,59.4,59.35,58.89,59.15,616,103149
2013-11-27,59.58,59.34,59.08,59.35,465,77166
2013-11-29,59.4,59.15,59.11,59.36,308,54292
2013-12-02,59.49,58.64,58.58,59.1,520,86138
2013-12-03,58.71,57.96,57.48,58.5,605,104832
2013-12-04,58.2,57.56,57.36,57.75,675,99780
2013-12-05,57.57,57.55,57.31,57.45,924,165941
2013-12-06,58.66,58.42,58.01,58.01,580,143696
2013-12-09,58.85,58.55,58.22,58.45,728,96249
2013-12-10,58.73,57.93,57.84,58.39,508,60353
2013-12-11,58.11,57.01,56.97,57.95,695,87183
2013-12-12,57.45,57.12,56.96,56.96,927,130389
2013-12-13,57.62,56.8,56.69,57.34,644,82232
2013-12-16,57.88,57.69,56.87,56.93,898,150792
2013-12-17,57.69,57.58,57.0,57.69,754,103759
2013-12-18,58.51,58.48,57.22,57.78,698,95287
2013-12-19,58.36,57.89,57.84,58.26,657,74657
2013-12-20,59.03,58.83,58.0,58.0,862,508482
2013-12-23,59.59,59.57,58.98,59.1,693,84180
2013-12-24,59.73,59.39,59.36,59.5,189,25225
2013-12-26,59.8,59.19,59.14,59.47,714,75645
2013-12-27,59.59,59.34,59.12,59.33,528,65007
2013-12-30,59.52,59.11,59.07,59.34,390,56700
2013-12-31,59.41,59.14,58.91,59.22,477,71549
2014-01-02,58.93,58.01,58.0,58.93,737,110324
2014-01-03,58.21,57.99,57.83,58.02,436,60491
2014-01-06,58.41,57.61,57.6,58.1,609,100016
2014-01-07,58.94,58.72,57.95,57.96,685,105394
2014-01-08,58.85,58.66,58.21,58.61,532,68685
2014-01-09,59.65,59.6,58.91,58.91,780,133414
2014-01-10,59.64,59.02,58.81,59.64,555,66834
2014-01-13,58.8,58.39,58.13,58.8,700,142631
2014-01-14,58.88,58.79,58.12,58.66,454,68207
2014-01-15,59.18,58.93,58.89,58.89,432,62549
2014-01-16,58.86,58.78,58.29,58.86,357,52909
2014-01-17,59.29,59.1,58.83,58.83,346,39965
2014-01-21,60.32,60.32,59.22,59.56,695,85218
2014-01-22,60.69,60.45,60.28,60.56,354,41448
2014-01-23,59.84,59.64,59.31,59.63,481,79151
2014-01-24,59.32,58.74,58.57,59.32,479,57619
2014-01-27,59.17,57.84,57.84,59.02,716,84203
2014-01-28,59.18,58.62,58.02,58.36,738,104806
2014-01-29,58.66,57.61,57.59,58.11,606,66862
2014-01-30,58.44,57.92,57.72,58.19,715,85491
2014-01-31,57.46,56.78,56.75,56.96,716,87823
2014-02-03,56.75,54.51,54.19,56.57,1736,229847
2014-02-04,55.25,55.04,54.19,54.91,993,181458
2014-02-05,55.13,55.0,54.62,54.95,447,61632
2014-02-06,55.87,55.84,54.91,55.1,564,73306
2014-02-07,56.23,55.99,55.41,56.0,560,75016
2014-02-10,56.36,56.25,55.83,56.05,670,79478
2014-02-11,57.17,57.12,56.16,56.16,601,68898
2014-02-12,57.86,57.5,57.25,57.25,626,75843
2014-02-13,57.795,57.76,57.14,57.15,438,55199
2014-02-14,57.91,57.74,57.5,57.58,435,51776
2014-02-18,57.99,57.64,57.52,57.77,531,60149
2014-02-19,57.59,55.86,55.71,57.59,942,93082
2014-02-20,56.24,55.87,55.31,55.93,900,111300
2014-02-21,56.49,56.06,55.94,56.04,705,113740
