Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,16.61,16.32,16.18,16.43,1191,314907
2013-01-03,16.4,16.31,16.28,16.28,919,312544
2013-01-04,16.46,16.1,16.07,16.38,1271,394847
2013-01-07,16.19,15.99,15.79,16.15,1072,281261
2013-01-08,16.29,16.12,15.95,16.0,400,92305
2013-01-09,16.69,16.68,16.1,16.34,1363,402905
2013-01-10,17.08,16.81,16.72,16.72,846,239665
2013-01-11,17.26,17.04,16.74,16.83,938,277514
2013-01-14,17.94,17.79,16.96,17.02,1165,305183
2013-01-15,17.79,17.42,17.07,17.79,1467,371233
2013-01-16,17.59,17.5,16.92,17.11,920,214256
2013-01-17,17.76,16.48,16.44,17.58,1968,577279
2013-01-18,16.56,16.21,15.72,16.51,2566,1260154
2013-01-22,16.84,16.75,16.11,16.25,1590,417940
2013-01-23,17.13,16.94,16.43,16.66,2057,558291
2013-01-24,17.14,16.61,16.52,17.0,837,245355
2013-01-25,16.78,16.69,16.63,16.65,678,209506
2013-01-28,16.62,16.36,16.212,16.62,659,166316
2013-01-29,16.44,16.3,15.98,16.36,1061,321424
2013-01-30,16.49,15.2,14.74,16.4,3218,1191501
2013-01-31,15.83,15.55,14.76,15.2,3965,1431217
2013-02-01,15.95,15.88,15.3,15.62,1362,505781
2013-02-04,15.7,15.37,15.3,15.7,1560,462798
2013-02-05,15.63,15.47,15.46,15.54,713,217729
2013-02-06,15.5,15.44,15.28,15.37,734,220992
2013-02-07,15.49,15.3,15.18,15.45,844,233259
2013-02-08,15.5,15.4,15.32,15.34,698,175703
2013-02-11,15.48,15.43,15.3,15.33,339,77666
2013-02-12,15.53,15.44,15.3,15.3,828,212986
2013-02-13,15.45,15.29,15.19,15.43,732,217142
2013-02-14,15.26,15.1,15.06,15.26,1211,354244
2013-02-15,15.34,14.79,14.76,15.22,1147,366730
2013-02-19,15.35,15.18,14.78,14.86,988,265929
2013-02-20,15.09,14.14,14.12,14.96,1988,753053
2013-02-21,14.58,14.4,13.93,14.11,1861,745592
2013-02-22,14.52,14.48,14.29,14.44,998,296810
2013-02-25,14.55,14.01,13.96,14.55,878,318425
2013-02-26,14.3,14.3,14.01,14.03,734,420571
2013-02-27,14.76,14.7,14.17,14.17,1045,345548
2013-02-28,15.27,14.92,14.53,14.53,1360,478734
2013-03-01,14.96,14.93,14.49,14.73,966,220029
2013-03-04,15.65,15.37,14.6,14.78,1560,442592
2013-03-05,15.39,15.29,15.19,15.31,1744,474395
2013-03-06,15.66,15.34,15.3,15.37,1461,461296
2013-03-07,16.01,15.71,15.34,15.39,1254,360176
2013-03-08,16.18,16.16,15.81,15.81,2101,588734
2013-03-11,16.2,15.8,15.74,16.03,541,124256
2013-03-12,15.91,15.7,15.43,15.81,1080,275400
2013-03-13,15.72,15.49,15.39,15.7,563,138498
2013-03-14,15.73,15.43,15.24,15.58,769,140953
2013-03-15,15.66,15.64,15.45,15.46,930,679567
2013-03-18,15.83,15.17,15.11,15.53,584,142601
2013-03-19,15.36,14.83,14.78,15.17,916,194145
2013-03-20,14.99,14.96,14.83,14.99,618,173897
2013-03-21,14.93,14.86,14.61,14.8,521,145838
2013-03-22,14.86,14.85,14.54,14.8,1262,424173
2013-03-25,15.0,14.89,14.67,14.89,624,186551
2013-03-26,15.07,15.0,14.85,14.91,773,174937
2013-03-27,15.15,15.09,14.7,14.84,868,232958
2013-03-28,15.43,15.43,15.01,15.06,745,159562
2013-04-01,15.69,15.46,15.34,15.37,923,224200
2013-04-02,15.91,15.87,15.47,15.63,2007,559635
2013-04-03,16.03,15.51,15.43,15.81,1014,326638
2013-04-04,15.66,15.48,15.32,15.65,862,542091
2013-04-05,15.44,15.24,15.09,15.22,984,317725
2013-04-08,15.47,15.35,14.92,15.35,996,289890
2013-04-09,15.82,15.74,15.3,15.34,793,256352
2013-04-10,16.44,16.25,15.8,15.8,1569,610477
2013-04-11,16.4,16.32,15.98,16.26,1431,351018
2013-04-12,16.22,15.98,15.67,16.22,1088,363439
2013-04-15,15.97,15.39,15.39,15.91,900,202270
2013-04-16,15.68,15.57,15.23,15.54,792,188191
2013-04-17,15.65,15.58,15.32,15.53,1083,267390
2013-04-18,15.64,15.47,15.35,15.61,1064,212228
2013-04-19,15.95,15.83,15.35,15.59,1114,249821
2013-04-22,15.88,15.56,15.51,15.8,595,130393
2013-04-23,15.68,15.52,15.44,15.68,635,200645
